at,account_id,cohort_month,requested_usd,allowed_usd,balance_usd,blocked_by,blockers
2022-02-05 00:00:00,4,2020-03,165.6,165.6,32065.6,minimum_payout,minimum_payout
2022-02-06 00:00:00,4,2020-03,165.6,165.6,32065.6,minimum_payout,minimum_payout
2022-02-07 00:00:00,4,2020-03,165.6,165.6,32065.6,minimum_payout,minimum_payout
2022-02-08 00:00:00,4,2020-03,381.25,381.25,32281.25,minimum_payout,minimum_payout
2022-02-09 00:00:00,4,2020-03,360.4,360.4,32260.4,minimum_payout,minimum_payout
2022-02-11 00:00:00,4,2020-03,250.8,0.0,32150.8,trading_days,trading_days|profitable_days
2022-02-16 00:00:00,4,2020-03,202.5,0.0,32102.5,trading_days,trading_days|profitable_days
2022-02-17 00:00:00,4,2020-03,218.7,0.0,32118.7,trading_days,trading_days|profitable_days
2022-02-18 00:00:00,4,2020-03,28.4,0.0,31928.4,trading_days,trading_days|profitable_days
2022-02-19 00:00:00,4,2020-03,102.05,0.0,32002.05,trading_days,trading_days|profitable_days
2022-02-20 00:00:00,4,2020-03,102.05,0.0,32002.05,trading_days,trading_days|profitable_days
2022-02-21 00:00:00,4,2020-03,102.05,0.0,32002.05,trading_days,trading_days|profitable_days
2022-02-22 00:00:00,4,2020-03,428.8,0.0,32328.8,profitable_days,profitable_days
2022-02-24 00:00:00,4,2020-03,198.45,0.0,32098.45,trading_days,trading_days|profitable_days
2022-02-25 00:00:00,4,2020-03,174.05,0.0,32074.05,trading_days,trading_days|profitable_days
2022-02-26 00:00:00,4,2020-03,500.0,0.0,32606.6,trading_days,trading_days|profitable_days
2022-02-27 00:00:00,4,2020-03,500.0,0.0,32606.6,trading_days,trading_days|profitable_days
2022-02-28 00:00:00,4,2020-03,500.0,0.0,32606.6,trading_days,trading_days|profitable_days
2022-03-01 00:00:00,4,2020-03,500.0,0.0,33012.2,trading_days,trading_days|profitable_days
2022-03-02 00:00:00,4,2020-03,500.0,0.0,32756.85,trading_days,trading_days|profitable_days
2022-03-03 00:00:00,4,2020-03,500.0,0.0,32554.9,trading_days,trading_days|profitable_days
2022-03-04 00:00:00,4,2020-03,500.0,0.0,32575.45,trading_days,trading_days|profitable_days
2022-03-05 00:00:00,4,2020-03,50.0,0.0,31950.0,profitable_days,profitable_days
2022-03-06 00:00:00,4,2020-03,50.0,0.0,31950.0,profitable_days,profitable_days
2022-03-07 00:00:00,4,2020-03,50.0,0.0,31950.0,profitable_days,profitable_days
2022-03-10 00:00:00,4,2020-03,12.05,0.0,31912.05,profitable_days,profitable_days
2022-03-12 00:00:00,4,2020-03,367.75,0.0,32267.75,profitable_days,profitable_days
2022-03-13 00:00:00,4,2020-03,367.75,0.0,32267.75,profitable_days,profitable_days
2022-03-14 00:00:00,4,2020-03,367.75,0.0,32267.75,profitable_days,profitable_days
2022-03-16 00:00:00,4,2020-03,117.0,117.0,32017.0,minimum_payout,minimum_payout
2022-03-17 00:00:00,4,2020-03,387.05,387.05,32287.05,minimum_payout,minimum_payout
2022-03-19 00:00:00,4,2020-03,500.0,0.0,32440.15,trading_days,trading_days|profitable_days
2022-03-20 00:00:00,4,2020-03,500.0,0.0,32440.15,trading_days,trading_days|profitable_days
2022-03-21 00:00:00,4,2020-03,500.0,0.0,32440.15,trading_days,trading_days|profitable_days
2022-03-22 00:00:00,4,2020-03,500.0,0.0,32492.3,trading_days,trading_days|profitable_days
2022-03-23 00:00:00,4,2020-03,500.0,0.0,33031.4,trading_days,trading_days|profitable_days
2022-03-24 00:00:00,4,2020-03,500.0,0.0,32665.45,trading_days,trading_days|profitable_days
2022-03-25 00:00:00,4,2020-03,500.0,0.0,32489.4,trading_days,trading_days|profitable_days
2022-03-26 00:00:00,4,2020-03,500.0,0.0,32495.2,trading_days,trading_days|profitable_days
2022-03-27 00:00:00,4,2020-03,500.0,0.0,32495.2,trading_days,trading_days|profitable_days
2022-03-28 00:00:00,4,2020-03,500.0,0.0,32495.2,trading_days,trading_days|profitable_days
2022-03-29 00:00:00,4,2020-03,500.0,0.0,33230.8,trading_days,trading_days|profitable_days
2022-03-31 00:00:00,4,2020-03,500.0,0.0,32739.6,trading_days,trading_days|profitable_days
2022-04-01 00:00:00,4,2020-03,500.0,0.0,32430.85,trading_days,trading_days|profitable_days
2022-04-02 00:00:00,4,2020-03,500.0,0.0,32440.4,trading_days,trading_days|profitable_days
2022-04-03 00:00:00,4,2020-03,500.0,0.0,32440.4,trading_days,trading_days|profitable_days
2022-04-04 00:00:00,4,2020-03,500.0,0.0,32440.4,trading_days,trading_days|profitable_days
2022-04-05 00:00:00,4,2020-03,500.0,0.0,32952.55,trading_days,trading_days|profitable_days
2022-04-06 00:00:00,4,2020-03,500.0,0.0,32840.8,trading_days,trading_days|profitable_days
2022-04-07 00:00:00,4,2020-03,500.0,0.0,32740.95,trading_days,trading_days|profitable_days
2022-04-08 00:00:00,4,2020-03,500.0,0.0,32943.9,trading_days,trading_days|profitable_days
2022-04-09 00:00:00,4,2020-03,500.0,0.0,32973.2,profitable_days,profitable_days
2022-04-10 00:00:00,4,2020-03,500.0,0.0,32973.2,profitable_days,profitable_days
2022-04-11 00:00:00,4,2020-03,500.0,0.0,32973.2,profitable_days,profitable_days
2022-04-12 00:00:00,4,2020-03,500.0,0.0,32845.45,profitable_days,profitable_days
2022-04-13 00:00:00,4,2020-03,500.0,0.0,33551.2,profitable_days,profitable_days
2022-04-14 00:00:00,4,2020-03,500.0,0.0,33737.2,profitable_days,profitable_days
2022-04-15 00:00:00,4,2020-03,500.0,0.0,33605.2,profitable_days,profitable_days
2022-04-16 00:00:00,4,2020-03,500.0,0.0,33605.2,profitable_days,profitable_days
2022-04-17 00:00:00,4,2020-03,500.0,0.0,33605.2,profitable_days,profitable_days
2022-04-18 00:00:00,4,2020-03,500.0,0.0,33605.2,profitable_days,profitable_days
2022-04-20 00:00:00,4,2020-03,500.0,0.0,33643.0,trading_days,trading_days|profitable_days
2022-04-21 00:00:00,4,2020-03,500.0,0.0,33836.7,trading_days,trading_days|profitable_days
2022-04-22 00:00:00,4,2020-03,500.0,0.0,33852.95,trading_days,trading_days|profitable_days
2022-04-23 00:00:00,4,2020-03,500.0,0.0,33516.2,trading_days,trading_days|profitable_days
2022-04-24 00:00:00,4,2020-03,500.0,0.0,33516.2,trading_days,trading_days|profitable_days
2022-04-25 00:00:00,4,2020-03,500.0,0.0,33516.2,trading_days,trading_days|profitable_days
2022-04-26 00:00:00,4,2020-03,500.0,0.0,34227.7,trading_days,trading_days|profitable_days
2022-04-27 00:00:00,4,2020-03,500.0,0.0,33873.4,trading_days,trading_days|profitable_days
2022-04-28 00:00:00,4,2020-03,500.0,0.0,33691.35,trading_days,trading_days|profitable_days
2022-04-29 00:00:00,4,2020-03,500.0,0.0,33680.0,profitable_days,profitable_days
2022-04-30 00:00:00,4,2020-03,500.0,0.0,33295.5,profitable_days,profitable_days
2022-05-01 00:00:00,4,2020-03,500.0,0.0,33295.5,profitable_days,profitable_days
2022-05-02 00:00:00,4,2020-03,500.0,0.0,33295.5,profitable_days,profitable_days
2022-05-03 00:00:00,4,2020-03,500.0,0.0,32705.75,profitable_days,profitable_days
2022-05-04 00:00:00,4,2020-03,500.0,0.0,32423.3,profitable_days,profitable_days
2022-05-05 00:00:00,4,2020-03,500.0,0.0,33042.9,profitable_days,profitable_days
2022-05-06 00:00:00,4,2020-03,500.0,0.0,32996.1,profitable_days,profitable_days
2022-05-07 00:00:00,4,2020-03,500.0,0.0,32636.2,profitable_days,profitable_days
