label,product,rule,reserve,first_check,pause_days,pause_start,ongoing,terminal,total,alive_at_end,accounts,evaluations,pre_event_alive,pre_event_distinct_balances,pre_event_min_profit,pre_event_max_profit,deaths_on_event,event_deaths_replaced_in_30_days,event_deaths_still_unfilled,first_20_live_check_after_event,march_death_clusters,operating_receipts_after_event,spend_after_event,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,job
legacy_25k_minimum_winner_legacy,legacy_25k,minimum,3900,False,0,2026-03-30T06:00:00,597317.0,0,597317.0,19,76,77,0,0,,,0,0,0,,"{""2026-03-06 22:11:40"": 6, ""2026-03-09 08:30:00"": 9, ""2026-03-12 22:46:40"": 6, ""2026-03-16 01:08:40"": 2, ""2026-03-16 05:15:40"": 2, ""2026-03-16 13:30:00"": 1}",14000.0,3101,57,56,1,0.3509,31.78,126.04,1835.51,119.33,63.67,16.53,10,10,19,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""daily"", 3900, true, 0, 10, 10, true]"
legacy_25k_minimum_winner_first_check,legacy_25k,minimum,3900,True,0,2026-03-30T06:00:00,597317.0,0,597317.0,19,76,77,0,0,,,0,0,0,,"{""2026-03-06 22:11:40"": 6, ""2026-03-09 08:30:00"": 9, ""2026-03-12 22:46:40"": 6, ""2026-03-16 01:08:40"": 2, ""2026-03-16 05:15:40"": 2, ""2026-03-16 13:30:00"": 1}",14000.0,3101,57,56,1,0.3509,31.78,126.04,1835.51,119.33,63.67,16.53,10,10,19,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""daily"", 3900, true, 0, 10, 10, true]"
legacy_25k_maximum_5700,legacy_25k,maximum,5700,True,0,2026-03-30T06:00:00,538435.18,0,538435.18,5,68,74,0,0,,,0,0,0,,"{""2026-03-23 08:33:40"": 20}",0,2226,63,48,15,0.0317,35.64,124.02,3407.74,112.54,57.67,15.24,15,15,13,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 5700, true, 7, 20, 2, true]"
legacy_25k_maximum_6700,legacy_25k,maximum,6700,True,0,2026-03-30T06:00:00,520426.12,0,520426.12,4,67,73,20,1,101.4,101.4,20,2,9,,"{""2026-03-30 06:00:00"": 20}",0,2068,63,47,16,0.0317,31.75,124.02,3349.77,105.65,50.67,15.26,15,15,13,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 6700, true, 7, 20, 2, true]"
legacy_25k_minimum_6700,legacy_25k,minimum,6700,True,0,2026-03-30T06:00:00,533857.0,90351.89,624208.89,20,58,60,20,12,154.15,637.9,1,1,0,2026-04-01T00:00:00,"{""2026-03-30 06:00:00"": 1}",17300.0,316,38,38,0,0.0526,26.47,126.04,1544.54,0,43.67,16.01,15,15,13,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""daily"", 6700, true, 7, 20, 2, true]"
legacy_25k_maximum_6800,legacy_25k,maximum,6800,True,0,2026-03-30T06:00:00,530656.82,99263.62,629920.44,20,56,58,20,1,201.4,201.4,0,0,0,2026-03-31T00:00:00,{},9982.7,0,36,36,0,0.0556,27.48,126.04,1538.35,0,43.67,16.01,15,15,13,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 6800, true, 7, 20, 2, true]"
legacy_25k_minimum_6800,legacy_25k,minimum,6800,True,0,2026-03-30T06:00:00,533273.0,96647.29,629920.29,20,56,58,20,12,321.35,744.7,0,0,0,2026-03-31T00:00:00,{},18200.0,0,36,36,0,0.0556,27.48,126.04,1538.35,0,43.67,16.01,15,15,13,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""daily"", 6800, true, 7, 20, 2, true]"
legacy_50k_minimum_winner_legacy,legacy_50k,minimum,3700,False,0,2026-03-30T06:00:00,582835.0,0,582835.0,12,69,78,0,0,,,0,0,0,,"{""2026-03-06 22:10:40"": 2, ""2026-03-06 22:11:40"": 16, ""2026-03-09 08:30:00"": 2, ""2026-03-18 21:34:40"": 3}",5500.0,4350,57,49,8,0.0175,35.49,121.35,2221.63,38.01,73.67,16.24,20,20,15,20,0,0,20,"[""legacy_50k"", 5000, 200, ""minimum"", ""daily"", 3700, true, 1, 20, 2, true]"
legacy_50k_minimum_winner_first_check,legacy_50k,minimum,3700,True,0,2026-03-30T06:00:00,580680.0,0,580680.0,12,70,80,0,0,,,0,0,0,,"{""2026-03-06 22:10:40"": 1, ""2026-03-06 22:11:40"": 16, ""2026-03-09 08:30:00"": 3, ""2026-03-18 21:34:40"": 3}",5500.0,4350,58,50,8,0.0172,35.49,121.35,2225.51,38.01,73.67,16.24,20,20,15,1,0,20,20,"[""legacy_50k"", 5000, 200, ""minimum"", ""daily"", 3700, true, 1, 20, 2, true]"
legacy_50k_maximum_5700,legacy_50k,maximum,5700,True,0,2026-03-30T06:00:00,549134.58,1898.95,551033.53,13,61,70,0,0,,,0,0,0,,"{""2026-03-23 08:33:40"": 20}",503.15,3895,48,41,7,0.0208,35.49,121.35,1772.9,112.54,68.67,16.43,18,18,15,1,0,20,20,"[""legacy_50k"", 5000, 200, ""maximum"", ""daily"", 5700, true, 1, 20, 2, true]"
legacy_50k_maximum_6700,legacy_50k,maximum,6700,True,0,2026-03-30T06:00:00,529946.4,0,529946.4,7,62,77,20,1,101.4,101.4,20,6,0,,"{""2026-03-30 06:00:00"": 20}",0,4860,55,42,13,0.0182,35.49,121.35,2103.25,38.01,61.67,16.3,18,18,15,1,0,20,20,"[""legacy_50k"", 5000, 200, ""maximum"", ""daily"", 6700, true, 1, 20, 2, true]"
legacy_50k_minimum_6700,legacy_50k,minimum,6700,True,0,2026-03-30T06:00:00,548470.0,93294.81,641764.81,20,42,44,20,8,189.2,556.5,0,0,0,2026-03-31T00:00:00,{},18000.0,0,22,22,0,0.0455,35.49,123.35,830.17,0,60.67,16.82,18,18,15,1,0,20,20,"[""legacy_50k"", 5000, 200, ""minimum"", ""daily"", 6700, true, 1, 20, 2, true]"
legacy_50k_maximum_6800,legacy_50k,maximum,6800,True,0,2026-03-30T06:00:00,542879.4,98885.6,641765.0,20,42,44,20,1,201.4,201.4,0,0,0,2026-03-31T00:00:00,{},9873.0,0,22,22,0,0.0455,35.49,123.35,830.17,0,60.67,16.82,18,18,15,1,0,20,20,"[""legacy_50k"", 5000, 200, ""maximum"", ""daily"", 6800, true, 1, 20, 2, true]"
legacy_50k_minimum_6800,legacy_50k,minimum,6800,True,0,2026-03-30T06:00:00,548020.0,93744.81,641764.81,20,42,44,20,8,310.05,689.2,0,0,0,2026-03-31T00:00:00,{},18000.0,0,22,22,0,0.0455,35.49,123.35,830.17,0,60.67,16.82,18,18,15,1,0,20,20,"[""legacy_50k"", 5000, 200, ""minimum"", ""daily"", 6800, true, 1, 20, 2, true]"
