objective,family_rank,product,initial_cash,monthly_funding,withdrawal,cadence,headroom,retained_balance,persistent,interval,concurrency,spares,reserve_seats,total,ongoing,terminal,accounts,alive,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,job
ongoing,1,legacy_25k,5000,200,minimum,daily,3900,29000.0,True,0,10,10,True,597317.0,597317.0,0,76,19,76,77,201,6633.0,9500.0,16133.0,617917.0,20600.0,0,1,57,56,1,0.3509,31.78,126.04,1835.51,119.33,63.67,16.53,10,10,19,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""daily"", 3900, true, 0, 10, 10, true]"
ongoing,2,legacy_25k,5000,200,minimum,weekly,3000,28100.0,True,0,20,10,True,565618.0,565618.0,0,93,0,93,113,279,9207.0,11625.0,20832.0,586218.0,20600.0,0,20,93,73,20,0.2473,7.49,126.04,3374.87,18.99,149.57,15.96,20,20,20,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""weekly"", 3000, true, 0, 20, 10, true]"
ongoing,3,legacy_25k,5000,200,maximum,calendar_month,4000,29100.0,True,0,20,10,True,554083.16,554083.16,0,113,0,113,134,298,9834.0,14125.0,23959.0,574683.16,20600.0,0,20,113,93,20,0.2035,6.49,126.04,3749.23,18.99,155.57,15.51,20,20,20,1064,1,12,151,"[""legacy_25k"", 5000, 200, ""maximum"", ""calendar_month"", 4000, true, 0, 20, 10, true]"
ongoing,4,legacy_25k,5000,200,maximum,weekly,5000,30100.0,True,7,20,2,True,546163.84,546163.84,0,66,3,66,75,149,4917.0,8250.0,13167.0,566763.84,20600.0,0,7,63,46,17,0.0317,35.65,124.02,3604.83,115.06,58.67,15.15,15,15,13,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""weekly"", 5000, true, 7, 20, 2, true]"
ongoing,5,legacy_25k,5000,200,maximum,daily,6000,31100.0,True,7,20,2,True,532975.08,532975.08,0,68,5,68,74,142,4686.0,8500.0,13186.0,553575.08,20600.0,0,4,63,48,15,0.0317,35.22,124.02,3399.37,112.12,57.67,15.24,15,15,13,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 6000, true, 7, 20, 2, true]"
ongoing,6,legacy_25k,5000,200,minimum,calendar_month,2000,27100.0,True,0,10,10,True,645900.16,476482.0,169418.16,55,20,55,55,171,5643.0,6875.0,12518.0,666500.16,20600.0,0,0,35,35,0,0.5714,0.93,130.04,1235.57,0,35.67,16.76,10,10,10,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""calendar_month"", 2000, true, 0, 10, 10, true]"
total,1,legacy_25k,5000,200,minimum,calendar_month,2800,27900.0,True,0,20,10,True,649793.69,466369.0,183424.69,52,20,52,52,157,5181.0,6500.0,11681.0,670393.69,20600.0,0,0,32,32,0,0.6875,0.47,126.04,951.35,0,35.67,16.97,15,15,15,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""calendar_month"", 2800, true, 0, 20, 10, true]"
total,2,legacy_25k,5000,200,maximum,daily,6800,31900.0,True,7,20,2,True,629920.44,530656.82,99263.62,56,20,56,58,119,3927.0,7000.0,10927.0,650520.44,20600.0,0,0,36,36,0,0.0556,27.48,126.04,1538.35,0,43.67,16.01,15,15,13,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 6800, true, 7, 20, 2, true]"
total,3,legacy_25k,5000,200,maximum,calendar_month,7600,32700.0,True,7,20,2,True,629920.36,510031.1,119889.26,56,20,56,58,119,3927.0,7000.0,10927.0,650520.36,20600.0,0,0,36,36,0,0.0556,27.48,126.04,1538.35,0,43.67,16.01,15,15,13,3,0,0,3,"[""legacy_25k"", 5000, 200, ""maximum"", ""calendar_month"", 7600, true, 7, 20, 2, true]"
total,4,legacy_25k,5000,200,minimum,daily,6800,31900.0,True,7,20,2,True,629920.29,533273.0,96647.29,56,20,56,58,119,3927.0,7000.0,10927.0,650520.29,20600.0,0,0,36,36,0,0.0556,27.48,126.04,1538.35,0,43.67,16.01,15,15,13,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""daily"", 6800, true, 7, 20, 2, true]"
total,5,legacy_25k,5000,200,minimum,weekly,6000,31100.0,True,7,20,2,True,629920.29,533273.0,96647.29,56,20,56,58,119,3927.0,7000.0,10927.0,650520.29,20600.0,0,0,36,36,0,0.0556,27.48,126.04,1538.35,0,43.67,16.01,15,15,13,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""weekly"", 6000, true, 7, 20, 2, true]"
total,6,legacy_25k,5000,200,maximum,weekly,6800,31900.0,True,7,20,2,True,629920.08,538892.96,91027.12,56,20,56,58,119,3927.0,7000.0,10927.0,650520.08,20600.0,0,0,36,36,0,0.0556,27.48,126.04,1538.35,0,43.67,16.01,15,15,13,2,0,0,2,"[""legacy_25k"", 5000, 200, ""maximum"", ""weekly"", 6800, true, 7, 20, 2, true]"
ongoing,1,legacy_50k,5000,200,minimum,daily,3700,53800.0,True,1,20,2,True,582835.0,582835.0,0,69,12,69,78,161,6440.0,8625.0,15065.0,603435.0,20600.0,0,8,57,49,8,0.0175,35.49,121.35,2221.63,38.01,73.67,16.24,20,20,15,20,0,0,20,"[""legacy_50k"", 5000, 200, ""minimum"", ""daily"", 3700, true, 1, 20, 2, true]"
ongoing,2,legacy_50k,5000,200,maximum,weekly,5000,55100.0,True,1,20,2,True,561763.26,561763.26,0,61,12,61,70,147,5880.0,7625.0,13505.0,582363.26,20600.0,0,8,49,41,8,0.0204,35.49,121.35,1927.33,115.06,71.67,16.37,18,18,15,20,0,0,20,"[""legacy_50k"", 5000, 200, ""maximum"", ""weekly"", 5000, true, 1, 20, 2, true]"
ongoing,3,legacy_50k,5000,200,minimum,weekly,4000,54100.0,True,1,20,2,True,568522.1,557835.0,10687.1,61,13,61,69,141,5640.0,7625.0,13265.0,589122.1,20600.0,0,7,48,41,7,0.0208,35.49,121.35,1776.19,112.54,68.67,16.44,18,18,15,20,0,0,20,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 4000, true, 1, 20, 2, true]"
ongoing,4,legacy_50k,5000,200,maximum,calendar_month,6000,56100.0,True,1,20,2,True,642424.19,551960.79,90463.4,42,20,42,43,96,3840.0,5250.0,9090.0,663024.19,20600.0,0,0,22,22,0,0.0455,35.49,123.35,830.17,0,60.67,16.83,18,18,15,20,0,0,20,"[""legacy_50k"", 5000, 200, ""maximum"", ""calendar_month"", 6000, true, 1, 20, 2, true]"
ongoing,5,legacy_50k,5000,200,maximum,daily,6000,56100.0,True,1,20,2,True,543890.79,543890.79,0,61,13,61,69,141,5640.0,7625.0,13265.0,564490.79,20600.0,0,7,48,41,7,0.0208,35.49,121.35,1764.53,112.12,68.67,16.44,18,18,15,20,0,0,20,"[""legacy_50k"", 5000, 200, ""maximum"", ""daily"", 6000, true, 1, 20, 2, true]"
ongoing,6,legacy_50k,5000,200,minimum,calendar_month,0,50100.0,True,0,20,10,True,641711.64,472625.0,169086.64,43,20,43,43,150,6000.0,5375.0,11375.0,662311.64,20600.0,0,0,23,23,0,0.3478,53.41,189.02,1491.47,0,112.67,16.71,20,20,20,0,0,0,0,"[""legacy_50k"", 5000, 200, ""minimum"", ""calendar_month"", 0, true, 0, 20, 10, true]"
total,1,legacy_50k,5000,200,minimum,calendar_month,2800,52900.0,True,0,20,10,True,644762.9,461445.0,183317.9,39,20,39,39,142,5680.0,4875.0,10555.0,665362.9,20600.0,0,0,19,19,0,0.4211,93.24,189.2,1281.61,0,60.67,16.8,16,16,16,0,0,0,0,"[""legacy_50k"", 5000, 200, ""minimum"", ""calendar_month"", 2800, true, 0, 20, 10, true]"
total,2,legacy_50k,5000,200,maximum,daily,6800,56900.0,True,1,20,2,True,642424.39,543538.79,98885.6,42,20,42,43,96,3840.0,5250.0,9090.0,663024.39,20600.0,0,0,22,22,0,0.0455,35.49,123.35,830.17,0,60.67,16.83,18,18,15,20,0,0,20,"[""legacy_50k"", 5000, 200, ""maximum"", ""daily"", 6800, true, 1, 20, 2, true]"
total,3,legacy_50k,5000,200,maximum,calendar_month,7600,57700.0,True,1,20,2,True,642424.34,523160.94,119263.4,42,20,42,43,96,3840.0,5250.0,9090.0,663024.34,20600.0,0,0,22,22,0,0.0455,35.49,123.35,830.17,0,60.67,16.83,18,18,15,20,0,0,20,"[""legacy_50k"", 5000, 200, ""maximum"", ""calendar_month"", 7600, true, 1, 20, 2, true]"
total,4,legacy_50k,5000,200,minimum,daily,6800,56900.0,True,1,20,2,True,642424.19,548510.0,93914.19,42,20,42,43,96,3840.0,5250.0,9090.0,663024.19,20600.0,0,0,22,22,0,0.0455,35.49,123.35,830.17,0,60.67,16.83,18,18,15,20,0,0,20,"[""legacy_50k"", 5000, 200, ""minimum"", ""daily"", 6800, true, 1, 20, 2, true]"
total,5,legacy_50k,5000,200,minimum,weekly,5600,55700.0,True,1,20,2,True,642424.19,551210.0,91214.19,42,20,42,43,96,3840.0,5250.0,9090.0,663024.19,20600.0,0,0,22,22,0,0.0455,35.49,123.35,830.17,0,60.67,16.83,18,18,15,20,0,0,20,"[""legacy_50k"", 5000, 200, ""minimum"", ""weekly"", 5600, true, 1, 20, 2, true]"
total,6,legacy_50k,5000,200,maximum,weekly,10000,60100.0,True,1,20,2,True,642424.15,493956.24,148467.91,42,20,42,43,96,3840.0,5250.0,9090.0,663024.15,20600.0,0,0,22,22,0,0.0455,35.49,123.35,830.17,0,60.67,16.83,18,18,15,20,0,0,20,"[""legacy_50k"", 5000, 200, ""maximum"", ""weekly"", 10000, true, 1, 20, 2, true]"
