account_id,died_at,death_trade,equity
10,2026-03-16 01:08:40,RR1.00:1-2:452:1836,15.4
11,2026-03-16 01:08:40,RR1.00:1-2:452:1836,15.4
12,2026-03-16 05:15:40,RR1.00:4-5:529:2056,88.2
13,2026-03-16 13:30:00,RR1.00:13-14:570:2108,70.6
36,2026-03-09 08:30:00,RR1.00:7-8:595:2151,71.3
37,2026-03-09 08:30:00,RR1.00:7-8:595:2151,71.3
38,2026-03-09 08:30:00,RR1.00:7-8:595:2151,71.3
39,2026-03-09 08:30:00,RR1.00:7-8:595:2151,71.3
40,2026-03-06 22:11:40,RR1.00:20-21:512:1901,45.95
41,2026-03-06 22:11:40,RR1.00:20-21:512:1901,45.95
42,2026-03-06 22:11:40,RR1.00:20-21:512:1901,45.95
43,2026-03-06 22:11:40,RR1.00:20-21:512:1901,45.95
44,2026-03-06 22:11:40,RR1.00:20-21:512:1901,45.95
45,2026-03-06 22:11:40,RR1.00:20-21:512:1901,45.95
46,2026-03-09 08:30:00,RR1.00:7-8:595:2151,73.35
47,2026-03-09 08:30:00,RR1.00:7-8:595:2151,19.05
48,2026-03-09 08:30:00,RR1.00:7-8:595:2151,19.05
49,2026-03-09 08:30:00,RR1.00:7-8:595:2151,19.05
50,2026-03-09 08:30:00,RR1.00:7-8:595:2151,19.05
51,2026-03-16 05:15:40,RR1.00:4-5:529:2056,89.4
52,2026-03-12 22:46:40,RR1.00:18-19:462:1968,-1176.15
53,2026-03-12 22:46:40,RR1.00:18-19:462:1968,-1176.15
54,2026-03-12 22:46:40,RR1.00:18-19:462:1968,-1176.15
55,2026-03-12 22:46:40,RR1.00:18-19:462:1968,-1176.15
56,2026-03-12 22:46:40,RR1.00:18-19:462:1968,-1176.15
57,2026-03-12 22:46:40,RR1.00:18-19:462:1968,-1176.15
