eval_id,started_at,passed_at,funded_or_ended_at,state
52,2026-03-07 00:00:00,2026-03-09 22:30:00,2026-03-10 00:00:00,funded
53,2026-03-07 00:00:00,2026-03-09 22:30:00,2026-03-10 00:00:00,funded
54,2026-03-07 00:00:00,2026-03-09 22:30:00,2026-03-10 00:00:00,funded
55,2026-03-07 00:00:00,2026-03-09 22:30:00,2026-03-10 00:00:00,funded
56,2026-03-07 00:00:00,2026-03-09 22:30:00,2026-03-10 00:00:00,funded
57,2026-03-07 00:00:00,2026-03-09 22:30:00,2026-03-10 00:00:00,funded
58,2026-03-10 00:00:00,2026-04-13 20:30:00,2026-04-14 00:00:00,funded
59,2026-03-10 00:00:00,2026-04-13 20:30:00,2026-04-14 00:00:00,funded
60,2026-03-10 00:00:00,2026-04-13 20:30:00,2026-04-14 00:00:00,funded
61,2026-03-10 00:00:00,2026-04-13 20:30:00,2026-04-14 00:00:00,funded
62,2026-03-10 00:00:00,2026-04-13 20:30:00,2026-04-14 00:00:00,funded
63,2026-03-10 00:00:00,2026-04-13 20:30:00,2026-04-14 00:00:00,funded
64,2026-03-10 00:00:00,2026-04-13 20:30:00,2026-04-14 00:00:00,funded
65,2026-03-10 00:00:00,2026-04-13 20:30:00,2026-04-14 00:00:00,funded
66,2026-03-10 00:00:00,2026-04-13 20:30:00,2026-04-14 00:00:00,funded
67,2026-03-13 00:00:00,2026-04-14 15:30:00,2026-04-15 00:00:00,funded
68,2026-04-14 00:00:00,2026-04-16 09:30:00,2026-04-17 00:00:00,funded
69,2026-04-14 00:00:00,2026-04-16 09:30:00,2026-04-17 00:00:00,funded
70,2026-04-14 00:00:00,2026-04-16 09:30:00,2026-04-17 00:00:00,funded
71,2026-04-14 00:00:00,2026-04-16 09:30:00,2026-04-17 00:00:00,funded
72,2026-04-14 00:00:00,2026-04-16 09:30:00,2026-04-17 00:00:00,funded
73,2026-04-14 00:00:00,2026-04-16 09:30:00,2026-04-17 00:00:00,funded
74,2026-04-14 00:00:00,2026-04-16 09:30:00,2026-04-17 00:00:00,funded
75,2026-04-14 00:00:00,2026-04-16 09:30:00,2026-04-17 00:00:00,funded
76,2026-04-14 00:00:00,2026-04-16 09:30:00,2026-04-17 00:00:00,funded
