account_id,died_at,death_trade,equity
4,2026-03-06 22:10:40,RR1.00:22-23:551:1991,-11.4
5,2026-03-06 22:11:40,RR1.00:20-21:512:1901,26.15
25,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-44.3
26,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-44.3
28,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-55.6
29,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-55.6
30,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-55.6
31,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-55.6
32,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-55.6
33,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-55.6
34,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-55.6
35,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-55.6
36,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-55.6
37,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-55.6
38,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-55.6
39,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-55.6
41,2026-03-06 22:11:40,RR1.00:20-21:512:1901,-6.75
42,2026-03-06 22:10:40,RR1.00:22-23:551:1991,44.1
43,2026-03-09 08:30:00,RR1.00:7-8:595:2151,65.85
44,2026-03-09 08:30:00,RR1.00:7-8:595:2151,65.85
45,2026-03-18 21:34:40,RR1.00:20-21:514:1909,-2099.05
46,2026-03-18 21:34:40,RR1.00:20-21:514:1909,-2099.05
47,2026-03-18 21:34:40,RR1.00:20-21:514:1909,-2099.05
