product,initial_cash,monthly_funding,withdrawal,cadence,headroom,retained_balance,persistent,interval,concurrency,spares,reserve_seats,total,ongoing,terminal,accounts,alive,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,job
legacy_25k,1000,0,minimum,calendar_month,2800,27900.0,True,0,20,10,True,-983.0,-983.0,0,1,0,1,14,26,858.0,125.0,983.0,17.0,1000.0,0,12,1,0,1,0.0,,,2314.02,2314.02,2349.57,0.01,12,13,11,28138,1,2295,2349,"[""legacy_25k"", 1000, 0, ""minimum"", ""calendar_month"", 2800, true, 0, 20, 10, true]"
legacy_25k,1000,0,minimum,daily,3900,29000.0,True,0,10,10,True,-976.0,-976.0,0,2,0,2,12,22,726.0,250.0,976.0,24.0,1000.0,0,8,2,0,2,0.0,,,4628.03,2314.02,2349.57,0.03,10,10,10,18792,2,2326,2349,"[""legacy_25k"", 1000, 0, ""minimum"", ""daily"", 3900, true, 0, 10, 10, true]"
legacy_25k,1000,200,minimum,calendar_month,2800,27900.0,True,0,20,10,True,564126.56,373901.0,190225.56,75,20,75,79,128,4224.0,9375.0,13599.0,580726.56,16600.0,0,0,55,55,0,0.3455,6.49,135.05,1729.77,0,48.67,13.95,15,15,15,4252,4,699,725,"[""legacy_25k"", 1000, 200, ""minimum"", ""calendar_month"", 2800, true, 0, 20, 10, true]"
legacy_25k,1000,200,minimum,daily,3900,29000.0,True,0,10,10,True,505943.0,505943.0,0,91,19,91,95,154,5082.0,11375.0,16457.0,522543.0,16600.0,0,1,72,71,1,0.2917,26.13,117.02,2375.09,119.33,76.67,13.37,10,10,19,4827,3,719,728,"[""legacy_25k"", 1000, 200, ""minimum"", ""daily"", 3900, true, 0, 10, 10, true]"
legacy_25k,5000,0,minimum,calendar_month,2800,27900.0,True,0,20,10,True,644464.04,460645.0,183819.04,53,20,53,53,160,5280.0,6625.0,11905.0,649464.04,5000.0,0,0,33,33,0,0.6667,0.47,126.04,987.66,0,35.67,16.91,15,15,15,0,0,134,134,"[""legacy_25k"", 5000, 0, ""minimum"", ""calendar_month"", 2800, true, 0, 20, 10, true]"
legacy_25k,5000,0,minimum,daily,3900,29000.0,True,0,10,10,True,522299.0,522299.0,0,103,20,103,107,222,7326.0,12875.0,20201.0,527299.0,5000.0,0,0,83,83,0,0.2048,35.65,189.21,4099.71,0,63.67,15.02,10,10,20,1634,4,286,329,"[""legacy_25k"", 5000, 0, ""minimum"", ""daily"", 3900, true, 0, 10, 10, true]"
legacy_25k,5000,200,maximum,calendar_month,0,25100.0,False,0,2,2,False,64528.3,64528.3,0,87,0,87,89,207,6831.0,10875.0,17706.0,85128.3,20600.0,0,2,87,75,12,0.092,97.52,361.16,10729.89,464.94,723.57,2.96,2,2,6,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""calendar_month"", 0, false, 0, 2, 2, false]"
legacy_25k,5000,200,maximum,calendar_month,0,25100.0,False,0,2,2,True,64528.3,64528.3,0,87,0,87,89,207,6831.0,10875.0,17706.0,85128.3,20600.0,0,2,87,75,12,0.092,97.52,361.16,10729.89,464.94,723.57,2.96,2,2,6,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""calendar_month"", 0, false, 0, 2, 2, true]"
legacy_25k,5000,200,maximum,calendar_month,0,25100.0,False,0,2,5,False,59515.6,59515.6,0,93,0,93,95,222,7326.0,11625.0,18951.0,80115.6,20600.0,0,2,93,81,12,0.129,108.29,230.95,11862.27,464.94,858.57,2.81,2,2,6,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""calendar_month"", 0, false, 0, 2, 5, false]"
legacy_25k,5000,200,maximum,calendar_month,0,25100.0,False,0,2,5,True,59515.6,59515.6,0,93,0,93,95,222,7326.0,11625.0,18951.0,80115.6,20600.0,0,2,93,81,12,0.129,108.29,230.95,11862.27,464.94,858.57,2.81,2,2,6,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""calendar_month"", 0, false, 0, 2, 5, true]"
