product,initial_cash,monthly_funding,withdrawal,cadence,headroom,retained_balance,persistent,interval,concurrency,spares,reserve_seats,total,ongoing,terminal,accounts,alive,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,job,objective
legacy_25k,5000,200,maximum,daily,6800,31900.0,False,1,2,10,True,516043.5,411230.83,104812.67,57,20,57,57,137,4521.0,7125.0,11646.0,536643.5,20600.0,0,0,37,37,0,0.2703,22.56,148.27,1451.91,0,273.67,12.07,2,2,4,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 6800, false, 1, 2, 10, true]",total
legacy_25k,5000,200,minimum,daily,4000,29100.0,False,0,2,2,True,440294.0,440294.0,0,64,4,64,66,132,4356.0,8000.0,12356.0,460894.0,20600.0,0,2,60,44,16,0.1667,37.15,125.26,3485.99,126.54,127.67,11.01,2,2,4,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""daily"", 4000, false, 0, 2, 2, true]",ongoing
legacy_25k,5000,200,maximum,daily,7900,33000.0,True,7,5,5,True,613378.68,493047.01,120331.67,61,20,61,62,135,4455.0,7625.0,12080.0,633978.68,20600.0,0,0,41,41,0,0.3659,20.02,130.04,1845.42,0,46.67,15.48,5,5,7,273,1,17,108,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 7900, true, 7, 5, 5, true]",total
legacy_25k,5000,200,minimum,daily,4000,29100.0,True,7,5,5,True,547571.0,547571.0,0,74,6,74,78,163,5379.0,9250.0,14629.0,568171.0,20600.0,0,4,68,54,14,0.2206,35.86,130.04,3749.17,119.42,63.67,14.79,5,5,7,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""daily"", 4000, true, 7, 5, 5, true]",ongoing
legacy_25k,5000,200,minimum,calendar_month,2800,27900.0,True,0,10,10,True,648356.99,465346.0,183010.99,51,20,51,51,163,5379.0,6375.0,11754.0,668956.99,20600.0,0,0,31,31,0,0.6452,0.7,130.04,1041.14,0,35.67,16.86,10,10,10,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""calendar_month"", 2800, true, 0, 10, 10, true]",total
legacy_25k,5000,200,minimum,daily,3900,29000.0,True,0,10,10,True,597317.0,597317.0,0,76,19,76,77,201,6633.0,9500.0,16133.0,617917.0,20600.0,0,1,57,56,1,0.3509,31.78,126.04,1835.51,119.33,63.67,16.53,10,10,19,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""daily"", 3900, true, 0, 10, 10, true]",ongoing
legacy_25k,5000,200,minimum,calendar_month,2800,27900.0,True,0,20,10,True,649793.69,466369.0,183424.69,52,20,52,52,157,5181.0,6500.0,11681.0,670393.69,20600.0,0,0,32,32,0,0.6875,0.47,126.04,951.35,0,35.67,16.97,15,15,15,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""calendar_month"", 2800, true, 0, 20, 10, true]",total
legacy_25k,5000,200,minimum,daily,3000,28100.0,True,0,20,10,True,592090.0,592090.0,0,99,20,99,99,245,8085.0,12375.0,20460.0,612690.0,20600.0,0,0,79,79,0,0.2911,7.49,126.04,2366.06,0,103.67,16.38,20,20,20,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""daily"", 3000, true, 0, 20, 10, true]",ongoing
legacy_25k,5000,200,maximum,daily,6800,31900.0,False,1,2,10,False,516640.5,411827.83,104812.67,57,20,57,67,153,5049.0,7125.0,12174.0,537240.5,20600.0,0,10,37,37,0,0.3243,22.56,148.27,1433.91,0,273.67,12.08,2,10,4,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 6800, false, 1, 2, 10, false]",total
legacy_25k,5000,200,minimum,daily,4000,29100.0,False,0,2,2,False,440945.0,440945.0,0,66,4,66,68,135,4455.0,8250.0,12705.0,461545.0,20600.0,0,2,62,46,16,0.2258,35.65,125.26,3461.66,126.54,127.67,11.02,2,2,4,0,0,0,0,"[""legacy_25k"", 5000, 200, ""minimum"", ""daily"", 4000, false, 0, 2, 2, false]",ongoing
