at,account_id,cohort_month,requested_usd,allowed_usd,balance_usd,blocked_by,blockers
2020-05-19 00:00:00,10,2020-03,327.5,327.5,28427.5,minimum_payout,minimum_payout
2020-05-19 00:00:00,11,2020-03,327.5,327.5,28427.5,minimum_payout,minimum_payout
2020-05-19 00:00:00,12,2020-03,327.5,327.5,28427.5,minimum_payout,minimum_payout
2020-05-20 00:00:00,10,2020-03,421.6,421.6,28521.6,minimum_payout,minimum_payout
2020-05-20 00:00:00,11,2020-03,421.6,421.6,28521.6,minimum_payout,minimum_payout
2020-05-20 00:00:00,12,2020-03,421.6,421.6,28521.6,minimum_payout,minimum_payout
2020-05-22 00:00:00,10,2020-03,152.4,0.0,28252.4,trading_days,trading_days|profitable_days
2020-05-22 00:00:00,11,2020-03,152.4,0.0,28252.4,trading_days,trading_days|profitable_days
2020-05-22 00:00:00,12,2020-03,152.4,0.0,28252.4,trading_days,trading_days|profitable_days
2020-05-23 00:00:00,10,2020-03,191.55,0.0,28291.55,trading_days,trading_days|profitable_days
2020-05-23 00:00:00,11,2020-03,191.55,0.0,28291.55,trading_days,trading_days|profitable_days
2020-05-23 00:00:00,12,2020-03,191.55,0.0,28291.55,trading_days,trading_days|profitable_days
2020-05-24 00:00:00,10,2020-03,191.55,0.0,28291.55,trading_days,trading_days|profitable_days
2020-05-24 00:00:00,11,2020-03,191.55,0.0,28291.55,trading_days,trading_days|profitable_days
2020-05-24 00:00:00,12,2020-03,191.55,0.0,28291.55,trading_days,trading_days|profitable_days
2020-05-25 00:00:00,10,2020-03,191.55,0.0,28291.55,trading_days,trading_days|profitable_days
2020-05-25 00:00:00,11,2020-03,191.55,0.0,28291.55,trading_days,trading_days|profitable_days
2020-05-25 00:00:00,12,2020-03,191.55,0.0,28291.55,trading_days,trading_days|profitable_days
2020-05-26 00:00:00,10,2020-03,196.2,0.0,28296.2,trading_days,trading_days|profitable_days
2020-05-26 00:00:00,11,2020-03,196.2,0.0,28296.2,trading_days,trading_days|profitable_days
2020-05-26 00:00:00,12,2020-03,196.2,0.0,28296.2,trading_days,trading_days|profitable_days
2020-05-27 00:00:00,10,2020-03,91.85,0.0,28191.85,trading_days,trading_days|profitable_days
2020-05-27 00:00:00,11,2020-03,91.85,0.0,28191.85,trading_days,trading_days|profitable_days
2020-05-27 00:00:00,12,2020-03,91.85,0.0,28191.85,trading_days,trading_days|profitable_days
2020-05-28 00:00:00,10,2020-03,135.15,0.0,28235.15,trading_days,trading_days|profitable_days
2020-05-28 00:00:00,11,2020-03,135.15,0.0,28235.15,trading_days,trading_days|profitable_days
2020-05-28 00:00:00,12,2020-03,135.15,0.0,28235.15,trading_days,trading_days|profitable_days
2020-05-29 00:00:00,10,2020-03,282.4,0.0,28382.4,trading_days,trading_days|profitable_days
2020-05-29 00:00:00,11,2020-03,282.4,0.0,28382.4,trading_days,trading_days|profitable_days
2020-05-29 00:00:00,12,2020-03,282.4,0.0,28382.4,trading_days,trading_days|profitable_days
2020-05-30 00:00:00,10,2020-03,82.1,0.0,28182.1,trading_days,trading_days|profitable_days
2020-05-30 00:00:00,11,2020-03,82.1,0.0,28182.1,trading_days,trading_days|profitable_days
2020-05-30 00:00:00,12,2020-03,82.1,0.0,28182.1,trading_days,trading_days|profitable_days
2020-05-31 00:00:00,10,2020-03,82.1,0.0,28182.1,trading_days,trading_days|profitable_days
2020-05-31 00:00:00,11,2020-03,82.1,0.0,28182.1,trading_days,trading_days|profitable_days
2020-05-31 00:00:00,12,2020-03,82.1,0.0,28182.1,trading_days,trading_days|profitable_days
2020-06-01 00:00:00,10,2020-03,82.1,0.0,28182.1,trading_days,trading_days|profitable_days
2020-06-01 00:00:00,11,2020-03,82.1,0.0,28182.1,trading_days,trading_days|profitable_days
2020-06-01 00:00:00,12,2020-03,82.1,0.0,28182.1,trading_days,trading_days|profitable_days
2020-06-02 00:00:00,10,2020-03,140.3,0.0,28240.3,profitable_days,profitable_days
2020-06-02 00:00:00,11,2020-03,140.3,0.0,28240.3,profitable_days,profitable_days
2020-06-02 00:00:00,12,2020-03,140.3,0.0,28240.3,profitable_days,profitable_days
2020-06-03 00:00:00,10,2020-03,225.0,0.0,28325.0,profitable_days,profitable_days
2020-06-03 00:00:00,11,2020-03,225.0,0.0,28325.0,profitable_days,profitable_days
2020-06-03 00:00:00,12,2020-03,225.0,0.0,28325.0,profitable_days,profitable_days
2020-06-04 00:00:00,10,2020-03,184.1,0.0,28284.1,profitable_days,profitable_days
2020-06-04 00:00:00,11,2020-03,184.1,0.0,28284.1,profitable_days,profitable_days
2020-06-04 00:00:00,12,2020-03,184.1,0.0,28284.1,profitable_days,profitable_days
