at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2020-05-21 00:00:00,10,2020-03,1,500.0,500.0,500.0,500.0,28850.2,28350.2,0.0,
2020-05-21 00:00:00,11,2020-03,1,500.0,500.0,500.0,500.0,28850.2,28350.2,0.0,
2020-05-21 00:00:00,12,2020-03,1,500.0,500.0,500.0,500.0,28850.2,28350.2,0.0,
2020-08-22 00:00:00,10,2020-03,2,500.0,500.0,500.0,500.0,28612.6,28112.6,0.0,
2020-08-22 00:00:00,11,2020-03,2,500.0,500.0,500.0,500.0,28612.6,28112.6,0.0,
2020-08-22 00:00:00,12,2020-03,2,500.0,500.0,500.0,500.0,28612.6,28112.6,0.0,
2020-10-27 00:00:00,10,2020-03,3,500.0,500.0,500.0,500.0,28758.3,28258.3,0.0,
2020-10-27 00:00:00,11,2020-03,3,500.0,500.0,500.0,500.0,28758.3,28258.3,0.0,
2020-10-27 00:00:00,12,2020-03,3,500.0,500.0,500.0,500.0,28758.3,28258.3,0.0,
2020-11-05 00:00:00,13,2020-04,1,500.0,500.0,500.0,500.0,29026.15,28526.15,0.0,
2021-01-27 00:00:00,10,2020-03,4,500.0,500.0,500.0,500.0,28711.9,28211.9,0.0,
2021-01-27 00:00:00,11,2020-03,4,500.0,500.0,500.0,500.0,28711.9,28211.9,0.0,
2021-01-27 00:00:00,12,2020-03,4,500.0,500.0,500.0,500.0,28711.9,28211.9,0.0,
2021-04-14 00:00:00,13,2020-04,2,500.0,500.0,500.0,500.0,28624.25,28124.25,0.0,
2021-11-05 00:00:00,10,2020-03,5,500.0,500.0,500.0,500.0,28723.0,28223.0,0.0,
2021-11-05 00:00:00,11,2020-03,5,500.0,500.0,500.0,500.0,28723.0,28223.0,0.0,
2021-11-05 00:00:00,12,2020-03,5,500.0,500.0,500.0,500.0,28723.0,28223.0,0.0,
2022-01-29 00:00:00,55,2021-07,1,500.0,500.0,500.0,500.0,28659.35,28159.35,0.0,
2022-01-29 00:00:00,56,2021-07,1,500.0,500.0,500.0,500.0,28659.35,28159.35,0.0,
2022-01-29 00:00:00,59,2021-10,1,500.0,500.0,500.0,500.0,28667.25,28167.25,0.0,
2022-02-01 00:00:00,10,2020-03,6,500.0,500.0,500.0,500.0,28976.2,28476.2,0.0,
2022-02-01 00:00:00,11,2020-03,6,500.0,500.0,500.0,500.0,28976.2,28476.2,0.0,
2022-02-01 00:00:00,12,2020-03,6,500.0,500.0,500.0,500.0,28976.2,28476.2,0.0,
2022-02-03 00:00:00,57,2021-08,1,500.0,500.0,500.0,500.0,28612.05,28112.05,0.0,
2022-02-03 00:00:00,58,2021-09,1,500.0,500.0,500.0,500.0,28642.05,28142.05,0.0,
2022-02-04 00:00:00,43,2021-07,1,500.0,500.0,500.0,500.0,28814.7,28314.7,0.0,
2022-02-04 00:00:00,44,2021-07,1,500.0,500.0,500.0,500.0,28814.7,28314.7,0.0,
2022-02-04 00:00:00,45,2021-07,1,500.0,500.0,500.0,500.0,28814.7,28314.7,0.0,
2022-02-04 00:00:00,46,2021-07,1,500.0,500.0,500.0,500.0,28814.7,28314.7,0.0,
2022-02-04 00:00:00,47,2021-07,1,500.0,500.0,500.0,500.0,28814.7,28314.7,0.0,
2022-02-04 00:00:00,48,2021-07,1,500.0,500.0,500.0,500.0,28814.7,28314.7,0.0,
2022-02-04 00:00:00,49,2021-07,1,500.0,500.0,500.0,500.0,28814.7,28314.7,0.0,
2022-02-04 00:00:00,50,2021-07,1,500.0,500.0,500.0,500.0,28814.7,28314.7,0.0,
