at,account_id,cohort_month,requested_usd,allowed_usd,balance_usd,blocked_by,blockers
2020-08-01 00:00:00,10,2020-03,169.7,169.7,28069.7,minimum_payout,minimum_payout
2020-08-01 00:00:00,11,2020-03,169.7,169.7,28069.7,minimum_payout,minimum_payout
2020-08-01 00:00:00,12,2020-03,169.7,169.7,28069.7,minimum_payout,minimum_payout
2020-09-01 00:00:00,10,2020-03,497.8,497.8,28397.8,minimum_payout,minimum_payout
2020-09-01 00:00:00,11,2020-03,497.8,497.8,28397.8,minimum_payout,minimum_payout
2020-09-01 00:00:00,12,2020-03,497.8,497.8,28397.8,minimum_payout,minimum_payout
2020-10-01 00:00:00,13,2020-04,16.2,16.2,27916.2,minimum_payout,minimum_payout
2020-11-01 00:00:00,10,2020-03,428.7,428.7,28328.7,minimum_payout,minimum_payout
2020-11-01 00:00:00,11,2020-03,428.7,428.7,28328.7,minimum_payout,minimum_payout
2020-11-01 00:00:00,12,2020-03,428.7,428.7,28328.7,minimum_payout,minimum_payout
2020-11-01 00:00:00,13,2020-04,169.65,169.65,28069.65,minimum_payout,minimum_payout
2021-04-01 00:00:00,10,2020-03,465.9,465.9,28365.9,minimum_payout,minimum_payout
2021-04-01 00:00:00,11,2020-03,465.9,465.9,28365.9,minimum_payout,minimum_payout
2021-04-01 00:00:00,12,2020-03,465.9,465.9,28365.9,minimum_payout,minimum_payout
2021-04-01 00:00:00,13,2020-04,206.85,206.85,28106.85,minimum_payout,minimum_payout
2021-05-01 00:00:00,13,2020-04,432.7,432.7,28332.7,minimum_payout,minimum_payout
2021-11-01 00:00:00,13,2020-04,154.1,154.1,28054.1,minimum_payout,minimum_payout
2021-12-01 00:00:00,55,2021-07,309.95,309.95,28209.95,minimum_payout,minimum_payout
2021-12-01 00:00:00,58,2021-10,317.85,317.85,28217.85,minimum_payout,minimum_payout
2022-02-01 00:00:00,51,2021-07,384.15,384.15,28284.15,minimum_payout,minimum_payout
2022-02-01 00:00:00,52,2021-07,384.15,384.15,28284.15,minimum_payout,minimum_payout
2022-02-01 00:00:00,53,2021-07,384.15,384.15,28284.15,minimum_payout,minimum_payout
2022-02-01 00:00:00,54,2021-07,384.15,384.15,28284.15,minimum_payout,minimum_payout
