at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2020-09-05 00:00:00,10,2020-03,1,500.0,500.0,500.0,500.0,29506.1,29006.1,0.0,
2020-09-05 00:00:00,11,2020-03,1,500.0,500.0,500.0,500.0,29506.1,29006.1,0.0,
2020-11-05 00:00:00,10,2020-03,2,500.0,500.0,500.0,500.0,29785.2,29285.2,0.0,
2020-11-05 00:00:00,11,2020-03,2,500.0,500.0,500.0,500.0,29785.2,29285.2,0.0,
2020-11-05 00:00:00,12,2020-03,1,500.0,500.0,500.0,500.0,29925.05,29425.05,0.0,
2021-04-14 00:00:00,12,2020-03,2,500.0,500.0,500.0,500.0,29523.15,29023.15,0.0,
2021-04-17 00:00:00,10,2020-03,3,500.0,500.0,500.0,500.0,29505.25,29005.25,0.0,
2021-04-17 00:00:00,11,2020-03,3,500.0,500.0,500.0,500.0,29505.25,29005.25,0.0,
2021-11-23 00:00:00,12,2020-03,3,500.0,500.0,500.0,500.0,29556.65,29056.65,0.0,
2021-11-23 00:00:00,13,2020-04,1,500.0,500.0,500.0,500.0,29657.75,29157.75,0.0,
2022-01-29 00:00:00,10,2020-03,4,500.0,500.0,500.0,500.0,29526.2,29026.2,0.0,
2022-01-29 00:00:00,11,2020-03,4,500.0,500.0,500.0,500.0,29526.2,29026.2,0.0,
2022-02-01 00:00:00,12,2020-03,4,500.0,500.0,500.0,500.0,29616.05,29116.05,0.0,
2022-02-01 00:00:00,13,2020-04,2,500.0,500.0,500.0,500.0,29717.15,29217.15,0.0,
2022-02-04 00:00:00,51,2021-10,1,500.0,500.0,500.0,500.0,29527.9,29027.9,0.0,
2022-02-10 00:00:00,10,2020-03,5,500.0,500.0,500.0,500.0,30503.1,30003.1,0.0,
2022-02-10 00:00:00,11,2020-03,5,500.0,500.0,500.0,500.0,30503.1,30003.1,0.0,
2022-02-11 00:00:00,12,2020-03,5,500.0,500.0,500.0,500.0,30290.65,29790.65,0.0,
2022-02-11 00:00:00,13,2020-04,3,500.0,500.0,500.0,500.0,30391.75,29891.75,0.0,
2022-02-11 00:00:00,36,2021-07,1,500.0,500.0,500.0,500.0,29578.65,29078.65,0.0,
2022-02-11 00:00:00,37,2021-07,1,500.0,500.0,500.0,500.0,29578.65,29078.65,0.0,
2022-02-11 00:00:00,38,2021-07,1,500.0,500.0,500.0,500.0,29578.65,29078.65,0.0,
2022-02-11 00:00:00,39,2021-07,1,500.0,500.0,500.0,500.0,29578.65,29078.65,0.0,
2022-02-11 00:00:00,46,2021-09,1,500.0,500.0,500.0,500.0,29580.7,29080.7,0.0,
2022-02-11 00:00:00,47,2021-09,1,500.0,500.0,500.0,500.0,29526.4,29026.4,0.0,
2022-02-11 00:00:00,48,2021-09,1,500.0,500.0,500.0,500.0,29526.4,29026.4,0.0,
2022-02-11 00:00:00,49,2021-09,1,500.0,500.0,500.0,500.0,29526.4,29026.4,0.0,
2022-02-11 00:00:00,50,2021-09,1,500.0,500.0,500.0,500.0,29526.4,29026.4,0.0,
2022-02-16 00:00:00,51,2021-10,2,500.0,500.0,500.0,500.0,29743.55,29243.55,0.0,
2022-02-22 00:00:00,40,2021-07,1,500.0,500.0,500.0,500.0,29636.75,29136.75,0.0,
2022-02-22 00:00:00,41,2021-07,1,500.0,500.0,500.0,500.0,29636.75,29136.75,0.0,
2022-02-22 00:00:00,42,2021-07,1,500.0,500.0,500.0,500.0,29636.75,29136.75,0.0,
2022-02-22 00:00:00,43,2021-07,1,500.0,500.0,500.0,500.0,29636.75,29136.75,0.0,
2022-02-22 00:00:00,44,2021-07,1,500.0,500.0,500.0,500.0,29636.75,29136.75,0.0,
2022-02-22 00:00:00,45,2021-07,1,500.0,500.0,500.0,500.0,29636.75,29136.75,0.0,
2022-02-23 00:00:00,10,2020-03,6,500.0,500.0,500.0,500.0,30987.3,30487.3,0.0,
2022-02-23 00:00:00,11,2020-03,6,500.0,500.0,500.0,500.0,30987.3,30487.3,0.0,
2022-02-26 00:00:00,12,2020-03,6,500.0,500.0,500.0,500.0,30746.45,30246.45,0.0,
2022-02-26 00:00:00,13,2020-04,4,500.0,500.0,500.0,500.0,30847.55,30347.55,0.0,
2022-02-26 00:00:00,36,2021-07,2,500.0,500.0,500.0,500.0,30034.45,29534.45,0.0,
2022-02-26 00:00:00,37,2021-07,2,500.0,500.0,500.0,500.0,30034.45,29534.45,0.0,
2022-02-26 00:00:00,38,2021-07,2,500.0,500.0,500.0,500.0,30034.45,29534.45,0.0,
2022-02-26 00:00:00,39,2021-07,2,500.0,500.0,500.0,500.0,30034.45,29534.45,0.0,
2022-02-26 00:00:00,46,2021-09,2,500.0,500.0,500.0,500.0,30036.5,29536.5,0.0,
2022-02-26 00:00:00,47,2021-09,2,500.0,500.0,500.0,500.0,29982.2,29482.2,0.0,
2022-02-26 00:00:00,48,2021-09,2,500.0,500.0,500.0,500.0,29982.2,29482.2,0.0,
2022-02-26 00:00:00,49,2021-09,2,500.0,500.0,500.0,500.0,29982.2,29482.2,0.0,
2022-02-26 00:00:00,50,2021-09,2,500.0,500.0,500.0,500.0,29982.2,29482.2,0.0,
2022-03-01 00:00:00,51,2021-10,3,500.0,500.0,500.0,500.0,30653.25,30153.25,0.0,
