eval_id,started_at,state,months_paid,resets,trades_taken,passed_at,ended_at
1,2020-01-01 00:00:00,funded,3,1,224,2020-03-02 23:00:00,2020-03-03 00:00:00
2,2020-01-01 00:00:00,funded,3,1,224,2020-03-02 23:00:00,2020-03-03 00:00:00
3,2020-01-01 00:00:00,funded,3,1,224,2020-03-02 23:00:00,2020-03-03 00:00:00
4,2020-01-01 00:00:00,funded,3,1,224,2020-03-02 23:00:00,2020-03-03 00:00:00
5,2020-01-01 00:00:00,funded,3,1,224,2020-03-02 23:00:00,2020-03-03 00:00:00
6,2020-01-01 00:00:00,funded,3,1,224,2020-03-02 23:00:00,2020-03-03 00:00:00
7,2020-01-01 00:00:00,funded,3,1,224,2020-03-02 23:00:00,2020-03-03 00:00:00
8,2020-01-01 00:00:00,funded,3,1,224,2020-03-02 23:00:00,2020-03-03 00:00:00
9,2020-01-01 00:00:00,funded,3,1,224,2020-03-02 23:00:00,2020-03-03 00:00:00
10,2020-01-01 00:00:00,funded,3,1,224,2020-03-02 23:00:00,2020-03-03 00:00:00
11,2020-01-01 00:00:00,funded,3,1,224,2020-03-02 23:00:00,2020-03-03 00:00:00
12,2020-02-01 00:00:00,funded,2,1,101,2020-03-02 23:00:00,2020-03-03 00:00:00
13,2020-03-01 00:00:00,funded,1,0,9,2020-03-02 23:00:00,2020-03-03 00:00:00
14,2020-03-19 00:00:00,funded,2,1,74,2020-05-06 06:30:00,2020-05-07 00:00:00
15,2020-03-19 00:00:00,funded,2,1,74,2020-05-06 06:30:00,2020-05-07 00:00:00
16,2020-03-19 00:00:00,funded,2,1,74,2020-05-06 06:30:00,2020-05-07 00:00:00
17,2020-04-01 00:00:00,funded,2,1,60,2020-05-08 23:30:00,2020-05-09 00:00:00
18,2020-05-01 00:00:00,funded,1,0,27,2020-05-08 23:30:00,2020-05-09 00:00:00
19,2020-06-01 00:00:00,funded,3,2,154,2020-08-12 21:00:00,2020-08-13 00:00:00
20,2020-07-01 00:00:00,funded,2,1,106,2020-08-12 21:00:00,2020-08-13 00:00:00
21,2020-08-01 00:00:00,funded,1,0,43,2020-08-12 21:00:00,2020-08-13 00:00:00
22,2020-09-01 00:00:00,funded,3,2,58,2020-11-04 15:30:00,2020-11-05 00:00:00
23,2020-10-01 00:00:00,funded,2,1,33,2020-11-04 15:30:00,2020-11-05 00:00:00
24,2021-03-05 00:00:00,funded,7,5,299,2021-09-10 17:00:00,2021-09-11 00:00:00
25,2021-03-05 00:00:00,funded,7,5,299,2021-09-10 17:00:00,2021-09-11 00:00:00
26,2021-03-05 00:00:00,funded,7,5,299,2021-09-10 17:00:00,2021-09-11 00:00:00
27,2021-03-05 00:00:00,funded,7,5,299,2021-09-10 17:00:00,2021-09-11 00:00:00
28,2021-03-05 00:00:00,funded,7,5,299,2021-09-10 17:00:00,2021-09-11 00:00:00
29,2021-03-05 00:00:00,funded,7,5,299,2021-09-10 17:00:00,2021-09-11 00:00:00
30,2021-03-05 00:00:00,funded,7,5,299,2021-09-10 17:00:00,2021-09-11 00:00:00
31,2021-03-05 00:00:00,funded,7,5,299,2021-09-10 17:00:00,2021-09-11 00:00:00
32,2021-06-08 00:00:00,funded,4,2,162,2021-09-09 15:00:00,2021-09-10 00:00:00
33,2021-06-08 00:00:00,funded,4,2,162,2021-09-09 15:00:00,2021-09-10 00:00:00
34,2021-06-09 00:00:00,funded,4,2,189,2021-09-09 15:00:00,2021-09-10 00:00:00
35,2021-06-09 00:00:00,funded,4,2,189,2021-09-09 15:00:00,2021-09-10 00:00:00
36,2021-06-09 00:00:00,funded,4,2,189,2021-09-09 15:00:00,2021-09-10 00:00:00
37,2021-06-09 00:00:00,funded,4,2,189,2021-09-09 15:00:00,2021-09-10 00:00:00
38,2021-06-09 00:00:00,funded,4,2,189,2021-09-09 15:00:00,2021-09-10 00:00:00
39,2021-07-20 00:00:00,funded,2,1,107,2021-09-09 17:00:00,2021-09-10 00:00:00
