product,initial_cash,monthly_funding,withdrawal,cadence,headroom,retained_balance,persistent,interval,concurrency,spares,reserve_seats,total,ongoing,terminal,accounts,alive,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,job
legacy_25k,5000,200,maximum,daily,7600,32700.0,False,0,2,0,False,355437.81,269728.27,85709.54,45,16,45,52,104,3432.0,5625.0,9057.0,376037.81,20600.0,0,2,29,27,2,0.069,47.3,134.47,1505.19,94.2,235.67,8.71,2,2,2,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 7600, false, 0, 2, 0, false]"
legacy_25k,5000,200,maximum,daily,7600,32700.0,False,0,2,0,True,355437.81,269728.27,85709.54,45,16,45,52,104,3432.0,5625.0,9057.0,376037.81,20600.0,0,2,29,27,2,0.069,47.3,134.47,1505.19,94.2,235.67,8.71,2,2,2,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 7600, false, 0, 2, 0, true]"
legacy_25k,5000,200,maximum,daily,7600,32700.0,False,0,2,2,False,508202.73,387403.76,120798.97,55,20,55,57,118,3894.0,6875.0,10769.0,528802.73,20600.0,0,2,35,35,0,0.3429,26.47,126.04,1341.15,0,100.67,11.9,2,2,4,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 7600, false, 0, 2, 2, false]"
legacy_25k,5000,200,maximum,daily,7600,32700.0,False,0,2,2,True,507176.73,386377.76,120798.97,55,20,55,55,115,3795.0,6875.0,10670.0,527776.73,20600.0,0,0,35,35,0,0.2857,26.47,126.04,1359.15,0,100.67,11.89,2,2,4,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 7600, false, 0, 2, 2, true]"
legacy_25k,5000,200,maximum,daily,7600,32700.0,False,0,2,5,False,500383.61,379115.57,121268.04,59,20,59,64,147,4851.0,7375.0,12226.0,520983.61,20600.0,0,5,39,39,0,0.3077,23.7,148.27,1519.73,0,273.67,11.68,2,5,4,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 7600, false, 0, 2, 5, false]"
legacy_25k,5000,200,maximum,daily,7600,32700.0,False,0,2,5,True,500173.01,378904.97,121268.04,59,20,59,59,139,4587.0,7375.0,11962.0,520773.01,20600.0,0,0,39,39,0,0.2821,23.7,148.27,1526.73,0,273.67,11.68,2,2,4,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 7600, false, 0, 2, 5, true]"
legacy_25k,5000,200,maximum,daily,7600,32700.0,False,0,2,10,False,500119.61,378851.57,121268.04,59,20,59,69,155,5115.0,7375.0,12490.0,520719.61,20600.0,0,10,39,39,0,0.3077,23.7,148.27,1519.73,0,273.67,11.68,2,10,5,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 7600, false, 0, 2, 10, false]"
legacy_25k,5000,200,maximum,daily,7600,32700.0,False,0,2,10,True,500140.01,378871.97,121268.04,59,20,59,59,140,4620.0,7375.0,11995.0,520740.01,20600.0,0,0,39,39,0,0.2821,23.7,148.27,1526.73,0,273.67,11.68,2,2,4,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 7600, false, 0, 2, 10, true]"
legacy_25k,5000,200,maximum,daily,7600,32700.0,False,0,5,0,False,438219.16,335038.98,103180.18,52,19,52,60,102,3366.0,6500.0,9866.0,458819.16,20600.0,0,1,33,32,1,0.0606,30.13,124.02,1195.45,17.92,207.67,10.71,5,5,5,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 7600, false, 0, 5, 0, false]"
legacy_25k,5000,200,maximum,daily,7600,32700.0,False,0,5,0,True,438219.16,335038.98,103180.18,52,19,52,60,102,3366.0,6500.0,9866.0,458819.16,20600.0,0,1,33,32,1,0.0606,30.13,124.02,1195.45,17.92,207.67,10.71,5,5,5,0,0,0,0,"[""legacy_25k"", 5000, 200, ""maximum"", ""daily"", 7600, false, 0, 5, 0, true]"
