at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2021-11-05 00:00:00,4,2020-03,1,708.55,708.55,708.55,708.55,54308.55,53600.0,0.0,
2022-02-01 00:00:00,4,2020-03,2,753.2,753.2,753.2,753.2,54353.2,53600.0,0.0,
2022-02-11 00:00:00,4,2020-03,3,1174.6,1174.6,1174.6,1174.6,54774.6,53600.0,0.0,
2022-02-26 00:00:00,4,2020-03,4,955.8,955.8,955.8,955.8,54555.8,53600.0,0.0,
2022-03-23 00:00:00,4,2020-03,5,924.8,924.8,924.8,924.8,54524.8,53600.0,0.0,
2022-04-13 00:00:00,4,2020-03,6,1019.8,1019.8,1019.8,1019.8,54619.8,53600.0,0.0,
2022-04-14 00:00:00,7,2022-02,1,661.0,661.0,661.0,661.0,54261.0,53600.0,0.0,
2022-04-14 00:00:00,8,2022-02,1,661.0,661.0,661.0,661.0,54261.0,53600.0,0.0,
2022-04-26 00:00:00,4,2020-03,7,1176.5,1176.5,1176.5,1176.5,54776.5,53600.0,0.0,
2022-08-13 00:00:00,24,2022-07,1,515.7,515.7,515.7,515.7,54115.7,53600.0,0.0,
2022-09-08 00:00:00,24,2022-07,2,506.65,506.65,506.65,506.65,54106.65,53600.0,0.0,
2022-09-09 00:00:00,22,2022-06,1,512.05,512.05,512.05,512.05,54112.05,53600.0,0.0,
2022-09-09 00:00:00,23,2022-06,1,512.05,512.05,512.05,512.05,54112.05,53600.0,0.0,
2022-09-29 00:00:00,17,2022-06,1,811.5,811.5,811.5,811.5,54411.5,53600.0,0.0,
2022-09-29 00:00:00,18,2022-06,1,811.5,811.5,811.5,811.5,54411.5,53600.0,0.0,
2022-09-29 00:00:00,19,2022-06,1,811.5,811.5,811.5,811.5,54411.5,53600.0,0.0,
2022-09-29 00:00:00,20,2022-06,1,811.5,811.5,811.5,811.5,54411.5,53600.0,0.0,
2022-09-29 00:00:00,21,2022-06,1,811.5,811.5,811.5,811.5,54411.5,53600.0,0.0,
2022-09-29 00:00:00,22,2022-06,2,658.0,658.0,658.0,658.0,54258.0,53600.0,0.0,
2022-09-29 00:00:00,23,2022-06,2,658.0,658.0,658.0,658.0,54258.0,53600.0,0.0,
2022-09-29 00:00:00,24,2022-07,3,799.05,799.05,799.05,799.05,54399.05,53600.0,0.0,
2022-10-20 00:00:00,17,2022-06,2,528.1,528.1,528.1,528.1,54128.1,53600.0,0.0,
2022-10-20 00:00:00,18,2022-06,2,528.1,528.1,528.1,528.1,54128.1,53600.0,0.0,
