product,window,deaths_after_startup_year_stable_zero_from,deaths_of_pas_at_least_one_year_old_stable_zero_from,deaths_2026_03_30_stable_zero_from,best_ongoing_headroom,best_ongoing
legacy_25k,full,,6780.11,6780.11,5700,538435.18
legacy_25k,start_2021,,6800,6800,5700,481300.61
legacy_25k,start_2022,,6800,6800,5000,392765.83
legacy_25k,start_2023,,6800,6800,5000,303397.7
legacy_25k,start_2024,,7100,6800,5000,128922.75
legacy_25k,two_years_2020,,0,0,3000,60940.9
legacy_25k,two_years_2022,,4000,0,0,82993.3
legacy_25k,two_years_2024,,7100,6800,5000,36023.2
legacy_50k,full,,6780.11,6780.11,5700,549134.58
legacy_50k,start_2021,,6800,6800,5700,499906.22
legacy_50k,start_2022,,6800,6800,5000,378072.6
legacy_50k,start_2023,,6800,6800,5000,298097.2
legacy_50k,start_2024,,6800,6800,5000,139075.55
legacy_50k,two_years_2020,,0,0,3000,74316.0
legacy_50k,two_years_2022,4000,4000,0,1000,102413.9
legacy_50k,two_years_2024,,6800,6800,2000,60353.15
