account_id,cohort_month,activated_at,purchase_fee_usd,trailing_drawdown_usd,frozen_floor_profit_usd,threshold_touch_fails,starting_balance_usd,equity_profit_usd,peak_profit_usd,floor_profit_usd,alive,died_at,death_trade_key,death_reason,death_equity_usd,trades_taken,wins,losses,gross_pnl_usd,commission_usd,max_equity_profit_usd,min_equity_profit_usd,entitlement_accrued_usd,entitlement_outstanding_usd,months_accrued,payout_count,gross_paid_usd,received_usd,withdrawal_count,first_withdrawal_at,last_withdrawal_at,last_payout_at,requests_blocked,requests_withheld
1,2020-02,2020-02-07 00:00:00,200.0,1500.0,100.0,True,25000.0,-310.8,1150.2,-349.8,False,2020-03-12 21:06:40,RR1.00:18-19:15:58,intratrade_excursion,-575.8,177,70,106,-126.0,184.8,1106.95,-1067.25,0.0,0.0,0,0,0.0,0.0,0,,,,0,12
2,2020-03,2020-03-03 00:00:00,200.0,1500.0,100.0,True,25000.0,-1159.0,302.0,-1198.0,False,2020-03-12 21:06:40,RR1.00:18-19:15:58,intratrade_excursion,-1424.0,51,16,34,-1106.5,52.5,258.75,-1424.0,0.0,0.0,0,0,0.0,0.0,0,,,,0,0
3,2020-03,2020-03-03 00:00:00,200.0,1500.0,100.0,True,25000.0,-1159.0,302.0,-1198.0,False,2020-03-12 21:06:40,RR1.00:18-19:15:58,intratrade_excursion,-1424.0,51,16,34,-1106.5,52.5,258.75,-1424.0,0.0,0.0,0,0,0.0,0.0,0,,,,0,0
4,2020-03,2020-03-21 00:00:00,200.0,1500.0,100.0,True,25000.0,101.4,8606.35,100.0,False,2026-03-30 06:00:00,RR1.00:3-4:558:2084,intratrade_excursion,19.9,11671,4873,6797,42497.0,12253.5,8592.3,-196.05,0.0,0.0,0,36,30142.1,29627.9,36,2022-02-22 00:00:00,2025-11-11 00:00:00,2025-11-11 00:00:00,419,1735
5,2020-05,2020-05-09 00:00:00,200.0,1500.0,100.0,True,25000.0,119.4,2694.6,100.0,False,2021-03-04 23:30:00,RR1.00:21-22:111:386,intratrade_excursion,-70.6,1593,660,932,1791.0,1671.6,2670.05,-646.55,0.0,0.0,0,0,0.0,0.0,0,,,,0,277
6,2020-05,2020-05-09 00:00:00,200.0,1500.0,100.0,True,25000.0,119.4,2694.6,100.0,False,2021-03-04 23:30:00,RR1.00:21-22:111:386,intratrade_excursion,-70.6,1593,660,932,1791.0,1671.6,2670.05,-646.55,0.0,0.0,0,0,0.0,0.0,0,,,,0,277
7,2020-05,2020-05-09 00:00:00,200.0,1500.0,100.0,True,25000.0,119.4,2694.6,100.0,False,2021-03-04 23:30:00,RR1.00:21-22:111:386,intratrade_excursion,-70.6,1593,660,932,1791.0,1671.6,2670.05,-646.55,0.0,0.0,0,0,0.0,0.0,0,,,,0,277
8,2020-06,2020-06-01 00:00:00,200.0,1500.0,100.0,True,25000.0,-289.65,1164.9,-335.1,False,2020-10-05 20:56:40,RR1.00:19-20:62:241,intratrade_excursion,-348.15,674,281,392,417.0,706.65,1123.9,-1043.35,0.0,0.0,0,0,0.0,0.0,0,,,,0,97
9,2020-08,2020-08-08 00:00:00,200.0,1500.0,100.0,True,25000.0,-245.25,1209.3,-290.7,False,2020-10-05 20:56:40,RR1.00:19-20:62:241,intratrade_excursion,-303.75,306,131,174,75.0,320.25,1168.3,-303.75,0.0,0.0,0,0,0.0,0.0,0,,,,0,35
10,2020-08,2020-08-08 00:00:00,200.0,1500.0,100.0,True,25000.0,-245.25,1209.3,-290.7,False,2020-10-05 20:56:40,RR1.00:19-20:62:241,intratrade_excursion,-303.75,306,131,174,75.0,320.25,1168.3,-303.75,0.0,0.0,0,0,0.0,0.0,0,,,,0,35
11,2020-09,2020-09-01 00:00:00,200.0,1500.0,100.0,True,25000.0,-505.35,949.2,-550.8,False,2020-10-05 20:56:40,RR1.00:19-20:62:241,intratrade_excursion,-563.85,178,76,101,-319.5,185.85,908.2,-563.85,0.0,0.0,0,0,0.0,0.0,0,,,,0,5
