account_id,cohort_month,activated_at,purchase_fee_usd,trailing_drawdown_usd,frozen_floor_profit_usd,threshold_touch_fails,starting_balance_usd,equity_profit_usd,peak_profit_usd,floor_profit_usd,alive,died_at,death_trade_key,death_reason,death_equity_usd,trades_taken,wins,losses,gross_pnl_usd,commission_usd,max_equity_profit_usd,min_equity_profit_usd,entitlement_accrued_usd,entitlement_outstanding_usd,months_accrued,payout_count,gross_paid_usd,received_usd,withdrawal_count,first_withdrawal_at,last_withdrawal_at,last_payout_at,requests_blocked,requests_withheld
1,2020-03,2020-03-03 00:00:00,250.0,2500.0,100.0,True,50000.0,-2085.4,302.0,-2198.0,False,2020-03-18 01:37:40,RR1.00:19-20:16:62,intratrade_excursion,-2413.4,59,19,39,-2024.5,60.9,258.75,-2413.4,0.0,0.0,0,0,0.0,0.0,0,,,,0,0
2,2020-03,2020-03-03 00:00:00,250.0,2500.0,100.0,True,50000.0,-2085.4,302.0,-2198.0,False,2020-03-18 01:37:40,RR1.00:19-20:16:62,intratrade_excursion,-2413.4,59,19,39,-2024.5,60.9,258.75,-2413.4,0.0,0.0,0,0,0.0,0.0,0,,,,0,0
3,2020-03,2020-03-03 00:00:00,250.0,2500.0,100.0,True,50000.0,-2085.4,302.0,-2198.0,False,2020-03-18 01:37:40,RR1.00:19-20:16:62,intratrade_excursion,-2413.4,59,19,39,-2024.5,60.9,258.75,-2413.4,0.0,0.0,0,0,0.0,0.0,0,,,,0,0
6,2020-05,2020-05-07 00:00:00,250.0,2500.0,100.0,True,50000.0,179.7,2951.95,100.0,False,2021-03-08 15:30:00,RR1.00:13-14:111:411,intratrade_excursion,91.2,1617,672,944,1876.5,1696.8,2927.4,-389.2,0.0,0.0,0,0,0.0,0.0,0,,,,0,281
7,2020-05,2020-05-07 00:00:00,250.0,2500.0,100.0,True,50000.0,179.7,2951.95,100.0,False,2021-03-08 15:30:00,RR1.00:13-14:111:411,intratrade_excursion,91.2,1617,672,944,1876.5,1696.8,2927.4,-389.2,0.0,0.0,0,0,0.0,0.0,0,,,,0,281
8,2020-06,2020-06-01 00:00:00,250.0,2500.0,100.0,True,50000.0,-537.85,1853.8,-646.2,False,2021-03-04 19:14:40,RR1.00:18-19:79:342,intratrade_excursion,-720.35,1488,613,874,1023.5,1561.35,1829.25,-1043.35,0.0,0.0,0,0,0.0,0.0,0,,,,0,247
9,2020-07,2020-07-01 00:00:00,250.0,2500.0,100.0,True,50000.0,123.65,2515.3,15.3,False,2021-03-04 19:14:40,RR1.00:18-19:79:342,intratrade_excursion,-58.85,1318,547,770,1506.5,1382.85,2490.75,-381.85,0.0,0.0,0,0,0.0,0.0,0,,,,0,216
10,2020-08,2020-08-13 00:00:00,250.0,2500.0,100.0,True,50000.0,-585.8,1805.85,-694.15,False,2021-03-04 19:14:40,RR1.00:18-19:79:342,intratrade_excursion,-768.3,1097,453,643,565.0,1150.8,1781.3,-779.65,0.0,0.0,0,0,0.0,0.0,0,,,,0,185
11,2020-09,2020-09-01 00:00:00,250.0,2500.0,100.0,True,50000.0,-753.55,1638.1,-861.9,False,2021-03-04 19:14:40,RR1.00:18-19:79:342,intratrade_excursion,-936.05,992,408,583,287.0,1040.55,1613.55,-947.4,0.0,0.0,0,0,0.0,0.0,0,,,,0,155
12,2020-10,2020-10-01 00:00:00,250.0,2500.0,100.0,True,50000.0,-1031.0,1360.65,-1139.35,False,2021-03-04 19:14:40,RR1.00:18-19:79:342,intratrade_excursion,-1213.5,841,338,502,-149.0,882.0,1336.1,-1224.85,0.0,0.0,0,0,0.0,0.0,0,,,,0,124
