account_id,activated_at,died_at,trade,death_equity,reason
1,2020-02-07 00:00:00,2020-03-12 21:06:40,RR1.00:18-19:15:58,-575.8,intratrade_excursion
2,2020-03-03 00:00:00,2020-03-12 21:06:40,RR1.00:18-19:15:58,-1424.0,intratrade_excursion
3,2020-03-03 00:00:00,2020-03-12 21:06:40,RR1.00:18-19:15:58,-1424.0,intratrade_excursion
4,2020-03-21 00:00:00,2026-03-16 05:15:40,RR1.00:4-5:529:2056,88.2,intratrade_excursion
5,2020-05-09 00:00:00,2021-03-04 23:30:00,RR1.00:21-22:111:386,-70.6,intratrade_excursion
6,2020-05-09 00:00:00,2021-03-04 23:30:00,RR1.00:21-22:111:386,-70.6,intratrade_excursion
7,2020-05-09 00:00:00,2021-03-04 23:30:00,RR1.00:21-22:111:386,-70.6,intratrade_excursion
8,2020-06-01 00:00:00,2020-10-05 20:56:40,RR1.00:19-20:62:241,-348.15,intratrade_excursion
9,2020-08-08 00:00:00,2020-10-05 20:56:40,RR1.00:19-20:62:241,-303.75,intratrade_excursion
10,2020-08-08 00:00:00,2020-10-05 20:56:40,RR1.00:19-20:62:241,-303.75,intratrade_excursion
11,2020-09-01 00:00:00,2020-10-05 20:56:40,RR1.00:19-20:62:241,-563.85,intratrade_excursion
12,2020-10-01 00:00:00,2020-12-14 07:13:40,RR1.00:2-3:94:338,-168.75,intratrade_excursion
13,2020-10-13 00:00:00,2020-12-14 07:13:40,RR1.00:2-3:94:338,-43.85,intratrade_excursion
14,2020-10-27 00:00:00,2020-12-14 07:13:40,RR1.00:2-3:94:338,-751.8,intratrade_excursion
15,2020-11-05 00:00:00,2020-12-14 07:13:40,RR1.00:2-3:94:338,-1278.7,intratrade_excursion
16,2020-11-05 00:00:00,2020-12-14 07:13:40,RR1.00:2-3:94:338,-1278.7,intratrade_excursion
17,2020-12-01 00:00:00,2021-02-18 12:46:40,RR1.00:10-11:106:379,-893.8,intratrade_excursion
18,2021-01-07 00:00:00,2021-02-18 12:46:40,RR1.00:10-11:106:379,-371.8,intratrade_excursion
19,2021-01-08 00:00:00,2021-02-18 12:46:40,RR1.00:10-11:106:379,-774.4,intratrade_excursion
20,2021-01-08 00:00:00,2021-02-18 12:46:40,RR1.00:10-11:106:379,-774.4,intratrade_excursion
21,2021-01-08 00:00:00,2021-02-18 12:46:40,RR1.00:10-11:106:379,-774.4,intratrade_excursion
22,2021-01-09 00:00:00,2021-02-18 12:46:40,RR1.00:10-11:106:379,-1049.95,intratrade_excursion
23,2021-02-01 00:00:00,2021-02-26 22:59:40,RR1.00:21-22:110:381,-584.9,intratrade_excursion
