product,window,headroom,minimum_ongoing,maximum_ongoing,minimum_minus_maximum_ongoing,minimum_total,maximum_total,minimum_minus_maximum_total,minimum_terminal,maximum_terminal,minimum_minus_maximum_terminal,minimum_deaths,maximum_deaths,minimum_minus_maximum_deaths,minimum_alive,maximum_alive,minimum_minus_maximum_alive,minimum_unfilled_account_days,maximum_unfilled_account_days,minimum_minus_maximum_unfilled_account_days,minimum_average_retained_profit_per_live_pa,maximum_average_retained_profit_per_live_pa,minimum_minus_maximum_average_retained_profit_per_live_pa,minimum_average_retained_profit_book,maximum_average_retained_profit_book,minimum_minus_maximum_average_retained_profit_book,minimum_frozen_mean_balance_std_usd,maximum_frozen_mean_balance_std_usd,minimum_minus_maximum_frozen_mean_balance_std_usd,minimum_largest_simultaneous_deaths,maximum_largest_simultaneous_deaths,minimum_minus_maximum_largest_simultaneous_deaths
legacy_25k,full,0,188573.0,226389.97,-37816.97,188573.0,226389.97,-37816.97,0,0,0,212,235,-23,9,9,0,17560.46,21673.05,-4112.59,1350.87,1049.18,301.69,11976.72,7623.16,4353.56,584.5691,494.6278,89.9413,10,13,-3
legacy_25k,full,1000,188573.0,211443.95,-22870.95,188573.0,211443.95,-22870.95,0,0,0,212,236,-24,9,8,1,17560.46,21446.62,-3886.16,1350.87,1023.28,327.59,11976.72,7532.17,4444.55,584.5691,581.7721,2.797,10,13,-3
legacy_25k,full,2000,408815.0,211430.9,197384.1,408815.0,211430.9,197384.1,0,0,0,147,204,-57,6,9,-3,9373.04,17175.31,-7802.27,2333.11,1364.44,968.67,28865.23,12415.85,16449.38,485.8383,507.1582,-21.3199,8,20,-12
legacy_25k,full,3000,504001.0,414429.0,89572.0,504001.0,414429.0,89572.0,0,0,0,94,155,-61,7,10,-3,6554.37,12792.84,-6238.47,3057.83,2117.91,939.92,42474.34,23877.71,18596.63,313.6201,552.8614,-239.2413,13,19,-6
legacy_25k,full,3100,499892.0,412572.15,87319.85,499892.0,412572.15,87319.85,0,0,0,93,151,-58,7,10,-3,6548.01,12558.03,-6010.02,3155.19,2190.4,964.79,43886.77,24910.64,18976.13,323.4676,552.785,-229.3174,10,20,-10
legacy_25k,full,3200,495984.0,398525.15,97458.85,495984.0,398525.15,97458.85,0,0,0,96,152,-56,3,8,-5,6663.0,13025.13,-6362.13,3204.73,2178.55,1026.18,44421.32,24384.74,20036.58,355.6793,366.0179,-10.3386,14,17,-3
legacy_25k,full,3300,492484.0,419101.1,73382.9,492484.0,419101.1,73382.9,0,0,0,96,138,-42,3,10,-7,6604.45,11371.06,-4766.61,3270.88,2300.06,970.82,45418.56,27340.3,18078.26,361.296,459.896,-98.6,14,20,-6
legacy_25k,full,3400,487484.0,415595.45,71888.55,487484.0,415595.45,71888.55,0,0,0,96,138,-42,3,10,-7,6588.94,11434.67,-4845.73,3291.74,2354.04,937.7,45729.6,27919.15,17810.45,368.0428,467.1751,-99.1323,14,20,-6
legacy_25k,full,3500,499530.0,413194.55,86335.45,499530.0,413194.55,86335.45,0,0,0,92,138,-46,3,10,-7,6049.98,11596.13,-5546.15,3415.98,2424.93,991.05,48227.71,28595.74,19631.97,396.2145,485.7845,-89.57,12,20,-8
legacy_25k,full,3600,494254.0,410273.6,83980.4,494254.0,410273.6,83980.4,0,0,0,95,138,-43,3,10,-7,5875.84,11334.69,-5458.85,3475.67,2473.65,1002.02,49324.15,29441.44,19882.71,405.7424,512.7826,-107.0402,9,20,-11
