product,window,withdrawal,best_ongoing_headroom,best_ongoing,best_ongoing_alive,best_ongoing_deaths,best_total_headroom,best_total,aged_pa_survival_boundary,mature_pa_days_at_boundary,all_deaths_at_boundary,reserves_within_one_pct_best_ongoing
legacy_25k,full,minimum,4000,563891.0,6,65,6800,629920.29,6800,28538.93,36,"[3900, 4000, 4100, 4200, 4300]"
legacy_25k,full,maximum,5700,538435.18,5,63,6800,629920.44,6800,28538.93,36,[5700]
legacy_25k,start_2021,minimum,4000,508689.0,6,54,6800,575581.26,6800,23770.93,25,"[3700, 3800, 3900, 4000, 4100, 4200]"
legacy_25k,start_2021,maximum,5700,481300.61,5,52,6800,575581.35,6800,23770.93,25,[5700]
legacy_25k,start_2022,minimum,3000,429817.0,7,48,6800,479084.89,6800,16295.93,23,[3000]
legacy_25k,start_2022,maximum,4500,403712.32,5,52,6800,479084.89,6800,16295.93,23,[4500]
legacy_25k,start_2023,minimum,3300,326358.0,8,39,7000,388689.0,7000,10950.93,14,"[3000, 3300, 3400]"
legacy_25k,start_2023,maximum,5000,303397.7,2,41,6800,388689.0,6800,10950.93,14,"[4500, 5000]"
legacy_25k,start_2024,minimum,4100,124252.0,5,45,7000,186282.86,7000,4717.44,26,[4100]
legacy_25k,start_2024,maximum,5000,128922.75,4,45,7100,174401.94,7100,4717.44,26,[5000]
legacy_25k,two_years_2020,minimum,3000,35655.0,0,43,3000,35655.0,,,,"[3000, 3100]"
legacy_25k,two_years_2020,maximum,3000,60940.9,0,43,3000,60940.9,,,,[3000]
legacy_25k,two_years_2022,minimum,0,87952.0,20,23,3200,93916.03,3000,1333.64,16,"[0, 1000]"
legacy_25k,two_years_2022,maximum,0,82993.3,12,43,2000,116734.77,3300,1333.64,16,[0]
legacy_25k,two_years_2024,minimum,5000,29575.0,5,40,5000,29575.0,7000,1545.83,32,[5000]
legacy_25k,two_years_2024,maximum,5000,36023.2,5,40,7100,47054.26,7100,1545.83,32,[5000]
legacy_50k,full,minimum,3700,580680.0,12,58,6700,641764.81,6700,30001.93,22,"[3700, 3800, 3900, 4000, 4100, 4200, 4300]"
legacy_50k,full,maximum,5700,549134.58,13,48,6800,641765.0,6800,30001.93,22,"[4500, 5700]"
legacy_50k,start_2021,minimum,3700,529165.0,12,49,6800,594475.05,6800,25203.93,11,"[3000, 3700, 3800, 3900, 4000]"
legacy_50k,start_2021,maximum,4500,506817.83,11,50,6800,594475.14,6800,25203.93,11,[4500]
legacy_50k,start_2022,minimum,3000,415205.0,11,42,6800,462653.6,6800,15000.93,8,"[3000, 3100]"
legacy_50k,start_2022,maximum,4500,390535.32,11,35,6800,462653.6,6800,15000.93,8,[4500]
legacy_50k,start_2023,minimum,0,330350.0,10,40,7000,384378.9,7000,10208.93,3,"[0, 1000, 2000]"
legacy_50k,start_2023,maximum,5000,298097.2,11,31,6800,384378.9,6800,10208.93,3,"[4500, 5000]"
legacy_50k,start_2024,minimum,4500,135385.0,14,33,7000,195615.81,7000,4859.44,17,"[4100, 4500]"
legacy_50k,start_2024,maximum,5000,139075.55,14,33,6800,186453.09,6800,4859.44,17,[5000]
legacy_50k,two_years_2020,minimum,3000,50155.0,1,36,3000,50155.0,,,,"[3000, 3100]"
legacy_50k,two_years_2020,maximum,3000,74316.0,2,40,3000,74316.0,,,,[3000]
legacy_50k,two_years_2022,minimum,0,64570.0,20,6,3000,113214.87,3000,863.84,2,"[0, 1000, 2000]"
legacy_50k,two_years_2022,maximum,1000,102413.9,20,7,2000,112722.85,3300,863.84,2,[1000]
legacy_50k,two_years_2024,minimum,5000,44985.0,14,37,5000,44985.0,7000,1918.81,28,[5000]
legacy_50k,two_years_2024,maximum,2000,60353.15,9,50,6800,66142.55,6800,1918.81,28,[2000]
