initial_cash,monthly_funding,acquisition,withdrawal,cadence,headroom,spares,passes,total_25k,total_50k,total_delta_50k_minus_25k,accounts_25k,accounts_50k
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,0,1,-938.85,-928.4,10.45,16,9
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,0,2,-876.95,-833.8,43.15,11,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,0,3,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,0,5,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,0,10,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,5,1,-938.85,-928.4,10.45,16,9
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,5,2,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,5,3,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,5,5,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,5,10,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,10,1,-938.85,-928.4,10.45,16,9
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,10,2,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,10,3,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,10,5,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,10,10,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,500,0,1,-938.85,-928.4,10.45,16,9
1000,0,monthly_current_slot_replacements,maximum,calendar_month,500,0,2,-876.95,-833.8,43.15,11,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,500,0,3,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,500,0,5,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,500,0,10,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,500,5,1,-938.85,-928.4,10.45,16,9
1000,0,monthly_current_slot_replacements,maximum,calendar_month,500,5,2,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,500,5,3,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,500,5,5,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,500,5,10,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,500,10,1,-938.85,-928.4,10.45,16,9
1000,0,monthly_current_slot_replacements,maximum,calendar_month,500,10,2,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,500,10,3,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,500,10,5,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,500,10,10,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1000,0,1,-938.85,-928.4,10.45,16,9
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1000,0,2,-876.95,-833.8,43.15,11,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1000,0,3,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1000,0,5,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1000,0,10,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1000,5,1,-938.85,-928.4,10.45,16,9
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1000,5,2,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1000,5,3,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1000,5,5,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1000,5,10,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1000,10,1,-938.85,-928.4,10.45,16,9
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1000,10,2,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1000,10,3,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1000,10,5,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1000,10,10,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1500,0,1,-940.3,-928.4,11.9,16,9
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1500,0,2,-930.35,-833.8,96.55,12,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1500,0,3,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1500,0,5,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1500,0,10,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1500,5,1,-940.3,-928.4,11.9,16,9
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1500,5,2,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1500,5,3,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1500,5,5,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1500,5,10,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1500,10,1,-940.3,-928.4,11.9,16,9
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1500,10,2,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1500,10,3,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1500,10,5,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1500,10,10,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,2000,0,1,-878.4,-928.4,-50.0,11,9
1000,0,monthly_current_slot_replacements,maximum,calendar_month,2000,0,2,-878.4,-833.8,44.6,11,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,2000,0,3,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,2000,0,5,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,2000,0,10,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,2000,5,1,-878.4,-928.4,-50.0,11,9
1000,0,monthly_current_slot_replacements,maximum,calendar_month,2000,5,2,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,2000,5,3,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,2000,5,5,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,2000,5,10,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,2000,10,1,-878.4,-928.4,-50.0,11,9
1000,0,monthly_current_slot_replacements,maximum,calendar_month,2000,10,2,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,2000,10,3,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,2000,10,5,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,2000,10,10,-1000.0,-833.8,166.2,5,8
1000,0,monthly_current_slot_replacements,maximum,calendar_month,3000,0,1,165585.9,250291.8,84705.9,63,59
1000,0,monthly_current_slot_replacements,maximum,calendar_month,3000,0,2,298027.85,324546.6,26518.75,94,75
1000,0,monthly_current_slot_replacements,maximum,calendar_month,3000,0,3,-1000.0,349435.75,350435.75,5,89
1000,0,monthly_current_slot_replacements,maximum,calendar_month,3000,0,5,-1000.0,368878.9,369878.9,5,107
1000,0,monthly_current_slot_replacements,maximum,calendar_month,3000,0,10,-1000.0,399607.9,400607.9,5,101
1000,0,monthly_current_slot_replacements,maximum,calendar_month,3000,5,1,165585.9,250291.8,84705.9,63,59
1000,0,monthly_current_slot_replacements,maximum,calendar_month,3000,5,2,-1000.0,342593.4,343593.4,5,76
1000,0,monthly_current_slot_replacements,maximum,calendar_month,3000,5,3,-1000.0,361572.9,362572.9,5,89
1000,0,monthly_current_slot_replacements,maximum,calendar_month,3000,5,5,-1000.0,373582.15,374582.15,5,106
1000,0,monthly_current_slot_replacements,maximum,calendar_month,3000,5,10,-1000.0,399607.9,400607.9,5,101
1000,0,monthly_current_slot_replacements,maximum,calendar_month,3000,10,1,165585.9,250291.8,84705.9,63,59
1000,0,monthly_current_slot_replacements,maximum,calendar_month,3000,10,2,-1000.0,342593.4,343593.4,5,76
1000,0,monthly_current_slot_replacements,maximum,calendar_month,3000,10,3,-1000.0,361572.9,362572.9,5,89
1000,0,monthly_current_slot_replacements,maximum,calendar_month,3000,10,5,-1000.0,373582.15,374582.15,5,106
1000,0,monthly_current_slot_replacements,maximum,calendar_month,3000,10,10,-1000.0,399607.9,400607.9,5,101
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4000,0,1,211190.67,291749.47,80558.8,59,52
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4000,0,2,351298.34,380843.59,29545.25,69,55
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4000,0,3,-1000.0,414601.68,415601.68,5,56
