product,initial_cash,monthly_funding,withdrawal,cadence,headroom,retained_balance,persistent,interval,concurrency,spares,reserve_seats,total,ongoing,terminal,accounts,alive,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,execution,copies,signals_executed,signal_participation,allocation_sha256,job
legacy_25k,1000,0,minimum,calendar_month,1700,26800.0,False,1,10,5,True,-997.0,-997.0,0,7,0,7,19,34,1122.0,875.0,1997.0,3.0,1000.0,0,4,7,3,4,0.4286,0.19,0.3,7746.74,1967.2,1924.57,0.27,6,6,4,8096,5,2147,2220,blocking,2442,1751,0.1383314899668194,9a1e8035cc7e59c96a684c94e9eda226ab6c0a24943ffbdf014b59cb21aa56ab,"[""legacy_25k"", 1000, 0, ""minimum"", ""calendar_month"", 1700, false, 1, 10, 5, true]"
legacy_25k,1000,0,minimum,weekly,2400,27500.0,False,0,20,2,True,-990.0,-990.0,0,12,0,12,19,30,990.0,1500.0,2490.0,10.0,1000.0,0,2,12,7,5,0.3333,0.3,11.02,9493.01,1953.11,1924.57,0.49,6,6,3,4286,3,1882,2098,blocking,4439,1751,0.1383314899668194,d554ae9fa90435029efd741dc8c433d6fd66268714408de93ae6b52f70cc2358,"[""legacy_25k"", 1000, 0, ""minimum"", ""weekly"", 2400, false, 0, 20, 2, true]"
legacy_25k,1000,200,minimum,calendar_month,1700,26800.0,False,1,10,5,True,416583.33,258188.0,158395.33,102,20,102,126,214,7062.0,12750.0,19812.0,433183.33,16600.0,0,0,82,82,0,0.2317,47.22,206.21,5782.7,0,94.67,11.21,10,11,13,2388,22,603,739,blocking,104908,8922,0.7048506873123717,91bc8c52647142e328122b2d2b0c142f81674c3dcc5d67a49a5b70a8b3af110f,"[""legacy_25k"", 1000, 200, ""minimum"", ""calendar_month"", 1700, false, 1, 10, 5, true]"
legacy_25k,1000,200,minimum,weekly,2400,27500.0,False,0,20,2,True,342127.0,342127.0,0,106,20,106,111,231,7623.0,13250.0,20873.0,358727.0,16600.0,0,0,86,86,0,0.0698,61.08,333.11,8369.04,0,191.67,10.82,20,20,17,2586,1,506,622,blocking,100975,8528,0.6737241270342866,94db5c4293f6b9d0a8e781ca49055877fdec73b99690b555d16f6c83b818be1b,"[""legacy_25k"", 1000, 200, ""minimum"", ""weekly"", 2400, false, 0, 20, 2, true]"
legacy_25k,5000,0,minimum,calendar_month,1700,26800.0,False,1,10,5,True,-4977.0,-4977.0,0,27,0,27,40,94,3102.0,3375.0,6477.0,23.0,5000.0,0,0,27,16,11,0.3333,0.3,45.02,21045.71,1955.92,1924.57,1.07,10,10,4,0,10,1852,1852,blocking,9835,1751,0.1383314899668194,69f9a2948677c1f2bc03e51a4170412b291cb4927b842ddf3154dccbb5d9f575,"[""legacy_25k"", 5000, 0, ""minimum"", ""calendar_month"", 1700, false, 1, 10, 5, true]"
legacy_25k,5000,0,minimum,weekly,2400,27500.0,False,0,20,2,True,-4975.0,-4975.0,0,32,0,32,36,75,2475.0,4000.0,6475.0,25.0,5000.0,0,2,32,21,11,0.1562,43.38,119.02,18946.15,1648.16,1732.57,1.8,13,13,13,3660,0,1653,1830,blocking,16322,2467,0.19489650813714646,e6bd1dbab23bfd3663046e5beca4633fb033094d140d20cac3368b643e04a121,"[""legacy_25k"", 5000, 0, ""minimum"", ""weekly"", 2400, false, 0, 20, 2, true]"
legacy_50k,1000,0,minimum,calendar_month,0,50100.0,True,1,20,2,True,-1000.0,-1000.0,0,4,0,4,16,25,1000.0,500.0,1500.0,0.0,1000.0,0,6,4,0,4,0.0,,,7736.67,1956.92,1926.57,0.64,11,11,6,12078,6,2262,2262,blocking,5847,1744,0.13777848001264023,81c2c6693700c3348d08860cfa59b9fb6f39a7ea105cef64e1c2b6690bae9af8,"[""legacy_50k"", 1000, 0, ""minimum"", ""calendar_month"", 0, true, 1, 20, 2, true]"
legacy_50k,1000,0,minimum,weekly,0,50100.0,True,1,20,2,True,-990.0,-990.0,0,6,0,6,21,31,1240.0,750.0,1990.0,10.0,1000.0,0,0,6,0,6,0.0,,,11741.5,1956.92,2017.57,0.7,10,10,4,0,15,2255,2255,blocking,6360,1401,0.11068099225786064,df4159d8d90c733096a9d09841f874a7b4ab447681085d97ce9f6a337c903951,"[""legacy_50k"", 1000, 0, ""minimum"", ""weekly"", 0, true, 1, 20, 2, true]"
legacy_50k,1000,200,minimum,calendar_month,0,50100.0,True,1,20,2,True,473467.95,300665.0,172802.95,63,20,63,82,199,7960.0,7875.0,15835.0,490067.95,16600.0,0,0,43,43,0,0.0465,88.02,306.35,5574.78,0,60.67,13.75,19,19,12,1080,17,393,420,blocking,128173,9060,0.7157528835519039,4b4bb710ec76f2f4afc5e6c742ebdad26768c9d5857bf0509fcb33290f98df26,"[""legacy_50k"", 1000, 200, ""minimum"", ""calendar_month"", 0, true, 1, 20, 2, true]"
legacy_50k,1000,200,minimum,weekly,0,50100.0,True,1,20,2,True,444000.0,444000.0,0,88,16,88,102,225,9000.0,11000.0,20000.0,460600.0,16600.0,0,4,72,68,4,0.0,62.03,292.35,6622.7,115.06,141.67,14.08,20,20,17,1320,10,252,293,blocking,131302,8740,0.690472428503713,7944163578a45321e38da467b0957e7b4b40a76d6c2fd026fde278b9573952ad,"[""legacy_50k"", 1000, 200, ""minimum"", ""weekly"", 0, true, 1, 20, 2, true]"
