account_id,cohort_month,activated_at,alive,died_at,death_reason,death_equity_usd,death_trade_key,lifetime_days,trades_taken,wins,losses,gross_pnl_usd,commission_usd,payout_count,requests_blocked,requests_withheld,withdrawn_usd,received_usd,months_accrued,entitlement_accrued_usd,entitlement_outstanding_usd,first_withdrawal_at,equity_profit_usd,balance_usd,max_equity_profit_usd,min_equity_profit_usd,peak_profit_usd,floor_profit_usd,headroom_usd
1,2020-03,2020-03-01 00:00:00,False,2020-03-12 21:06:40,intratrade_excursion,-657.05,RR1.00:18-19:15:58,11,52,18,33,-338.5,53.55,0,0,0,0.0,0.0,0,0.0,0.0,,-392.05,,762.45,-657.05,865.45,-634.55,
2,2020-03,2020-03-13 00:00:00,False,2020-03-18 19:28:40,intratrade_excursion,-822.25,RR1.00:16-17:38:98,5,6,3,2,-248.5,5.25,0,0,0,0.0,0.0,0,0.0,0.0,,-253.75,,420.3,-822.25,739.8,-760.2,
3,2020-03,2020-03-19 00:00:00,False,2021-06-03 23:30:00,intratrade_excursion,71.4,RR1.00:17-18:97:439,441,1693,702,990,2953.0,1776.6,2,15,44,1000.0,1000.0,0,0.0,0.0,2020-11-09 00:00:00,176.4,,3568.85,-705.2,3596.4,100.0,
4,2020-05,2020-05-01 00:00:00,False,2021-03-08 18:50:40,intratrade_excursion,47.65,RR1.00:17-18:80:365,311,1188,506,681,2138.0,1246.35,1,3,37,500.0,500.0,0,0.0,0.0,2021-01-11 00:00:00,391.65,,3320.35,-125.1,3347.9,100.0,
5,2020-06,2020-06-01 00:00:00,False,2020-10-06 23:30:00,intratrade_excursion,-112.5,RR1.00:22-23:55:219,127,511,217,293,622.0,535.5,0,0,14,0.0,0.0,0,0.0,0.0,,86.5,,1510.35,-870.2,1551.35,51.35,
6,2020-07,2020-07-01 00:00:00,False,2021-05-27 15:00:00,intratrade_excursion,97.45,RR1.00:12-13:118:441,330,1272,526,745,1465.5,1334.55,0,1,42,0.0,0.0,0,0.0,0.0,,130.95,,2930.15,-418.75,2977.65,100.0,
7,2020-09,2020-09-01 00:00:00,False,2020-10-06 23:30:00,intratrade_excursion,-740.0,RR1.00:22-23:55:219,35,151,61,89,-383.5,157.5,0,0,1,0.0,0.0,0,0.0,0.0,,-541.0,,882.85,-740.0,923.85,-576.15,
8,2020-10,2020-10-01 00:00:00,False,2021-02-23 23:30:00,intratrade_excursion,-73.05,RR1.00:17-18:77:349,145,552,230,321,768.0,578.55,0,0,17,0.0,0.0,0,0.0,0.0,,189.45,,1700.25,-901.5,1747.75,100.0,
9,2020-10,2020-10-07 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,27.95,RR1.00:21-22:111:386,148,562,235,326,807.0,589.05,0,1,17,0.0,0.0,0,0.0,0.0,,217.95,,2556.25,-45.5,2603.75,100.0,
10,2020-10,2020-10-13 00:00:00,False,2021-02-23 23:30:00,intratrade_excursion,-4.45,RR1.00:17-18:77:349,133,500,208,291,782.0,523.95,0,0,17,0.0,0.0,0,0.0,0.0,,258.05,,1768.85,-144.9,1816.35,100.0,
11,2020-11,2020-11-01 00:00:00,False,2021-02-22 16:42:20,intratrade_excursion,57.95,RR1.00:16-17:170:464,113,432,179,252,603.5,452.55,0,0,12,0.0,0.0,0,0.0,0.0,,150.95,,1567.0,-16.5,1614.5,100.0,
12,2020-12,2020-12-01 00:00:00,False,2021-02-22 16:42:20,intratrade_excursion,-669.8,RR1.00:16-17:170:464,83,317,127,189,-245.0,331.8,0,0,8,0.0,0.0,0,0.0,0.0,,-576.8,,839.25,-669.8,886.75,-613.25,
13,2021-01,2021-01-01 00:00:00,False,2021-02-22 16:42:20,intratrade_excursion,-653.95,RR1.00:16-17:170:464,52,200,84,115,-352.0,208.95,0,0,4,0.0,0.0,0,0.0,0.0,,-560.95,,855.1,-653.95,902.6,-597.4,
14,2021-02,2021-02-01 00:00:00,False,2021-03-04 19:14:40,intratrade_excursion,-1074.2,RR1.00:18-19:79:342,31,125,48,76,-761.5,130.2,0,0,1,0.0,0.0,0,0.0,0.0,,-891.7,,529.45,-1074.2,587.45,-912.55,
15,2021-02,2021-02-23 00:00:00,False,2021-03-05 23:30:00,intratrade_excursion,-1141.4,RR1.00:21-22:112:388,10,49,16,32,-1032.5,50.4,0,0,1,0.0,0.0,0,0.0,0.0,,-1082.9,,333.6,-1141.4,391.85,-1108.15,
16,2021-02,2021-02-23 00:00:00,False,2021-03-05 23:30:00,intratrade_excursion,-1141.4,RR1.00:21-22:112:388,10,49,16,32,-1032.5,50.4,0,0,1,0.0,0.0,0,0.0,0.0,,-1082.9,,333.6,-1141.4,391.85,-1108.15,
17,2021-03,2021-03-10 00:00:00,False,2021-05-18 22:53:40,intratrade_excursion,-183.45,RR1.00:22-23:110:423,69,270,104,165,240.5,282.45,0,0,7,0.0,0.0,0,0.0,0.0,,-41.95,,1302.9,-183.45,1355.85,-144.15,
18,2021-03,2021-03-17 00:00:00,False,2021-05-18 22:53:40,intratrade_excursion,-737.7,RR1.00:22-23:110:423,62,245,91,153,-340.0,256.2,0,0,7,0.0,0.0,0,0.0,0.0,,-596.2,,748.65,-737.7,801.6,-698.4,
19,2021-03,2021-03-17 00:00:00,False,2021-05-18 22:53:40,intratrade_excursion,-737.7,RR1.00:22-23:110:423,62,245,91,153,-340.0,256.2,0,0,7,0.0,0.0,0,0.0,0.0,,-596.2,,748.65,-737.7,801.6,-698.4,
20,2021-04,2021-04-20 00:00:00,False,2021-05-19 15:55:40,intratrade_excursion,-1505.85,RR1.00:15-16:143:488,29,128,42,85,-1310.0,133.35,0,0,3,0.0,0.0,0,0.0,0.0,,-1443.35,,0.0,-1505.85,39.9,-1460.1,
21,2021-04,2021-04-20 00:00:00,False,2021-05-19 15:55:40,intratrade_excursion,-1505.85,RR1.00:15-16:143:488,29,128,42,85,-1310.0,133.35,0,0,3,0.0,0.0,0,0.0,0.0,,-1443.35,,0.0,-1505.85,39.9,-1460.1,
22,2021-07,2021-07-03 00:00:00,False,2022-01-10 20:30:00,intratrade_excursion,24.75,RR1.00:18-19:138:610,191,716,287,428,858.0,750.75,0,0,24,0.0,0.0,0,0.0,0.0,,107.25,,2470.4,-238.55,2506.45,100.0,
23,2021-07,2021-07-03 00:00:00,False,2022-01-10 20:30:00,intratrade_excursion,24.75,RR1.00:18-19:138:610,191,716,287,428,858.0,750.75,0,0,24,0.0,0.0,0,0.0,0.0,,107.25,,2470.4,-238.55,2506.45,100.0,
24,2021-07,2021-07-03 00:00:00,False,2022-01-10 20:30:00,intratrade_excursion,24.75,RR1.00:18-19:138:610,191,716,287,428,858.0,750.75,0,0,24,0.0,0.0,0,0.0,0.0,,107.25,,2470.4,-238.55,2506.45,100.0,
25,2021-07,2021-07-03 00:00:00,False,2022-01-10 20:30:00,intratrade_excursion,24.75,RR1.00:18-19:138:610,191,716,287,428,858.0,750.75,0,0,24,0.0,0.0,0,0.0,0.0,,107.25,,2470.4,-238.55,2506.45,100.0,
26,2021-07,2021-07-07 00:00:00,False,2022-01-10 13:23:40,intratrade_excursion,72.2,RR1.00:11-12:156:671,187,707,283,423,946.5,741.3,0,0,24,0.0,0.0,0,0.0,0.0,,205.2,,2348.75,-360.2,2384.8,100.0,
27,2021-07,2021-07-08 00:00:00,False,2022-01-07 23:30:00,intratrade_excursion,52.05,RR1.00:21-22:180:634,183,700,279,420,862.5,733.95,0,0,23,0.0,0.0,0,0.0,0.0,,128.55,,2260.45,-448.5,2296.5,100.0,
28,2021-07,2021-07-08 00:00:00,False,2022-01-07 23:30:00,intratrade_excursion,52.05,RR1.00:21-22:180:634,183,700,279,420,862.5,733.95,0,0,23,0.0,0.0,0,0.0,0.0,,128.55,,2260.45,-448.5,2296.5,100.0,
29,2021-07,2021-07-10 00:00:00,False,2022-01-07 17:38:40,intratrade_excursion,64.2,RR1.00:16-17:297:804,181,687,274,412,1186.0,720.3,0,0,23,0.0,0.0,0,0.0,0.0,,465.7,,2195.05,-513.9,2231.1,100.0,
30,2021-07,2021-07-10 00:00:00,False,2022-01-07 17:38:40,intratrade_excursion,64.2,RR1.00:16-17:297:804,181,687,274,412,1186.0,720.3,0,0,23,0.0,0.0,0,0.0,0.0,,465.7,,2195.05,-513.9,2231.1,100.0,
31,2021-07,2021-07-10 00:00:00,False,2022-01-07 17:38:40,intratrade_excursion,64.2,RR1.00:16-17:297:804,181,687,274,412,1186.0,720.3,0,0,23,0.0,0.0,0,0.0,0.0,,465.7,,2195.05,-513.9,2231.1,100.0,
32,2021-08,2021-08-01 00:00:00,False,2022-01-10 13:23:40,intratrade_excursion,67.3,RR1.00:11-12:156:671,162,615,248,366,845.0,644.7,0,0,19,0.0,0.0,0,0.0,0.0,,200.3,,2343.85,-194.15,2379.9,100.0,
33,2021-09,2021-09-01 00:00:00,False,2022-01-07 17:38:40,intratrade_excursion,10.4,RR1.00:16-17:297:804,128,493,200,292,928.5,516.6,0,0,14,0.0,0.0,0,0.0,0.0,,411.9,,2141.25,-396.75,2177.3,100.0,
34,2021-10,2021-10-01 00:00:00,False,2022-01-10 16:31:40,intratrade_excursion,31.8,RR1.00:16-17:298:807,101,375,153,221,509.0,392.7,0,0,11,0.0,0.0,0,0.0,0.0,,116.3,,2393.9,-144.1,2429.95,100.0,
35,2021-11,2021-11-01 00:00:00,False,2021-12-03 23:00:00,intratrade_excursion,-887.5,RR1.00:22-23:164:611,32,141,52,88,-619.0,147.0,0,0,0,0.0,0.0,0,0.0,0.0,,-766.0,,693.5,-887.5,729.55,-770.45,
36,2021-12,2021-12-01 00:00:00,False,2022-01-07 17:38:40,intratrade_excursion,-1535.75,RR1.00:16-17:297:804,37,146,54,91,-982.0,152.25,0,0,1,0.0,0.0,0,0.0,0.0,,-1134.25,,57.3,-1535.75,204.8,-1295.2,
37,2021-12,2021-12-04 00:00:00,False,2022-01-07 23:30:00,intratrade_excursion,-930.35,RR1.00:21-22:180:634,34,128,48,79,-720.5,133.35,0,0,1,0.0,0.0,0,0.0,0.0,,-853.85,,531.2,-930.35,627.45,-872.55,
38,2022-01,2022-01-01 00:00:00,False,2022-05-12 08:23:40,intratrade_excursion,6.9,RR1.00:3-4:205:767,131,493,196,296,1197.5,516.6,1,2,11,500.0,500.0,0,0.0,0.0,2022-04-25 00:00:00,180.9,,3485.05,-1170.55,3618.4,100.0,
39,2022-01,2022-01-12 00:00:00,False,2022-05-12 11:45:40,intratrade_excursion,95.35,RR1.00:10-11:201:774,120,454,182,271,1219.0,475.65,1,4,9,500.0,500.0,0,0.0,0.0,2022-04-18 00:00:00,243.35,,3387.1,-824.5,3464.45,100.0,
40,2022-01,2022-01-12 00:00:00,False,2022-05-12 11:45:40,intratrade_excursion,95.35,RR1.00:10-11:201:774,120,454,182,271,1219.0,475.65,1,4,9,500.0,500.0,0,0.0,0.0,2022-04-18 00:00:00,243.35,,3387.1,-824.5,3464.45,100.0,
41,2022-01,2022-01-12 00:00:00,False,2022-05-12 11:45:40,intratrade_excursion,95.35,RR1.00:10-11:201:774,120,454,182,271,1219.0,475.65,1,4,9,500.0,500.0,0,0.0,0.0,2022-04-18 00:00:00,243.35,,3387.1,-824.5,3464.45,100.0,
42,2022-01,2022-01-12 00:00:00,False,2022-05-12 11:45:40,intratrade_excursion,95.35,RR1.00:10-11:201:774,120,454,182,271,1219.0,475.65,1,4,9,500.0,500.0,0,0.0,0.0,2022-04-18 00:00:00,243.35,,3387.1,-824.5,3464.45,100.0,
43,2022-01,2022-01-12 00:00:00,False,2022-05-12 11:45:40,intratrade_excursion,95.35,RR1.00:10-11:201:774,120,454,182,271,1219.0,475.65,1,4,9,500.0,500.0,0,0.0,0.0,2022-04-18 00:00:00,243.35,,3387.1,-824.5,3464.45,100.0,
44,2022-01,2022-01-12 00:00:00,False,2022-05-12 11:45:40,intratrade_excursion,95.35,RR1.00:10-11:201:774,120,454,182,271,1219.0,475.65,1,4,9,500.0,500.0,0,0.0,0.0,2022-04-18 00:00:00,243.35,,3387.1,-824.5,3464.45,100.0,
45,2022-01,2022-01-12 00:00:00,False,2022-05-12 11:45:40,intratrade_excursion,95.35,RR1.00:10-11:201:774,120,454,182,271,1219.0,475.65,1,4,9,500.0,500.0,0,0.0,0.0,2022-04-18 00:00:00,243.35,,3387.1,-824.5,3464.45,100.0,
46,2022-01,2022-01-12 00:00:00,False,2022-05-12 11:45:40,intratrade_excursion,95.35,RR1.00:10-11:201:774,120,454,182,271,1219.0,475.65,1,4,9,500.0,500.0,0,0.0,0.0,2022-04-18 00:00:00,243.35,,3387.1,-824.5,3464.45,100.0,
47,2022-01,2022-01-15 00:00:00,False,2022-05-12 08:23:40,intratrade_excursion,66.3,RR1.00:3-4:205:767,117,435,173,261,1196.0,455.7,1,2,11,500.0,500.0,0,0.0,0.0,2022-04-25 00:00:00,240.3,,3544.45,-1111.15,3677.8,100.0,
48,2022-01,2022-01-15 00:00:00,False,2022-05-12 08:23:40,intratrade_excursion,66.3,RR1.00:3-4:205:767,117,435,173,261,1196.0,455.7,1,2,11,500.0,500.0,0,0.0,0.0,2022-04-25 00:00:00,240.3,,3544.45,-1111.15,3677.8,100.0,
49,2022-01,2022-01-15 00:00:00,False,2022-05-12 08:23:40,intratrade_excursion,66.3,RR1.00:3-4:205:767,117,435,173,261,1196.0,455.7,1,2,11,500.0,500.0,0,0.0,0.0,2022-04-25 00:00:00,240.3,,3544.45,-1111.15,3677.8,100.0,
