account_id,cohort_month,activated_at,alive,died_at,death_reason,death_equity_usd,death_trade_key,lifetime_days,trades_taken,wins,losses,gross_pnl_usd,commission_usd,payout_count,requests_blocked,requests_withheld,withdrawn_usd,received_usd,months_accrued,entitlement_accrued_usd,entitlement_outstanding_usd,first_withdrawal_at,equity_profit_usd,balance_usd,max_equity_profit_usd,min_equity_profit_usd,peak_profit_usd,floor_profit_usd,headroom_usd
1,2020-04,2020-04-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,53.5,RR1.00:21-22:111:386,337,1301,551,749,2608.5,1365.0,2,42,0,1000.0,1000.0,0,0.0,0.0,2020-11-09 00:00:00,243.5,,3081.8,-261.4,3109.35,100.0,
2,2020-05,2020-05-01 00:00:00,False,2021-03-04 19:14:40,intratrade_excursion,-16.9,RR1.00:18-19:79:342,307,1179,502,676,2402.5,1236.9,2,37,1,1000.0,1000.0,0,0.0,0.0,2020-11-16 00:00:00,165.6,,2820.35,-125.1,2847.9,100.0,
3,2020-06,2020-06-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-49.6,RR1.00:21-22:111:386,276,1073,452,620,1266.0,1125.6,0,30,5,0.0,0.0,0,0.0,0.0,,140.4,,2478.7,-870.2,2526.2,26.2,
4,2020-07,2020-07-01 00:00:00,False,2021-03-04 19:14:40,intratrade_excursion,92.9,RR1.00:18-19:79:342,246,953,404,548,1775.0,999.6,1,30,0,500.0,500.0,0,0.0,0.0,2021-01-11 00:00:00,275.4,,2930.15,-418.75,2957.7,100.0,
5,2020-08,2020-08-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-5.15,RR1.00:21-22:111:386,215,834,352,481,1059.5,874.65,0,26,0,0.0,0.0,0,0.0,0.0,,184.85,,2523.15,-78.6,2570.65,70.65,
6,2020-09,2020-09-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-677.1,RR1.00:21-22:111:386,184,713,296,416,260.5,747.6,0,19,3,0.0,0.0,0,0.0,0.0,,-487.1,,1851.2,-750.55,1898.7,-601.3,
7,2020-10,2020-10-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-828.05,RR1.00:21-22:111:386,154,592,243,348,-17.5,620.55,0,17,1,0.0,0.0,0,0.0,0.0,,-638.05,,1700.25,-901.5,1747.75,-752.25,
8,2020-11,2020-11-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-961.3,RR1.00:21-22:111:386,123,477,194,282,-271.5,499.8,0,12,1,0.0,0.0,0,0.0,0.0,,-771.3,,1567.0,-961.3,1614.5,-885.5,
9,2020-12,2020-12-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-1689.05,RR1.00:21-22:111:386,93,362,142,219,-1120.0,379.05,0,3,6,0.0,0.0,0,0.0,0.0,,-1499.05,,839.25,-1689.05,886.75,-1613.25,
10,2021-01,2021-01-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-1673.2,RR1.00:21-22:111:386,62,245,99,145,-1227.0,256.2,0,0,5,0.0,0.0,0,0.0,0.0,,-1483.2,,855.1,-1673.2,902.6,-1597.4,
11,2021-02,2021-02-01 00:00:00,False,2021-06-07 16:40:40,intratrade_excursion,-1919.55,RR1.00:16-17:211:572,126,482,181,300,-1358.5,505.05,0,1,14,0.0,0.0,0,0.0,0.0,,-1863.55,,529.45,-1919.55,587.45,-1912.55,
12,2021-03,2021-03-01 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1479.55,RR1.00:15-16:152:510,101,392,145,246,-967.0,410.55,0,6,4,0.0,0.0,0,0.0,0.0,,-1377.55,,987.7,-1479.55,1040.65,-1459.35,
13,2021-03,2021-03-05 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1046.55,RR1.00:15-16:152:510,97,372,139,232,-555.0,389.55,0,7,3,0.0,0.0,0,0.0,0.0,,-944.55,,1420.7,-1046.55,1473.65,-1026.35,
14,2021-03,2021-03-05 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1046.55,RR1.00:15-16:152:510,97,372,139,232,-555.0,389.55,0,7,3,0.0,0.0,0,0.0,0.0,,-944.55,,1420.7,-1046.55,1473.65,-1026.35,
15,2021-03,2021-03-05 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1046.55,RR1.00:15-16:152:510,97,372,139,232,-555.0,389.55,0,7,3,0.0,0.0,0,0.0,0.0,,-944.55,,1420.7,-1046.55,1473.65,-1026.35,
16,2021-03,2021-03-05 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1046.55,RR1.00:15-16:152:510,97,372,139,232,-555.0,389.55,0,7,3,0.0,0.0,0,0.0,0.0,,-944.55,,1420.7,-1046.55,1473.65,-1026.35,
17,2021-03,2021-03-05 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1046.55,RR1.00:15-16:152:510,97,372,139,232,-555.0,389.55,0,7,3,0.0,0.0,0,0.0,0.0,,-944.55,,1420.7,-1046.55,1473.65,-1026.35,
18,2021-03,2021-03-05 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1046.55,RR1.00:15-16:152:510,97,372,139,232,-555.0,389.55,0,7,3,0.0,0.0,0,0.0,0.0,,-944.55,,1420.7,-1046.55,1473.65,-1026.35,
19,2021-03,2021-03-05 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1046.55,RR1.00:15-16:152:510,97,372,139,232,-555.0,389.55,0,7,3,0.0,0.0,0,0.0,0.0,,-944.55,,1420.7,-1046.55,1473.65,-1026.35,
20,2021-03,2021-03-05 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1046.55,RR1.00:15-16:152:510,97,372,139,232,-555.0,389.55,0,7,3,0.0,0.0,0,0.0,0.0,,-944.55,,1420.7,-1046.55,1473.65,-1026.35,
21,2021-03,2021-03-11 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1215.1,RR1.00:15-16:152:510,91,353,128,224,-743.5,369.6,0,7,3,0.0,0.0,0,0.0,0.0,,-1113.1,,1252.15,-1215.1,1305.1,-1194.9,
22,2021-03,2021-03-17 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1718.6,RR1.00:15-16:152:510,85,333,117,215,-1268.0,348.6,0,5,5,0.0,0.0,0,0.0,0.0,,-1616.6,,748.65,-1718.6,801.6,-1698.4,
23,2021-04,2021-04-01 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1961.35,RR1.00:15-16:152:510,70,278,96,181,-1568.5,290.85,0,0,6,0.0,0.0,0,0.0,0.0,,-1859.35,,505.9,-1961.35,558.85,-1941.15,
24,2021-05,2021-05-01 00:00:00,False,2022-05-11 22:15:40,intratrade_excursion,-67.0,RR1.00:21-22:209:746,375,1431,570,860,2167.0,1501.5,1,19,29,500.0,500.0,0,0.0,0.0,2022-04-25 00:00:00,165.5,,3176.05,-2139.3,3309.4,100.0,
25,2021-06,2021-06-01 00:00:00,False,2022-05-12 08:23:40,intratrade_excursion,58.65,RR1.00:3-4:205:767,345,1318,534,783,3115.5,1382.85,3,34,8,1500.0,1500.0,0,0.0,0.0,2022-02-28 00:00:00,232.65,,3536.8,-778.55,3670.15,100.0,
26,2021-06,2021-06-08 00:00:00,False,2022-05-11 22:15:40,intratrade_excursion,78.65,RR1.00:21-22:209:746,337,1288,525,762,3662.5,1351.35,4,41,0,2000.0,2000.0,0,0.0,0.0,2022-02-21 00:00:00,311.15,,3590.7,-493.65,3860.7,100.0,
27,2021-06,2021-06-11 00:00:00,False,2022-01-10 13:23:40,intratrade_excursion,85.95,RR1.00:11-12:156:671,213,812,331,480,1570.5,851.55,1,27,0,500.0,500.0,0,0.0,0.0,2021-11-08 00:00:00,218.95,,2862.5,-255.8,2898.55,100.0,
28,2021-07,2021-07-07 00:00:00,False,2022-05-12 08:23:40,intratrade_excursion,67.65,RR1.00:3-4:205:767,309,1168,470,697,2967.0,1225.35,3,32,6,1500.0,1500.0,0,0.0,0.0,2022-02-28 00:00:00,241.65,,3545.8,-360.2,3679.15,100.0,
29,2021-07,2021-07-07 00:00:00,False,2022-05-12 08:23:40,intratrade_excursion,67.65,RR1.00:3-4:205:767,309,1168,470,697,2967.0,1225.35,3,32,6,1500.0,1500.0,0,0.0,0.0,2022-02-28 00:00:00,241.65,,3545.8,-360.2,3679.15,100.0,
30,2021-07,2021-07-07 00:00:00,False,2022-05-12 08:23:40,intratrade_excursion,67.65,RR1.00:3-4:205:767,309,1168,470,697,2967.0,1225.35,3,32,6,1500.0,1500.0,0,0.0,0.0,2022-02-28 00:00:00,241.65,,3545.8,-360.2,3679.15,100.0,
31,2021-07,2021-07-08 00:00:00,False,2022-05-12 08:23:40,intratrade_excursion,-20.65,RR1.00:3-4:205:767,308,1164,467,696,2874.5,1221.15,3,30,8,1500.0,1500.0,0,0.0,0.0,2022-02-28 00:00:00,153.35,,3457.5,-448.5,3590.85,100.0,
32,2021-07,2021-07-08 00:00:00,False,2022-05-12 08:23:40,intratrade_excursion,-20.65,RR1.00:3-4:205:767,308,1164,467,696,2874.5,1221.15,3,30,8,1500.0,1500.0,0,0.0,0.0,2022-02-28 00:00:00,153.35,,3457.5,-448.5,3590.85,100.0,
33,2021-07,2021-07-08 00:00:00,False,2022-05-12 08:23:40,intratrade_excursion,-20.65,RR1.00:3-4:205:767,308,1164,467,696,2874.5,1221.15,3,30,8,1500.0,1500.0,0,0.0,0.0,2022-02-28 00:00:00,153.35,,3457.5,-448.5,3590.85,100.0,
34,2021-07,2021-07-10 00:00:00,False,2022-05-12 03:02:40,intratrade_excursion,89.0,RR1.00:2-3:216:823,306,1151,462,688,2855.5,1207.5,3,30,8,1500.0,1500.0,0,0.0,0.0,2022-02-28 00:00:00,148.0,,3392.1,-513.9,3525.45,100.0,
35,2021-07,2021-07-10 00:00:00,False,2022-05-12 03:02:40,intratrade_excursion,89.0,RR1.00:2-3:216:823,306,1151,462,688,2855.5,1207.5,3,30,8,1500.0,1500.0,0,0.0,0.0,2022-02-28 00:00:00,148.0,,3392.1,-513.9,3525.45,100.0,
36,2021-07,2021-07-13 00:00:00,False,2022-05-11 22:15:40,intratrade_excursion,66.25,RR1.00:21-22:209:746,302,1146,460,685,3001.0,1202.25,3,30,8,1500.0,1500.0,0,0.0,0.0,2022-02-28 00:00:00,298.75,,3309.3,-596.7,3442.65,100.0,
37,2021-07,2021-07-13 00:00:00,False,2022-05-11 22:15:40,intratrade_excursion,66.25,RR1.00:21-22:209:746,302,1146,460,685,3001.0,1202.25,3,30,8,1500.0,1500.0,0,0.0,0.0,2022-02-28 00:00:00,298.75,,3309.3,-596.7,3442.65,100.0,
38,2021-07,2021-07-13 00:00:00,False,2022-05-11 22:15:40,intratrade_excursion,66.25,RR1.00:21-22:209:746,302,1146,460,685,3001.0,1202.25,3,30,8,1500.0,1500.0,0,0.0,0.0,2022-02-28 00:00:00,298.75,,3309.3,-596.7,3442.65,100.0,
39,2021-08,2021-08-01 00:00:00,False,2022-05-12 08:23:40,intratrade_excursion,62.75,RR1.00:3-4:205:767,284,1076,435,640,2865.5,1128.75,3,32,1,1500.0,1500.0,0,0.0,0.0,2022-02-28 00:00:00,236.75,,3540.9,-194.15,3674.25,100.0,
40,2021-09,2021-09-01 00:00:00,False,2022-05-11 22:15:40,intratrade_excursion,95.25,RR1.00:21-22:209:746,252,956,388,567,2830.5,1002.75,3,26,3,1500.0,1500.0,0,0.0,0.0,2022-02-28 00:00:00,327.75,,3338.3,-396.75,3471.65,100.0,
41,2021-10,2021-10-01 00:00:00,False,2022-05-11 20:05:40,intratrade_excursion,81.45,RR1.00:16-17:341:936,222,832,340,491,3691.0,872.55,4,23,1,2000.0,2000.0,0,0.0,0.0,2022-02-28 00:00:00,818.45,,3487.1,-144.1,3629.95,100.0,
42,2021-11,2021-11-01 00:00:00,False,2022-05-12 03:02:40,intratrade_excursion,87.45,RR1.00:2-3:216:823,192,732,289,442,914.0,767.55,0,13,10,0.0,0.0,0,0.0,0.0,,146.45,,2916.25,-1765.05,3023.9,100.0,
43,2021-12,2021-12-01 00:00:00,False,2022-05-11 22:15:40,intratrade_excursion,49.1,RR1.00:21-22:209:746,161,609,242,366,920.0,638.4,0,13,6,0.0,0.0,0,0.0,0.0,,281.6,,2817.85,-1863.45,2925.5,100.0,
44,2022-01,2022-01-11 00:00:00,False,2022-05-11 22:15:40,intratrade_excursion,-101.25,RR1.00:21-22:209:746,120,456,185,270,2109.0,477.75,3,11,0,1500.0,1500.0,0,0.0,0.0,2022-02-28 00:00:00,131.25,,3141.8,-513.8,3275.15,100.0,
45,2022-05,2022-05-12 00:00:00,False,2022-06-30 12:11:40,intratrade_excursion,-1530.2,RR1.00:10-11:213:823,49,215,79,135,-1217.0,224.7,0,1,3,0.0,0.0,0,0.0,0.0,,-1441.7,,995.85,-1530.2,1006.9,-1493.1,
46,2022-05,2022-05-12 00:00:00,False,2022-06-30 12:11:40,intratrade_excursion,-1530.2,RR1.00:10-11:213:823,49,215,79,135,-1217.0,224.7,0,1,3,0.0,0.0,0,0.0,0.0,,-1441.7,,995.85,-1530.2,1006.9,-1493.1,
47,2022-05,2022-05-12 00:00:00,False,2022-06-30 12:11:40,intratrade_excursion,-1530.2,RR1.00:10-11:213:823,49,215,79,135,-1217.0,224.7,0,1,3,0.0,0.0,0,0.0,0.0,,-1441.7,,995.85,-1530.2,1006.9,-1493.1,
48,2022-05,2022-05-12 00:00:00,False,2022-06-30 12:11:40,intratrade_excursion,-1530.2,RR1.00:10-11:213:823,49,215,79,135,-1217.0,224.7,0,1,3,0.0,0.0,0,0.0,0.0,,-1441.7,,995.85,-1530.2,1006.9,-1493.1,
49,2022-05,2022-05-12 00:00:00,False,2022-06-30 12:11:40,intratrade_excursion,-1530.2,RR1.00:10-11:213:823,49,215,79,135,-1217.0,224.7,0,1,3,0.0,0.0,0,0.0,0.0,,-1441.7,,995.85,-1530.2,1006.9,-1493.1,
50,2022-05,2022-05-12 00:00:00,False,2022-06-30 12:11:40,intratrade_excursion,-1530.2,RR1.00:10-11:213:823,49,215,79,135,-1217.0,224.7,0,1,3,0.0,0.0,0,0.0,0.0,,-1441.7,,995.85,-1530.2,1006.9,-1493.1,
51,2022-05,2022-05-12 00:00:00,False,2022-06-30 12:11:40,intratrade_excursion,-1530.2,RR1.00:10-11:213:823,49,215,79,135,-1217.0,224.7,0,1,3,0.0,0.0,0,0.0,0.0,,-1441.7,,995.85,-1530.2,1006.9,-1493.1,
52,2022-05,2022-05-12 00:00:00,False,2022-06-30 12:11:40,intratrade_excursion,-1530.2,RR1.00:10-11:213:823,49,215,79,135,-1217.0,224.7,0,1,3,0.0,0.0,0,0.0,0.0,,-1441.7,,995.85,-1530.2,1006.9,-1493.1,
53,2022-05,2022-05-12 00:00:00,False,2022-06-30 12:11:40,intratrade_excursion,-1530.2,RR1.00:10-11:213:823,49,215,79,135,-1217.0,224.7,0,1,3,0.0,0.0,0,0.0,0.0,,-1441.7,,995.85,-1530.2,1006.9,-1493.1,
54,2022-05,2022-05-13 00:00:00,False,2022-06-30 12:11:40,intratrade_excursion,-1178.85,RR1.00:10-11:213:823,48,208,78,129,-873.0,217.35,0,1,3,0.0,0.0,0,0.0,0.0,,-1090.35,,1347.2,-1178.85,1358.25,-1141.75,
