at,account_id,cohort_month,requested_usd,allowed_usd,balance_usd,blocked_by,blockers
2020-09-07 00:00:00,4,2020-04,212.85,0.0,52312.85,minimum_balance,minimum_balance
2020-10-19 00:00:00,4,2020-04,19.55,0.0,52119.55,minimum_balance,minimum_balance
2020-10-26 00:00:00,4,2020-04,125.8,0.0,52225.8,minimum_balance,minimum_balance
2020-11-09 00:00:00,1,2020-01,47.3,0.0,52147.3,minimum_balance,minimum_balance|consistency
2020-11-09 00:00:00,3,2020-03,194.3,0.0,52294.3,minimum_balance,minimum_balance|consistency
2020-11-16 00:00:00,1,2020-01,270.55,0.0,52370.55,minimum_balance,minimum_balance|consistency
2020-11-16 00:00:00,2,2020-02,38.2,0.0,52138.2,minimum_balance,minimum_balance|consistency
2020-11-16 00:00:00,3,2020-03,417.55,0.0,52517.55,minimum_balance,minimum_balance
2020-11-16 00:00:00,4,2020-04,223.25,0.0,52323.25,minimum_balance,minimum_balance|trading_days|profitable_days
2020-11-23 00:00:00,1,2020-01,12.6,0.0,52112.6,minimum_balance,minimum_balance|consistency
2020-11-23 00:00:00,3,2020-03,159.6,0.0,52259.6,minimum_balance,minimum_balance|consistency
2020-11-30 00:00:00,3,2020-03,77.9,0.0,52177.9,minimum_balance,minimum_balance|consistency
2020-12-07 00:00:00,3,2020-03,108.35,0.0,52208.35,minimum_balance,minimum_balance|consistency
2020-12-14 00:00:00,3,2020-03,110.85,0.0,52210.85,minimum_balance,minimum_balance|consistency
2020-12-21 00:00:00,1,2020-01,177.45,0.0,52277.45,minimum_balance,minimum_balance|consistency
2020-12-21 00:00:00,3,2020-03,324.45,0.0,52424.45,minimum_balance,minimum_balance
2020-12-21 00:00:00,4,2020-04,130.15,0.0,52230.15,minimum_balance,minimum_balance
2020-12-28 00:00:00,1,2020-01,147.45,0.0,52247.45,minimum_balance,minimum_balance|consistency
2020-12-28 00:00:00,3,2020-03,294.45,0.0,52394.45,minimum_balance,minimum_balance
2020-12-28 00:00:00,4,2020-04,100.15,0.0,52200.15,minimum_balance,minimum_balance
2021-01-04 00:00:00,1,2020-01,40.75,0.0,52140.75,minimum_balance,minimum_balance|consistency
2021-01-04 00:00:00,3,2020-03,187.75,0.0,52287.75,minimum_balance,minimum_balance|consistency
2021-01-11 00:00:00,1,2020-01,895.85,0.0,52995.85,consistency,consistency
2021-01-11 00:00:00,2,2020-02,663.5,0.0,52763.5,consistency,consistency
2021-01-18 00:00:00,1,2020-01,260.05,0.0,52360.05,minimum_balance,minimum_balance|consistency
2021-01-18 00:00:00,2,2020-02,27.7,0.0,52127.7,minimum_balance,minimum_balance|consistency
2021-01-25 00:00:00,1,2020-01,340.5,0.0,52440.5,minimum_balance,minimum_balance|consistency
2021-01-25 00:00:00,2,2020-02,108.15,0.0,52208.15,minimum_balance,minimum_balance|consistency
2021-11-08 00:00:00,11,2021-06,175.2,0.0,52275.2,minimum_balance,minimum_balance
2021-11-08 00:00:00,13,2021-08,179.3,0.0,52279.3,minimum_balance,minimum_balance
2022-02-21 00:00:00,11,2021-06,369.7,0.0,52469.7,minimum_balance,minimum_balance
2022-02-21 00:00:00,13,2021-08,373.8,0.0,52473.8,minimum_balance,minimum_balance
2022-02-21 00:00:00,14,2021-09,171.2,0.0,52271.2,minimum_balance,minimum_balance|consistency
2022-02-28 00:00:00,16,2022-01,281.2,0.0,52381.2,minimum_balance,minimum_balance
2022-04-04 00:00:00,16,2022-01,59.25,0.0,52159.25,minimum_balance,minimum_balance|consistency
2022-04-11 00:00:00,10,2021-05,134.0,0.0,52234.0,minimum_balance,minimum_balance|consistency
2022-04-11 00:00:00,11,2021-06,161.8,0.0,52261.8,minimum_balance,minimum_balance
2022-04-11 00:00:00,13,2021-08,161.8,0.0,52261.8,minimum_balance,minimum_balance
2022-04-11 00:00:00,14,2021-09,161.8,0.0,52261.8,minimum_balance,minimum_balance
2022-04-11 00:00:00,16,2022-01,443.0,0.0,52543.0,minimum_balance,minimum_balance
2022-04-18 00:00:00,10,2021-05,321.25,0.0,52421.25,minimum_balance,minimum_balance
2022-04-18 00:00:00,11,2021-06,349.05,0.0,52449.05,minimum_balance,minimum_balance
2022-04-18 00:00:00,13,2021-08,349.05,0.0,52449.05,minimum_balance,minimum_balance
2022-04-18 00:00:00,14,2021-09,349.05,0.0,52449.05,minimum_balance,minimum_balance
2022-04-25 00:00:00,15,2021-12,332.2,0.0,52432.2,minimum_balance,minimum_balance
2022-04-25 00:00:00,16,2022-01,394.85,0.0,52494.85,minimum_balance,minimum_balance|trading_days|profitable_days
2022-08-15 00:00:00,21,2022-07,110.15,0.0,52210.15,minimum_balance,minimum_balance|trading_days|profitable_days
2022-10-03 00:00:00,21,2022-07,156.1,0.0,52256.1,minimum_balance,minimum_balance
2022-10-10 00:00:00,21,2022-07,341.75,0.0,52441.75,minimum_balance,minimum_balance
2022-10-17 00:00:00,21,2022-07,305.7,0.0,52405.7,minimum_balance,minimum_balance
2022-10-24 00:00:00,22,2022-08,6.25,0.0,52106.25,minimum_balance,minimum_balance
2023-03-20 00:00:00,22,2022-08,4.95,0.0,52104.95,minimum_balance,minimum_balance|consistency
2023-03-27 00:00:00,21,2022-07,376.05,0.0,52476.05,minimum_balance,minimum_balance
2023-03-27 00:00:00,22,2022-08,382.3,0.0,52482.3,minimum_balance,minimum_balance
2023-04-03 00:00:00,27,2023-01,121.4,0.0,52221.4,minimum_balance,minimum_balance|consistency
2023-04-10 00:00:00,21,2022-07,16.1,0.0,52116.1,minimum_balance,minimum_balance|trading_days|profitable_days
2023-04-10 00:00:00,22,2022-08,16.1,0.0,52116.1,minimum_balance,minimum_balance|trading_days|profitable_days
2023-04-10 00:00:00,27,2023-01,137.5,0.0,52237.5,minimum_balance,minimum_balance|consistency
2023-04-17 00:00:00,21,2022-07,449.55,0.0,52549.55,minimum_balance,minimum_balance
2023-04-17 00:00:00,22,2022-08,449.55,0.0,52549.55,minimum_balance,minimum_balance
2023-04-17 00:00:00,23,2022-09,156.4,0.0,52256.4,minimum_balance,minimum_balance|consistency
2023-04-24 00:00:00,21,2022-07,146.1,0.0,52246.1,minimum_balance,minimum_balance
2023-04-24 00:00:00,22,2022-08,146.1,0.0,52246.1,minimum_balance,minimum_balance
