account_id,cohort_month,activated_at,alive,died_at,death_reason,death_equity_usd,death_trade_key,lifetime_days,trades_taken,wins,losses,gross_pnl_usd,commission_usd,payout_count,requests_blocked,requests_withheld,withdrawn_usd,received_usd,months_accrued,entitlement_accrued_usd,entitlement_outstanding_usd,first_withdrawal_at,equity_profit_usd,balance_usd,max_equity_profit_usd,min_equity_profit_usd,peak_profit_usd,floor_profit_usd,headroom_usd
1,2020-01,2020-01-01 00:00:00,False,2021-06-03 23:30:00,intratrade_excursion,-1.6,RR1.00:17-18:97:439,519,1983,824,1158,2184.5,2081.1,0,32,38,0.0,0.0,0,0.0,0.0,,103.4,,2995.85,-1778.2,3043.35,100.0,
2,2020-02,2020-02-01 00:00:00,False,2021-03-08 15:30:00,intratrade_excursion,86.85,RR1.00:13-14:111:411,401,1524,643,880,1774.5,1599.15,0,24,30,0.0,0.0,0,0.0,0.0,,175.35,,2763.5,-2010.55,2811.0,100.0,
3,2020-03,2020-03-01 00:00:00,False,2021-02-26 10:00:00,intratrade_excursion,52.9,RR1.00:8-9:108:397,362,1386,587,798,2637.5,1454.25,1,23,23,1042.85,1042.85,0,0.0,0.0,2021-01-11 00:00:00,140.4,,3142.85,-1631.2,3170.4,100.0,
4,2020-04,2020-04-01 00:00:00,False,2021-02-26 10:00:00,intratrade_excursion,52.9,RR1.00:8-9:108:397,331,1277,543,733,2962.0,1339.8,2,28,13,1481.8,1481.8,0,0.0,0.0,2020-11-09 00:00:00,140.4,,2948.55,-261.4,2976.1,100.0,
5,2020-05,2020-05-01 00:00:00,False,2021-02-26 10:00:00,intratrade_excursion,52.9,RR1.00:8-9:108:397,301,1156,494,661,2573.5,1212.75,2,24,13,1220.35,1220.35,0,0.0,0.0,2020-11-16 00:00:00,140.4,,2725.3,-125.1,2752.85,100.0,
6,2020-06,2020-06-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-49.6,RR1.00:21-22:111:386,276,1073,452,620,1266.0,1125.6,0,18,17,0.0,0.0,0,0.0,0.0,,140.4,,2478.7,-870.2,2526.2,26.2,
7,2020-07,2020-07-01 00:00:00,False,2021-02-26 10:00:00,intratrade_excursion,52.9,RR1.00:8-9:108:397,240,930,396,533,1946.0,975.45,1,21,8,830.15,830.15,0,0.0,0.0,2021-01-11 00:00:00,140.4,,2930.15,-418.75,2957.7,100.0,
8,2020-08,2020-08-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-5.15,RR1.00:21-22:111:386,215,834,352,481,1059.5,874.65,0,18,8,0.0,0.0,0,0.0,0.0,,184.85,,2523.15,-78.6,2570.65,70.65,
9,2020-09,2020-09-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-677.1,RR1.00:21-22:111:386,184,713,296,416,260.5,747.6,0,6,16,0.0,0.0,0,0.0,0.0,,-487.1,,1851.2,-750.55,1898.7,-601.3,
10,2020-10,2020-10-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-828.05,RR1.00:21-22:111:386,154,592,243,348,-17.5,620.55,0,2,16,0.0,0.0,0,0.0,0.0,,-638.05,,1700.25,-901.5,1747.75,-752.25,
11,2020-11,2020-11-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-961.3,RR1.00:21-22:111:386,123,477,194,282,-271.5,499.8,0,1,12,0.0,0.0,0,0.0,0.0,,-771.3,,1567.0,-961.3,1614.5,-885.5,
12,2020-12,2020-12-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-1689.05,RR1.00:21-22:111:386,93,362,142,219,-1120.0,379.05,0,0,9,0.0,0.0,0,0.0,0.0,,-1499.05,,839.25,-1689.05,886.75,-1613.25,
13,2021-01,2021-01-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-1673.2,RR1.00:21-22:111:386,62,245,99,145,-1227.0,256.2,0,0,5,0.0,0.0,0,0.0,0.0,,-1483.2,,855.1,-1673.2,902.6,-1597.4,
14,2021-02,2021-02-01 00:00:00,False,2021-06-07 16:40:40,intratrade_excursion,-1919.55,RR1.00:16-17:211:572,126,482,181,300,-1358.5,505.05,0,0,15,0.0,0.0,0,0.0,0.0,,-1863.55,,529.45,-1919.55,587.45,-1912.55,
15,2021-02,2021-02-27 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1479.55,RR1.00:15-16:152:510,103,392,145,246,-967.0,410.55,0,0,15,0.0,0.0,0,0.0,0.0,,-1377.55,,987.7,-1479.55,1040.65,-1459.35,
