initial_cash,monthly_funding,acquisition,withdrawal,cadence,headroom,reserve_25k,reserve_50k,ongoing_25k,ongoing_50k,ongoing_delta_50k_minus_25k,total_25k,total_50k,total_delta_50k_minus_25k
1000,0,monthly_current_slot_replacements,maximum,calendar_month,0,25100.0,50100.0,-1000.0,-857.45,142.55,-1000.0,-857.45,142.55
1000,0,monthly_current_slot_replacements,maximum,calendar_month,100,25200.0,50200.0,-1000.0,-857.45,142.55,-1000.0,-857.45,142.55
1000,0,monthly_current_slot_replacements,maximum,calendar_month,200,25300.0,50300.0,-1000.0,-857.45,142.55,-1000.0,-857.45,142.55
1000,0,monthly_current_slot_replacements,maximum,calendar_month,300,25400.0,50400.0,-1000.0,-857.45,142.55,-1000.0,-857.45,142.55
1000,0,monthly_current_slot_replacements,maximum,calendar_month,400,25500.0,50500.0,-1000.0,-857.45,142.55,-1000.0,-857.45,142.55
1000,0,monthly_current_slot_replacements,maximum,calendar_month,500,25600.0,50600.0,-1000.0,-857.45,142.55,-1000.0,-857.45,142.55
1000,0,monthly_current_slot_replacements,maximum,calendar_month,1000,26100.0,51100.0,-1000.0,-857.45,142.55,-1000.0,-857.45,142.55
1000,0,monthly_current_slot_replacements,maximum,calendar_month,2000,27100.0,52100.0,-1000.0,-857.45,142.55,-1000.0,-857.45,142.55
1000,0,monthly_current_slot_replacements,maximum,calendar_month,3000,28100.0,53100.0,-1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4000,29100.0,54100.0,-1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0
1000,0,monthly_current_slot_replacements,maximum,calendar_month,4900,30000.0,55000.0,-1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0
1000,0,monthly_current_slot_replacements,maximum,calendar_month,5000,30100.0,55100.0,-1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0
1000,0,monthly_current_slot_replacements,maximum,calendar_month,6000,31100.0,56100.0,-1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0
1000,0,monthly_current_slot_replacements,maximum,calendar_month,6500,31600.0,56600.0,-1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0
1000,0,monthly_current_slot_replacements,maximum,calendar_month,6800,31900.0,56900.0,-1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0
1000,0,monthly_current_slot_replacements,maximum,calendar_month,7000,32100.0,57100.0,-1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0
1000,0,monthly_current_slot_replacements,maximum,calendar_month,8000,33100.0,58100.0,-1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0
1000,0,monthly_current_slot_replacements,maximum,calendar_month,9000,34100.0,59100.0,-1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0
1000,0,monthly_current_slot_replacements,maximum,calendar_month,10000,35100.0,60100.0,-1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0
1000,0,monthly_current_slot_replacements,maximum,calendar_month,12500,37600.0,62600.0,-1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0
1000,0,monthly_current_slot_replacements,maximum,calendar_month,15000,40100.0,65100.0,-1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0
1000,0,monthly_current_slot_replacements,maximum,daily,0,25100.0,50100.0,-1000.0,-978.2,21.8,-1000.0,-978.2,21.8
1000,0,monthly_current_slot_replacements,maximum,daily,100,25200.0,50200.0,-1000.0,-978.2,21.8,-1000.0,-978.2,21.8
1000,0,monthly_current_slot_replacements,maximum,daily,200,25300.0,50300.0,-1000.0,-978.2,21.8,-1000.0,-978.2,21.8
1000,0,monthly_current_slot_replacements,maximum,daily,300,25400.0,50400.0,-1000.0,-978.2,21.8,-1000.0,-978.2,21.8
1000,0,monthly_current_slot_replacements,maximum,daily,400,25500.0,50500.0,-1000.0,-978.2,21.8,-1000.0,-978.2,21.8
1000,0,monthly_current_slot_replacements,maximum,daily,500,25600.0,50600.0,-1000.0,-978.2,21.8,-1000.0,-978.2,21.8
1000,0,monthly_current_slot_replacements,maximum,daily,1000,26100.0,51100.0,-1000.0,-978.2,21.8,-1000.0,-978.2,21.8
1000,0,monthly_current_slot_replacements,maximum,daily,2000,27100.0,52100.0,-1000.0,-978.2,21.8,-1000.0,-978.2,21.8
1000,0,monthly_current_slot_replacements,maximum,daily,3000,28100.0,53100.0,-1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0
1000,0,monthly_current_slot_replacements,maximum,daily,4000,29100.0,54100.0,-1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0
1000,0,monthly_current_slot_replacements,maximum,daily,4900,30000.0,55000.0,-1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0
1000,0,monthly_current_slot_replacements,maximum,daily,5000,30100.0,55100.0,-1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0
