product,window,headroom,retained_balance_target,first_entry,last_exit,trades,ongoing,terminal,total,ongoing_received_after_split,terminal_profit_equity_before_withdrawal,accounts,alive,evaluations,evaluation_months,evaluation_resets,evaluation_fees,activation_fees,spend,contributions,ending_owner_cash,spares_at_end,passes_forfeited_cash,passes_forfeited_capacity,max_pass_to_activation_hours,passes_awaiting_first_check_at_horizon,deaths_after_startup_year,deaths_of_pas_at_least_one_year_old,mature_pa_days,deaths_after_two_years,deaths_2026_03_30,last_death,largest_simultaneous_deaths,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,observed_days,live_pa_days,average_live_pas_event_weighted,vacant_capacity_days_including_startup,average_retained_profit_book,average_positive_retained_profit_book,average_retained_profit_per_live_pa,average_actual_cushion_book,average_actual_cushion_per_live_pa,execution,copies,signals_executed,signal_participation,allocation_sha256,job
legacy_25k,full,0,25100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,189770.1,0,189770.1,232570.1,10231.45,217,4,226,475,243,15675.0,27125.0,42800.0,20600.0,210370.1,0,0,0,23.5,0,205,0,0,172,0,2026-06-29T20:30:00,13,213,197,16,0.0141,87.31,159.26,18337.21,38.2,179.67,8.47,15,15,14,0,0,0,0,2384.5694,20140.7183,8.4463,27550.67,7260.6,7603.12,859.62,10330.92,1223.13,blocking,79391,8570,0.6770421867593617,8910d3ff01063b79c293834139676a8421906e817b54bc243254399a7f86a8d9,"[""legacy_25k"", ""full"", 0]"
legacy_25k,full,1000,26100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,180276.2,0,180276.2,222694.2,10231.45,215,4,224,471,241,15543.0,26875.0,42418.0,20600.0,200876.2,0,0,0,23.5,0,203,0,0,170,0,2026-06-29T20:30:00,14,211,195,16,0.0142,88.11,159.26,18326.54,38.2,179.67,8.47,15,15,14,0,0,0,0,2384.5694,20151.3819,8.4507,27540.01,7268.56,7610.02,860.11,10327.58,1222.09,blocking,79469,8570,0.6770421867593617,7631eaad1fc896a33d476f48d3a7166008a37e17e167e9fdc74eb2ed4d57f418,"[""legacy_25k"", ""full"", 1000]"
legacy_25k,full,2000,27100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,245867.65,0,245867.65,278110.65,0.0,160,0,167,371,196,12243.0,20000.0,32243.0,20600.0,266467.65,0,0,0,23.5,0,153,19,6506.76,132,0,2026-06-29T20:30:00,18,160,140,20,0.025,88.31,167.84,12572.04,38.2,173.57,11.35,15,15,13,0,0,0,0,2384.5694,27026.8882,11.3341,20664.5,16016.75,16289.67,1413.15,17725.96,1563.95,blocking,105464,8590,0.6786222151998736,3f2b995b00a0e6b167af04bd58b69eb132128f3c434df5c296f9c48ffa407e45,"[""legacy_25k"", ""full"", 2000]"
legacy_25k,full,3000,28100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,217073.45,12000.0,229073.45,249436.45,31893.45,157,12,190,386,188,12738.0,19625.0,32363.0,20600.0,249673.45,0,18,0,23.5,0,138,17,3172.27,117,0,2026-06-29T20:30:00,20,145,137,8,0.0276,81.02,389.31,16039.39,38.2,149.67,9.83,15,15,13,18,8,104,114,2384.5694,23414.5384,9.8192,24276.85,16470.86,16765.95,1677.42,18841.47,1918.84,blocking,91598,8676,0.6854163374940749,936a06f280f7bd19188222fa48051f3bf4d291cbaf2c9fc3b2d31add42af16b5,"[""legacy_25k"", ""full"", 3000]"
legacy_25k,full,4000,29100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,319487.3,4500.0,323987.3,341468.3,12752.85,108,3,140,257,110,8481.0,13500.0,21981.0,20600.0,344587.3,0,10,0,23.5,0,98,20,12193.54,79,0,2026-06-25T23:30:00,20,105,88,17,0.0381,78.22,364.31,12007.62,116.27,55.67,11.8,15,15,13,10,13,97,106,2384.5694,28120.3049,11.7926,19571.08,29958.81,30182.81,2540.47,31494.21,2670.67,blocking,110197,9089,0.7180439247906463,1aa0e3caefc9fff3f66a73cec589a2da7cc2de4600a1828ab840a4c81af9cd28,"[""legacy_25k"", ""full"", 4000]"
legacy_25k,full,5000,30100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,245382.0,4500.0,249882.0,269589.0,22213.1,120,6,155,279,117,9207.0,15000.0,24207.0,20600.0,270482.0,0,20,0,23.5,0,107,20,9050.13,88,0,2026-06-25T23:30:00,20,114,100,14,0.0351,80.14,437.44,14834.46,112.54,51.67,10.62,15,15,13,20,10,169,174,2384.5694,25293.4674,10.6071,22397.92,30872.85,31114.8,2910.57,32618.5,3075.15,blocking,99053,9100,0.7189129404329277,7fcee5a952e6071a1f35a60aee6e028e9b83d23820603b84fffa961c59e0e87e,"[""legacy_25k"", ""full"", 5000]"
legacy_25k,full,5500,30600.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,271843.5,4500.0,276343.5,293727.5,13332.05,103,3,148,273,118,9009.0,12875.0,21884.0,20600.0,296943.5,0,23,0,23.5,0,93,20,10879.52,74,0,2026-06-25T23:30:00,20,100,83,17,0.04,75.22,458.31,13451.52,109.52,48.67,11.2,15,15,13,23,13,145,159,2384.5694,26676.4067,11.1871,21014.98,36616.69,36847.62,3273.12,38218.65,3416.32,blocking,104421,9115,0.7200979617633118,1fa14323c657cb12c5983fc7b2666f4403a4f4ce86f9dcaa77b607420d15a476,"[""legacy_25k"", ""full"", 5500]"
legacy_25k,full,5600,30700.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,253328.25,4500.0,257828.25,276101.25,14074.45,108,3,154,281,120,9273.0,13500.0,22773.0,20600.0,278428.25,0,22,0,23.5,0,98,20,10238.88,79,0,2026-06-25T23:30:00,20,105,88,17,0.0381,78.26,458.15,14091.74,109.2,48.67,10.93,15,15,13,22,15,166,179,2384.5694,26036.1819,10.9186,21655.21,36027.2,36264.16,3299.61,37630.87,3446.49,blocking,101978,9113,0.7199399589192605,ba6b3dd6b7f85f07e1367e3e16e0d53e8e2872d1a52257f30fc36052aac34225,"[""legacy_25k"", ""full"", 5600]"
legacy_25k,full,5700,30800.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,215439.75,4500.0,219939.75,239391.75,14274.45,114,3,163,294,124,9702.0,14250.0,23952.0,20600.0,240539.75,0,29,0,23.5,0,104,20,8294.88,85,0,2026-06-25T23:30:00,20,111,94,17,0.036,74.61,491.1,15655.11,109.2,48.67,10.28,15,15,13,29,11,153,169,2384.5694,24472.8111,10.263,23218.58,32822.21,33065.98,3198.11,34621.27,3373.41,blocking,95955,9113,0.7199399589192605,2c71255b490bfa791be5ed033095d59f598b57ca22ac97124a5e05eb66d0c805,"[""legacy_25k"", ""full"", 5700]"
legacy_25k,full,5800,30900.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,217860.7,4500.0,222360.7,241529.7,14474.45,112,3,165,293,121,9669.0,14000.0,23669.0,20600.0,242960.7,0,30,0,23.5,0,102,20,8470.72,83,0,2026-06-25T23:30:00,19,109,92,17,0.0367,74.53,463.23,15449.65,109.05,48.67,10.36,15,15,13,30,14,151,170,2384.5694,24678.2789,10.3492,23013.11,33718.95,33953.19,3258.14,35464.28,3426.78,blocking,96782,9114,0.7200189603412861,5140d63b6cb753b7c1e9bfee85aafc5eaf5e580ccf32581d34abd010535153ca,"[""legacy_25k"", ""full"", 5800]"
legacy_25k,full,5900,31000.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,202599.4,3000.0,205599.4,226789.4,14237.55,113,4,169,305,129,10065.0,14125.0,24190.0,20600.0,226199.4,0,37,0,23.5,0,102,20,8055.91,83,0,2026-06-25T23:30:00,20,109,93,16,0.0367,87.15,472.44,15987.96,108.05,47.67,10.14,15,15,13,37,11,153,171,2384.5694,24139.9627,10.1234,23551.43,33085.63,33325.17,3268.23,34814.71,3439.03,blocking,94749,9121,0.7205719702954653,d97a327ea9cb07b41ee022b212657906ba6f1a8a68fafde3d733da60dcc400de,"[""legacy_25k"", ""full"", 5900]"
legacy_25k,full,6000,31100.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,186771.8,4500.0,191271.8,211798.8,20688.5,116,5,173,319,139,10527.0,14500.0,25027.0,20600.0,211871.8,0,37,0,23.5,0,104,19,7639.24,85,18,2026-06-25T23:30:00,18,111,96,15,0.036,88.01,501.15,16358.71,105.65,43.67,9.99,15,15,13,37,12,155,175,2384.5694,23769.2164,9.9679,23922.17,32700.22,32929.08,3280.54,34430.34,3454.11,blocking,93088,9135,0.7216779902038236,3fc27e357c744aefd6be81fa118a4c7dc55f27daa9028b20a0808144b7f8a97c,"[""legacy_25k"", ""full"", 6000]"
legacy_25k,full,6100,31200.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,209938.0,119849.21,329787.21,232317.0,125731.35,103,20,154,288,127,9504.0,12875.0,22379.0,20600.0,350387.21,0,37,0,23.5,0,76,1,9834.88,57,0,2026-03-27T20:17:40,13,83,83,0,0.0482,121.35,501.31,14738.72,0,43.67,10.66,15,15,13,37,13,169,187,2384.5694,25389.2056,10.6473,22302.18,36769.61,36994.09,3453.42,38316.75,3598.73,blocking,99543,9132,0.7214409859377469,ed89d292d8641e004516a0f73f751a9bcbbd628787c0e5ebccdbd810ab64aa91,"[""legacy_25k"", ""full"", 6100]"
legacy_25k,full,6200,31300.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,208227.6,126600.15,334827.75,230368.6,129019.0,104,20,151,277,119,9141.0,13000.0,22141.0,20600.0,355427.75,0,31,0,23.5,0,77,0,9943.93,58,0,2024-07-26T20:00:00,15,84,84,0,0.0476,117.79,501.31,14698.01,0,43.67,10.67,15,15,13,31,15,170,189,2384.5694,25429.9192,10.6644,22261.47,37276.24,37505.28,3495.4,38854.49,3643.39,blocking,99703,9132,0.7214409859377469,c3acccc3f3cd0b8b4149540d2584b9cb25a5839aa04c76dc8a2249ac40338068,"[""legacy_25k"", ""full"", 6200]"
legacy_25k,full,6300,31400.0,2020-01-02T07:50:40,2026-07-13T21:30:40,12658,193049.6,128600.15,321649.75,215388.6,131019.0,104,20,152,283,124,9339.0,13000.0,22339.0,20600.0,342249.75,0,36,0,23.5,0,77,0,9487.93,58,0,2024-07-26T20:00:00,15,84,84,0,0.0476,121.35,501.44,15241.01,0,43.67,10.45,15,15,13,36,11,173,190,2384.5694,24886.9192,10.4367,22804.47,36451.75,36681.05,3492.67,38025.27,3643.44,blocking,97551,9132,0.7214409859377469,6fdc74fcbe211ed7ed9ca085de01dc21dcccad095f51503e7c67f30916749db6,"[""legacy_25k"", ""full"", 6300]"
