account_id,activated_at,died_at,trade,death_equity,reason
1,2020-02-07 00:00:00,2020-03-12 21:06:40,RR1.00:18-19:15:58,-1298.05,intratrade_excursion
2,2020-03-03 00:00:00,2020-03-12 21:06:40,RR1.00:18-19:15:58,-1373.1,intratrade_excursion
3,2020-03-03 00:00:00,2020-03-12 21:06:40,RR1.00:18-19:15:58,-1373.1,intratrade_excursion
5,2020-05-09 00:00:00,2021-03-08 15:30:00,RR1.00:13-14:111:411,36.55,intratrade_excursion
6,2020-05-09 00:00:00,2021-03-08 15:30:00,RR1.00:13-14:111:411,36.55,intratrade_excursion
7,2020-05-09 00:00:00,2021-03-08 15:30:00,RR1.00:13-14:111:411,36.55,intratrade_excursion
8,2020-06-01 00:00:00,2020-10-06 23:30:00,RR1.00:22-23:55:219,-112.5,intratrade_excursion
9,2020-08-08 00:00:00,2020-10-06 23:30:00,RR1.00:22-23:55:219,-569.75,intratrade_excursion
10,2020-08-08 00:00:00,2020-10-06 23:30:00,RR1.00:22-23:55:219,-569.75,intratrade_excursion
11,2020-09-01 00:00:00,2020-10-06 23:30:00,RR1.00:22-23:55:219,-740.0,intratrade_excursion
12,2020-10-01 00:00:00,2021-02-23 23:30:00,RR1.00:17-18:77:349,-73.05,intratrade_excursion
13,2020-10-13 00:00:00,2021-02-23 23:30:00,RR1.00:17-18:77:349,-4.45,intratrade_excursion
14,2020-10-27 00:00:00,2021-02-22 16:42:20,RR1.00:16-17:170:464,-297.45,intratrade_excursion
15,2020-11-05 00:00:00,2021-02-22 16:42:20,RR1.00:16-17:170:464,-696.15,intratrade_excursion
16,2020-11-05 00:00:00,2021-02-22 16:42:20,RR1.00:16-17:170:464,-696.15,intratrade_excursion
17,2020-12-01 00:00:00,2021-02-22 16:42:20,RR1.00:16-17:170:464,-669.8,intratrade_excursion
18,2021-01-08 00:00:00,2021-02-22 16:42:20,RR1.00:16-17:170:464,-1296.3,intratrade_excursion
19,2021-02-01 00:00:00,2021-03-04 19:14:40,RR1.00:18-19:79:342,-1074.2,intratrade_excursion
20,2021-02-23 00:00:00,2021-03-05 23:30:00,RR1.00:21-22:112:388,-1141.4,intratrade_excursion
21,2021-02-23 00:00:00,2021-03-05 23:30:00,RR1.00:21-22:112:388,-1141.4,intratrade_excursion
22,2021-03-10 00:00:00,2021-05-18 22:53:40,RR1.00:22-23:110:423,-183.45,intratrade_excursion
23,2021-03-23 00:00:00,2021-05-18 22:53:40,RR1.00:22-23:110:423,-921.7,intratrade_excursion
24,2021-04-16 00:00:00,2021-05-18 22:53:40,RR1.00:22-23:110:423,-1400.2,intratrade_excursion
25,2021-04-16 00:00:00,2021-05-18 22:53:40,RR1.00:22-23:110:423,-1400.2,intratrade_excursion
26,2021-07-03 00:00:00,2022-01-10 20:30:00,RR1.00:18-19:138:610,24.75,intratrade_excursion
27,2021-07-07 00:00:00,2022-01-10 13:23:40,RR1.00:11-12:156:671,72.2,intratrade_excursion
28,2021-07-07 00:00:00,2022-01-10 13:23:40,RR1.00:11-12:156:671,72.2,intratrade_excursion
29,2021-07-07 00:00:00,2022-01-10 13:23:40,RR1.00:11-12:156:671,72.2,intratrade_excursion
30,2021-07-08 00:00:00,2022-01-07 23:30:00,RR1.00:21-22:180:634,52.05,intratrade_excursion
31,2021-07-08 00:00:00,2022-01-07 23:30:00,RR1.00:21-22:180:634,52.05,intratrade_excursion
32,2021-07-08 00:00:00,2022-01-07 23:30:00,RR1.00:21-22:180:634,52.05,intratrade_excursion
33,2021-07-08 00:00:00,2022-01-07 23:30:00,RR1.00:21-22:180:634,52.05,intratrade_excursion
34,2021-07-08 00:00:00,2022-01-07 23:30:00,RR1.00:21-22:180:634,52.05,intratrade_excursion
35,2021-07-10 00:00:00,2022-01-07 17:38:40,RR1.00:16-17:297:804,64.2,intratrade_excursion
36,2021-07-10 00:00:00,2022-01-07 17:38:40,RR1.00:16-17:297:804,64.2,intratrade_excursion
37,2021-07-10 00:00:00,2022-01-07 17:38:40,RR1.00:16-17:297:804,64.2,intratrade_excursion
38,2021-07-10 00:00:00,2022-01-07 17:38:40,RR1.00:16-17:297:804,64.2,intratrade_excursion
39,2021-09-07 00:00:00,2022-01-07 17:38:40,RR1.00:16-17:297:804,-154.25,intratrade_excursion
40,2021-09-10 00:00:00,2021-12-20 09:26:40,RR1.00:8-9:182:654,94.05,intratrade_excursion
41,2021-10-01 00:00:00,2022-01-10 16:31:40,RR1.00:16-17:298:807,31.8,intratrade_excursion
42,2021-11-01 00:00:00,2021-12-03 23:00:00,RR1.00:22-23:164:611,-887.5,intratrade_excursion
43,2021-12-01 00:00:00,2022-01-07 17:38:40,RR1.00:16-17:297:804,-1535.75,intratrade_excursion
44,2021-12-04 00:00:00,2022-01-07 23:30:00,RR1.00:21-22:180:634,-930.35,intratrade_excursion
45,2021-12-21 00:00:00,2022-01-10 20:30:00,RR1.00:18-19:138:610,-854.65,intratrade_excursion
46,2022-01-01 00:00:00,2022-05-12 16:32:40,RR1.00:16-17:342:938,23.2,intratrade_excursion
47,2022-01-12 00:00:00,2022-06-14 23:30:00,RR1.00:22-23:201:773,17.25,intratrade_excursion
48,2022-02-05 00:00:00,2022-05-12 03:02:40,RR1.00:2-3:216:823,50.95,intratrade_excursion
49,2022-02-11 00:00:00,2022-03-14 21:34:20,RR1.00:20-21:183:673,93.25,intratrade_excursion
50,2022-02-17 00:00:00,2022-03-08 18:32:40,RR1.00:17-18:136:667,-161.75,intratrade_excursion
51,2022-02-17 00:00:00,2022-03-08 18:32:40,RR1.00:17-18:136:667,-161.75,intratrade_excursion
52,2022-04-09 00:00:00,2022-05-02 16:37:40,RR1.00:16-17:339:928,-454.95,intratrade_excursion
53,2022-08-04 00:00:00,2022-11-04 17:51:40,RR1.00:16-17:408:1135,-216.8,intratrade_excursion
54,2022-09-15 00:00:00,2022-11-03 21:57:40,RR1.00:16-17:407:1133,-615.2,intratrade_excursion
55,2022-10-07 00:00:00,2022-11-03 21:57:40,RR1.00:16-17:407:1133,-973.55,intratrade_excursion
56,2023-08-29 00:00:00,2023-10-25 18:42:40,RR1.00:17-18:220:1141,-1088.3,intratrade_excursion
61,2024-02-16 00:00:00,2024-04-19 09:30:00,RR1.00:5-6:303:1353,7.3,intratrade_excursion
62,2024-03-05 00:00:00,2024-04-19 02:17:40,RR1.00:1-2:308:1249,-63.0,intratrade_excursion
63,2024-03-21 00:00:00,2024-04-19 02:17:40,RR1.00:1-2:308:1249,-367.1,intratrade_excursion
64,2024-04-02 00:00:00,2024-04-19 02:17:40,RR1.00:1-2:308:1249,-724.9,intratrade_excursion
65,2024-04-03 00:00:00,2024-04-19 02:17:40,RR1.00:1-2:308:1249,-777.65,intratrade_excursion
66,2024-04-04 00:00:00,2024-04-19 02:17:40,RR1.00:1-2:308:1249,-886.45,intratrade_excursion
67,2024-04-05 00:00:00,2024-04-19 02:17:40,RR1.00:1-2:308:1249,-1074.25,intratrade_excursion
68,2024-04-10 00:00:00,2024-04-19 02:17:40,RR1.00:1-2:308:1249,-1422.8,intratrade_excursion
76,2024-06-06 00:00:00,2024-07-26 20:00:00,RR1.00:18-19:332:1432,42.9,intratrade_excursion
77,2024-06-06 00:00:00,2024-07-26 20:00:00,RR1.00:18-19:332:1432,42.9,intratrade_excursion
78,2024-06-13 00:00:00,2024-07-26 15:46:40,RR1.00:14-15:383:1466,45.75,intratrade_excursion
79,2024-06-28 00:00:00,2024-07-25 09:01:40,RR1.00:6-7:389:1493,-87.35,intratrade_excursion
80,2024-06-29 00:00:00,2024-07-25 09:01:40,RR1.00:6-7:389:1493,-154.05,intratrade_excursion
81,2024-07-02 00:00:00,2024-07-25 09:01:40,RR1.00:6-7:389:1493,-387.75,intratrade_excursion
82,2024-07-13 00:00:00,2024-07-25 10:03:40,RR1.00:9-10:398:1505,-1509.1,intratrade_excursion
90,2024-12-17 00:00:00,2025-03-11 19:21:40,RR1.00:17-18:315:1586,95.5,intratrade_excursion
91,2025-03-15 00:00:00,2025-04-04 03:47:40,RR1.00:3-4:470:1757,-265.25,intratrade_excursion
