at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2020-12-01 00:00:00,4,2020-04,1,500.0,500.0,500.0,500.0,52742.55,52242.55,0.0,
2022-03-01 00:00:00,18,2021-06,1,500.0,500.0,500.0,500.0,53556.75,53056.75,0.0,
2022-03-01 00:00:00,19,2021-07,1,500.0,500.0,500.0,500.0,53951.8,53451.8,0.0,
2022-03-01 00:00:00,20,2021-08,1,500.0,500.0,500.0,500.0,53560.85,53060.85,0.0,
2022-03-01 00:00:00,21,2021-09,1,500.0,500.0,500.0,500.0,53358.25,52858.25,0.0,
2022-03-01 00:00:00,22,2021-10,1,500.0,500.0,500.0,500.0,53610.9,53110.9,0.0,
2022-04-01 00:00:00,18,2021-06,2,500.0,500.0,500.0,500.0,52646.25,52146.25,0.0,
2022-04-01 00:00:00,19,2021-07,2,500.0,500.0,500.0,500.0,53041.3,52541.3,0.0,
2022-04-01 00:00:00,20,2021-08,2,500.0,500.0,500.0,500.0,52650.35,52150.35,0.0,
2022-04-01 00:00:00,22,2021-10,2,500.0,500.0,500.0,500.0,52700.4,52200.4,0.0,
2022-05-01 00:00:00,19,2021-07,3,500.0,500.0,500.0,500.0,52783.4,52283.4,0.0,
2022-05-01 00:00:00,21,2021-09,2,500.0,500.0,500.0,500.0,52689.85,52189.85,0.0,
2022-09-01 00:00:00,27,2022-07,1,500.0,500.0,500.0,500.0,52946.35,52446.35,0.0,
2022-10-01 00:00:00,27,2022-07,2,500.0,500.0,500.0,500.0,52946.6,52446.6,0.0,
2022-12-01 00:00:00,27,2022-07,3,500.0,500.0,500.0,500.0,52672.85,52172.85,0.0,
2023-04-01 00:00:00,27,2022-07,4,500.0,500.0,500.0,500.0,53253.2,52753.2,0.0,
2023-04-01 00:00:00,28,2022-08,1,500.0,500.0,500.0,500.0,52800.45,52300.45,0.0,
2023-05-01 00:00:00,27,2022-07,5,500.0,500.0,500.0,500.0,53390.85,52890.85,0.0,
2023-05-01 00:00:00,28,2022-08,2,500.0,500.0,500.0,500.0,52938.1,52438.1,0.0,
2023-05-01 00:00:00,33,2023-01,1,500.0,500.0,500.0,500.0,52859.05,52359.05,0.0,
2023-06-01 00:00:00,27,2022-07,6,500.0,500.0,500.0,500.0,52903.15,52403.15,0.0,
2023-07-01 00:00:00,27,2022-07,7,500.0,500.0,500.0,500.0,52640.9,52140.9,0.0,
2023-07-01 00:00:00,28,2022-08,3,500.0,500.0,500.0,500.0,52688.15,52188.15,0.0,
2023-07-01 00:00:00,29,2022-09,1,500.0,500.0,500.0,500.0,52694.55,52194.55,0.0,
2023-07-01 00:00:00,33,2023-01,2,500.0,500.0,500.0,500.0,52609.1,52109.1,0.0,
2023-09-01 00:00:00,27,2022-07,8,500.0,500.0,500.0,500.0,52862.65,52362.65,0.0,
2023-09-01 00:00:00,28,2022-08,4,500.0,500.0,500.0,500.0,52909.9,52409.9,0.0,
2023-09-01 00:00:00,29,2022-09,2,500.0,500.0,500.0,500.0,52916.3,52416.3,0.0,
2023-09-01 00:00:00,30,2022-10,1,500.0,500.0,500.0,500.0,52916.05,52416.05,0.0,
2023-09-01 00:00:00,31,2022-11,1,500.0,500.0,500.0,500.0,52881.2,52381.2,0.0,
2023-09-01 00:00:00,32,2022-12,1,500.0,500.0,500.0,500.0,52689.8,52189.8,0.0,
2023-09-01 00:00:00,33,2023-01,3,500.0,500.0,500.0,500.0,52830.85,52330.85,0.0,
2023-09-01 00:00:00,34,2023-02,1,500.0,500.0,500.0,500.0,52851.2,52351.2,0.0,
2023-09-01 00:00:00,35,2023-03,1,500.0,500.0,500.0,500.0,52848.4,52348.4,0.0,
2024-02-01 00:00:00,27,2022-07,9,500.0,500.0,500.0,500.0,52829.15,52329.15,0.0,
2024-02-01 00:00:00,28,2022-08,5,500.0,500.0,500.0,500.0,52876.4,52376.4,0.0,
2024-02-01 00:00:00,29,2022-09,3,500.0,500.0,500.0,500.0,52882.8,52382.8,0.0,
2024-02-01 00:00:00,30,2022-10,2,500.0,500.0,500.0,500.0,52882.55,52382.55,0.0,
2024-02-01 00:00:00,31,2022-11,2,500.0,500.0,500.0,500.0,52847.7,52347.7,0.0,
2024-02-01 00:00:00,32,2022-12,2,500.0,500.0,500.0,500.0,52656.3,52156.3,0.0,
2024-02-01 00:00:00,33,2023-01,4,500.0,500.0,500.0,500.0,52797.35,52297.35,0.0,
2024-02-01 00:00:00,34,2023-02,2,500.0,500.0,500.0,500.0,52817.7,52317.7,0.0,
2024-02-01 00:00:00,35,2023-03,2,500.0,500.0,500.0,500.0,52814.9,52314.9,0.0,
2024-03-01 00:00:00,27,2022-07,10,500.0,500.0,500.0,500.0,53859.6,53359.6,0.0,
2024-03-01 00:00:00,28,2022-08,6,500.0,500.0,500.0,500.0,53906.85,53406.85,0.0,
2024-03-01 00:00:00,29,2022-09,4,500.0,500.0,500.0,500.0,53913.25,53413.25,0.0,
2024-03-01 00:00:00,30,2022-10,3,500.0,500.0,500.0,500.0,53913.0,53413.0,0.0,
2024-03-01 00:00:00,31,2022-11,3,500.0,500.0,500.0,500.0,53878.15,53378.15,0.0,
