account_id,cohort_month,activated_at,alive,died_at,death_reason,death_equity_usd,death_trade_key,lifetime_days,trades_taken,wins,losses,gross_pnl_usd,commission_usd,payout_count,requests_blocked,requests_withheld,withdrawn_usd,received_usd,months_accrued,entitlement_accrued_usd,entitlement_outstanding_usd,first_withdrawal_at,equity_profit_usd,balance_usd,max_equity_profit_usd,min_equity_profit_usd,peak_profit_usd,floor_profit_usd,headroom_usd
1,2020-01,2020-01-01 00:00:00,False,2021-06-03 23:30:00,intratrade_excursion,-1.6,RR1.00:17-18:97:439,519,1983,824,1158,2184.5,2081.1,0,0,17,0.0,0.0,0,0.0,0.0,,103.4,,2995.85,-1778.2,3043.35,100.0,
2,2020-02,2020-02-01 00:00:00,False,2021-03-08 15:30:00,intratrade_excursion,86.85,RR1.00:13-14:111:411,401,1524,643,880,1774.5,1599.15,0,0,13,0.0,0.0,0,0.0,0.0,,175.35,,2763.5,-2010.55,2811.0,100.0,
3,2020-03,2020-03-01 00:00:00,False,2021-06-04 14:30:00,intratrade_excursion,88.7,RR1.00:9-10:117:463,460,1757,726,1030,1967.0,1843.8,0,0,15,0.0,0.0,0,0.0,0.0,,123.2,,3142.85,-1631.2,3190.35,100.0,
4,2020-04,2020-04-01 00:00:00,False,2021-06-15 23:30:00,intratrade_excursion,99.25,RR1.00:22-23:115:446,440,1696,700,995,1920.0,1779.75,0,0,14,0.0,0.0,0,0.0,0.0,,140.25,,3581.8,-261.4,3629.3,100.0,
5,2020-05,2020-05-01 00:00:00,False,2021-06-09 12:00:00,intratrade_excursion,93.25,RR1.00:9-10:120:470,404,1546,639,906,1729.0,1622.25,0,0,13,0.0,0.0,0,0.0,0.0,,106.75,,3320.35,-125.1,3367.85,100.0,
6,2020-06,2020-06-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-49.6,RR1.00:21-22:111:386,276,1073,452,620,1266.0,1125.6,0,0,9,0.0,0.0,0,0.0,0.0,,140.4,,2478.7,-870.2,2526.2,26.2,
7,2020-07,2020-07-01 00:00:00,False,2021-05-27 15:00:00,intratrade_excursion,97.45,RR1.00:12-13:118:441,330,1272,526,745,1465.5,1334.55,0,0,10,0.0,0.0,0,0.0,0.0,,130.95,,2930.15,-418.75,2977.65,100.0,
8,2020-08,2020-08-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-5.15,RR1.00:21-22:111:386,215,834,352,481,1059.5,874.65,0,0,7,0.0,0.0,0,0.0,0.0,,184.85,,2523.15,-78.6,2570.65,70.65,
9,2020-09,2020-09-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-677.1,RR1.00:21-22:111:386,184,713,296,416,260.5,747.6,0,0,6,0.0,0.0,0,0.0,0.0,,-487.1,,1851.2,-750.55,1898.7,-601.3,
10,2020-10,2020-10-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-828.05,RR1.00:21-22:111:386,154,592,243,348,-17.5,620.55,0,0,5,0.0,0.0,0,0.0,0.0,,-638.05,,1700.25,-901.5,1747.75,-752.25,
11,2020-11,2020-11-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-961.3,RR1.00:21-22:111:386,123,477,194,282,-271.5,499.8,0,0,4,0.0,0.0,0,0.0,0.0,,-771.3,,1567.0,-961.3,1614.5,-885.5,
12,2020-12,2020-12-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-1689.05,RR1.00:21-22:111:386,93,362,142,219,-1120.0,379.05,0,0,3,0.0,0.0,0,0.0,0.0,,-1499.05,,839.25,-1689.05,886.75,-1613.25,
13,2021-01,2021-01-01 00:00:00,False,2021-03-04 23:30:00,intratrade_excursion,-1673.2,RR1.00:21-22:111:386,62,245,99,145,-1227.0,256.2,0,0,2,0.0,0.0,0,0.0,0.0,,-1483.2,,855.1,-1673.2,902.6,-1597.4,
14,2021-02,2021-02-01 00:00:00,False,2021-06-07 16:40:40,intratrade_excursion,-1919.55,RR1.00:16-17:211:572,126,482,181,300,-1358.5,505.05,0,0,4,0.0,0.0,0,0.0,0.0,,-1863.55,,529.45,-1919.55,587.45,-1912.55,
15,2021-03,2021-03-01 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1479.55,RR1.00:15-16:152:510,101,392,145,246,-967.0,410.55,0,0,3,0.0,0.0,0,0.0,0.0,,-1377.55,,987.7,-1479.55,1040.65,-1459.35,
16,2021-03,2021-03-05 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1046.55,RR1.00:15-16:152:510,97,372,139,232,-555.0,389.55,0,0,3,0.0,0.0,0,0.0,0.0,,-944.55,,1420.7,-1046.55,1473.65,-1026.35,
17,2021-03,2021-03-05 00:00:00,False,2021-06-10 15:30:40,intratrade_excursion,-1046.55,RR1.00:15-16:152:510,97,372,139,232,-555.0,389.55,0,0,3,0.0,0.0,0,0.0,0.0,,-944.55,,1420.7,-1046.55,1473.65,-1026.35,
