at,kind,amount_usd,cash_after_usd
2020-01-01T00:00:00,owner_contribution,1000,1000.0
2020-01-01T00:00:00,account_purchase,-200.0,800.0
2020-02-01T00:00:00,owner_contribution,200,1000.0
2020-02-01T00:00:00,account_purchase,-200.0,800.0
2020-03-01T00:00:00,owner_contribution,200,1000.0
2020-03-01T00:00:00,account_purchase,-200.0,800.0
2020-03-13T00:00:00,account_purchase,-600.0,200.0
2020-03-19T00:00:00,account_purchase,-200.0,0.0
2020-04-01T00:00:00,owner_contribution,200,200.0
2020-04-01T00:00:00,account_purchase,-200.0,0.0
2020-05-01T00:00:00,owner_contribution,200,200.0
2020-05-01T00:00:00,account_purchase,-200.0,0.0
2020-06-01T00:00:00,owner_contribution,200,200.0
2020-06-01T00:00:00,account_purchase,-200.0,0.0
2020-07-01T00:00:00,owner_contribution,200,200.0
2020-07-01T00:00:00,account_purchase,-200.0,0.0
2020-08-01T00:00:00,owner_contribution,200,200.0
2020-08-01T00:00:00,account_purchase,-200.0,0.0
2020-08-24T00:00:00,payout_received,1473.85,1473.85
2020-08-24T00:00:00,payout_received,986.8,2460.65
2020-08-24T00:00:00,payout_received,725.35,3186.0
2020-09-01T00:00:00,owner_contribution,200,3386.0
2020-09-01T00:00:00,account_purchase,-200.0,3186.0
2020-09-07T00:00:00,payout_received,561.2,3747.2
2020-10-01T00:00:00,owner_contribution,200,3947.2
2020-10-01T00:00:00,account_purchase,-200.0,3747.2
2020-10-03T00:00:00,account_purchase,-200.0,3547.2
2020-10-07T00:00:00,account_purchase,-1200.0,2347.2
2020-11-01T00:00:00,owner_contribution,200,2547.2
2020-11-01T00:00:00,account_purchase,-200.0,2347.2
2020-11-09T00:00:00,payout_received,607.7,2954.9
2020-11-09T00:00:00,payout_received,607.7,3562.6
2020-11-09T00:00:00,payout_received,607.7,4170.3
2020-11-09T00:00:00,payout_received,607.7,4778.0
2020-11-09T00:00:00,payout_received,607.7,5385.7
2020-11-09T00:00:00,payout_received,607.7,5993.4
2020-11-16T00:00:00,payout_received,616.0,6609.4
2020-12-01T00:00:00,owner_contribution,200,6809.4
2020-12-01T00:00:00,account_purchase,-200.0,6609.4
2021-01-01T00:00:00,owner_contribution,200,6809.4
2021-01-01T00:00:00,account_purchase,-200.0,6609.4
2021-01-11T00:00:00,payout_received,600.25,7209.65
