job,mode,start_year,initial_cash,monthly_funding,withdrawal,cadence,headroom,amount,retained_balance,persistent,interval,concurrency,spares,reserve_seats,ongoing,terminal,total,accounts,alive,receipts,activated,evaluations,evaluation_months,evaluation_fees,activation_fees,spend,ending_cash,contributions,spares_at_end,in_flight_at_end,copies,signals_loaded,economics,deaths,replacements_filled,replacements_unfilled,next_check_service,replacement_wait_median_days,replacement_wait_p95_days,unfilled_account_days,oldest_unfilled_days,zero_live_days,average_live_accounts,peak_subscriptions,peak_in_flight,peak_passes_month,activation_blocked_account_checks,renewals_unaffordable,start_unaffordable_checks,cash_blocked_days,signals_executed,zero_live_signals,allocation_sha256
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 0, false]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,0,False,80068.7,0,80068.7,78,4,95329.7,78,84,167,5511.0,9750.0,15261.0,96668.7,16600.0,0,2,30609,12658,"{""booked_net_trading_usd"": 98893.65, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 10949.0, ""failed_positive_ledger_usd"": 8993.45, ""failed_negative_ledger_usd"": 16378.5, ""purchase_fees_usd"": 15261.0, ""pocket_usd"": 80068.7, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 16378.5, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 16378.5, ""dead_account_booked_deficits_usd"": 16378.5, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",74,69,5,0.0541,78.22,251.62,7753.01,234.49,602.67,3.26,2,2,6,0,0,0,0,6980,3140,7005bff9baa17aa793e23ae5f3a0589680ff6c5131895649b4d7027d69889c08
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 0, true]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,0,True,80068.7,0,80068.7,78,4,95329.7,78,84,167,5511.0,9750.0,15261.0,96668.7,16600.0,0,2,30609,12658,"{""booked_net_trading_usd"": 98893.65, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 10949.0, ""failed_positive_ledger_usd"": 8993.45, ""failed_negative_ledger_usd"": 16378.5, ""purchase_fees_usd"": 15261.0, ""pocket_usd"": 80068.7, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 16378.5, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 16378.5, ""dead_account_booked_deficits_usd"": 16378.5, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",74,69,5,0.0541,78.22,251.62,7753.01,234.49,602.67,3.26,2,2,6,0,0,0,0,6980,3140,7005bff9baa17aa793e23ae5f3a0589680ff6c5131895649b4d7027d69889c08
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 2, false]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,2,False,69536.75,0,69536.75,91,4,87841.75,91,93,210,6930.0,11375.0,18305.0,86136.75,16600.0,0,2,32106,12658,"{""booked_net_trading_usd"": 86424.95, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 10949.0, ""failed_positive_ledger_usd"": 9998.75, ""failed_negative_ledger_usd"": 22364.55, ""purchase_fees_usd"": 18305.0, ""pocket_usd"": 69536.75, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 22364.55, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 22364.55, ""dead_account_booked_deficits_usd"": 22364.55, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",87,79,8,0.1034,99.1,386.19,11033.66,465.05,505.67,3.42,2,2,6,0,0,0,0,7347,2667,d377f7e279ef8a30e39c6697175fc2c213d7da022f33db6c66704f52e99a894b
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 2, true]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,2,True,69536.75,0,69536.75,91,4,87841.75,91,93,210,6930.0,11375.0,18305.0,86136.75,16600.0,0,2,32106,12658,"{""booked_net_trading_usd"": 86424.95, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 10949.0, ""failed_positive_ledger_usd"": 9998.75, ""failed_negative_ledger_usd"": 22364.55, ""purchase_fees_usd"": 18305.0, ""pocket_usd"": 69536.75, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 22364.55, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 22364.55, ""dead_account_booked_deficits_usd"": 22364.55, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",87,79,8,0.1034,99.1,386.19,11033.66,465.05,505.67,3.42,2,2,6,0,0,0,0,7347,2667,d377f7e279ef8a30e39c6697175fc2c213d7da022f33db6c66704f52e99a894b
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 5, false]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,5,False,89049.25,0,89049.25,97,4,108566.25,97,99,224,7392.0,12125.0,19517.0,105649.25,16600.0,0,2,33302,12658,"{""booked_net_trading_usd"": 98979.95, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 10949.0, ""failed_positive_ledger_usd"": 9616.4, ""failed_negative_ledger_usd"": 30151.7, ""purchase_fees_usd"": 19517.0, ""pocket_usd"": 89049.25, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 30151.7, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 30151.7, ""dead_account_booked_deficits_usd"": 30151.7, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",93,85,8,0.2043,69.9,341.12,10149.55,465.05,617.67,3.57,2,2,6,0,0,0,0,6895,3276,11c17a21fd1a6f99b55e72ae5af720f0709881a283de69864ea5556fbf84813a
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 5, true]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,5,True,89049.25,0,89049.25,97,4,108566.25,97,99,224,7392.0,12125.0,19517.0,105649.25,16600.0,0,2,33302,12658,"{""booked_net_trading_usd"": 98979.95, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 10949.0, ""failed_positive_ledger_usd"": 9616.4, ""failed_negative_ledger_usd"": 30151.7, ""purchase_fees_usd"": 19517.0, ""pocket_usd"": 89049.25, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 30151.7, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 30151.7, ""dead_account_booked_deficits_usd"": 30151.7, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",93,85,8,0.2043,69.9,341.12,10149.55,465.05,617.67,3.57,2,2,6,0,0,0,0,6895,3276,11c17a21fd1a6f99b55e72ae5af720f0709881a283de69864ea5556fbf84813a
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 10, false]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,10,False,101574.1,0,101574.1,100,4,121664.1,100,102,230,7590.0,12500.0,20090.0,118174.1,16600.0,0,2,34813,12658,"{""booked_net_trading_usd"": 110307.05, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 10949.0, ""failed_positive_ledger_usd"": 9369.6, ""failed_negative_ledger_usd"": 31675.65, ""purchase_fees_usd"": 20090.0, ""pocket_usd"": 101574.1, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 31675.65, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 31675.65, ""dead_account_booked_deficits_usd"": 31675.65, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",96,87,9,0.2083,55.02,341.12,10320.67,493.04,621.67,3.73,2,2,6,0,0,0,0,6881,3292,b565a69bff85cab1b800a5cd12c46616cc446e5bf08e3f281b5fe66378efabfe
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 2, 10, true]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,2,10,True,101574.1,0,101574.1,100,4,121664.1,100,102,230,7590.0,12500.0,20090.0,118174.1,16600.0,0,2,34813,12658,"{""booked_net_trading_usd"": 110307.05, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 10949.0, ""failed_positive_ledger_usd"": 9369.6, ""failed_negative_ledger_usd"": 31675.65, ""purchase_fees_usd"": 20090.0, ""pocket_usd"": 101574.1, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 31675.65, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 31675.65, ""dead_account_booked_deficits_usd"": 31675.65, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",96,87,9,0.2083,55.02,341.12,10320.67,493.04,621.67,3.73,2,2,6,0,0,0,0,6881,3292,b565a69bff85cab1b800a5cd12c46616cc446e5bf08e3f281b5fe66378efabfe
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 5, 0, false]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,5,0,False,159484.95,0,159484.95,129,12,183925.95,129,140,252,8316.0,16125.0,24441.0,176084.95,16600.0,0,3,59120,12658,"{""booked_net_trading_usd"": 211305.3, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 35241.25, ""failed_positive_ledger_usd"": 17238.8, ""failed_negative_ledger_usd"": 25100.7, ""purchase_fees_usd"": 24441.0, ""pocket_usd"": 159484.95, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 25100.7, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 25100.7, ""dead_account_booked_deficits_usd"": 25100.7, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",117,114,3,0.0342,49.55,133.08,6023.52,14.04,343.67,6.3,5,5,9,0,0,0,0,7981,1792,e3c01eb84bc853d0d307245b4b014e1066738d558ae4c8a0225a62f5395237af
"[""blocked"", 2020, 1000, 200, ""fixed"", ""weekly"", 0, 1500, false, 0, 5, 0, true]",blocked,2020,1000,200,fixed,weekly,0,1500,25100.0,False,0,5,0,True,159484.95,0,159484.95,129,12,183925.95,129,140,252,8316.0,16125.0,24441.0,176084.95,16600.0,0,3,59120,12658,"{""booked_net_trading_usd"": 211305.3, ""firm_split_usd"": 0.0, ""retained_profit_usd"": 35241.25, ""failed_positive_ledger_usd"": 17238.8, ""failed_negative_ledger_usd"": 25100.7, ""purchase_fees_usd"": 24441.0, ""pocket_usd"": 159484.95, ""residual_usd"": 0.0, ""firm_capital_consumed_usd"": 25100.7, ""withdrawals_financed_by_firm_usd"": 0.0, ""booked_deficits_not_funded_by_owner_usd"": 25100.7, ""dead_account_booked_deficits_usd"": 25100.7, ""live_account_booked_deficits_usd"": 0.0, ""gross_withdrawals_exceeding_booked_earnings_usd"": 0.0}",117,114,3,0.0342,49.55,133.08,6023.52,14.04,343.67,6.3,5,5,9,0,0,0,0,7981,1792,e3c01eb84bc853d0d307245b4b014e1066738d558ae4c8a0225a62f5395237af
