account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2020-03-01 00:00:00,False,2020-03-12 21:06:40,RR1.00:18-19:15:58,52,-338.5,53.55,-392.05,0.0,0.0,0
2,2020-03-13 00:00:00,False,2020-03-18 19:28:40,RR1.00:16-17:38:98,6,-248.5,5.25,-253.75,0.0,0.0,0
3,2020-03-19 00:00:00,False,2021-03-04 23:30:00,RR1.00:21-22:111:386,1350,3147.0,1416.45,230.55,1500.0,1500.0,3
4,2020-04-01 00:00:00,False,2021-03-04 23:30:00,RR1.00:21-22:111:386,1301,2608.5,1365.0,243.5,1000.0,1000.0,2
5,2020-05-01 00:00:00,False,2021-03-04 19:14:40,RR1.00:18-19:79:342,1179,2402.5,1236.9,165.6,1000.0,1000.0,2
6,2020-09-01 00:00:00,False,2020-10-06 23:30:00,RR1.00:22-23:55:219,151,-383.5,157.5,-541.0,0.0,0.0,0
7,2020-10-01 00:00:00,False,2021-02-23 23:30:00,RR1.00:17-18:77:349,552,768.0,578.55,189.45,0.0,0.0,0
8,2020-10-07 00:00:00,False,2021-02-26 06:10:40,RR1.00:6-7:97:387,537,1227.0,562.8,164.2,500.0,500.0,1
9,2020-11-01 00:00:00,False,2021-02-22 16:42:20,RR1.00:16-17:170:464,432,603.5,452.55,150.95,0.0,0.0,0
10,2020-12-01 00:00:00,False,2021-02-22 16:42:20,RR1.00:16-17:170:464,317,-245.0,331.8,-576.8,0.0,0.0,0
11,2021-01-01 00:00:00,False,2021-02-22 16:42:20,RR1.00:16-17:170:464,200,-352.0,208.95,-560.95,0.0,0.0,0
12,2021-02-01 00:00:00,False,2021-03-04 19:14:40,RR1.00:18-19:79:342,125,-761.5,130.2,-891.7,0.0,0.0,0
13,2021-02-23 00:00:00,False,2021-03-05 23:30:00,RR1.00:21-22:112:388,49,-1032.5,50.4,-1082.9,0.0,0.0,0
14,2021-02-23 00:00:00,False,2021-03-05 23:30:00,RR1.00:21-22:112:388,49,-1032.5,50.4,-1082.9,0.0,0.0,0
15,2021-02-23 00:00:00,False,2021-03-05 23:30:00,RR1.00:21-22:112:388,49,-1032.5,50.4,-1082.9,0.0,0.0,0
16,2021-02-24 00:00:00,False,2021-03-05 23:30:00,RR1.00:21-22:112:388,45,-1229.0,46.2,-1275.2,0.0,0.0,0
17,2021-02-27 00:00:00,False,2021-05-18 22:53:40,RR1.00:22-23:110:423,304,-39.0,318.15,-357.15,0.0,0.0,0
18,2021-03-01 00:00:00,False,2021-05-18 22:53:40,RR1.00:22-23:110:423,304,-39.0,318.15,-357.15,0.0,0.0,0
19,2021-03-05 00:00:00,False,2021-05-18 22:53:40,RR1.00:22-23:110:423,284,373.0,297.15,75.85,0.0,0.0,0
20,2021-03-05 00:00:00,False,2021-05-18 22:53:40,RR1.00:22-23:110:423,284,373.0,297.15,75.85,0.0,0.0,0
21,2021-03-05 00:00:00,False,2021-05-18 22:53:40,RR1.00:22-23:110:423,284,373.0,297.15,75.85,0.0,0.0,0
22,2021-03-05 00:00:00,False,2021-05-18 22:53:40,RR1.00:22-23:110:423,284,373.0,297.15,75.85,0.0,0.0,0
23,2021-07-07 00:00:00,False,2022-01-10 13:23:40,RR1.00:11-12:156:671,707,946.5,741.3,205.2,0.0,0.0,0
24,2021-07-08 00:00:00,False,2022-01-07 23:30:00,RR1.00:21-22:180:634,700,862.5,733.95,128.55,0.0,0.0,0
25,2021-07-10 00:00:00,False,2022-01-07 17:38:40,RR1.00:16-17:297:804,687,1186.0,720.3,465.7,0.0,0.0,0
26,2021-07-10 00:00:00,False,2022-01-07 17:38:40,RR1.00:16-17:297:804,687,1186.0,720.3,465.7,0.0,0.0,0
27,2021-07-10 00:00:00,False,2022-01-07 17:38:40,RR1.00:16-17:297:804,687,1186.0,720.3,465.7,0.0,0.0,0
28,2021-09-07 00:00:00,False,2022-01-07 17:38:40,RR1.00:16-17:297:804,476,746.0,498.75,247.25,0.0,0.0,0
29,2021-09-07 00:00:00,False,2022-01-07 17:38:40,RR1.00:16-17:297:804,476,746.0,498.75,247.25,0.0,0.0,0
30,2021-09-10 00:00:00,False,2021-12-20 09:26:40,RR1.00:8-9:182:654,390,571.5,408.45,163.05,0.0,0.0,0
31,2021-09-10 00:00:00,False,2021-12-20 09:26:40,RR1.00:8-9:182:654,390,571.5,408.45,163.05,0.0,0.0,0
32,2021-09-10 00:00:00,False,2021-12-20 09:26:40,RR1.00:8-9:182:654,390,571.5,408.45,163.05,0.0,0.0,0
33,2021-11-01 00:00:00,False,2021-12-03 23:00:00,RR1.00:22-23:164:611,141,-619.0,147.0,-766.0,0.0,0.0,0
34,2021-12-01 00:00:00,False,2022-01-07 17:38:40,RR1.00:16-17:297:804,146,-982.0,152.25,-1134.25,0.0,0.0,0
35,2021-12-04 00:00:00,False,2022-01-07 23:30:00,RR1.00:21-22:180:634,128,-720.5,133.35,-853.85,0.0,0.0,0
36,2021-12-21 00:00:00,False,2022-01-10 20:30:00,RR1.00:18-19:138:610,74,-695.5,76.65,-772.15,0.0,0.0,0
37,2021-12-21 00:00:00,False,2022-01-10 20:30:00,RR1.00:18-19:138:610,74,-695.5,76.65,-772.15,0.0,0.0,0
38,2021-12-21 00:00:00,False,2022-01-10 20:30:00,RR1.00:18-19:138:610,74,-695.5,76.65,-772.15,0.0,0.0,0
39,2022-01-01 00:00:00,False,2022-05-11 20:05:40,RR1.00:16-17:341:936,490,2226.0,513.45,712.55,1000.0,1000.0,2
40,2022-01-08 00:00:00,False,2022-05-10 21:00:00,RR1.00:18-19:162:727,456,2740.0,477.75,262.25,2000.0,2000.0,4
41,2022-01-08 00:00:00,False,2022-05-10 21:00:00,RR1.00:18-19:162:727,456,2740.0,477.75,262.25,2000.0,2000.0,4
42,2022-01-08 00:00:00,False,2022-05-10 21:00:00,RR1.00:18-19:162:727,456,2740.0,477.75,262.25,2000.0,2000.0,4
43,2022-01-08 00:00:00,False,2022-05-10 21:00:00,RR1.00:18-19:162:727,456,2740.0,477.75,262.25,2000.0,2000.0,4
44,2022-01-08 00:00:00,False,2022-05-10 21:00:00,RR1.00:18-19:162:727,456,2740.0,477.75,262.25,2000.0,2000.0,4
45,2022-01-08 00:00:00,False,2022-05-10 21:00:00,RR1.00:18-19:162:727,456,2740.0,477.75,262.25,2000.0,2000.0,4
46,2022-01-08 00:00:00,False,2022-05-10 21:00:00,RR1.00:18-19:162:727,456,2740.0,477.75,262.25,2000.0,2000.0,4
47,2022-02-01 00:00:00,False,2022-05-10 21:00:00,RR1.00:18-19:162:727,371,1609.5,388.5,221.0,1000.0,1000.0,2
48,2022-02-28 00:00:00,False,2022-03-08 18:32:40,RR1.00:17-18:136:667,41,-685.5,42.0,-727.5,0.0,0.0,0
49,2022-02-28 00:00:00,False,2022-03-08 18:32:40,RR1.00:17-18:136:667,41,-685.5,42.0,-727.5,0.0,0.0,0
50,2022-02-28 00:00:00,False,2022-03-08 18:32:40,RR1.00:17-18:136:667,41,-685.5,42.0,-727.5,0.0,0.0,0
51,2022-03-30 00:00:00,False,2022-05-02 16:37:40,RR1.00:16-17:339:928,119,-206.0,123.9,-329.9,0.0,0.0,0
52,2022-03-30 00:00:00,False,2022-05-02 16:37:40,RR1.00:16-17:339:928,119,-206.0,123.9,-329.9,0.0,0.0,0
53,2022-03-30 00:00:00,False,2022-05-02 16:37:40,RR1.00:16-17:339:928,119,-206.0,123.9,-329.9,0.0,0.0,0
