at,kind,amount_usd,cash_after_usd
2020-01-01T00:00:00,owner_contribution,1000,1000.0
2020-01-01T00:00:00,evaluation_fee,-33,967.0
2020-01-02T00:00:00,evaluation_fee,-33,934.0
2020-01-03T00:00:00,evaluation_fee,-33,901.0
2020-01-04T00:00:00,evaluation_fee,-33,868.0
2020-01-05T00:00:00,evaluation_fee,-33,835.0
2020-01-06T00:00:00,evaluation_fee,-33,802.0
2020-01-07T00:00:00,evaluation_fee,-33,769.0
2020-01-08T00:00:00,evaluation_fee,-33,736.0
2020-01-09T00:00:00,evaluation_fee,-33,703.0
2020-01-10T00:00:00,evaluation_fee,-33,670.0
2020-02-01T00:00:00,owner_contribution,200,870.0
2020-02-01T00:00:00,evaluation_fee,-33,837.0
2020-02-02T00:00:00,evaluation_fee,-33,804.0
2020-02-03T00:00:00,evaluation_fee,-33,771.0
2020-02-04T00:00:00,evaluation_fee,-33,738.0
2020-02-05T00:00:00,evaluation_fee,-33,705.0
2020-02-06T00:00:00,evaluation_fee,-33,672.0
2020-02-07T00:00:00,activation_fee,-125,547.0
2020-02-07T00:00:00,activation_fee,-125,422.0
2020-02-07T00:00:00,evaluation_fee,-33,389.0
2020-02-08T00:00:00,evaluation_fee,-33,356.0
2020-02-09T00:00:00,evaluation_fee,-33,323.0
2020-02-10T00:00:00,evaluation_fee,-33,290.0
2020-03-01T00:00:00,owner_contribution,200,490.0
2020-03-01T00:00:00,evaluation_fee,-33,457.0
2020-03-03T00:00:00,activation_fee,-125,332.0
2020-03-03T00:00:00,evaluation_fee,-33,299.0
2020-03-04T00:00:00,evaluation_fee,-33,266.0
2020-03-05T00:00:00,evaluation_fee,-33,233.0
2020-03-06T00:00:00,evaluation_fee,-33,200.0
2020-03-07T00:00:00,evaluation_fee,-33,167.0
2020-03-08T00:00:00,evaluation_fee,-33,134.0
2020-03-09T00:00:00,evaluation_fee,-33,101.0
2020-03-10T00:00:00,evaluation_fee,-33,68.0
2020-03-13T00:00:00,evaluation_fee,-33,35.0
2020-03-19T00:00:00,evaluation_fee,-33,2.0
2020-04-01T00:00:00,owner_contribution,200,202.0
2020-04-03T00:00:00,evaluation_fee,-33,169.0
2020-04-04T00:00:00,evaluation_fee,-33,136.0
2020-04-05T00:00:00,evaluation_fee,-33,103.0
2020-04-06T00:00:00,evaluation_fee,-33,70.0
2020-04-07T00:00:00,evaluation_fee,-33,37.0
2020-04-08T00:00:00,evaluation_fee,-33,4.0
2020-05-01T00:00:00,owner_contribution,200,204.0
2020-05-01T00:00:00,evaluation_fee,-33,171.0
2020-05-02T00:00:00,evaluation_fee,-33,138.0
2020-05-03T00:00:00,evaluation_fee,-33,105.0
2020-05-03T00:00:00,evaluation_fee,-33,72.0
2020-05-04T00:00:00,evaluation_fee,-33,39.0
2020-05-04T00:00:00,evaluation_fee,-33,6.0
2020-06-01T00:00:00,owner_contribution,200,206.0
2020-06-01T00:00:00,activation_fee,-125,81.0
2020-06-01T00:00:00,evaluation_fee,-33,48.0
2020-06-02T00:00:00,evaluation_fee,-33,15.0
2020-07-01T00:00:00,owner_contribution,200,215.0
2020-07-01T00:00:00,activation_fee,-125,90.0
2020-07-01T00:00:00,evaluation_fee,-33,57.0
2020-07-01T00:00:00,evaluation_fee,-33,24.0
2020-08-01T00:00:00,owner_contribution,200,224.0
2020-08-01T00:00:00,activation_fee,-125,99.0
2020-08-01T00:00:00,evaluation_fee,-33,66.0
2020-08-01T00:00:00,evaluation_fee,-33,33.0
2020-08-01T00:00:00,evaluation_fee,-33,0.0
