eval_id,started_at,state,months_paid,resets,trades_taken,passed_at,ended_at
1,2020-01-01 00:00:00,funded,2,0,144,2020-02-06 06:30:00,2020-02-07 00:00:00
2,2020-01-02 00:00:00,funded,2,0,144,2020-02-06 06:30:00,2020-02-07 00:00:00
3,2020-01-03 00:00:00,funded,5,3,258,2020-05-08 08:30:00,2020-06-01 00:00:00
4,2020-01-04 00:00:00,funded,5,3,264,2020-05-08 08:30:00,2020-07-01 00:00:00
5,2020-01-05 00:00:00,cancelled,4,2,239,,2020-05-05 00:00:00
6,2020-01-06 00:00:00,cancelled,4,2,232,,2020-05-06 00:00:00
7,2020-01-07 00:00:00,cancelled,4,2,214,,2020-05-07 00:00:00
8,2020-01-08 00:00:00,cancelled,4,2,243,,2020-05-08 00:00:00
9,2020-01-09 00:00:00,cancelled,3,1,194,,2020-04-09 00:00:00
10,2020-01-10 00:00:00,cancelled,3,1,194,,2020-04-10 00:00:00
11,2020-03-01 00:00:00,funded,1,0,9,2020-03-02 23:00:00,2020-03-03 00:00:00
12,2020-03-13 00:00:00,cancelled,1,0,5,,2020-04-13 00:00:00
13,2020-03-19 00:00:00,cancelled,1,0,3,,2020-04-19 00:00:00
14,2020-05-01 00:00:00,funded,1,0,24,2020-05-08 04:00:00,2020-08-01 00:00:00
15,2020-05-02 00:00:00,funded,1,0,20,2020-05-08 08:30:00,2020-09-01 00:00:00
16,2020-05-03 00:00:00,funded,1,0,20,2020-05-08 08:30:00,2020-10-01 00:00:00
17,2020-05-04 00:00:00,funded,1,0,20,2020-05-08 08:30:00,2020-10-01 00:00:00
18,2020-06-01 00:00:00,funded,3,2,135,2020-08-07 11:00:00,2020-10-01 00:00:00
19,2020-06-02 00:00:00,cancelled,1,0,45,,2020-07-02 00:00:00
20,2020-07-01 00:00:00,funded,2,1,87,2020-08-07 11:00:00,2020-10-01 00:00:00
21,2020-08-01 00:00:00,funded,1,0,24,2020-08-07 11:00:00,2020-10-01 00:00:00
22,2020-09-01 00:00:00,funded,3,2,56,2020-11-04 05:00:00,2020-11-05 00:00:00
23,2020-09-02 00:00:00,cancelled,1,0,18,,2020-10-02 00:00:00
24,2020-10-01 00:00:00,funded,2,1,31,2020-11-04 05:00:00,2020-11-05 00:00:00
25,2020-11-01 00:00:00,funded,1,0,15,2020-11-04 05:00:00,2020-11-05 00:00:00
26,2020-11-02 00:00:00,funded,1,0,15,2020-11-04 05:00:00,2020-11-05 00:00:00
27,2020-11-03 00:00:00,funded,1,0,10,2020-11-04 15:30:00,2020-12-01 00:00:00
28,2020-11-04 00:00:00,funded,1,0,4,2020-11-04 23:30:00,2020-12-01 00:00:00
