arm,strategy,risk_reward,case,start,end,survived,breached,trade_key,interval_start,exit,accepted,closed,open_at_end,minimum_headroom_usd,quarter_net_pnl_usd,selection_sha256
RR:0.50,RR,0.50,3m_2022-04-01,2022-04-01T00:00:00,2022-07-01T00:00:00,False,True,RR0.50:22-23:201:773,2022-06-14T22:39:20,2022-06-14T23:30:00,426,426,0,-361.65,-1790.80,ea46654db4d2d41b40b31cff5bfa6eb4305dfca5edc73644587c16246c501c81
RR:0.50,RR,0.50,3m_2024-07-01,2024-07-01T00:00:00,2024-10-01T00:00:00,False,True,RR0.50:17-18:272:1385,2024-07-26T17:01:20,2024-07-26T17:08:40,418,418,0,-412.55,2226.10,a1585804abd2baca2ef17c6a46a487f6996eb01a36071762961d4092e5681ebd
RR:0.50,RR,0.50,3m_2025-04-01,2025-04-01T00:00:00,2025-07-01T00:00:00,False,True,RR0.50:2-3:472:1797,2025-04-07T02:34:40,2025-04-07T04:30:00,405,405,0,-341.80,4763.25,a23c15af17ffa8e1afd1abb5b969c98e6d0f175791a49d2cd13e71e25cba82f5
RR:0.51,RR,0.51,3m_2022-04-01,2022-04-01T00:00:00,2022-07-01T00:00:00,False,True,RR0.51:15-16:259:908,2022-06-30T15:24:40,2022-06-30T16:30:00,424,424,0,-0.05,-1429.20,18d4b213e9f2f9ba18a658d716b637f17b9038d3ee4b4e9032da3a9c3c2ca4f3
RR:0.51,RR,0.51,3m_2024-07-01,2024-07-01T00:00:00,2024-10-01T00:00:00,False,True,RR0.51:17-18:272:1385,2024-07-26T17:01:20,2024-07-26T17:08:40,414,414,0,-268.55,2447.80,33fe3d958736b1b17da92dd51fe4df353f092ee73ac5b3517356acdb73a3b1c4
RR:0.51,RR,0.51,3m_2025-04-01,2025-04-01T00:00:00,2025-07-01T00:00:00,False,True,RR0.51:2-3:472:1797,2025-04-07T02:34:40,2025-04-07T04:30:00,404,404,0,-298.80,4674.30,dbea3f28b6659bd2a891e122ea09b5136fdfe82c5bdd5d604f7d0bc1d483cfaa
RR:0.52,RR,0.52,3m_2022-04-01,2022-04-01T00:00:00,2022-07-01T00:00:00,False,True,RR0.52:10-11:213:823,2022-06-30T10:41:20,2022-06-30T12:11:40,424,424,0,-100.55,-1529.70,d56769d89bf630460bf26912bb8087e96fa65e9931d16f76e9a560845d09e9b5
RR:0.52,RR,0.52,3m_2024-07-01,2024-07-01T00:00:00,2024-10-01T00:00:00,False,True,RR0.52:17-18:272:1385,2024-07-26T17:01:20,2024-07-26T17:08:40,413,413,0,-168.05,2555.35,b462c66ac565207b82a7993f3dc1336d943c7f47b56725e575295dcf8cf8fceb
RR:0.52,RR,0.52,3m_2025-04-01,2025-04-01T00:00:00,2025-07-01T00:00:00,False,True,RR0.52:2-3:472:1797,2025-04-07T02:34:40,2025-04-07T04:30:00,403,403,0,-298.80,4709.35,ab0964d73c0b91ffe3cc27cab1c48fc63eeb148f932429ce7c813ddf0bce9764
RR:0.53,RR,0.53,3m_2022-04-01,2022-04-01T00:00:00,2022-07-01T00:00:00,False,True,RR0.53:18-19:173:765,2022-06-14T18:35:40,2022-06-14T22:08:40,423,423,0,-426.50,-1855.65,d96535d8367cb11a8f12f9ffbe21511acb590dcb9e0347c6f3633262c51b8106
RR:0.53,RR,0.53,3m_2024-07-01,2024-07-01T00:00:00,2024-10-01T00:00:00,False,True,RR0.53:18-19:332:1432,2024-07-26T18:05:40,2024-07-26T19:30:00,412,412,0,-93.05,2580.40,72f0456518c5e1c52c41864d18a436d776bc36b1ebfe096666f8630a040d5a8b
RR:0.53,RR,0.53,3m_2025-04-01,2025-04-01T00:00:00,2025-07-01T00:00:00,False,True,RR0.53:2-3:472:1797,2025-04-07T02:34:40,2025-04-07T04:30:00,403,403,0,-298.80,4321.85,efbf4dcc644de8e93274f4dd1848e3baece481912789f414cfc62db62cf903f6
RR:0.54,RR,0.54,3m_2022-04-01,2022-04-01T00:00:00,2022-07-01T00:00:00,False,True,RR0.54:18-19:173:765,2022-06-14T18:35:40,2022-06-14T22:08:40,423,423,0,-463.00,-1892.15,dab23882c818c8c91d3545b165d274d7aa1f7328733ebf87e789fa3975bb90ea
RR:0.54,RR,0.54,3m_2024-07-01,2024-07-01T00:00:00,2024-10-01T00:00:00,False,True,RR0.54:18-19:332:1432,2024-07-26T18:05:40,2024-07-26T19:30:00,411,411,0,-63.05,2437.45,1701d366af31bee7df6f8b21805563fbd0ffad595eb466c0ef54574d99d0aa3e
RR:0.54,RR,0.54,3m_2025-04-01,2025-04-01T00:00:00,2025-07-01T00:00:00,False,True,RR0.54:2-3:472:1797,2025-04-07T02:34:40,2025-04-07T04:30:00,401,401,0,-204.80,4038.45,45216f504df5b81607fe29468a2da679a47f60f87b27d8a89e4993c7779e3e74
RR:0.55,RR,0.55,3m_2022-04-01,2022-04-01T00:00:00,2022-07-01T00:00:00,False,True,RR0.55:16-17:342:938,2022-05-12T16:30:40,2022-05-12T16:32:40,421,421,0,-602.90,-2032.05,6eca4485283858bacb9ccb705bc74fbc0cb4f7e9f989e860c7322afc22114ccb
RR:0.55,RR,0.55,3m_2024-07-01,2024-07-01T00:00:00,2024-10-01T00:00:00,False,True,RR0.55:18-19:332:1432,2024-07-26T18:05:40,2024-07-26T19:30:00,410,410,0,-34.55,2207.50,2fe11cfb6db01434a809e5b3cd4563f31e9bafa8a58876534cae844c5c0fd9d2
RR:0.55,RR,0.55,3m_2025-04-01,2025-04-01T00:00:00,2025-07-01T00:00:00,False,True,RR0.55:2-3:472:1797,2025-04-07T02:34:40,2025-04-07T04:30:00,401,401,0,-204.80,4312.95,0dcbf4d86d86be874dc777fb988c49e4d50fe5515cefc8f76626d33138b68a88
RR:0.56,RR,0.56,3m_2022-04-01,2022-04-01T00:00:00,2022-07-01T00:00:00,False,True,RR0.56:16-17:342:938,2022-05-12T16:30:40,2022-05-12T16:32:40,419,419,0,-603.30,-2032.45,ef23ba0e9f98d3ce6ad1128a62f9a9813eb98d6c4e26b1ec41e1d8a4645bfb2d
RR:0.56,RR,0.56,3m_2024-07-01,2024-07-01T00:00:00,2024-10-01T00:00:00,False,True,RR0.56:18-19:334:1441,2024-08-02T18:36:40,2024-08-02T23:30:00,403,403,0,-1.55,2547.85,2677388de920870d77564275f92c5b5881510385a4c32244a050de4503c445cd
RR:0.56,RR,0.56,3m_2025-04-01,2025-04-01T00:00:00,2025-07-01T00:00:00,False,True,RR0.56:2-3:472:1797,2025-04-07T02:34:40,2025-04-07T04:30:00,398,398,0,-204.80,4444.10,0a48762dd731ffd2070b5c8791ec2fcc620b647e4f002b7218cc05d53910bcd1
RR:0.57,RR,0.57,3m_2022-04-01,2022-04-01T00:00:00,2022-07-01T00:00:00,False,True,RR0.57:16-17:342:938,2022-05-12T16:30:40,2022-05-12T16:32:40,419,419,0,-715.30,-2144.45,0739bbd8e8b3f792efe4d12f810915fe64570d1da06aee03c65ae830af3cfc5e
RR:0.57,RR,0.57,3m_2024-07-01,2024-07-01T00:00:00,2024-10-01T00:00:00,False,True,RR0.57:18-19:332:1432,2024-07-26T18:05:40,2024-07-26T19:30:00,402,402,0,-22.00,2433.90,dc6bdf82dd42a17c657da26d25bdb087fcead9528abbee0bad4f09e586c6b570
RR:0.57,RR,0.57,3m_2025-04-01,2025-04-01T00:00:00,2025-07-01T00:00:00,False,True,RR0.57:2-3:472:1797,2025-04-07T02:34:40,2025-04-07T04:30:00,397,397,0,-204.80,4582.15,ccf8123472cdbfd02e04ab9dd00e225624136d3751bff553ae713cf8ab3d48d5
RR:0.58,RR,0.58,3m_2022-04-01,2022-04-01T00:00:00,2022-07-01T00:00:00,False,True,RR0.58:16-17:342:938,2022-05-12T16:30:40,2022-05-12T16:32:40,418,418,0,-1246.25,-2675.40,4832385dd507ccc4f5edd119af2e04f534e9eb57f8068433e66de159729d1777
RR:0.58,RR,0.58,3m_2024-07-01,2024-07-01T00:00:00,2024-10-01T00:00:00,False,True,RR0.58:18-19:332:1432,2024-07-26T18:05:40,2024-07-26T19:30:00,401,401,0,-22.00,2578.95,70e9e84c80310e8a74679d122ddc89e6b22d8969370641cff416fc23bef82c04
RR:0.58,RR,0.58,3m_2025-04-01,2025-04-01T00:00:00,2025-07-01T00:00:00,False,True,RR0.58:2-3:472:1797,2025-04-07T02:34:40,2025-04-07T04:30:00,397,397,0,-204.80,4510.65,4c36d289b92d65344652b0c7fefd4fa7c74dd61e5096438ec49469c4508347bf
RR:0.59,RR,0.59,3m_2022-04-01,2022-04-01T00:00:00,2022-07-01T00:00:00,False,True,RR0.59:12-13:187:744,2022-05-12T12:47:40,2022-05-12T14:48:40,418,418,0,-1253.75,-2682.90,2a2c9328ab6b0e48b23a44fbbce294f7e88d897d5f70face574d02c0ee5b91ab
RR:0.59,RR,0.59,3m_2024-07-01,2024-07-01T00:00:00,2024-10-01T00:00:00,True,False,,,,400,400,0,4.55,2624.00,6624236286eee74b648e14933edcad63f16386d2f870be73e8488b1dd0219af8
RR:0.59,RR,0.59,3m_2025-04-01,2025-04-01T00:00:00,2025-07-01T00:00:00,False,True,RR0.59:2-3:472:1797,2025-04-07T02:34:40,2025-04-07T04:30:00,397,397,0,-204.80,4379.65,f58d59a462add1c7fdc0efe73a635187e0dc04292f35ca1ad8caa297b5b1cc30
RR:0.60,RR,0.60,3m_2022-04-01,2022-04-01T00:00:00,2022-07-01T00:00:00,False,True,RR0.60:12-13:187:744,2022-05-12T12:47:40,2022-05-12T14:48:40,417,417,0,-1199.70,-2628.85,0deca39566cdc36cb161aa6efffacc0e03e0f02694e30eb88e03ec6fd286fff3
RR:0.60,RR,0.60,3m_2024-07-01,2024-07-01T00:00:00,2024-10-01T00:00:00,True,False,,,,398,398,0,4.55,2863.10,a5950fcfeef165c07058321d2235d439911d3979a751ff7822f95c96f0ba9f84
RR:0.60,RR,0.60,3m_2025-04-01,2025-04-01T00:00:00,2025-07-01T00:00:00,False,True,RR0.60:2-3:472:1797,2025-04-07T02:34:40,2025-04-07T04:30:00,397,397,0,-204.80,4379.65,dd0e22a69fc7049c67f0737811c8eee14faad209827e37132704d66dec48bab4
RR:0.61,RR,0.61,3m_2022-04-01,2022-04-01T00:00:00,2022-07-01T00:00:00,False,True,RR0.61:9-10:216:798,2022-05-12T09:08:40,2022-05-12T09:47:40,414,414,0,-1420.05,-2849.20,88036ec4d73eb90a4d2dff119db2fbc0a9b4454b34dbf081b661b7e26a65ccc1
RR:0.61,RR,0.61,3m_2024-07-01,2024-07-01T00:00:00,2024-10-01T00:00:00,True,False,,,,398,398,0,8.05,2866.60,784c8e0e8e90614d032b86ed7ccbc1ba2b46a008a08cd36637d621ba84b2a40b
RR:0.61,RR,0.61,3m_2025-04-01,2025-04-01T00:00:00,2025-07-01T00:00:00,False,True,RR0.61:2-3:472:1797,2025-04-07T02:34:40,2025-04-07T04:30:00,396,396,0,-204.80,3832.20,25aad7a6873c54c52ea36f5becc4aee41db1be549cee354475c0d59790db11ef
RR:0.62,RR,0.62,3m_2022-04-01,2022-04-01T00:00:00,2022-07-01T00:00:00,False,True,RR0.62:9-10:216:798,2022-05-12T09:08:40,2022-05-12T09:47:40,414,414,0,-1376.05,-2805.20,849a0e2d2f62aaecb20797878689639c024558b40b00018aded0d2a83085698a
RR:0.62,RR,0.62,3m_2024-07-01,2024-07-01T00:00:00,2024-10-01T00:00:00,False,True,RR0.62:18-19:334:1441,2024-08-02T18:36:40,2024-08-02T23:30:00,398,398,0,-36.45,2829.10,fc756cd4e7d3282baf4046c6be005f09236f47a223bcb261a69d29d0c24e36ce
RR:0.62,RR,0.62,3m_2025-04-01,2025-04-01T00:00:00,2025-07-01T00:00:00,False,True,RR0.62:2-3:472:1797,2025-04-07T02:34:40,2025-04-07T04:30:00,395,395,0,-204.80,3741.25,57afcdc086ae4c180d576715b071083b7d28cfaf5627edd530b5970cc0022234
