episode,months,budget,gap,start,end,rrs
1m_b1500_g5_e01,1,1500,5,2020-02-28T12:21:40,2020-02-28T16:28:20,3.00
1m_b1500_g5_e02,1,1500,5,2020-03-17T12:04:40,2020-03-19T17:30:00,0.75/1.75/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g5_e03,1,1500,5,2020-09-08T17:00:20,2020-09-21T19:30:00,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g5_e04,1,1500,5,2021-03-24T20:00:20,2021-03-24T20:40:40,0.50
1m_b1500_g5_e05,1,1500,5,2021-09-28T21:44:40,2021-09-30T22:59:40,1.00/1.75/2.00/2.50/2.75/3.00/3.25/3.50
1m_b1500_g5_e06,1,1500,5,2022-01-19T08:00:40,2022-01-24T14:52:20,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g5_e07,1,1500,5,2022-02-21T03:09:40,2022-03-04T23:30:00,0.50/0.75/1.00/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g5_e08,1,1500,5,2022-03-15T04:30:20,2022-03-15T15:00:00,1.25/1.50/1.75
1m_b1500_g5_e09,1,1500,5,2022-04-12T20:20:40,2022-04-22T22:51:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g5_e10,1,1500,5,2022-05-09T19:07:40,2022-05-10T03:10:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g5_e11,1,1500,5,2022-06-14T18:46:40,2022-06-16T23:30:00,0.50/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25
1m_b1500_g5_e12,1,1500,5,2022-09-22T22:00:40,2022-09-28T12:15:40,1.25/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g5_e13,1,1500,5,2022-12-28T19:32:40,2022-12-29T11:00:00,1.50/2.25
1m_b1500_g5_e14,1,1500,5,2023-08-08T19:32:40,2023-08-17T09:30:00,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g5_e15,1,1500,5,2024-07-25T09:30:40,2024-08-05T11:00:00,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
1m_b1500_g5_e16,1,1500,5,2024-09-06T20:09:40,2024-09-09T06:30:00,0.50/0.75
1m_b1500_g5_e17,1,1500,5,2025-03-06T20:21:40,2025-03-11T16:04:40,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50
