left,right,mean_quarter_pnl,mean_quarter_mdd,left_failed,right_failed,both,left_only,right_only,mean_fraction_failed
1.25,1.50,1289.4673076923077,2141.575,5,5,5,0,0,0.19230769230769232
1.25,1.25,1296.8673076923076,2154.0403846153845,5,5,5,0,0,0.19230769230769232
1.50,1.50,1282.0673076923076,2181.525,5,5,5,0,0,0.19230769230769232
1.00,1.25,1222.3596153846154,2089.7134615384616,6,5,5,1,0,0.21153846153846154
1.00,1.50,1214.9596153846153,2102.7663461538464,6,5,5,1,0,0.21153846153846154
1.25,1.75,1201.9605769230768,2185.390384615385,5,7,5,0,2,0.23076923076923078
1.25,3.50,1376.9403846153846,2206.4009615384616,5,7,5,0,2,0.23076923076923078
1.50,1.75,1194.560576923077,2226.660576923077,5,7,5,0,2,0.23076923076923078
1.50,3.50,1369.5403846153847,2229.726923076923,5,7,5,0,2,0.23076923076923078
1.25,3.25,1250.8461538461538,2262.498076923077,5,7,5,0,2,0.23076923076923078
1.50,3.25,1243.4461538461537,2300.308653846154,5,7,5,0,2,0.23076923076923078
1.25,2.00,1264.2182692307692,2163.693269230769,5,8,5,0,3,0.25
1.50,2.00,1256.8182692307691,2191.867307692308,5,8,5,0,3,0.25
1.25,2.25,1257.5625,2196.410576923077,5,8,5,0,3,0.25
1.50,2.25,1250.1625,2224.554807692308,5,8,5,0,3,0.25
1.25,3.00,1319.2798076923077,2247.9076923076923,5,8,5,0,3,0.25
1.50,3.00,1311.8798076923076,2287.289423076923,5,8,5,0,3,0.25
0.75,1.25,1100.178846153846,2081.992307692308,9,5,5,4,0,0.2692307692307692
0.75,1.50,1092.7788461538462,2083.875,9,5,5,4,0,0.2692307692307692
0.50,1.25,962.9259615384616,2099.121153846154,9,5,5,4,0,0.2692307692307692
0.50,1.50,955.5259615384615,2104.0596153846154,9,5,5,4,0,0.2692307692307692
1.25,2.75,1263.864423076923,2250.0461538461536,5,9,5,0,4,0.2692307692307692
1.25,2.50,1235.3971153846153,2256.3740384615385,5,9,5,0,4,0.2692307692307692
1.50,2.50,1227.9971153846154,2272.8028846153848,5,9,5,0,4,0.2692307692307692
1.50,2.75,1256.4644230769231,2282.109615384615,5,9,5,0,4,0.2692307692307692
0.50,1.00,888.4182692307693,2085.2798076923077,9,6,5,4,1,0.28846153846153844
1.00,1.00,1147.851923076923,2122.3307692307694,6,6,6,0,0,0.23076923076923078
1.00,1.75,1127.4528846153846,2154.339423076923,6,7,6,0,1,0.25
1.00,3.50,1302.4326923076924,2174.0490384615387,6,7,6,0,1,0.25
1.00,3.25,1176.3384615384614,2229.681730769231,6,7,6,0,1,0.25
1.00,2.00,1189.7105769230768,2131.253846153846,6,8,6,0,2,0.2692307692307692
1.00,2.25,1183.0548076923076,2171.916346153846,6,8,6,0,2,0.2692307692307692
1.00,3.00,1244.7721153846153,2211.1759615384617,6,8,6,0,2,0.2692307692307692
1.75,3.50,1282.0336538461538,2285.0576923076924,7,7,6,1,1,0.2692307692307692
1.75,3.25,1155.939423076923,2360.570192307692,7,7,6,1,1,0.2692307692307692
0.75,1.00,1025.6711538461539,2081.3038461538463,9,6,6,3,0,0.28846153846153844
1.00,2.50,1160.889423076923,2225.2999999999997,6,9,6,0,3,0.28846153846153844
1.00,2.75,1189.3567307692308,2229.65,6,9,6,0,3,0.28846153846153844
2.00,3.50,1344.2913461538462,2252.039423076923,8,7,6,2,1,0.28846153846153844
2.25,3.50,1337.635576923077,2295.6865384615385,8,7,6,2,1,0.28846153846153844
2.00,3.25,1218.1971153846155,2324.3076923076924,8,7,6,2,1,0.28846153846153844
1.75,3.00,1224.373076923077,2347.6807692307693,7,8,6,1,2,0.28846153846153844
2.25,3.25,1211.5413461538462,2351.575961538462,8,7,6,2,1,0.28846153846153844
0.50,1.75,868.0192307692308,2142.041346153846,9,7,6,3,1,0.3076923076923077
0.50,3.50,1042.9990384615385,2203.9932692307693,9,7,6,3,1,0.3076923076923077
0.50,3.25,916.9048076923077,2261.228846153846,9,7,6,3,1,0.3076923076923077
1.75,1.75,1107.0538461538463,2310.1903846153846,7,7,7,0,0,0.2692307692307692
3.50,3.50,1457.0134615384616,2392.751923076923,7,7,7,0,0,0.2692307692307692
3.25,3.50,1330.9192307692308,2409.295192307692,7,7,7,0,0,0.2692307692307692
3.25,3.25,1204.825,2497.5653846153846,7,7,7,0,0,0.2692307692307692
1.75,2.00,1169.3115384615385,2266.0490384615387,7,8,7,0,1,0.28846153846153844
1.75,2.25,1162.6557692307692,2293.4528846153844,7,8,7,0,1,0.28846153846153844
3.00,3.50,1399.3528846153847,2364.4028846153847,8,7,7,1,0,0.28846153846153844
