case,months,start,end,rr,strategy,risk_reward,budget,eligible,breached,trade_key,interval_start,exit,accepted,closed
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,0.50,GG,0.50,1500,True,False,,,,174,174
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,0.50,GG,0.50,6800,True,False,,,,174,174
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,0.75,GG,0.75,1500,True,False,,,,147,147
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,0.75,GG,0.75,6800,True,False,,,,147,147
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,1.00,GG,1.00,1500,True,False,,,,141,141
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,1.00,GG,1.00,6800,True,False,,,,141,141
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,1.25,GG,1.25,1500,True,False,,,,126,126
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,1.25,GG,1.25,6800,True,False,,,,126,126
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,1.50,GG,1.50,1500,True,False,,,,113,113
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,1.50,GG,1.50,6800,True,False,,,,113,113
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,1.75,GG,1.75,1500,True,False,,,,107,107
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,1.75,GG,1.75,6800,True,False,,,,107,107
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,2.00,GG,2.00,1500,True,False,,,,104,104
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,2.00,GG,2.00,6800,True,False,,,,104,104
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,2.25,GG,2.25,1500,True,False,,,,98,98
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,2.25,GG,2.25,6800,True,False,,,,98,98
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,2.50,GG,2.50,1500,True,False,,,,95,95
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,2.50,GG,2.50,6800,True,False,,,,95,95
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,2.75,GG,2.75,1500,True,False,,,,91,91
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,2.75,GG,2.75,6800,True,False,,,,91,91
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,3.00,GG,3.00,1500,True,False,,,,86,86
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,3.00,GG,3.00,6800,True,False,,,,86,86
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,3.25,GG,3.25,1500,True,False,,,,85,85
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,3.25,GG,3.25,6800,True,False,,,,85,85
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,3.50,GG,3.50,1500,True,False,,,,90,90
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,3.50,GG,3.50,6800,True,False,,,,90,90
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,0.50,GG,0.50,1500,True,False,,,,150,150
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,0.50,GG,0.50,6800,True,False,,,,150,150
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,0.75,GG,0.75,1500,True,False,,,,120,120
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,0.75,GG,0.75,6800,True,False,,,,120,120
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,1.00,GG,1.00,1500,True,False,,,,109,109
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,1.00,GG,1.00,6800,True,False,,,,109,109
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,1.25,GG,1.25,1500,True,False,,,,105,105
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,1.25,GG,1.25,6800,True,False,,,,105,105
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,1.50,GG,1.50,1500,True,False,,,,99,99
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,1.50,GG,1.50,6800,True,False,,,,99,99
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,1.75,GG,1.75,1500,True,False,,,,92,92
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,1.75,GG,1.75,6800,True,False,,,,92,92
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,2.00,GG,2.00,1500,True,False,,,,87,87
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,2.00,GG,2.00,6800,True,False,,,,87,87
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,2.25,GG,2.25,1500,True,False,,,,83,83
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,2.25,GG,2.25,6800,True,False,,,,83,83
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,2.50,GG,2.50,1500,True,False,,,,81,81
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,2.50,GG,2.50,6800,True,False,,,,81,81
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,2.75,GG,2.75,1500,True,False,,,,78,78
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,2.75,GG,2.75,6800,True,False,,,,78,78
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,3.00,GG,3.00,1500,True,True,GG3.00:12-13:24:56,2020-02-28T12:21:40,2020-02-28T16:28:20,80,80
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,3.00,GG,3.00,6800,True,False,,,,80,80
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,3.25,GG,3.25,1500,True,False,,,,77,77
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,3.25,GG,3.25,6800,True,False,,,,77,77
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,3.50,GG,3.50,1500,True,False,,,,75,75
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,3.50,GG,3.50,6800,True,False,,,,75,75
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,0.50,GG,0.50,1500,True,False,,,,160,160
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,0.50,GG,0.50,6800,True,False,,,,160,160
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,0.75,GG,0.75,1500,True,True,GG0.75:6-7:28:68,2020-03-19T06:30:40,2020-03-19T08:30:00,146,146
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,0.75,GG,0.75,6800,True,False,,,,146,146
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,1.00,GG,1.00,1500,True,False,,,,135,135
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,1.00,GG,1.00,6800,True,False,,,,135,135
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,1.25,GG,1.25,1500,True,False,,,,123,123
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,1.25,GG,1.25,6800,True,False,,,,123,123
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,1.50,GG,1.50,1500,True,False,,,,107,107
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,1.50,GG,1.50,6800,True,False,,,,107,107
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,1.75,GG,1.75,1500,True,True,GG1.75:21-22:33:77,2020-03-18T21:00:40,2020-03-19T17:30:00,98,98
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,1.75,GG,1.75,6800,True,False,,,,98,98
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,2.00,GG,2.00,1500,True,False,,,,87,87
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,2.00,GG,2.00,6800,True,False,,,,87,87
