phase,headroom,portfolio,cases,first_quarter_full_loss,mean_original_survivors_quarter,cases_with_loss,first_recovered_cases,first_unrecovered_cases,median_first_recovery_days,wipeout_cases,complete_12m_cases,mean_min_live,mean_empty_days,mean_days_below_5,mean_days_below_10,mean_days_below_20,mean_original_deaths,mean_replacement_deaths,mean_forward_net_cash,mean_replacement_costs,mean_receipts,mean_retained_equity,mean_cash_limited_decisions,worst_min_live
hold,6800,pair,26,0,20,0,0,0,,0,0,20,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,161619.92307692306,0,20
hold,6800,middle10,26,0,20,0,0,0,,0,0,20,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,161346.4346153846,0,20
hold,6800,middle20,26,0,20,0,0,0,,0,0,20,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,161072.94615384616,0,20
hold,6800,rr050,26,0,20,0,0,0,,0,0,20,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,155356.6923076923,0,20
hold,6800,rr100,26,0,20,0,0,0,,0,0,20,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,158885.03846153847,0,20
hold,6800,rr250,26,0,20,0,0,0,,0,0,20,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,167883.15384615384,0,20
hold,1500,pair,26,3,15.76923076923077,8,0,8,,3,0,15.76923076923077,6.427653133903134,6.427653133903134,6.427653133903134,15.988354700854702,4.230769230769231,0,0.0,0.0,0.0,45291.78846153846,0,0
hold,1500,middle10,26,2,15.653846153846153,9,0,9,,2,0,15.653846153846153,3.878205128205128,6.427653133903134,12.019836182336183,17.769337606837606,4.346153846153846,0,0.0,0.0,0.0,45485.26346153846,0,0
hold,1500,middle20,26,2,15.538461538461538,9,0,9,,2,0,15.538461538461538,3.878205128205128,6.427653133903134,12.019836182336183,17.769337606837606,4.461538461538462,0,0.0,0.0,0.0,45678.738461538465,0,0
hold,1500,rr050,26,5,16.153846153846153,5,0,5,,5,0,16.153846153846153,10.474296652421652,10.474296652421652,10.474296652421652,10.474296652421652,3.8461538461538463,0,0.0,0.0,0.0,41333.38461538462,0,0
hold,1500,rr100,26,7,14.615384615384615,7,0,7,,7,0,14.615384615384615,11.251371082621082,11.251371082621082,11.251371082621082,11.251371082621082,5.384615384615385,0,0.0,0.0,0.0,47226.53846153846,0,0
hold,1500,rr250,26,6,15.384615384615385,6,0,6,,6,0,15.384615384615385,11.941711182336181,11.941711182336181,11.941711182336181,11.941711182336181,4.615384615384615,0,0.0,0.0,0.0,49250.192307692305,0,0
recovery,6800,pair,26,0,20,0,0,0,,0,23,20,0.0,0.0,0.0,0.0,0,0,93076.92307692308,0,93076.92307692308,135277.78846153847,0,20
recovery,6800,middle10,26,0,20,0,0,0,,0,23,20,0.0,0.0,0.0,0.0,0,0,92923.07692307692,0,92923.07692307692,134690.53653846154,0,20
recovery,6800,middle20,26,0,20,0,0,0,,0,23,20,0.0,0.0,0.0,0.0,0,0,92769.23076923077,0,92769.23076923077,134103.28461538462,0,20
recovery,6800,rr050,26,0,20,0,0,0,,0,23,20,0.0,0.0,0.0,0.0,0,0,76538.46153846153,0,76538.46153846153,126179.69230769231,0,20
recovery,6800,rr100,26,0,20,0,0,0,,0,23,20,0.0,0.0,0.0,0.0,0,0,91538.46153846153,0,91538.46153846153,129405.26923076923,0,20
recovery,6800,rr250,26,0,20,0,0,0,,0,23,20,0.0,0.0,0.0,0.0,0,0,109615.38461538461,0,109615.38461538461,144375.88461538462,0,20
recovery,1500,pair,26,3,15.76923076923077,14,9,5,149.04606481481483,3,23,13.461538461538462,0.5045762108262108,9.899830840455841,20.084891381766383,105.55447827635328,6.538461538461538,4.3076923076923075,14883.884615384615,1673.8076923076924,16557.69230769231,85863.9576923077,0,0
recovery,1500,middle10,26,2,15.653846153846153,16,10,6,96.70810185185185,2,23,13.346153846153847,0.30128205128205127,7.535247507122507,23.85618767806268,115.36340811965812,6.653846153846154,4.384615384615385,15012.346153846154,1737.6538461538462,16750.0,85871.7,0,0
recovery,1500,middle20,26,2,15.538461538461538,16,9,7,108.21967592592593,2,23,13.23076923076923,0.30128205128205127,4.468767806267806,26.141791310541308,118.18197115384616,6.769230769230769,4.346153846153846,15231.423076923076,1730.1153846153845,16961.53846153846,85383.46923076923,0,0
recovery,1500,rr050,26,5,16.153846153846153,10,3,7,226.16666666666666,10,23,12.307692307692308,11.205154914529913,34.00505698005698,50.775204772079775,94.01737001424502,7.6923076923076925,4.230769230769231,9207.423076923076,1619.5,10826.923076923076,68816.13076923077,0,0
recovery,1500,rr100,26,7,14.615384615384615,10,1,9,226.2196759259259,10,23,12.307692307692308,7.821492165242166,30.503071581196583,58.877279202279205,86.43176638176638,7.6923076923076925,4.1923076923076925,16271.26923076923,1478.7307692307693,17750.0,75319.13461538461,0,0
recovery,1500,rr250,26,6,15.384615384615385,7,0,7,,7,23,14.615384615384615,8.239823717948717,36.855706908831905,55.137562321937324,78.49377670940171,5.384615384615385,3.4615384615384617,20862.5,1252.8846153846155,22115.384615384617,96066.38653846153,0,0
