case,start,policy,months,purchased,deaths,end_alive,peak_alive,empty_episodes,empty_days,continuous,days_below5,days_below10,reached20,first20_at,days_to20,observed_days,received,purchase_cost,net_cash
2020-01__daily_minimum,2020-01-01,minimum,6,6,2,4,5,0,0.0,True,156.046759,182.0,False,,,182.0,0.0,1200.0,-1200.0
2020-01__daily_minimum,2020-01-01,minimum,12,12,4,8,10,0,0.0,True,156.046759,335.303704,False,,,366.0,0.0,2400.0,-2400.0
2020-01__daily_minimum,2020-01-01,minimum,24,24,18,6,10,0,0.0,True,156.046759,666.011343,False,,,731.0,1000.0,4800.0,-3800.0
2020-01__daily_minimum,2020-01-01,minimum,36,36,27,9,10,0,0.0,True,156.046759,1025.38125,False,,,1096.0,3500.0,7200.0,-3700.0
2020-01__daily_maximum,2020-01-01,maximum,6,6,2,4,5,0,0.0,True,156.046759,182.0,False,,,182.0,0.0,1200.0,-1200.0
2020-01__daily_maximum,2020-01-01,maximum,12,12,4,8,10,0,0.0,True,156.046759,335.303704,False,,,366.0,0.0,2400.0,-2400.0
2020-01__daily_maximum,2020-01-01,maximum,24,24,18,6,10,0,0.0,True,156.046759,666.011343,False,,,731.0,1200.35,4800.0,-3599.65
2020-01__daily_maximum,2020-01-01,maximum,36,36,27,9,10,0,0.0,True,156.046759,1025.38125,False,,,1096.0,3751.0,7200.0,-3449.0
2020-02__daily_minimum,2020-02-01,minimum,6,6,2,4,4,0,0.0,True,182.0,182.0,False,,,182.0,0.0,1200.0,-1200.0
2020-02__daily_minimum,2020-02-01,minimum,12,12,5,7,9,0,0.0,True,182.0,366.0,False,,,366.0,0.0,2400.0,-2400.0
2020-02__daily_minimum,2020-02-01,minimum,24,24,21,3,9,0,0.0,True,203.441898,731.0,False,,,731.0,0.0,4800.0,-4800.0
2020-02__daily_minimum,2020-02-01,minimum,36,36,29,7,9,0,0.0,True,295.210648,1096.0,False,,,1096.0,2500.0,7200.0,-4700.0
2020-02__daily_maximum,2020-02-01,maximum,6,6,2,4,4,0,0.0,True,182.0,182.0,False,,,182.0,0.0,1200.0,-1200.0
2020-02__daily_maximum,2020-02-01,maximum,12,12,5,7,9,0,0.0,True,182.0,366.0,False,,,366.0,0.0,2400.0,-2400.0
2020-02__daily_maximum,2020-02-01,maximum,24,24,21,3,9,0,0.0,True,203.441898,731.0,False,,,731.0,0.0,4800.0,-4800.0
2020-02__daily_maximum,2020-02-01,maximum,36,36,29,7,9,0,0.0,True,295.210648,1096.0,False,,,1096.0,2678.8,7200.0,-4521.2
2020-03__daily_minimum,2020-03-01,minimum,6,6,1,5,5,0,0.0,True,153.0,184.0,False,,,184.0,0.0,1200.0,-1200.0
2020-03__daily_minimum,2020-03-01,minimum,12,12,5,7,9,0,0.0,True,153.0,365.0,False,,,365.0,0.0,2400.0,-2400.0
2020-03__daily_minimum,2020-03-01,minimum,24,24,17,7,9,0,0.0,True,153.0,730.0,False,,,730.0,1500.0,4800.0,-3300.0
2020-03__daily_minimum,2020-03-01,minimum,36,36,27,9,10,0,0.0,True,153.0,1057.543056,False,,,1095.0,3500.0,7200.0,-3700.0
2020-03__daily_maximum,2020-03-01,maximum,6,6,1,5,5,0,0.0,True,153.0,184.0,False,,,184.0,0.0,1200.0,-1200.0
2020-03__daily_maximum,2020-03-01,maximum,12,12,5,7,9,0,0.0,True,153.0,365.0,False,,,365.0,0.0,2400.0,-2400.0
2020-03__daily_maximum,2020-03-01,maximum,24,24,17,7,9,0,0.0,True,153.0,730.0,False,,,730.0,2457.05,4800.0,-2342.95
2020-03__daily_maximum,2020-03-01,maximum,36,36,27,9,10,0,0.0,True,153.0,1057.543056,False,,,1095.0,3751.0,7200.0,-3449.0
2020-04__daily_minimum,2020-04-01,minimum,6,6,1,5,5,0,0.0,True,153.0,183.0,False,,,183.0,0.0,1200.0,-1200.0
2020-04__daily_minimum,2020-04-01,minimum,12,12,6,6,8,0,0.0,True,153.0,365.0,False,,,365.0,0.0,2400.0,-2400.0
2020-04__daily_minimum,2020-04-01,minimum,24,24,20,4,8,0,0.0,True,229.742824,730.0,False,,,730.0,2000.0,4800.0,-2800.0
2020-04__daily_minimum,2020-04-01,minimum,36,36,29,7,9,0,0.0,True,266.210648,1095.0,False,,,1095.0,2500.0,7200.0,-4700.0
2020-04__daily_maximum,2020-04-01,maximum,6,6,1,5,5,0,0.0,True,153.0,183.0,False,,,183.0,0.0,1200.0,-1200.0
2020-04__daily_maximum,2020-04-01,maximum,12,12,6,6,8,0,0.0,True,153.0,365.0,False,,,365.0,0.0,2400.0,-2400.0
2020-04__daily_maximum,2020-04-01,maximum,24,24,20,4,8,0,0.0,True,229.742824,730.0,False,,,730.0,2678.8,4800.0,-2121.2
2020-04__daily_maximum,2020-04-01,maximum,36,36,29,7,9,0,0.0,True,266.210648,1095.0,False,,,1095.0,2678.8,7200.0,-4521.2
2020-05__daily_minimum,2020-05-01,minimum,6,6,1,5,5,0,0.0,True,153.0,184.0,False,,,184.0,0.0,1200.0,-1200.0
2020-05__daily_minimum,2020-05-01,minimum,12,12,6,6,7,0,0.0,True,153.0,365.0,False,,,365.0,0.0,2400.0,-2400.0
2020-05__daily_minimum,2020-05-01,minimum,24,24,16,8,8,0,0.0,True,196.046065,730.0,False,,,730.0,500.0,4800.0,-4300.0
2020-05__daily_minimum,2020-05-01,minimum,36,36,27,9,9,0,0.0,True,196.046065,1095.0,False,,,1095.0,500.0,7200.0,-6700.0
2020-05__daily_maximum,2020-05-01,maximum,6,6,1,5,5,0,0.0,True,153.0,184.0,False,,,184.0,0.0,1200.0,-1200.0
2020-05__daily_maximum,2020-05-01,maximum,12,12,6,6,7,0,0.0,True,153.0,365.0,False,,,365.0,0.0,2400.0,-2400.0
2020-05__daily_maximum,2020-05-01,maximum,24,24,16,8,8,0,0.0,True,196.046065,730.0,False,,,730.0,651.15,4800.0,-4148.85
2020-05__daily_maximum,2020-05-01,maximum,36,36,27,9,9,0,0.0,True,196.046065,1095.0,False,,,1095.0,651.15,7200.0,-6548.85
2020-06__daily_minimum,2020-06-01,minimum,6,6,0,6,6,0,0.0,True,122.0,183.0,False,,,183.0,0.0,1200.0,-1200.0
2020-06__daily_minimum,2020-06-01,minimum,12,12,7,5,8,0,0.0,True,122.0,365.0,False,,,365.0,0.0,2400.0,-2400.0
