case,at,alive,alive_rr050,alive_rr250,purchased,deaths,retained_profit
2020-01__daily_minimum,2020-01-01T00:00:00,1,1,0,1,0,0.0
2020-01__daily_minimum,2020-02-01T00:00:00,2,1,1,2,0,160.1
2020-01__daily_minimum,2020-03-01T00:00:00,2,2,0,3,1,-137.6
2020-01__daily_minimum,2020-04-01T00:00:00,3,2,1,4,1,2843.05
2020-01__daily_minimum,2020-05-01T00:00:00,4,3,1,5,1,3744.95
2020-01__daily_minimum,2020-06-01T00:00:00,5,3,2,6,1,6932.4
2020-01__daily_minimum,2020-07-01T00:00:00,5,4,1,7,2,4382.0
2020-01__daily_minimum,2020-08-01T00:00:00,6,4,2,8,2,7938.3
2020-01__daily_minimum,2020-09-01T00:00:00,7,5,2,9,2,9746.9
2020-01__daily_minimum,2020-10-01T00:00:00,8,5,3,10,2,13912.4
2020-01__daily_minimum,2020-11-01T00:00:00,9,6,3,11,2,16480.5
2020-01__daily_minimum,2020-12-01T00:00:00,10,6,4,12,2,15521.4
2020-01__daily_minimum,2021-01-01T00:00:00,9,5,4,13,4,14331.95
2020-01__daily_minimum,2021-02-01T00:00:00,10,5,5,14,4,15157.95
2020-01__daily_minimum,2021-03-01T00:00:00,9,4,5,15,6,16010.1
2020-01__daily_minimum,2021-04-01T00:00:00,9,3,6,16,7,20032.75
2020-01__daily_minimum,2021-05-01T00:00:00,10,4,6,17,7,21350.95
2020-01__daily_minimum,2021-06-01T00:00:00,7,2,5,18,11,12466.8
2020-01__daily_minimum,2021-07-01T00:00:00,6,1,5,19,13,11801.0
2020-01__daily_minimum,2021-08-01T00:00:00,7,1,6,20,13,13440.5
2020-01__daily_minimum,2021-09-01T00:00:00,8,2,6,21,13,16363.15
2020-01__daily_minimum,2021-10-01T00:00:00,7,2,5,22,15,8777.3
2020-01__daily_minimum,2021-11-01T00:00:00,8,3,5,23,15,23677.9
2020-01__daily_minimum,2021-12-01T00:00:00,9,3,6,24,15,22454.15
2020-01__daily_minimum,2022-01-01T00:00:00,7,1,6,25,18,16605.25
2020-01__daily_minimum,2022-02-01T00:00:00,7,1,6,26,19,21463.8
2020-01__daily_minimum,2022-03-01T00:00:00,8,2,6,27,19,36292.45
2020-01__daily_minimum,2022-04-01T00:00:00,9,2,7,28,19,34179.95
2020-01__daily_minimum,2022-05-01T00:00:00,10,3,7,29,19,33488.15
2020-01__daily_minimum,2022-06-01T00:00:00,7,1,6,30,23,26156.05
2020-01__daily_minimum,2022-07-01T00:00:00,7,2,5,31,24,11303.65
2020-01__daily_minimum,2022-08-01T00:00:00,8,2,6,32,24,25052.95
2020-01__daily_minimum,2022-09-01T00:00:00,9,3,6,33,24,27402.55
2020-01__daily_minimum,2022-10-01T00:00:00,9,3,6,34,25,26120.2
2020-01__daily_minimum,2022-11-01T00:00:00,10,4,6,35,25,29687.2
2020-01__daily_minimum,2022-12-01T00:00:00,9,3,6,36,27,22589.35
2020-01__daily_minimum,2023-01-01T00:00:00,10,4,6,37,27,17301.7
2020-01__daily_minimum,2023-02-01T00:00:00,10,4,6,38,28,25173.0
2020-01__daily_minimum,2023-03-01T00:00:00,10,4,6,39,29,25306.7
2020-01__daily_minimum,2023-04-01T00:00:00,10,3,7,40,30,35650.4
2020-01__daily_minimum,2023-05-01T00:00:00,11,4,7,41,30,39591.85
2020-01__daily_minimum,2023-06-01T00:00:00,12,4,8,42,30,38192.5
2020-01__daily_minimum,2023-07-01T00:00:00,13,5,8,43,30,40508.1
2020-01__daily_minimum,2023-08-01T00:00:00,14,5,9,44,30,44548.2
2020-01__daily_minimum,2023-09-01T00:00:00,15,6,9,45,30,56108.85
2020-01__daily_minimum,2023-10-01T00:00:00,16,6,10,46,30,46180.55
2020-01__daily_minimum,2023-11-01T00:00:00,11,3,8,47,36,33203.4
2020-01__daily_minimum,2023-12-01T00:00:00,12,3,9,48,36,38600.3
2020-01__daily_minimum,2024-01-01T00:00:00,13,4,9,49,36,50884.75
2020-01__daily_minimum,2024-02-01T00:00:00,14,4,10,50,36,51047.8
2020-01__daily_minimum,2024-03-01T00:00:00,15,5,10,51,36,64097.9
2020-01__daily_minimum,2024-04-01T00:00:00,16,5,11,52,36,67115.15
2020-01__daily_minimum,2024-05-01T00:00:00,15,5,10,53,38,49551.1
2020-01__daily_minimum,2024-06-01T00:00:00,16,5,11,54,38,80634.1
2020-01__daily_minimum,2024-07-01T00:00:00,17,6,11,55,38,98130.4
2020-01__daily_minimum,2024-08-01T00:00:00,16,5,11,56,40,74553.6
2020-01__daily_minimum,2024-09-01T00:00:00,16,6,10,57,41,91525.35
2020-01__daily_minimum,2024-10-01T00:00:00,17,6,11,58,41,99294.05
2020-01__daily_minimum,2024-11-01T00:00:00,18,7,11,59,41,95574.25
2020-01__daily_minimum,2024-12-01T00:00:00,19,7,12,60,41,109757.75
2020-01__daily_minimum,2025-01-01T00:00:00,20,8,12,61,41,116909.05
2020-01__daily_minimum,2025-02-01T00:00:00,20,8,12,61,41,136401.05
2020-01__daily_minimum,2025-03-01T00:00:00,20,8,12,61,41,123186.65
2020-01__daily_minimum,2025-04-01T00:00:00,20,7,13,62,42,106886.0
2020-01__daily_minimum,2025-05-01T00:00:00,20,8,12,63,43,173298.25
2020-01__daily_minimum,2025-06-01T00:00:00,20,8,12,63,43,178722.85
2020-01__daily_minimum,2025-07-01T00:00:00,20,8,12,63,43,188420.25
2020-01__daily_minimum,2025-08-01T00:00:00,20,8,12,63,43,173850.05
2020-01__daily_minimum,2025-09-01T00:00:00,20,8,12,63,43,174185.45
2020-01__daily_minimum,2025-10-01T00:00:00,20,8,12,63,43,179170.85
2020-01__daily_minimum,2025-11-01T00:00:00,20,8,12,63,43,192150.25
2020-01__daily_minimum,2025-12-01T00:00:00,20,8,12,63,43,187422.25
2020-01__daily_minimum,2026-01-01T00:00:00,20,8,12,63,43,149536.85
2020-01__daily_minimum,2026-02-01T00:00:00,20,8,12,63,43,166209.45
2020-01__daily_minimum,2026-03-01T00:00:00,20,8,12,63,43,136102.85
2020-01__daily_minimum,2026-04-01T00:00:00,20,8,12,63,43,106744.85
2020-01__daily_minimum,2026-05-01T00:00:00,20,8,12,63,43,148463.65
2020-01__daily_minimum,2026-06-01T00:00:00,20,8,12,63,43,193326.85
2020-01__daily_minimum,2026-07-01T00:00:00,20,8,12,63,43,171028.65
2020-01__daily_minimum,2026-07-13T21:30:40,20,8,12,63,43,168661.25
2020-01__daily_maximum,2020-01-01T00:00:00,1,1,0,1,0,0.0
2020-01__daily_maximum,2020-02-01T00:00:00,2,1,1,2,0,160.1
2020-01__daily_maximum,2020-03-01T00:00:00,2,2,0,3,1,-137.6
2020-01__daily_maximum,2020-04-01T00:00:00,3,2,1,4,1,2843.05
2020-01__daily_maximum,2020-05-01T00:00:00,4,3,1,5,1,3744.95
2020-01__daily_maximum,2020-06-01T00:00:00,5,3,2,6,1,6932.4
2020-01__daily_maximum,2020-07-01T00:00:00,5,4,1,7,2,4382.0
2020-01__daily_maximum,2020-08-01T00:00:00,6,4,2,8,2,7938.3
2020-01__daily_maximum,2020-09-01T00:00:00,7,5,2,9,2,9746.9
2020-01__daily_maximum,2020-10-01T00:00:00,8,5,3,10,2,13912.4
2020-01__daily_maximum,2020-11-01T00:00:00,9,6,3,11,2,16480.5
2020-01__daily_maximum,2020-12-01T00:00:00,10,6,4,12,2,15521.4
2020-01__daily_maximum,2021-01-01T00:00:00,9,5,4,13,4,14331.95
2020-01__daily_maximum,2021-02-01T00:00:00,10,5,5,14,4,15157.95
2020-01__daily_maximum,2021-03-01T00:00:00,9,4,5,15,6,16010.1
2020-01__daily_maximum,2021-04-01T00:00:00,9,3,6,16,7,20032.75
2020-01__daily_maximum,2021-05-01T00:00:00,10,4,6,17,7,21350.95
2020-01__daily_maximum,2021-06-01T00:00:00,7,2,5,18,11,12466.8
