at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2023-08-28 00:00:00,7,2020-03,1,735.6,735.6,735.6,735.6,32335.6,31600.0,0.0,
2023-09-11 00:00:00,7,2020-03,2,591.7,591.7,591.7,591.7,32191.7,31600.0,0.0,
2024-07-01 00:00:00,7,2020-03,3,563.45,563.45,563.45,563.45,32163.45,31600.0,0.0,
2024-07-15 00:00:00,7,2020-03,4,872.85,872.85,872.85,872.85,32472.85,31600.0,0.0,
2024-07-15 00:00:00,19,2022-07,1,532.05,532.05,532.05,532.05,32132.05,31600.0,0.0,
2024-07-22 00:00:00,8,2020-03,1,843.0,843.0,843.0,843.0,32443.0,31600.0,0.0,
2024-08-19 00:00:00,7,2020-03,5,871.8,871.8,871.8,871.8,32471.8,31600.0,0.0,
2024-08-19 00:00:00,8,2020-03,2,506.2,506.2,506.2,506.2,32106.2,31600.0,0.0,
2024-08-26 00:00:00,19,2022-07,2,639.85,639.85,639.85,639.85,32239.85,31600.0,0.0,
2024-08-26 00:00:00,20,2022-07,1,623.6,623.6,623.6,623.6,32223.6,31600.0,0.0,
2024-08-26 00:00:00,24,2022-07,1,505.2,505.2,505.2,505.2,32105.2,31600.0,0.0,
2024-09-02 00:00:00,25,2022-07,1,529.5,529.5,529.5,529.5,32129.5,31600.0,0.0,
2024-09-16 00:00:00,7,2020-03,6,660.65,660.65,660.65,660.65,32260.65,31600.0,0.0,
2024-09-16 00:00:00,8,2020-03,3,564.65,564.65,564.65,564.65,32164.65,31600.0,0.0,
2024-09-16 00:00:00,19,2022-07,3,590.1,590.1,590.1,590.1,32190.1,31600.0,0.0,
2024-11-11 00:00:00,20,2022-07,2,686.2,686.2,686.2,686.2,32286.2,31600.0,0.0,
2024-11-11 00:00:00,25,2022-07,2,730.15,730.15,730.15,730.15,32330.15,31600.0,0.0,
2024-11-25 00:00:00,7,2020-03,7,674.9,674.9,674.9,674.9,32274.9,31600.0,0.0,
2024-11-25 00:00:00,8,2020-03,4,716.9,716.9,716.9,716.9,32316.9,31600.0,0.0,
2024-11-25 00:00:00,19,2022-07,4,653.4,653.4,653.4,653.4,32253.4,31600.0,0.0,
2024-12-02 00:00:00,20,2022-07,3,525.85,525.85,525.85,525.85,32125.85,31600.0,0.0,
2025-01-20 00:00:00,7,2020-03,8,795.4,795.4,795.4,795.4,32395.4,31600.0,0.0,
2025-01-27 00:00:00,8,2020-03,5,557.4,557.4,557.4,557.4,32157.4,31600.0,0.0,
2025-01-27 00:00:00,19,2022-07,5,567.9,567.9,567.9,567.9,32167.9,31600.0,0.0,
2025-02-03 00:00:00,20,2022-07,4,971.9,971.9,971.9,971.9,32571.9,31600.0,0.0,
2025-02-03 00:00:00,22,2022-07,1,792.0,792.0,792.0,792.0,32392.0,31600.0,0.0,
2025-02-03 00:00:00,24,2022-07,2,688.35,688.35,688.35,688.35,32288.35,31600.0,0.0,
