at,count,emergency
2020-01-02T07:50:40,1,True
2020-01-06T04:05:40,1,True
2020-01-21T15:08:20,1,True
2020-02-03T03:32:40,1,True
2020-02-03T07:00:40,2,True
2020-03-02T02:04:40,1,True
2020-03-04T09:00:40,2,True
2020-06-09T08:06:40,1,True
2020-10-26T05:17:40,1,True
2021-01-08T15:41:40,2,True
2021-02-26T22:48:40,2,True
2021-05-20T08:31:40,2,True
2022-04-06T08:04:40,1,True
2022-07-01T16:30:40,1,True
2022-07-15T20:05:20,2,True
2022-07-15T21:42:40,2,True
2022-07-15T22:55:40,2,True
2022-08-04T23:00:40,2,True
2022-10-05T09:37:20,4,True
2022-10-12T07:03:40,1,True
2022-11-01T03:28:40,2,True
2023-01-23T06:01:40,3,True
2023-03-15T01:00:40,3,True
2023-03-17T06:08:40,6,True
2023-05-09T06:33:20,8,True
2023-09-07T21:56:40,9,True
2023-09-07T22:50:20,10,True
2024-03-06T09:44:40,2,True
2024-04-08T22:32:40,5,True
2024-07-11T11:32:40,4,True
2024-11-01T14:30:20,6,True
2024-12-10T07:06:20,4,True
2025-01-21T10:33:40,4,True
2025-03-17T08:00:40,5,True
2025-03-18T22:00:40,1,True
2025-05-28T21:01:20,7,True
2025-07-16T08:00:40,4,True
2025-10-21T22:21:40,4,True
2025-12-18T15:01:40,12,True
2026-01-05T08:51:40,4,True
2026-02-05T10:06:40,4,True
2026-04-06T22:49:40,2,True
2026-04-29T14:36:40,14,True
2026-06-03T14:28:40,8,True
