at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2023-08-29 00:00:00,7,2020-03,1,500.0,500.0,500.0,500.0,32496.95,31996.95,0.0,
2023-09-09 00:00:00,7,2020-03,2,500.0,500.0,500.0,500.0,32427.3,31927.3,0.0,
2024-06-29 00:00:00,7,2020-03,3,500.0,500.0,500.0,500.0,32490.75,31990.75,0.0,
2024-07-13 00:00:00,7,2020-03,4,500.0,500.0,500.0,500.0,32863.6,32363.6,0.0,
2024-07-20 00:00:00,8,2020-03,1,500.0,500.0,500.0,500.0,32443.0,31943.0,0.0,
2024-07-20 00:00:00,19,2022-07,1,500.0,500.0,500.0,500.0,32493.65,31993.65,0.0,
2024-07-31 00:00:00,7,2020-03,5,500.0,500.0,500.0,500.0,32416.5,31916.5,0.0,
2024-08-16 00:00:00,7,2020-03,6,500.0,500.0,500.0,500.0,32493.0,31993.0,0.0,
2024-08-17 00:00:00,8,2020-03,2,500.0,500.0,500.0,500.0,32449.2,31949.2,0.0,
2024-08-29 00:00:00,19,2022-07,2,500.0,500.0,500.0,500.0,32426.15,31926.15,0.0,
2024-09-03 00:00:00,7,2020-03,7,500.0,500.0,500.0,500.0,32400.9,31900.9,0.0,
2024-09-11 00:00:00,8,2020-03,3,500.0,500.0,500.0,500.0,32452.6,31952.6,0.0,
2024-09-12 00:00:00,19,2022-07,3,500.0,500.0,500.0,500.0,32499.2,31999.2,0.0,
2024-09-17 00:00:00,7,2020-03,8,500.0,500.0,500.0,500.0,32470.95,31970.95,0.0,
2024-11-05 00:00:00,20,2022-07,1,500.0,500.0,500.0,500.0,32410.15,31910.15,0.0,
2024-11-06 00:00:00,25,2022-07,1,500.0,500.0,500.0,500.0,32416.85,31916.85,0.0,
2024-11-09 00:00:00,8,2020-03,4,500.0,500.0,500.0,500.0,32414.45,31914.45,0.0,
2024-11-20 00:00:00,7,2020-03,9,500.0,500.0,500.0,500.0,32675.65,32175.65,0.0,
2024-11-20 00:00:00,19,2022-07,4,500.0,500.0,500.0,500.0,32620.1,32120.1,0.0,
2024-11-20 00:00:00,20,2022-07,2,500.0,500.0,500.0,500.0,32830.8,32330.8,0.0,
2024-11-22 00:00:00,25,2022-07,2,500.0,500.0,500.0,500.0,32404.5,31904.5,0.0,
2024-11-30 00:00:00,8,2020-03,5,500.0,500.0,500.0,500.0,32440.3,31940.3,0.0,
2024-12-17 00:00:00,20,2022-07,3,500.0,500.0,500.0,500.0,32488.4,31988.4,0.0,
2025-01-11 00:00:00,7,2020-03,10,500.0,500.0,500.0,500.0,32495.4,31995.4,0.0,
2025-01-15 00:00:00,19,2022-07,5,500.0,500.0,500.0,500.0,32441.65,31941.65,0.0,
2025-01-29 00:00:00,7,2020-03,11,500.0,500.0,500.0,500.0,32941.2,32441.2,0.0,
2025-01-29 00:00:00,8,2020-03,6,500.0,500.0,500.0,500.0,32644.5,32144.5,0.0,
2025-01-29 00:00:00,20,2022-07,4,500.0,500.0,500.0,500.0,32664.85,32164.85,0.0,
2025-01-29 00:00:00,24,2022-07,1,500.0,500.0,500.0,500.0,32550.85,32050.85,0.0,
2025-02-01 00:00:00,19,2022-07,6,500.0,500.0,500.0,500.0,32682.35,32182.35,0.0,
2025-02-01 00:00:00,25,2022-07,3,500.0,500.0,500.0,500.0,32545.25,32045.25,0.0,
2025-02-04 00:00:00,22,2022-07,1,500.0,500.0,500.0,500.0,32508.9,32008.9,0.0,
2025-02-11 00:00:00,7,2020-03,12,500.0,500.0,500.0,500.0,32949.25,32449.25,0.0,
2025-02-11 00:00:00,8,2020-03,7,500.0,500.0,500.0,500.0,32578.55,32078.55,0.0,
2025-02-11 00:00:00,20,2022-07,5,500.0,500.0,500.0,500.0,32736.4,32236.4,0.0,
2025-02-11 00:00:00,24,2022-07,2,500.0,500.0,500.0,500.0,32488.9,31988.9,0.0,
2025-02-13 00:00:00,19,2022-07,7,500.0,500.0,500.0,500.0,32644.5,32144.5,0.0,
2025-02-14 00:00:00,22,2022-07,2,500.0,500.0,500.0,500.0,32564.5,32064.5,0.0,
2025-02-21 00:00:00,25,2022-07,4,500.0,500.0,500.0,500.0,32409.75,31909.75,0.0,
2025-03-05 00:00:00,7,2020-03,13,500.0,500.0,500.0,500.0,32949.05,32449.05,0.0,
2025-03-05 00:00:00,20,2022-07,6,500.0,500.0,500.0,500.0,32503.75,32003.75,0.0,
2025-03-07 00:00:00,8,2020-03,8,500.0,500.0,500.0,500.0,32453.15,31953.15,0.0,
2025-03-18 00:00:00,19,2022-07,8,500.0,500.0,500.0,500.0,32422.65,31922.65,0.0,
2025-03-18 00:00:00,35,2023-01,1,500.0,500.0,500.0,500.0,32773.45,32273.45,0.0,
2025-03-19 00:00:00,7,2020-03,14,500.0,500.0,500.0,500.0,32522.1,32022.1,0.0,
2025-03-25 00:00:00,26,2022-08,1,500.0,500.0,500.0,500.0,32403.25,31903.25,0.0,
2025-04-08 00:00:00,8,2020-03,9,500.0,500.0,500.0,500.0,32630.6,32130.6,0.0,
2025-04-10 00:00:00,7,2020-03,15,500.0,500.0,500.0,500.0,32639.1,32139.1,0.0,
2025-04-12 00:00:00,19,2022-07,9,500.0,500.0,500.0,500.0,32622.35,32122.35,0.0,
2025-04-12 00:00:00,22,2022-07,3,500.0,500.0,500.0,500.0,32546.0,32046.0,0.0,
2025-04-12 00:00:00,24,2022-07,3,500.0,500.0,500.0,500.0,32841.5,32341.5,0.0,
2025-04-12 00:00:00,25,2022-07,5,500.0,500.0,500.0,500.0,32664.75,32164.75,0.0,
2025-04-15 00:00:00,20,2022-07,7,500.0,500.0,500.0,500.0,32400.95,31900.95,0.0,
2025-04-15 00:00:00,21,2022-07,1,500.0,500.0,500.0,500.0,32533.35,32033.35,0.0,
2025-04-15 00:00:00,54,2023-05,1,500.0,500.0,500.0,500.0,32499.75,31999.75,0.0,
2025-04-16 00:00:00,35,2023-01,2,500.0,500.0,500.0,500.0,32417.45,31917.45,0.0,
2025-04-17 00:00:00,37,2023-01,1,500.0,500.0,500.0,500.0,32456.75,31956.75,0.0,
2025-04-18 00:00:00,8,2020-03,10,500.0,500.0,500.0,500.0,32852.8,32352.8,0.0,
2025-04-23 00:00:00,7,2020-03,16,500.0,500.0,500.0,500.0,32646.25,32146.25,0.0,
2025-04-25 00:00:00,19,2022-07,10,500.0,500.0,500.0,500.0,32641.55,32141.55,0.0,
2025-04-30 00:00:00,21,2022-07,2,500.0,500.0,500.0,500.0,32426.3,31926.3,0.0,
2025-04-30 00:00:00,22,2022-07,4,500.0,500.0,500.0,500.0,32545.85,32045.85,0.0,
2025-04-30 00:00:00,24,2022-07,4,500.0,500.0,500.0,500.0,33142.85,32642.85,0.0,
2025-04-30 00:00:00,25,2022-07,6,500.0,500.0,500.0,500.0,32674.6,32174.6,0.0,
2025-04-30 00:00:00,34,2022-11,1,500.0,500.0,500.0,500.0,32470.65,31970.65,0.0,
2025-05-01 00:00:00,57,2023-09,1,500.0,500.0,500.0,500.0,32579.9,32079.9,0.0,
2025-05-03 00:00:00,8,2020-03,11,500.0,500.0,500.0,500.0,32552.15,32052.15,0.0,
2025-05-03 00:00:00,37,2023-01,2,500.0,500.0,500.0,500.0,32469.05,31969.05,0.0,
2025-05-17 00:00:00,57,2023-09,2,500.0,500.0,500.0,500.0,32469.5,31969.5,0.0,
2025-05-20 00:00:00,7,2020-03,17,500.0,500.0,500.0,500.0,32474.65,31974.65,0.0,
2025-05-27 00:00:00,54,2023-05,2,500.0,500.0,500.0,500.0,32519.6,32019.6,0.0,
2025-06-04 00:00:00,8,2020-03,12,500.0,500.0,500.0,500.0,32412.35,31912.35,0.0,
2025-06-13 00:00:00,7,2020-03,18,500.0,500.0,500.0,500.0,32437.35,31937.35,0.0,
2025-06-13 00:00:00,20,2022-07,8,500.0,500.0,500.0,500.0,32446.55,31946.55,0.0,
2025-06-13 00:00:00,21,2022-07,3,500.0,500.0,500.0,500.0,32473.4,31973.4,0.0,
2025-06-17 00:00:00,37,2023-01,3,500.0,500.0,500.0,500.0,32404.85,31904.85,0.0,
2025-06-20 00:00:00,35,2023-01,3,500.0,500.0,500.0,500.0,32452.65,31952.65,0.0,
2025-06-21 00:00:00,24,2022-07,5,500.0,500.0,500.0,500.0,32521.85,32021.85,0.0,
2025-06-21 00:00:00,26,2022-08,2,500.0,500.0,500.0,500.0,32641.8,32141.8,0.0,
2025-06-26 00:00:00,19,2022-07,11,500.0,500.0,500.0,500.0,32439.45,31939.45,0.0,
2025-06-26 00:00:00,25,2022-07,7,500.0,500.0,500.0,500.0,32442.8,31942.8,0.0,
2025-06-26 00:00:00,38,2023-03,1,500.0,500.0,500.0,500.0,32436.3,31936.3,0.0,
2025-06-28 00:00:00,34,2022-11,2,500.0,500.0,500.0,500.0,32463.1,31963.1,0.0,
2025-07-01 00:00:00,8,2020-03,13,500.0,500.0,500.0,500.0,32424.5,31924.5,0.0,
2025-07-03 00:00:00,35,2023-01,4,500.0,500.0,500.0,500.0,32540.3,32040.3,0.0,
2025-07-04 00:00:00,26,2022-08,3,500.0,500.0,500.0,500.0,32519.95,32019.95,0.0,
2025-07-04 00:00:00,37,2023-01,4,500.0,500.0,500.0,500.0,32465.15,31965.15,0.0,
2025-07-10 00:00:00,20,2022-07,9,500.0,500.0,500.0,500.0,32538.15,32038.15,0.0,
2025-07-10 00:00:00,21,2022-07,4,500.0,500.0,500.0,500.0,32729.5,32229.5,0.0,
2025-07-10 00:00:00,22,2022-07,5,500.0,500.0,500.0,500.0,32740.55,32240.55,0.0,
2025-07-10 00:00:00,24,2022-07,6,500.0,500.0,500.0,500.0,32585.55,32085.55,0.0,
2025-07-10 00:00:00,36,2023-01,1,500.0,500.0,500.0,500.0,32416.75,31916.75,0.0,
2025-07-11 00:00:00,38,2023-03,2,500.0,500.0,500.0,500.0,32446.7,31946.7,0.0,
2025-07-11 00:00:00,42,2023-03,1,500.0,500.0,500.0,500.0,32418.05,31918.05,0.0,
2025-07-16 00:00:00,39,2023-03,1,500.0,500.0,500.0,500.0,32589.7,32089.7,0.0,
2025-07-16 00:00:00,40,2023-03,1,500.0,500.0,500.0,500.0,32400.25,31900.25,0.0,
2025-07-19 00:00:00,25,2022-07,8,500.0,500.0,500.0,500.0,32449.05,31949.05,0.0,
2025-07-19 00:00:00,34,2022-11,3,500.0,500.0,500.0,500.0,32530.1,32030.1,0.0,
2025-07-23 00:00:00,35,2023-01,5,500.0,500.0,500.0,500.0,32507.3,32007.3,0.0,
2025-07-24 00:00:00,26,2022-08,4,500.0,500.0,500.0,500.0,32472.95,31972.95,0.0,
2025-10-07 00:00:00,7,2020-03,19,500.0,500.0,500.0,500.0,32537.85,32037.85,0.0,
2025-10-15 00:00:00,19,2022-07,12,500.0,500.0,500.0,500.0,32851.3,32351.3,0.0,
2025-10-15 00:00:00,20,2022-07,10,500.0,500.0,500.0,500.0,32529.0,32029.0,0.0,
2025-10-15 00:00:00,21,2022-07,5,500.0,500.0,500.0,500.0,32563.85,32063.85,0.0,
2025-10-15 00:00:00,22,2022-07,6,500.0,500.0,500.0,500.0,32469.9,31969.9,0.0,
2025-10-15 00:00:00,37,2023-01,5,500.0,500.0,500.0,500.0,32408.55,31908.55,0.0,
2025-10-17 00:00:00,38,2023-03,3,500.0,500.0,500.0,500.0,32441.45,31941.45,0.0,
2025-10-17 00:00:00,39,2023-03,2,500.0,500.0,500.0,500.0,32509.3,32009.3,0.0,
2025-10-18 00:00:00,42,2023-03,2,500.0,500.0,500.0,500.0,32471.7,31971.7,0.0,
