at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2023-05-01 00:00:00,17,2020-09,1,505.25,505.25,505.25,505.25,32105.25,31600.0,0.0,
2023-05-01 00:00:00,31,2021-10,1,509.5,509.5,509.5,509.5,32109.5,31600.0,0.0,
2023-05-01 00:00:00,39,2021-11,1,508.35,508.35,508.35,508.35,32108.35,31600.0,0.0,
2023-05-01 00:00:00,41,2021-11,1,506.95,506.95,506.95,506.95,32106.95,31600.0,0.0,
2023-05-01 00:00:00,42,2021-11,1,509.1,509.1,509.1,509.1,32109.1,31600.0,0.0,
2023-05-01 00:00:00,44,2021-11,1,505.15,505.15,505.15,505.15,32105.15,31600.0,0.0,
2023-06-12 00:00:00,30,2021-10,1,508.7,508.7,508.7,508.7,32108.7,31600.0,0.0,
2023-07-24 00:00:00,17,2020-09,2,549.5,549.5,549.5,549.5,32149.5,31600.0,0.0,
2023-07-24 00:00:00,31,2021-10,2,549.5,549.5,549.5,549.5,32149.5,31600.0,0.0,
2023-07-24 00:00:00,39,2021-11,2,549.5,549.5,549.5,549.5,32149.5,31600.0,0.0,
2023-07-24 00:00:00,41,2021-11,2,549.5,549.5,549.5,549.5,32149.5,31600.0,0.0,
2023-07-24 00:00:00,42,2021-11,2,549.5,549.5,549.5,549.5,32149.5,31600.0,0.0,
2023-07-24 00:00:00,44,2021-11,2,549.5,549.5,549.5,549.5,32149.5,31600.0,0.0,
2023-08-28 00:00:00,30,2021-10,2,628.0,628.0,628.0,628.0,32228.0,31600.0,0.0,
2023-09-04 00:00:00,17,2020-09,3,666.05,666.05,666.05,666.05,32266.05,31600.0,0.0,
2023-09-04 00:00:00,31,2021-10,3,666.05,666.05,666.05,666.05,32266.05,31600.0,0.0,
2023-09-04 00:00:00,39,2021-11,3,666.05,666.05,666.05,666.05,32266.05,31600.0,0.0,
2023-09-04 00:00:00,41,2021-11,3,666.05,666.05,666.05,666.05,32266.05,31600.0,0.0,
2023-09-04 00:00:00,42,2021-11,3,666.05,666.05,666.05,666.05,32266.05,31600.0,0.0,
2023-09-04 00:00:00,44,2021-11,3,666.05,666.05,666.05,666.05,32266.05,31600.0,0.0,
2024-01-15 00:00:00,25,2021-09,1,587.5,587.5,587.5,587.5,32187.5,31600.0,0.0,
2024-01-15 00:00:00,30,2021-10,3,754.65,754.65,754.65,754.65,32354.65,31600.0,0.0,
2024-01-22 00:00:00,17,2020-09,4,572.25,572.25,572.25,572.25,32172.25,31600.0,0.0,
2024-01-22 00:00:00,31,2021-10,4,572.25,572.25,572.25,572.25,32172.25,31600.0,0.0,
2024-01-22 00:00:00,39,2021-11,4,572.25,572.25,572.25,572.25,32172.25,31600.0,0.0,
2024-01-22 00:00:00,41,2021-11,4,572.25,572.25,572.25,572.25,32172.25,31600.0,0.0,
