at,kind,amount_usd,cash_after_usd
2020-01-01T00:00:00,owner_contribution,5000,5000.0
2020-01-01T00:00:00,account_purchase,-200.0,4800.0
2020-02-01T00:00:00,owner_contribution,0,4800.0
2020-02-01T00:00:00,account_purchase,-200.0,4600.0
2020-03-01T00:00:00,owner_contribution,0,4600.0
2020-03-01T00:00:00,account_purchase,-200.0,4400.0
2020-04-01T00:00:00,owner_contribution,0,4400.0
2020-04-01T00:00:00,account_purchase,-200.0,4200.0
2020-05-01T00:00:00,owner_contribution,0,4200.0
2020-05-01T00:00:00,account_purchase,-200.0,4000.0
2020-06-01T00:00:00,owner_contribution,0,4000.0
2020-06-01T00:00:00,account_purchase,-200.0,3800.0
2020-07-01T00:00:00,owner_contribution,0,3800.0
2020-07-01T00:00:00,account_purchase,-200.0,3600.0
2020-08-01T00:00:00,owner_contribution,0,3600.0
2020-08-01T00:00:00,account_purchase,-200.0,3400.0
2020-09-01T00:00:00,owner_contribution,0,3400.0
2020-09-01T00:00:00,account_purchase,-200.0,3200.0
2020-10-01T00:00:00,owner_contribution,0,3200.0
2020-10-01T00:00:00,account_purchase,-200.0,3000.0
2020-11-01T00:00:00,owner_contribution,0,3000.0
2020-11-01T00:00:00,account_purchase,-200.0,2800.0
2020-12-01T00:00:00,owner_contribution,0,2800.0
2020-12-01T00:00:00,account_purchase,-200.0,2600.0
2021-01-01T00:00:00,owner_contribution,0,2600.0
2021-01-01T00:00:00,account_purchase,-200.0,2400.0
2021-02-01T00:00:00,owner_contribution,0,2400.0
2021-02-01T00:00:00,account_purchase,-200.0,2200.0
2021-03-01T00:00:00,owner_contribution,0,2200.0
2021-03-01T00:00:00,account_purchase,-200.0,2000.0
2021-04-01T00:00:00,owner_contribution,0,2000.0
2021-04-01T00:00:00,account_purchase,-200.0,1800.0
2021-05-01T00:00:00,owner_contribution,0,1800.0
2021-05-01T00:00:00,account_purchase,-200.0,1600.0
2021-06-01T00:00:00,owner_contribution,0,1600.0
2021-06-01T00:00:00,account_purchase,-200.0,1400.0
2021-07-01T00:00:00,owner_contribution,0,1400.0
2021-07-01T00:00:00,account_purchase,-200.0,1200.0
2021-08-01T00:00:00,owner_contribution,0,1200.0
2021-08-01T00:00:00,account_purchase,-200.0,1000.0
2021-09-01T00:00:00,owner_contribution,0,1000.0
2021-09-01T00:00:00,account_purchase,-200.0,800.0
2021-10-01T00:00:00,owner_contribution,0,800.0
2021-10-01T00:00:00,account_purchase,-200.0,600.0
2021-11-01T00:00:00,owner_contribution,0,600.0
2021-11-01T00:00:00,account_purchase,-200.0,400.0
2021-12-01T00:00:00,owner_contribution,0,400.0
2021-12-01T00:00:00,account_purchase,-200.0,200.0
2022-01-01T00:00:00,owner_contribution,0,200.0
2022-01-01T00:00:00,account_purchase,-200.0,0.0
2022-02-01T00:00:00,owner_contribution,0,0.0
2022-03-01T00:00:00,payout_received,500.0,500.0
2022-03-01T00:00:00,payout_received,500.0,1000.0
2022-03-01T00:00:00,payout_received,500.0,1500.0
2022-03-01T00:00:00,payout_received,500.0,2000.0
2022-03-01T00:00:00,payout_received,500.0,2500.0
2022-03-01T00:00:00,owner_contribution,0,2500.0
2022-03-01T00:00:00,account_purchase,-200.0,2300.0
2022-04-01T00:00:00,payout_received,500.0,2800.0
2022-04-01T00:00:00,payout_received,500.0,3300.0
2022-04-01T00:00:00,payout_received,500.0,3800.0
2022-04-01T00:00:00,payout_received,500.0,4300.0
2022-04-01T00:00:00,payout_received,500.0,4800.0
2022-04-01T00:00:00,owner_contribution,0,4800.0
2022-04-01T00:00:00,account_purchase,-200.0,4600.0
2022-05-01T00:00:00,payout_received,500.0,5100.0
2022-05-01T00:00:00,payout_received,500.0,5600.0
2022-05-01T00:00:00,payout_received,500.0,6100.0
2022-05-01T00:00:00,payout_received,500.0,6600.0
2022-05-01T00:00:00,payout_received,500.0,7100.0
2022-05-01T00:00:00,payout_received,500.0,7600.0
2022-05-01T00:00:00,owner_contribution,0,7600.0
2022-05-01T00:00:00,account_purchase,-200.0,7400.0
2022-06-01T00:00:00,payout_received,500.0,7900.0
2022-06-01T00:00:00,payout_received,500.0,8400.0
2022-06-01T00:00:00,owner_contribution,0,8400.0
2022-06-01T00:00:00,account_purchase,-200.0,8200.0
2022-07-01T00:00:00,owner_contribution,0,8200.0
2022-07-01T00:00:00,account_purchase,-200.0,8000.0
2022-08-01T00:00:00,payout_received,500.0,8500.0
2022-08-01T00:00:00,owner_contribution,0,8500.0
2022-08-01T00:00:00,account_purchase,-200.0,8300.0
2022-09-01T00:00:00,payout_received,500.0,8800.0
2022-09-01T00:00:00,payout_received,500.0,9300.0
2022-09-01T00:00:00,payout_received,500.0,9800.0
2022-09-01T00:00:00,payout_received,500.0,10300.0
2022-09-01T00:00:00,payout_received,500.0,10800.0
2022-09-01T00:00:00,payout_received,500.0,11300.0
2022-09-01T00:00:00,owner_contribution,0,11300.0
2022-09-01T00:00:00,account_purchase,-200.0,11100.0
2022-10-01T00:00:00,payout_received,500.0,11600.0
2022-10-01T00:00:00,payout_received,500.0,12100.0
2022-10-01T00:00:00,payout_received,500.0,12600.0
2022-10-01T00:00:00,payout_received,500.0,13100.0
2022-10-01T00:00:00,payout_received,500.0,13600.0
2022-10-01T00:00:00,payout_received,500.0,14100.0
2022-10-01T00:00:00,owner_contribution,0,14100.0
2022-10-01T00:00:00,account_purchase,-200.0,13900.0
2022-11-01T00:00:00,payout_received,500.0,14400.0
2022-11-01T00:00:00,payout_received,500.0,14900.0
2022-11-01T00:00:00,payout_received,500.0,15400.0
2022-11-01T00:00:00,payout_received,500.0,15900.0
2022-11-01T00:00:00,payout_received,500.0,16400.0
2022-11-01T00:00:00,payout_received,500.0,16900.0
2022-11-01T00:00:00,owner_contribution,0,16900.0
2022-11-01T00:00:00,account_purchase,-200.0,16700.0
2022-12-01T00:00:00,payout_received,500.0,17200.0
2022-12-01T00:00:00,payout_received,500.0,17700.0
2022-12-01T00:00:00,payout_received,500.0,18200.0
2022-12-01T00:00:00,payout_received,500.0,18700.0
2022-12-01T00:00:00,payout_received,500.0,19200.0
2022-12-01T00:00:00,owner_contribution,0,19200.0
2022-12-01T00:00:00,account_purchase,-200.0,19000.0
2023-01-01T00:00:00,owner_contribution,0,19000.0
2023-01-01T00:00:00,account_purchase,-200.0,18800.0
2023-02-01T00:00:00,payout_received,500.0,19300.0
2023-02-01T00:00:00,owner_contribution,0,19300.0
2023-02-01T00:00:00,account_purchase,-200.0,19100.0
2023-03-01T00:00:00,payout_received,500.0,19600.0
2023-03-01T00:00:00,owner_contribution,0,19600.0
2023-03-01T00:00:00,account_purchase,-200.0,19400.0
2023-04-01T00:00:00,payout_received,500.0,19900.0
2023-04-01T00:00:00,payout_received,500.0,20400.0
2023-04-01T00:00:00,payout_received,500.0,20900.0
2023-04-01T00:00:00,payout_received,500.0,21400.0
2023-04-01T00:00:00,payout_received,500.0,21900.0
2023-04-01T00:00:00,payout_received,500.0,22400.0
2023-04-01T00:00:00,payout_received,500.0,22900.0
2023-04-01T00:00:00,owner_contribution,0,22900.0
2023-04-01T00:00:00,account_purchase,-200.0,22700.0
2023-05-01T00:00:00,payout_received,500.0,23200.0
2023-05-01T00:00:00,payout_received,500.0,23700.0
2023-05-01T00:00:00,payout_received,500.0,24200.0
2023-05-01T00:00:00,payout_received,500.0,24700.0
2023-05-01T00:00:00,payout_received,500.0,25200.0
2023-05-01T00:00:00,payout_received,500.0,25700.0
2023-05-01T00:00:00,payout_received,500.0,26200.0
2023-05-01T00:00:00,payout_received,500.0,26700.0
2023-05-01T00:00:00,owner_contribution,0,26700.0
2023-05-01T00:00:00,account_purchase,-200.0,26500.0
2023-06-01T00:00:00,payout_received,500.0,27000.0
2023-06-01T00:00:00,payout_received,500.0,27500.0
2023-06-01T00:00:00,payout_received,500.0,28000.0
2023-06-01T00:00:00,payout_received,500.0,28500.0
2023-06-01T00:00:00,payout_received,500.0,29000.0
2023-06-01T00:00:00,payout_received,500.0,29500.0
2023-06-01T00:00:00,payout_received,500.0,30000.0
2023-06-01T00:00:00,owner_contribution,0,30000.0
2023-06-01T00:00:00,account_purchase,-200.0,29800.0
2023-07-01T00:00:00,payout_received,500.0,30300.0
2023-07-01T00:00:00,payout_received,500.0,30800.0
2023-07-01T00:00:00,payout_received,500.0,31300.0
2023-07-01T00:00:00,payout_received,500.0,31800.0
2023-07-01T00:00:00,payout_received,500.0,32300.0
2023-07-01T00:00:00,payout_received,500.0,32800.0
2023-07-01T00:00:00,payout_received,500.0,33300.0
2023-07-01T00:00:00,owner_contribution,0,33300.0
2023-07-01T00:00:00,account_purchase,-200.0,33100.0
2023-08-01T00:00:00,payout_received,500.0,33600.0
2023-08-01T00:00:00,payout_received,500.0,34100.0
2023-08-01T00:00:00,payout_received,500.0,34600.0
2023-08-01T00:00:00,payout_received,500.0,35100.0
2023-08-01T00:00:00,payout_received,500.0,35600.0
2023-08-01T00:00:00,payout_received,500.0,36100.0
2023-08-01T00:00:00,payout_received,500.0,36600.0
2023-08-01T00:00:00,payout_received,500.0,37100.0
2023-08-01T00:00:00,owner_contribution,0,37100.0
2023-08-01T00:00:00,account_purchase,-200.0,36900.0
2023-09-01T00:00:00,payout_received,500.0,37400.0
2023-09-01T00:00:00,payout_received,500.0,37900.0
2023-09-01T00:00:00,payout_received,500.0,38400.0
2023-09-01T00:00:00,payout_received,500.0,38900.0
2023-09-01T00:00:00,payout_received,500.0,39400.0
2023-09-01T00:00:00,payout_received,500.0,39900.0
2023-09-01T00:00:00,payout_received,500.0,40400.0
2023-09-01T00:00:00,payout_received,500.0,40900.0
2023-09-01T00:00:00,owner_contribution,0,40900.0
2023-09-01T00:00:00,account_purchase,-200.0,40700.0
2023-10-01T00:00:00,owner_contribution,0,40700.0
2023-10-01T00:00:00,account_purchase,-200.0,40500.0
2023-11-01T00:00:00,owner_contribution,0,40500.0
2023-11-01T00:00:00,account_purchase,-200.0,40300.0
2023-12-01T00:00:00,owner_contribution,0,40300.0
2023-12-01T00:00:00,account_purchase,-200.0,40100.0
2024-01-01T00:00:00,payout_received,500.0,40600.0
2024-01-01T00:00:00,payout_received,500.0,41100.0
2024-01-01T00:00:00,payout_received,500.0,41600.0
2024-01-01T00:00:00,payout_received,500.0,42100.0
2024-01-01T00:00:00,payout_received,500.0,42600.0
2024-01-01T00:00:00,payout_received,500.0,43100.0
2024-01-01T00:00:00,payout_received,500.0,43600.0
2024-01-01T00:00:00,owner_contribution,0,43600.0
2024-01-01T00:00:00,account_purchase,-200.0,43400.0
2024-02-01T00:00:00,payout_received,500.0,43900.0
2024-02-01T00:00:00,payout_received,500.0,44400.0
2024-02-01T00:00:00,payout_received,500.0,44900.0
2024-02-01T00:00:00,payout_received,500.0,45400.0
2024-02-01T00:00:00,payout_received,500.0,45900.0
2024-02-01T00:00:00,payout_received,500.0,46400.0
2024-02-01T00:00:00,owner_contribution,0,46400.0
2024-02-01T00:00:00,account_purchase,-200.0,46200.0
2024-03-01T00:00:00,payout_received,500.0,46700.0
2024-03-01T00:00:00,payout_received,500.0,47200.0
2024-03-01T00:00:00,payout_received,500.0,47700.0
2024-03-01T00:00:00,payout_received,500.0,48200.0
2024-03-01T00:00:00,payout_received,500.0,48700.0
2024-03-01T00:00:00,payout_received,500.0,49200.0
2024-03-01T00:00:00,payout_received,500.0,49700.0
2024-03-01T00:00:00,payout_received,500.0,50200.0
2024-03-01T00:00:00,payout_received,500.0,50700.0
2024-03-01T00:00:00,payout_received,500.0,51200.0
2024-03-01T00:00:00,payout_received,500.0,51700.0
