account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2020-01-02 07:50:40,False,2021-02-23 16:34:40,RR1.00:13-14:108:398,581,835.5,609.0,226.5,0.0,0.0,0
2,2020-01-06 04:05:40,False,2020-04-07 21:51:40,RR1.00:18-19:20:80,143,-957.0,149.1,-1106.1,0.0,0.0,0
3,2020-01-21 15:08:20,False,2020-04-02 08:04:40,RR1.00:7-8:27:94,96,-595.5,99.75,-695.25,0.0,0.0,0
4,2020-02-03 03:32:40,False,2020-11-04 08:45:40,RR1.00:8-9:78:292,373,466.0,390.6,75.4,0.0,0.0,0
5,2020-02-03 07:00:40,False,2020-11-05 04:24:40,RR1.00:2-3:84:294,372,473.0,389.55,83.45,0.0,0.0,0
6,2020-02-03 07:00:40,False,2021-02-01 19:30:00,RR1.00:17-18:71:326,468,705.0,490.35,214.65,0.0,0.0,0
7,2020-03-02 02:04:40,False,2026-06-10 02:31:40,RR1.00:2-3:577:2173,3108,11938.5,3262.35,176.15,8500.0,8500.0,17
8,2020-03-04 09:00:40,False,2021-08-20 23:30:00,RR1.00:19-20:126:504,668,840.5,700.35,140.15,0.0,0.0,0
9,2020-03-04 09:00:40,False,2020-10-05 20:56:40,RR1.00:19-20:62:241,293,85.5,306.6,-221.1,0.0,0.0,0
10,2020-06-01 09:07:40,False,2026-06-09 17:10:40,RR1.00:13-14:593:2196,3017,12423.5,3166.8,256.7,9000.0,9000.0,18
11,2020-06-01 09:07:40,False,2021-10-04 23:30:00,RR1.00:20-21:149:540,645,778.5,676.2,102.3,0.0,0.0,0
12,2020-06-09 08:06:40,False,2026-06-10 02:31:40,RR1.00:2-3:577:2173,3000,8777.5,3148.95,128.55,5500.0,5500.0,11
13,2020-06-09 08:06:40,False,2026-06-01 21:00:00,RR1.00:16-17:884:2519,2988,11538.0,3136.35,401.65,8000.0,8000.0,16
14,2020-06-09 08:06:40,False,2021-06-18 22:59:40,RR1.00:22-23:118:452,491,655.5,514.5,141.0,0.0,0.0,0
15,2020-08-05 22:35:40,False,2021-03-23 20:59:40,RR1.00:16-17:180:492,282,268.0,295.05,-27.05,0.0,0.0,0
16,2020-08-05 22:35:40,False,2021-03-25 12:30:00,RR1.00:4-5:105:400,285,-313.0,298.2,-611.2,0.0,0.0,0
17,2020-08-05 22:35:40,False,2021-03-24 13:53:40,RR1.00:13-14:115:427,285,-124.5,298.2,-422.7,0.0,0.0,0
18,2020-09-02 22:11:40,False,2021-01-06 15:57:40,RR1.00:15-16:102:351,138,-663.0,143.85,-806.85,0.0,0.0,0
19,2020-09-02 22:11:40,False,2020-12-18 21:57:40,RR1.00:21-22:88:311,124,-733.5,129.15,-862.65,0.0,0.0,0
20,2020-09-02 22:11:40,False,2020-12-11 12:40:40,RR1.00:11-12:74:319,117,-736.5,121.8,-858.3,0.0,0.0,0
21,2020-09-28 08:00:40,False,2021-06-07 16:14:40,RR1.00:15-16:150:506,295,-604.0,308.7,-912.7,0.0,0.0,0
22,2020-09-28 08:00:40,False,2022-05-12 14:48:40,RR1.00:14-15:205:779,769,1018.0,806.4,211.6,0.0,0.0,0
23,2020-09-28 08:00:40,False,2026-06-01 21:00:00,RR1.00:16-17:884:2519,2805,9154.5,2944.2,210.3,6000.0,6000.0,12
24,2020-09-28 08:00:40,False,2020-12-02 20:33:40,RR1.00:20-21:73:269,68,-1171.5,70.35,-1241.85,0.0,0.0,0
25,2020-09-28 08:00:40,False,2021-07-13 23:30:00,RR1.00:16-17:226:609,341,-198.5,357.0,-555.5,0.0,0.0,0
26,2020-09-28 08:00:40,False,2021-07-19 14:04:40,RR1.00:12-13:127:477,349,-393.0,365.4,-758.4,0.0,0.0,0
27,2021-02-01 15:39:40,False,2022-05-12 16:32:40,RR1.00:16-17:342:938,633,767.5,663.6,103.9,0.0,0.0,0
28,2021-02-01 15:39:40,False,2021-09-20 11:01:40,RR1.00:10-11:151:562,293,-1117.5,306.6,-1424.1,0.0,0.0,0
29,2021-02-01 15:39:40,False,2021-03-08 18:50:40,RR1.00:17-18:80:365,42,-1180.0,43.05,-1223.05,0.0,0.0,0
30,2021-05-04 22:34:40,False,2022-01-19 17:32:40,RR1.00:16-17:301:819,352,-560.5,368.55,-929.05,0.0,0.0,0
31,2021-08-02 10:03:40,False,2022-05-12 09:47:40,RR1.00:9-10:216:798,405,545.0,424.2,120.8,0.0,0.0,0
32,2021-09-02 09:46:40,False,2022-05-11 20:05:40,RR1.00:16-17:341:936,359,1143.5,375.9,767.6,0.0,0.0,0
33,2021-09-03 15:30:40,False,2022-01-06 14:26:40,RR1.00:14-15:173:662,175,-180.0,182.7,-362.7,0.0,0.0,0
34,2021-09-03 15:30:40,False,2022-01-06 16:30:20,RR1.00:16-17:296:802,175,-230.0,182.7,-412.7,0.0,0.0,0
35,2021-09-03 15:30:40,False,2026-06-01 21:00:00,RR1.00:16-17:884:2519,2394,7828.5,2512.65,315.85,5000.0,5000.0,10
36,2021-09-03 15:30:40,False,2022-01-06 16:30:20,RR1.00:16-17:296:802,173,183.0,180.6,2.4,0.0,0.0,0
37,2021-10-13 22:49:40,False,2022-01-11 01:02:40,RR1.00:1-2:147:552,126,-394.0,131.25,-525.25,0.0,0.0,0
38,2021-11-03 02:20:40,False,2026-06-01 21:00:00,RR1.00:16-17:884:2519,2308,9706.5,2422.35,284.15,7000.0,7000.0,14
39,2021-11-03 02:20:40,False,2026-06-10 21:50:40,RR1.00:20-21:542:1995,2329,9624.5,2444.4,180.1,7000.0,7000.0,14
40,2021-11-03 02:20:40,False,2022-03-11 13:30:00,RR1.00:10-11:190:715,180,-336.5,187.95,-524.45,0.0,0.0,0
41,2021-11-03 06:45:40,False,2026-06-10 21:50:40,RR1.00:20-21:542:1995,2330,7170.0,2445.45,224.55,4500.0,4500.0,9
42,2021-11-03 06:45:40,False,2026-06-18 09:41:40,RR1.00:9-10:582:2142,2339,8589.5,2454.9,134.6,6000.0,6000.0,12
43,2021-11-03 06:45:40,True,,,2381,13086.0,2500.05,100.01,10485.94,10485.94,18
44,2021-11-03 06:45:40,True,,,2384,14151.0,2503.2,100.01,11547.79,11547.79,20
45,2021-11-03 06:45:40,True,,,2385,14539.0,2504.25,100.01,11934.74,11934.74,20
46,2021-11-03 06:45:40,True,,,2376,15095.0,2494.8,100.01,12500.19,12500.19,19
47,2022-01-24 08:36:40,True,,,2265,15611.0,2378.25,100.01,13132.74,13132.74,20
48,2022-01-24 08:36:40,False,2022-06-08 07:53:40,RR1.00:7-8:241:828,204,221.0,213.15,7.85,0.0,0.0,0
49,2022-01-24 08:36:40,False,2022-06-02 15:59:40,RR1.00:11-12:184:784,196,195.5,204.75,-9.25,0.0,0.0,0
50,2022-01-24 08:36:40,False,2022-05-23 16:29:40,RR1.00:13-14:215:819,178,-667.5,185.85,-853.35,0.0,0.0,0
51,2022-01-24 08:36:40,False,2022-05-17 21:02:40,RR1.00:20-21:197:729,165,-635.0,172.2,-807.2,0.0,0.0,0
52,2022-03-28 11:48:40,False,2022-05-16 17:57:20,RR1.00:17-18:144:723,74,-143.0,76.65,-219.65,0.0,0.0,0
53,2022-05-20 08:00:40,False,2022-06-14 14:45:40,RR1.00:13-14:223:846,42,-1284.0,43.05,-1327.05,0.0,0.0,0
54,2022-05-20 08:00:40,False,2026-03-30 11:30:00,RR1.00:8-9:603:2148,1939,8669.0,2034.9,134.1,6500.0,6500.0,13
55,2022-05-20 08:00:40,True,,,2088,11794.0,2192.4,100.01,9501.59,9501.59,14
56,2022-05-20 08:00:40,True,,,2088,12163.0,2192.4,100.01,9870.59,9870.59,14
57,2022-05-20 08:00:40,False,2022-09-22 14:09:40,RR1.00:13-14:241:930,178,-684.5,185.85,-870.35,0.0,0.0,0
58,2022-05-20 08:00:40,False,2022-09-01 16:50:40,RR1.00:16-17:387:1067,148,-859.5,154.35,-1013.85,0.0,0.0,0
59,2022-07-15 20:05:20,False,2022-09-26 17:00:00,RR1.00:13-14:242:934,89,-847.5,92.4,-939.9,0.0,0.0,0
60,2022-07-15 21:42:40,False,2022-09-20 23:30:00,RR1.00:21-22:246:869,81,-920.5,84.0,-1004.5,0.0,0.0,0
61,2022-07-15 21:42:40,False,2022-09-19 18:38:20,RR1.00:17-18:168:833,79,-1013.0,81.9,-1094.9,0.0,0.0,0
62,2022-07-15 21:42:40,True,,,1997,9691.0,2096.85,100.01,7494.14,7494.14,11
63,2022-07-15 21:42:40,False,2022-11-03 21:50:40,RR1.00:18-19:206:892,161,-644.0,168.0,-812.0,0.0,0.0,0
64,2022-07-15 21:42:40,False,2022-12-07 23:30:00,RR1.00:22-23:244:915,207,-787.5,216.3,-1003.8,0.0,0.0,0
65,2022-07-15 21:42:40,False,2022-12-20 16:32:40,RR1.00:16-17:422:1187,229,-517.0,239.4,-756.4,0.0,0.0,0
66,2022-07-15 21:42:40,False,2022-12-21 16:34:40,RR1.00:14-15:254:975,231,122.0,241.5,-119.5,0.0,0.0,0
67,2022-07-15 22:55:40,False,2022-12-06 11:00:00,RR1.00:9-10:266:994,203,236.5,212.1,24.4,0.0,0.0,0
68,2022-07-15 22:55:40,False,2022-12-21 16:34:40,RR1.00:14-15:254:975,229,395.5,239.4,156.1,0.0,0.0,0
69,2022-07-15 22:55:40,False,2022-12-23 16:02:40,RR1.00:15-16:312:1076,236,418.5,246.75,171.75,0.0,0.0,0
70,2022-07-15 22:55:40,False,2022-11-21 16:34:40,RR1.00:16-17:411:1150,181,335.0,189.0,146.0,0.0,0.0,0
71,2022-07-15 22:55:40,False,2022-11-17 21:17:40,RR1.00:19-20:203:888,178,358.0,185.85,172.15,0.0,0.0,0
72,2022-07-15 22:55:40,False,2026-03-26 16:39:40,RR1.00:16-17:852:2434,1840,5645.0,1930.95,214.05,3500.0,3500.0,7
73,2022-07-15 22:55:40,True,,,1996,11265.0,2095.8,100.01,9069.19,9069.19,8
74,2022-11-01 03:28:40,True,,,1848,8019.5,1940.4,4579.1,1500.0,1500.0,1
75,2022-11-01 03:28:40,False,2023-07-28 18:00:00,RR1.00:16-17:507:1425,401,521.0,420.0,101.0,0.0,0.0,0
76,2022-12-29 22:21:40,False,2023-06-06 13:02:40,RR1.00:12-13:281:1102,226,-771.0,236.25,-1007.25,0.0,0.0,0
77,2022-12-29 22:21:40,False,2023-06-06 19:57:40,RR1.00:18-19:250:1077,226,-440.5,236.25,-676.75,0.0,0.0,0
78,2022-12-29 22:21:40,False,2023-07-07 16:02:40,RR1.00:15-16:381:1288,271,-553.0,283.5,-836.5,0.0,0.0,0
79,2022-12-29 22:21:40,False,2023-06-19 10:01:40,RR1.00:9-10:307:1165,242,-792.5,253.05,-1045.55,0.0,0.0,0
80,2023-01-23 06:01:40,False,2023-06-16 18:26:40,RR1.00:18-19:253:1086,207,-654.0,216.3,-870.3,0.0,0.0,0
81,2023-01-23 06:01:40,False,2023-06-02 16:58:40,RR1.00:16-17:491:1377,189,-865.0,197.4,-1062.4,0.0,0.0,0
82,2023-01-23 06:01:40,False,2023-05-17 23:30:00,RR1.00:22-23:275:1044,169,-927.0,176.4,-1103.4,0.0,0.0,0
83,2023-01-23 06:01:40,False,2023-05-15 20:42:40,RR1.00:19-20:246:1045,165,-976.0,172.2,-1148.2,0.0,0.0,0
84,2023-01-23 06:01:40,False,2023-06-01 23:30:00,RR1.00:23-24:59:466,186,-970.0,194.25,-1164.25,0.0,0.0,0
85,2023-01-23 06:01:40,False,2023-06-02 16:58:40,RR1.00:16-17:491:1377,188,-554.0,196.35,-750.35,0.0,0.0,0
86,2023-01-23 06:01:40,False,2023-06-12 21:00:00,RR1.00:17-18:202:1027,198,-590.5,206.85,-797.35,0.0,0.0,0
87,2023-01-23 06:01:40,False,2023-06-20 01:28:40,RR1.00:1-2:243:990,208,-484.0,217.35,-701.35,0.0,0.0,0
88,2023-01-23 06:01:40,False,2023-10-25 21:50:20,RR1.00:21-22:338:1218,403,-357.0,422.1,-779.1,0.0,0.0,0
89,2023-03-17 06:08:40,False,2024-11-01 19:59:40,RR1.00:17-18:297:1485,785,977.0,823.2,153.8,0.0,0.0,0
90,2023-03-17 06:08:40,False,2024-11-01 14:30:40,RR1.00:12-13:404:1582,785,943.5,823.2,120.3,0.0,0.0,0
91,2023-03-17 06:08:40,True,,,1642,7365.5,1724.1,4141.4,1500.0,1500.0,1
92,2023-03-17 06:08:40,True,,,1641,8568.0,1723.05,4344.95,2500.0,2500.0,3
93,2023-03-17 06:08:40,True,,,1641,7851.0,1723.05,3627.95,2500.0,2500.0,3
94,2023-03-17 06:08:40,True,,,1642,10414.0,1724.1,100.01,8589.89,8589.89,6
95,2023-03-17 06:08:40,True,,,1643,9779.0,1725.15,4553.85,3500.0,3500.0,5
96,2023-03-17 06:08:40,True,,,1641,8598.0,1723.05,4874.95,2000.0,2000.0,2
97,2023-05-09 06:33:20,True,,,1559,8611.0,1636.95,4974.05,2000.0,2000.0,2
98,2023-05-09 06:33:20,True,,,1556,9493.0,1633.8,5359.2,2500.0,2500.0,3
99,2023-05-09 06:33:20,True,,,1554,9492.0,1631.7,4860.3,3000.0,3000.0,4
100,2023-05-09 06:33:20,True,,,1557,7484.5,1634.85,4349.65,1500.0,1500.0,1
101,2023-05-09 06:33:20,True,,,1556,7074.0,1633.8,3940.2,1500.0,1500.0,1
102,2023-05-09 06:33:20,True,,,1557,7136.0,1634.85,3501.15,2000.0,2000.0,2
103,2023-05-09 06:33:20,True,,,1557,8312.0,1634.85,4177.15,2500.0,2500.0,3
104,2023-05-09 06:33:20,True,,,1560,8703.0,1638.0,4065.0,3000.0,3000.0,4
105,2023-08-07 22:41:20,True,,,1426,9501.5,1497.3,100.01,7904.19,7904.19,6
106,2023-08-07 22:41:20,True,,,1427,9455.5,1498.35,4457.15,3500.0,3500.0,5
107,2023-08-07 22:41:20,True,,,1427,9788.5,1498.35,100.01,8190.14,8190.14,6
108,2023-09-05 07:23:40,True,,,1371,8798.5,1439.55,4858.95,2500.0,2500.0,3
109,2023-09-05 07:23:40,True,,,1372,5816.5,1440.6,2875.9,1500.0,1500.0,1
110,2023-09-05 07:23:40,True,,,1372,4465.5,1440.6,3024.9,0.0,0.0,0
111,2023-09-07 21:56:40,True,,,1362,4606.5,1430.1,3176.4,0.0,0.0,0
112,2023-09-07 21:56:40,True,,,1364,4701.0,1432.2,1768.8,1500.0,1500.0,1
113,2023-09-07 21:56:40,True,,,1364,4444.5,1432.2,3012.3,0.0,0.0,0
114,2023-09-07 21:56:40,True,,,1364,5425.5,1432.2,2493.3,1500.0,1500.0,1
115,2023-09-07 21:56:40,True,,,1366,5109.5,1434.3,2175.2,1500.0,1500.0,1
116,2023-09-07 21:56:40,False,2023-11-29 09:41:40,RR1.00:5-6:274:1241,81,-1208.0,84.0,-1292.0,0.0,0.0,0
117,2023-09-07 21:56:40,False,2023-11-01 16:00:00,RR1.00:16-17:540:1524,55,-1214.5,56.7,-1271.2,0.0,0.0,0
118,2023-09-07 21:56:40,False,2023-10-30 18:43:40,RR1.00:17-18:222:1147,54,-1160.0,55.65,-1215.65,0.0,0.0,0
119,2023-09-07 21:56:40,False,2024-05-21 23:00:00,RR1.00:19-20:334:1368,275,-392.5,287.7,-680.2,0.0,0.0,0
120,2023-09-07 21:56:40,True,,,1370,5183.0,1438.5,2244.5,1500.0,1500.0,1
121,2023-09-07 21:56:40,True,,,1370,5152.0,1438.5,2213.5,1500.0,1500.0,1
122,2023-09-07 21:56:40,True,,,1370,6005.5,1438.5,2567.0,2000.0,2000.0,2
123,2023-09-07 21:56:40,True,,,1371,5135.5,1439.55,2195.95,1500.0,1500.0,1
124,2023-09-07 21:56:40,False,2024-08-02 23:30:00,RR1.00:18-19:334:1441,373,194.0,390.6,-196.6,0.0,0.0,0
125,2023-09-07 21:56:40,True,,,1371,4701.5,1439.55,1761.95,1500.0,1500.0,1
126,2023-09-07 22:50:20,False,2024-08-06 22:57:40,RR1.00:18-19:335:1443,375,589.5,392.7,196.8,0.0,0.0,0
127,2023-09-07 22:50:20,True,,,1369,6758.0,1437.45,2820.55,2500.0,2500.0,3
128,2023-09-07 22:50:20,True,,,1368,6850.0,1436.4,2913.6,2500.0,2500.0,3
129,2023-09-07 22:50:20,True,,,1369,9047.0,1437.45,4609.55,3000.0,3000.0,6
130,2023-09-07 22:50:20,True,,,1368,10391.0,1436.4,5954.6,3000.0,3000.0,6
131,2023-09-07 22:50:20,True,,,1368,9091.5,1436.4,5155.1,2500.0,2500.0,5
132,2023-09-07 22:50:20,True,,,1368,9399.5,1436.4,5463.1,2500.0,2500.0,5
133,2023-09-07 22:50:20,True,,,1368,10054.5,1436.4,6118.1,2500.0,2500.0,5
134,2023-09-07 22:50:20,True,,,1367,12251.5,1435.35,6316.15,4500.0,4500.0,9
135,2023-09-07 22:50:20,True,,,1363,12896.5,1431.15,6465.35,5000.0,5000.0,10
136,2023-09-07 22:50:20,True,,,1363,13962.0,1431.15,6030.85,6500.0,6500.0,13
137,2023-09-07 22:50:20,True,,,1364,13815.0,1432.2,6882.8,5500.0,5500.0,11
138,2023-09-07 22:50:20,False,2024-08-02 19:51:40,RR1.00:19-20:347:1435,375,-42.0,392.7,-434.7,0.0,0.0,0
139,2023-09-07 22:50:20,False,2024-08-06 06:30:00,RR1.00:6-7:392:1503,376,-512.0,393.75,-905.75,0.0,0.0,0
140,2023-09-07 22:50:20,False,2024-07-26 13:58:40,RR1.00:13-14:414:1560,364,-653.0,381.15,-1034.15,0.0,0.0,0
141,2024-07-11 11:32:40,False,2024-08-02 08:39:40,RR1.00:8-9:451:1586,31,-1260.0,31.5,-1291.5,0.0,0.0,0
142,2024-07-11 11:32:40,True,,,1021,11471.5,1072.05,8899.45,1500.0,1500.0,3
143,2024-09-16 22:39:40,False,2025-04-01 11:30:00,RR1.00:9-10:464:1755,269,398.5,281.4,117.1,0.0,0.0,0
144,2024-09-16 22:39:40,False,2025-03-31 20:47:40,RR1.00:20-21:414:1575,268,477.5,280.35,197.15,0.0,0.0,0
145,2024-11-01 14:30:20,False,2025-03-04 21:00:00,RR1.00:17-18:311:1577,159,553.5,165.9,387.6,0.0,0.0,0
146,2024-11-01 14:30:20,False,2025-03-04 21:00:00,RR1.00:17-18:311:1577,159,367.5,165.9,201.6,0.0,0.0,0
147,2024-11-01 14:30:20,False,2025-03-04 21:00:00,RR1.00:17-18:311:1577,159,330.0,165.9,164.1,0.0,0.0,0
148,2024-11-01 14:30:20,False,2025-03-04 21:00:00,RR1.00:17-18:311:1577,159,177.0,165.9,11.1,0.0,0.0,0
149,2024-11-01 14:30:20,False,2025-03-04 21:00:00,RR1.00:17-18:311:1577,159,135.5,165.9,-30.4,0.0,0.0,0
150,2024-11-01 14:30:20,False,2025-03-04 21:00:00,RR1.00:17-18:311:1577,159,86.5,165.9,-79.4,0.0,0.0,0
151,2024-11-01 14:30:20,False,2025-03-04 21:00:00,RR1.00:17-18:311:1577,159,-3.0,165.9,-168.9,0.0,0.0,0
152,2024-11-01 14:30:20,False,2025-03-04 21:00:00,RR1.00:17-18:311:1577,159,206.0,165.9,40.1,0.0,0.0,0
153,2024-12-10 07:06:20,False,2025-03-04 21:00:00,RR1.00:17-18:311:1577,110,-262.5,114.45,-376.95,0.0,0.0,0
154,2024-12-10 07:06:20,False,2025-03-04 21:00:00,RR1.00:17-18:311:1577,110,-262.5,114.45,-376.95,0.0,0.0,0
155,2024-12-10 07:06:20,False,2025-03-04 21:00:00,RR1.00:17-18:311:1577,110,-262.5,114.45,-376.95,0.0,0.0,0
156,2024-12-10 07:06:20,False,2025-03-04 21:00:00,RR1.00:17-18:311:1577,110,-262.5,114.45,-376.95,0.0,0.0,0
157,2024-12-10 07:06:20,False,2025-03-04 21:00:00,RR1.00:17-18:311:1577,110,-262.5,114.45,-376.95,0.0,0.0,0
