at,count,emergency
2020-01-02T07:50:40,1,True
2020-01-06T04:05:40,1,True
2020-01-21T15:08:20,1,True
2020-02-03T03:32:40,1,True
2020-02-03T07:00:40,2,True
2020-03-02T02:04:40,1,True
2020-03-04T09:00:40,2,True
2020-06-09T08:06:40,3,True
2020-08-05T22:35:40,3,True
2020-09-02T22:11:40,3,True
2020-09-28T08:00:40,6,True
2021-09-21T21:46:40,3,True
2021-09-22T09:12:40,1,True
2021-10-05T14:29:20,2,True
2021-10-13T22:49:40,5,True
2021-11-03T02:20:40,3,True
2021-11-03T06:45:40,6,True
2022-07-15T21:42:40,4,True
2022-07-15T22:55:40,7,True
2023-01-23T06:01:40,1,True
2023-03-17T06:08:40,8,True
2023-05-09T06:33:20,8,True
2023-09-07T21:56:40,8,True
2023-09-07T22:50:20,15,True
2024-11-01T14:30:20,1,True
2024-12-10T07:06:20,4,True
2025-09-16T22:50:40,3,True
2025-12-19T05:25:40,17,True
2025-12-19T21:23:40,2,True
2025-12-19T22:50:40,20,True
2026-04-29T14:36:40,1,True
