at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2023-04-01 00:00:00,17,2020-09,1,500.0,500.0,500.0,500.0,31404.8,30904.8,0.0,
2023-04-01 00:00:00,30,2021-10,1,500.0,500.0,500.0,500.0,31387.55,30887.55,0.0,
2023-04-01 00:00:00,32,2021-10,1,500.0,500.0,500.0,500.0,31331.7,30831.7,0.0,
2023-04-01 00:00:00,36,2021-11,1,500.0,500.0,500.0,500.0,31464.05,30964.05,0.0,
2023-04-01 00:00:00,41,2021-11,1,500.0,500.0,500.0,500.0,31422.85,30922.85,0.0,
2023-04-01 00:00:00,42,2021-11,1,500.0,500.0,500.0,500.0,31385.1,30885.1,0.0,
2023-04-01 00:00:00,44,2021-11,1,500.0,500.0,500.0,500.0,31431.8,30931.8,0.0,
2023-05-01 00:00:00,17,2020-09,2,500.0,500.0,500.0,500.0,31542.45,31042.45,0.0,
2023-05-01 00:00:00,30,2021-10,2,500.0,500.0,500.0,500.0,31525.2,31025.2,0.0,
2023-05-01 00:00:00,32,2021-10,2,500.0,500.0,500.0,500.0,31469.35,30969.35,0.0,
2023-05-01 00:00:00,36,2021-11,2,500.0,500.0,500.0,500.0,31601.7,31101.7,0.0,
2023-05-01 00:00:00,39,2021-11,1,500.0,500.0,500.0,500.0,30689.65,30189.65,0.0,
2023-05-01 00:00:00,41,2021-11,2,500.0,500.0,500.0,500.0,31560.5,31060.5,0.0,
2023-05-01 00:00:00,42,2021-11,2,500.0,500.0,500.0,500.0,31522.75,31022.75,0.0,
2023-05-01 00:00:00,44,2021-11,2,500.0,500.0,500.0,500.0,31569.45,31069.45,0.0,
2023-06-01 00:00:00,17,2020-09,3,500.0,500.0,500.0,500.0,31054.75,30554.75,0.0,
2023-06-01 00:00:00,30,2021-10,3,500.0,500.0,500.0,500.0,31037.5,30537.5,0.0,
2023-06-01 00:00:00,32,2021-10,3,500.0,500.0,500.0,500.0,30981.65,30481.65,0.0,
