at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2022-03-01 00:00:00,9,2020-01,1,500.0,500.0,500.0,500.0,30750.15,30250.15,0.0,
2022-12-01 00:00:00,9,2020-01,2,500.0,500.0,500.0,500.0,30627.0,30127.0,0.0,
2022-12-01 00:00:00,12,2020-01,1,500.0,500.0,500.0,500.0,30500.2,30000.2,0.0,
2022-12-01 00:00:00,13,2020-02,1,500.0,500.0,500.0,500.0,30507.15,30007.15,0.0,
2022-12-01 00:00:00,37,2020-06,1,500.0,500.0,500.0,500.0,30547.6,30047.6,0.0,
2022-12-01 00:00:00,51,2020-07,1,500.0,500.0,500.0,500.0,30513.1,30013.1,0.0,
2022-12-01 00:00:00,54,2020-07,1,500.0,500.0,500.0,500.0,30512.8,30012.8,0.0,
2022-12-01 00:00:00,55,2020-08,1,500.0,500.0,500.0,500.0,30538.5,30038.5,0.0,
2022-12-01 00:00:00,59,2020-08,1,500.0,500.0,500.0,500.0,30538.85,30038.85,0.0,
2022-12-01 00:00:00,71,2020-09,1,500.0,500.0,500.0,500.0,30513.5,30013.5,0.0,
2022-12-01 00:00:00,77,2020-09,1,500.0,500.0,500.0,500.0,30553.9,30053.9,0.0,
2022-12-01 00:00:00,79,2020-09,1,500.0,500.0,500.0,500.0,30514.2,30014.2,0.0,
2023-04-01 00:00:00,9,2020-01,3,500.0,500.0,500.0,500.0,31207.35,30707.35,0.0,
2023-04-01 00:00:00,12,2020-01,2,500.0,500.0,500.0,500.0,31080.55,30580.55,0.0,
2023-04-01 00:00:00,13,2020-02,2,500.0,500.0,500.0,500.0,31087.5,30587.5,0.0,
2023-04-01 00:00:00,20,2020-02,1,500.0,500.0,500.0,500.0,30940.8,30440.8,0.0,
2023-04-01 00:00:00,21,2020-02,1,500.0,500.0,500.0,500.0,31242.55,30742.55,0.0,
2023-04-01 00:00:00,37,2020-06,2,500.0,500.0,500.0,500.0,31127.95,30627.95,0.0,
2023-04-01 00:00:00,43,2020-06,1,500.0,500.0,500.0,500.0,31151.65,30651.65,0.0,
2023-04-01 00:00:00,51,2020-07,2,500.0,500.0,500.0,500.0,31093.45,30593.45,0.0,
2023-04-01 00:00:00,53,2020-07,1,500.0,500.0,500.0,500.0,30564.55,30064.55,0.0,
2023-04-01 00:00:00,54,2020-07,2,500.0,500.0,500.0,500.0,31093.15,30593.15,0.0,
2023-04-01 00:00:00,55,2020-08,2,500.0,500.0,500.0,500.0,31118.85,30618.85,0.0,
2023-04-01 00:00:00,59,2020-08,2,500.0,500.0,500.0,500.0,31119.2,30619.2,0.0,
2023-04-01 00:00:00,71,2020-09,2,500.0,500.0,500.0,500.0,31093.85,30593.85,0.0,
2023-04-01 00:00:00,77,2020-09,2,500.0,500.0,500.0,500.0,31134.25,30634.25,0.0,
2023-04-01 00:00:00,79,2020-09,2,500.0,500.0,500.0,500.0,31094.55,30594.55,0.0,
2023-05-01 00:00:00,9,2020-01,4,500.0,500.0,500.0,500.0,31345.0,30845.0,0.0,
2023-05-01 00:00:00,12,2020-01,3,500.0,500.0,500.0,500.0,31218.2,30718.2,0.0,
2023-05-01 00:00:00,13,2020-02,3,500.0,500.0,500.0,500.0,31225.15,30725.15,0.0,
2023-05-01 00:00:00,20,2020-02,2,500.0,500.0,500.0,500.0,31078.45,30578.45,0.0,
2023-05-01 00:00:00,21,2020-02,2,500.0,500.0,500.0,500.0,31380.2,30880.2,0.0,
2023-05-01 00:00:00,37,2020-06,3,500.0,500.0,500.0,500.0,31265.6,30765.6,0.0,
2023-05-01 00:00:00,43,2020-06,2,500.0,500.0,500.0,500.0,31289.3,30789.3,0.0,
2023-05-01 00:00:00,51,2020-07,3,500.0,500.0,500.0,500.0,31231.1,30731.1,0.0,
2023-05-01 00:00:00,53,2020-07,2,500.0,500.0,500.0,500.0,30702.2,30202.2,0.0,
2023-05-01 00:00:00,54,2020-07,3,500.0,500.0,500.0,500.0,31230.8,30730.8,0.0,
2023-05-01 00:00:00,55,2020-08,3,500.0,500.0,500.0,500.0,31256.5,30756.5,0.0,
2023-05-01 00:00:00,59,2020-08,3,500.0,500.0,500.0,500.0,31256.85,30756.85,0.0,
2023-05-01 00:00:00,71,2020-09,3,500.0,500.0,500.0,500.0,31231.5,30731.5,0.0,
2023-05-01 00:00:00,77,2020-09,3,500.0,500.0,500.0,500.0,31271.9,30771.9,0.0,
2023-05-01 00:00:00,79,2020-09,3,500.0,500.0,500.0,500.0,31232.2,30732.2,0.0,
2023-05-01 00:00:00,80,2020-09,1,500.0,500.0,500.0,500.0,30595.95,30095.95,0.0,
