at,count,emergency
2020-01-06T01:36:40,1,True
2020-01-06T04:05:40,1,True
2020-01-13T07:02:40,2,True
2020-01-20T06:02:00,2,True
2020-01-21T15:08:20,3,True
2020-01-27T07:30:40,3,True
2020-02-03T07:00:40,3,True
2020-02-17T07:12:40,6,True
2020-02-26T07:32:40,3,True
2020-03-02T02:04:40,1,True
2020-03-04T09:00:40,2,True
2020-03-11T12:32:40,3,True
2020-05-07T16:30:40,3,True
2020-05-13T14:30:40,3,True
2020-05-18T05:10:40,3,True
2020-06-01T09:07:40,6,True
2020-06-09T07:36:40,3,True
2020-06-09T08:06:40,12,True
2020-06-29T12:31:40,2,True
2020-06-29T14:52:40,1,True
2020-07-21T13:43:40,9,True
2020-08-05T22:35:40,7,True
2020-09-28T08:00:40,20,True
2021-11-03T06:45:40,5,True
2022-01-24T08:36:40,10,True
2022-01-28T08:02:40,4,True
2022-03-22T09:15:40,3,True
2022-03-28T10:02:40,2,True
2022-03-28T11:48:40,16,True
2022-05-12T06:34:40,2,True
2022-05-20T08:00:40,7,True
2022-07-15T20:05:20,2,True
2022-07-15T21:42:40,13,True
2022-07-15T22:55:40,13,True
2022-10-07T04:23:40,2,True
2022-11-03T20:27:40,1,True
2022-11-23T14:35:40,5,True
2023-01-23T06:01:40,16,True
2023-03-17T06:08:40,4,True
2023-09-07T22:50:20,20,True
2026-04-29T14:36:40,4,True
2026-06-03T14:28:40,4,True
