account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2020-01-06 01:36:40,True,,,1891,3426.0,1985.55,1440.45,0.0,0.0,0
2,2020-01-06 04:05:40,True,,,510,33.5,535.5,-502.0,0.0,0.0,0
3,2020-01-13 07:02:40,True,,,331,-145.5,347.55,-493.05,0.0,0.0,0
4,2020-01-13 07:02:40,True,,,2429,11740.5,2550.45,7190.05,2000.0,2000.0,4
5,2020-01-20 06:02:00,True,,,387,18.0,406.35,-388.35,0.0,0.0,0
6,2020-01-20 06:02:00,True,,,3660,13058.0,3843.0,7215.0,2000.0,2000.0,4
7,2020-01-21 15:08:20,True,,,259,183.0,271.95,-88.95,0.0,0.0,0
8,2020-01-21 15:08:20,True,,,493,670.5,517.65,152.85,0.0,0.0,0
9,2020-01-21 15:08:20,True,,,8689,32556.5,9123.45,1433.05,22000.0,22000.0,44
10,2020-01-27 07:30:40,True,,,683,880.0,717.15,162.85,0.0,0.0,0
11,2020-01-27 07:30:40,True,,,220,384.0,231.0,153.0,0.0,0.0,0
12,2020-01-27 07:30:40,True,,,8195,39288.0,8604.75,7183.25,23500.0,23500.0,47
13,2020-02-03 07:00:40,True,,,7439,20999.0,7810.95,188.05,13000.0,13000.0,26
14,2020-02-03 07:00:40,True,,,205,394.5,215.25,179.25,0.0,0.0,0
15,2020-02-03 07:00:40,True,,,541,715.5,568.05,147.45,0.0,0.0,0
16,2020-02-17 07:12:40,True,,,171,-294.5,179.55,-474.05,0.0,0.0,0
17,2020-02-17 07:12:40,True,,,6208,27196.5,6518.4,178.1,20500.0,20500.0,41
18,2020-02-17 07:12:40,True,,,4668,14833.0,4901.4,1431.6,8500.0,8500.0,17
19,2020-02-17 07:12:40,True,,,2550,11860.5,2677.5,7183.0,2000.0,2000.0,4
20,2020-02-17 07:12:40,True,,,5089,19777.5,5343.45,1434.05,13000.0,13000.0,26
