at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2022-02-22 00:00:00,12,2020-03,1,500.0,500.0,500.0,500.0,32468.65,31968.65,0.0,
2022-02-23 00:00:00,13,2020-03,1,500.0,500.0,500.0,500.0,32434.8,31934.8,0.0,
2022-03-01 00:00:00,14,2020-04,1,500.0,500.0,500.0,500.0,32715.85,32215.85,0.0,
2022-03-01 00:00:00,15,2020-04,1,500.0,500.0,500.0,500.0,32667.9,32167.9,0.0,
2022-03-12 00:00:00,12,2020-03,2,500.0,500.0,500.0,500.0,32407.6,31907.6,0.0,
2022-03-22 00:00:00,13,2020-03,2,500.0,500.0,500.0,500.0,32439.8,31939.8,0.0,
2022-03-23 00:00:00,14,2020-04,2,500.0,500.0,500.0,500.0,32735.05,32235.05,0.0,
2022-03-23 00:00:00,15,2020-04,2,500.0,500.0,500.0,500.0,32687.1,32187.1,0.0,
2022-03-23 00:00:00,16,2020-04,1,500.0,500.0,500.0,500.0,32778.25,32278.25,0.0,
2022-03-24 00:00:00,12,2020-03,3,500.0,500.0,500.0,500.0,32805.3,32305.3,0.0,
2022-03-30 00:00:00,46,2021-10,1,500.0,500.0,500.0,500.0,32425.65,31925.65,0.0,
2022-04-08 00:00:00,13,2020-03,3,500.0,500.0,500.0,500.0,32891.4,32391.4,0.0,
2022-04-13 00:00:00,12,2020-03,4,500.0,500.0,500.0,500.0,33691.05,33191.05,0.0,
2022-04-13 00:00:00,14,2020-04,3,500.0,500.0,500.0,500.0,33254.85,32754.85,0.0,
2022-04-13 00:00:00,15,2020-04,3,500.0,500.0,500.0,500.0,33206.9,32706.9,0.0,
2022-04-13 00:00:00,16,2020-04,2,500.0,500.0,500.0,500.0,33298.05,32798.05,0.0,
2022-04-13 00:00:00,43,2021-07,1,500.0,500.0,500.0,500.0,32479.05,31979.05,0.0,
2022-04-13 00:00:00,44,2021-08,1,500.0,500.0,500.0,500.0,32585.45,32085.45,0.0,
2022-04-13 00:00:00,45,2021-09,1,500.0,500.0,500.0,500.0,32481.65,31981.65,0.0,
2022-04-14 00:00:00,42,2021-06,1,500.0,500.0,500.0,500.0,32509.85,32009.85,0.0,
2022-04-19 00:00:00,46,2021-10,2,500.0,500.0,500.0,500.0,32970.6,32470.6,0.0,
2022-04-21 00:00:00,13,2020-03,4,500.0,500.0,500.0,500.0,33784.2,33284.2,0.0,
2022-04-26 00:00:00,12,2020-03,5,500.0,500.0,500.0,500.0,34367.55,33867.55,0.0,
2022-04-26 00:00:00,14,2020-04,4,500.0,500.0,500.0,500.0,33931.35,33431.35,0.0,
2022-04-26 00:00:00,15,2020-04,4,500.0,500.0,500.0,500.0,33883.4,33383.4,0.0,
2022-04-26 00:00:00,16,2020-04,3,500.0,500.0,500.0,500.0,33974.55,33474.55,0.0,
2022-04-26 00:00:00,43,2021-07,2,500.0,500.0,500.0,500.0,33155.55,32655.55,0.0,
2022-04-26 00:00:00,44,2021-08,2,500.0,500.0,500.0,500.0,33261.95,32761.95,0.0,
2022-04-26 00:00:00,45,2021-09,2,500.0,500.0,500.0,500.0,33158.15,32658.15,0.0,
2022-08-13 00:00:00,12,2020-03,6,500.0,500.0,500.0,500.0,32633.75,32133.75,0.0,
2022-08-13 00:00:00,13,2020-03,5,500.0,500.0,500.0,500.0,32441.4,31941.4,0.0,
2022-08-16 00:00:00,14,2020-04,5,500.0,500.0,500.0,500.0,32465.95,31965.95,0.0,
2022-08-16 00:00:00,15,2020-04,5,500.0,500.0,500.0,500.0,32418.0,31918.0,0.0,
2022-08-16 00:00:00,16,2020-04,4,500.0,500.0,500.0,500.0,32509.15,32009.15,0.0,
2022-08-19 00:00:00,46,2021-10,3,500.0,500.0,500.0,500.0,32555.9,32055.9,0.0,
2022-08-30 00:00:00,12,2020-03,7,500.0,500.0,500.0,500.0,32611.8,32111.8,0.0,
2022-08-30 00:00:00,13,2020-03,6,500.0,500.0,500.0,500.0,32419.45,31919.45,0.0,
2022-09-09 00:00:00,42,2021-06,2,500.0,500.0,500.0,500.0,32414.25,31914.25,0.0,
2022-09-10 00:00:00,16,2020-04,5,500.0,500.0,500.0,500.0,32436.55,31936.55,0.0,
2022-09-13 00:00:00,12,2020-03,8,500.0,500.0,500.0,500.0,32499.25,31999.25,0.0,
2022-09-13 00:00:00,14,2020-04,6,500.0,500.0,500.0,500.0,32563.05,32063.05,0.0,
2022-09-13 00:00:00,15,2020-04,6,500.0,500.0,500.0,500.0,32515.1,32015.1,0.0,
2022-09-21 00:00:00,44,2021-08,3,500.0,500.0,500.0,500.0,32440.0,31940.0,0.0,
2022-09-29 00:00:00,12,2020-03,9,500.0,500.0,500.0,500.0,32439.45,31939.45,0.0,
2022-09-29 00:00:00,13,2020-03,7,500.0,500.0,500.0,500.0,32747.1,32247.1,0.0,
2022-09-29 00:00:00,14,2020-04,7,500.0,500.0,500.0,500.0,32503.25,32003.25,0.0,
2022-09-29 00:00:00,15,2020-04,7,500.0,500.0,500.0,500.0,32455.3,31955.3,0.0,
2022-09-29 00:00:00,16,2020-04,6,500.0,500.0,500.0,500.0,32546.45,32046.45,0.0,
2022-09-29 00:00:00,42,2021-06,3,500.0,500.0,500.0,500.0,32572.25,32072.25,0.0,
2022-09-29 00:00:00,43,2021-07,3,500.0,500.0,500.0,500.0,32727.45,32227.45,0.0,
2022-09-29 00:00:00,45,2021-09,3,500.0,500.0,500.0,500.0,32730.05,32230.05,0.0,
2022-09-29 00:00:00,46,2021-10,4,500.0,500.0,500.0,500.0,32759.85,32259.85,0.0,
2022-10-14 00:00:00,44,2021-08,4,500.0,500.0,500.0,500.0,32542.7,32042.7,0.0,
2022-10-14 00:00:00,49,2022-01,1,500.0,500.0,500.0,500.0,32528.8,32028.8,0.0,
2022-10-18 00:00:00,13,2020-03,8,500.0,500.0,500.0,500.0,32542.15,32042.15,0.0,
2022-10-18 00:00:00,43,2021-07,4,500.0,500.0,500.0,500.0,32522.5,32022.5,0.0,
2022-10-18 00:00:00,45,2021-09,4,500.0,500.0,500.0,500.0,32525.1,32025.1,0.0,
2022-10-18 00:00:00,46,2021-10,5,500.0,500.0,500.0,500.0,32554.9,32054.9,0.0,
2022-10-19 00:00:00,42,2021-06,4,500.0,500.0,500.0,500.0,32401.05,31901.05,0.0,
2022-10-20 00:00:00,12,2020-03,10,500.0,500.0,500.0,500.0,32467.55,31967.55,0.0,
2022-10-20 00:00:00,14,2020-04,8,500.0,500.0,500.0,500.0,32531.35,32031.35,0.0,
2022-10-20 00:00:00,15,2020-04,8,500.0,500.0,500.0,500.0,32483.4,31983.4,0.0,
2022-10-20 00:00:00,16,2020-04,7,500.0,500.0,500.0,500.0,32574.55,32074.55,0.0,
2023-02-11 00:00:00,44,2021-08,5,500.0,500.0,500.0,500.0,32475.05,31975.05,0.0,
2023-02-11 00:00:00,46,2021-10,6,500.0,500.0,500.0,500.0,32401.05,31901.05,0.0,
2023-02-11 00:00:00,49,2022-01,2,500.0,500.0,500.0,500.0,32461.15,31961.15,0.0,
2023-02-14 00:00:00,13,2020-03,9,500.0,500.0,500.0,500.0,32705.3,32205.3,0.0,
2023-02-14 00:00:00,14,2020-04,9,500.0,500.0,500.0,500.0,32461.45,31961.45,0.0,
2023-02-14 00:00:00,15,2020-04,9,500.0,500.0,500.0,500.0,32413.5,31913.5,0.0,
2023-02-14 00:00:00,16,2020-04,8,500.0,500.0,500.0,500.0,32504.65,32004.65,0.0,
2023-02-14 00:00:00,42,2021-06,5,500.0,500.0,500.0,500.0,32530.45,32030.45,0.0,
2023-02-14 00:00:00,43,2021-07,5,500.0,500.0,500.0,500.0,32685.65,32185.65,0.0,
2023-02-14 00:00:00,45,2021-09,5,500.0,500.0,500.0,500.0,32688.25,32188.25,0.0,
2023-03-17 00:00:00,12,2020-03,11,500.0,500.0,500.0,500.0,32754.5,32254.5,0.0,
2023-03-17 00:00:00,13,2020-03,10,500.0,500.0,500.0,500.0,32562.15,32062.15,0.0,
2023-03-17 00:00:00,43,2021-07,6,500.0,500.0,500.0,500.0,32542.5,32042.5,0.0,
2023-03-17 00:00:00,44,2021-08,6,500.0,500.0,500.0,500.0,32648.9,32148.9,0.0,
2023-03-17 00:00:00,45,2021-09,6,500.0,500.0,500.0,500.0,32545.1,32045.1,0.0,
2023-03-17 00:00:00,46,2021-10,7,500.0,500.0,500.0,500.0,32574.9,32074.9,0.0,
2023-03-17 00:00:00,49,2022-01,3,500.0,500.0,500.0,500.0,32635.0,32135.0,0.0,
2023-03-22 00:00:00,14,2020-04,10,500.0,500.0,500.0,500.0,32889.95,32389.95,0.0,
2023-03-22 00:00:00,15,2020-04,10,500.0,500.0,500.0,500.0,32842.0,32342.0,0.0,
2023-03-22 00:00:00,16,2020-04,9,500.0,500.0,500.0,500.0,32933.15,32433.15,0.0,
2023-03-22 00:00:00,42,2021-06,6,500.0,500.0,500.0,500.0,32958.95,32458.95,0.0,
2023-03-24 00:00:00,68,2022-07,1,500.0,500.0,500.0,500.0,32428.7,31928.7,0.0,
2023-04-01 00:00:00,12,2020-03,12,500.0,500.0,500.0,500.0,33379.75,32879.75,0.0,
2023-04-01 00:00:00,13,2020-03,11,500.0,500.0,500.0,500.0,33187.4,32687.4,0.0,
2023-04-01 00:00:00,43,2021-07,7,500.0,500.0,500.0,500.0,33167.75,32667.75,0.0,
2023-04-01 00:00:00,44,2021-08,7,500.0,500.0,500.0,500.0,33274.15,32774.15,0.0,
2023-04-01 00:00:00,45,2021-09,7,500.0,500.0,500.0,500.0,33170.35,32670.35,0.0,
2023-04-01 00:00:00,46,2021-10,8,500.0,500.0,500.0,500.0,33200.15,32700.15,0.0,
2023-04-01 00:00:00,49,2022-01,4,500.0,500.0,500.0,500.0,33260.25,32760.25,0.0,
2023-04-04 00:00:00,14,2020-04,11,500.0,500.0,500.0,500.0,33074.1,32574.1,0.0,
2023-04-04 00:00:00,15,2020-04,11,500.0,500.0,500.0,500.0,33026.15,32526.15,0.0,
2023-04-04 00:00:00,16,2020-04,10,500.0,500.0,500.0,500.0,33117.3,32617.3,0.0,
2023-04-04 00:00:00,42,2021-06,7,500.0,500.0,500.0,500.0,33143.1,32643.1,0.0,
2023-04-07 00:00:00,68,2022-07,2,500.0,500.0,500.0,500.0,32543.6,32043.6,0.0,
2023-04-14 00:00:00,12,2020-03,13,500.0,500.0,500.0,500.0,33678.95,33178.95,0.0,
2023-04-14 00:00:00,13,2020-03,12,500.0,500.0,500.0,500.0,33486.6,32986.6,0.0,
2023-04-14 00:00:00,43,2021-07,8,500.0,500.0,500.0,500.0,33466.95,32966.95,0.0,
2023-04-14 00:00:00,44,2021-08,8,500.0,500.0,500.0,500.0,33573.35,33073.35,0.0,
2023-04-14 00:00:00,45,2021-09,8,500.0,500.0,500.0,500.0,33469.55,32969.55,0.0,
2023-04-14 00:00:00,46,2021-10,9,500.0,500.0,500.0,500.0,33499.35,32999.35,0.0,
2023-04-14 00:00:00,49,2022-01,5,500.0,500.0,500.0,500.0,33559.45,33059.45,0.0,
2023-04-21 00:00:00,14,2020-04,12,500.0,500.0,500.0,500.0,32835.75,32335.75,0.0,
2023-04-21 00:00:00,15,2020-04,12,500.0,500.0,500.0,500.0,32787.8,32287.8,0.0,
2023-04-21 00:00:00,16,2020-04,11,500.0,500.0,500.0,500.0,32878.95,32378.95,0.0,
2023-04-21 00:00:00,42,2021-06,8,500.0,500.0,500.0,500.0,32904.75,32404.75,0.0,
2023-04-28 00:00:00,68,2022-07,3,500.0,500.0,500.0,500.0,32692.45,32192.45,0.0,
2023-05-06 00:00:00,12,2020-03,14,500.0,500.0,500.0,500.0,32480.15,31980.15,0.0,
2023-06-13 00:00:00,13,2020-03,13,500.0,500.0,500.0,500.0,32539.85,32039.85,0.0,
2023-06-13 00:00:00,43,2021-07,9,500.0,500.0,500.0,500.0,32520.2,32020.2,0.0,
2023-06-13 00:00:00,44,2021-08,9,500.0,500.0,500.0,500.0,32626.6,32126.6,0.0,
