account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-03 07:13:40,True,,,4878,30287.0,5121.9,100.01,25065.09,25058.58,21
2,2023-01-03 21:45:40,False,2025-10-16 16:40:40,RR1.00:16-17:794:2262,470,629.0,492.45,136.55,0.0,0.0,0
3,2023-01-05 21:37:40,True,,,4862,30217.0,5105.1,100.01,25011.89,25010.7,20
4,2023-01-23 06:01:40,False,2025-09-16 22:59:40,RR1.00:22-23:501:1820,360,518.5,376.95,141.55,0.0,0.0,0
5,2023-02-14 09:01:40,True,,,3836,25756.5,4027.8,100.01,21628.69,21628.69,17
6,2023-02-14 09:01:40,False,2025-10-16 16:40:40,RR1.00:16-17:794:2262,822,1002.0,862.05,139.95,0.0,0.0,0
7,2023-03-15 01:00:40,True,,,2616,17274.0,2746.8,100.01,14427.19,14427.19,8
8,2023-03-15 01:00:40,True,,,2802,17654.5,2942.1,100.01,14612.39,14612.39,9
9,2023-03-15 01:00:40,False,2026-06-24 16:09:40,RR1.00:14-15:558:2108,664,948.5,696.15,252.35,0.0,0.0,0
10,2023-03-17 06:08:40,True,,,3579,24599.0,3757.95,100.01,20741.04,20741.04,16
11,2023-03-17 06:08:40,False,2026-06-29 15:38:40,RR1.00:14-15:561:2115,526,424.0,551.25,-127.25,0.0,0.0,0
12,2023-03-17 06:08:40,True,,,2480,16573.0,2604.0,100.01,13868.99,13868.99,8
13,2023-05-02 08:09:40,False,2026-06-29 16:26:40,RR1.00:16-17:896:2549,192,-1213.0,200.55,-1413.55,0.0,0.0,0
14,2023-05-02 08:09:40,False,2025-10-08 07:43:40,RR1.00:7-8:543:1989,396,517.5,414.75,102.75,0.0,0.0,0
15,2023-05-02 08:09:40,False,2025-10-08 07:43:40,RR1.00:7-8:543:1989,428,482.0,448.35,33.65,0.0,0.0,0
16,2023-05-09 06:33:20,False,2026-06-29 15:38:40,RR1.00:14-15:561:2115,2909,12288.0,3053.4,171.25,9063.35,9063.35,8
17,2023-05-09 06:33:20,False,2026-06-24 16:09:40,RR1.00:14-15:558:2108,759,1044.5,795.9,248.6,0.0,0.0,0
18,2023-05-09 06:33:20,False,2025-10-16 16:40:40,RR1.00:16-17:794:2262,1134,1322.5,1189.65,132.85,0.0,0.0,0
19,2023-05-09 06:33:20,False,2025-10-16 16:40:40,RR1.00:16-17:794:2262,470,167.0,492.45,-325.45,0.0,0.0,0
20,2023-05-09 06:33:20,False,2025-09-16 22:59:40,RR1.00:22-23:501:1820,167,-434.0,174.3,-608.3,0.0,0.0,0
21,2024-07-11 11:32:40,False,2026-06-29 16:30:40,RR1.00:13-14:599:2217,585,-227.5,613.2,-840.7,0.0,0.0,0
22,2024-07-11 11:32:40,False,2025-10-16 16:40:40,RR1.00:16-17:794:2262,180,-1129.0,187.95,-1316.95,0.0,0.0,0
23,2024-07-11 11:32:40,False,2026-06-25 23:30:00,RR1.00:20-21:546:2008,424,-668.0,444.15,-1112.15,0.0,0.0,0
24,2024-07-11 11:32:40,False,2025-09-16 22:59:40,RR1.00:22-23:501:1820,39,-1261.0,39.9,-1300.9,0.0,0.0,0
25,2024-11-01 14:30:20,False,2025-10-16 16:40:40,RR1.00:16-17:794:2262,319,236.0,333.9,-97.9,0.0,0.0,0
26,2024-11-01 14:30:20,False,2025-09-16 22:59:40,RR1.00:22-23:501:1820,143,15.5,149.1,-133.6,0.0,0.0,0
27,2024-11-01 14:30:20,False,2026-06-25 23:30:00,RR1.00:20-21:546:2008,585,864.5,613.2,251.3,0.0,0.0,0
28,2024-11-01 14:30:20,False,2026-06-25 23:30:00,RR1.00:20-21:546:2008,1427,1731.0,1497.3,233.7,0.0,0.0,0
29,2024-12-10 07:06:20,False,2025-09-16 22:59:40,RR1.00:22-23:501:1820,105,210.0,109.2,100.8,0.0,0.0,0
30,2024-12-10 07:06:20,False,2026-06-29 16:30:40,RR1.00:13-14:599:2217,373,599.0,390.6,208.4,0.0,0.0,0
31,2024-12-10 07:06:20,False,2025-09-16 22:59:40,RR1.00:22-23:501:1820,90,-229.5,93.45,-322.95,0.0,0.0,0
32,2024-12-10 07:06:20,False,2026-01-09 22:50:40,RR1.00:22-23:534:1926,145,-215.0,151.2,-366.2,0.0,0.0,0
33,2025-01-21 10:33:40,False,2025-09-16 22:59:40,RR1.00:22-23:501:1820,59,-798.0,60.9,-858.9,0.0,0.0,0
34,2025-01-21 10:33:40,False,2025-10-16 16:40:40,RR1.00:16-17:794:2262,94,-760.5,97.65,-858.15,0.0,0.0,0
35,2025-01-21 10:33:40,False,2026-06-24 16:09:40,RR1.00:14-15:558:2108,299,324.5,312.9,11.6,0.0,0.0,0
36,2025-01-21 10:33:40,False,2025-10-16 16:40:40,RR1.00:16-17:794:2262,157,-918.0,163.8,-1081.8,0.0,0.0,0
37,2025-10-08 07:02:40,False,2026-06-29 16:30:40,RR1.00:13-14:599:2217,119,332.0,123.9,208.1,0.0,0.0,0
38,2025-10-16 16:31:40,False,2026-06-29 16:30:40,RR1.00:13-14:599:2217,84,-756.5,87.15,-843.65,0.0,0.0,0
39,2025-10-16 16:31:40,False,2026-06-29 16:30:40,RR1.00:13-14:599:2217,55,-743.0,56.7,-799.7,0.0,0.0,0
40,2025-10-21 20:55:40,False,2026-06-25 23:30:00,RR1.00:20-21:546:2008,194,-59.0,202.65,-261.65,0.0,0.0,0
41,2025-10-21 20:55:40,False,2026-06-29 15:38:40,RR1.00:14-15:561:2115,78,-1289.0,80.85,-1369.85,0.0,0.0,0
42,2025-10-21 20:55:40,False,2026-06-24 16:09:40,RR1.00:14-15:558:2108,20,-1268.0,19.95,-1287.95,0.0,0.0,0
43,2025-10-21 20:55:40,False,2026-06-29 15:38:40,RR1.00:14-15:561:2115,77,-1109.0,79.8,-1188.8,0.0,0.0,0
44,2025-10-21 20:55:40,False,2026-06-25 23:30:00,RR1.00:20-21:546:2008,164,-896.0,171.15,-1067.15,0.0,0.0,0
45,2025-10-21 20:55:40,True,,,562,8313.5,590.1,4723.4,3000.0,3000.0,2
46,2025-10-21 20:55:40,False,2026-06-25 23:30:00,RR1.00:20-21:546:2008,122,-1096.5,127.05,-1223.55,0.0,0.0,0
47,2025-10-21 20:55:40,False,2026-06-29 15:38:40,RR1.00:14-15:561:2115,114,-1232.5,118.65,-1351.15,0.0,0.0,0
48,2025-10-21 22:21:40,True,,,445,5377.0,467.25,3409.75,1500.0,1500.0,1
49,2025-10-21 22:21:40,False,2026-06-24 16:09:40,RR1.00:14-15:558:2108,122,-960.5,127.05,-1087.55,0.0,0.0,0
50,2025-10-21 22:21:40,False,2026-06-24 16:09:40,RR1.00:14-15:558:2108,150,-519.5,156.45,-675.95,0.0,0.0,0
