account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-03 07:13:40,True,,,4888,29811.0,5132.4,100.01,24578.59,24578.59,28
2,2023-01-03 21:45:40,False,2026-06-25 23:30:00,RR1.00:20-21:546:2008,529,850.5,554.4,296.1,0.0,0.0,0
3,2023-01-05 21:37:40,True,,,4872,29737.5,5115.6,100.01,24521.89,24521.89,27
4,2023-01-23 06:01:40,False,2026-06-29 15:38:40,RR1.00:14-15:561:2115,697,919.0,730.8,188.2,0.0,0.0,0
5,2023-02-14 09:01:40,True,,,3840,25265.5,4032.0,100.01,21133.49,21133.49,23
6,2023-02-14 09:01:40,False,2025-09-16 22:59:40,RR1.00:22-23:501:1820,445,-196.5,466.2,-662.7,0.0,0.0,0
7,2023-03-15 01:00:40,False,2026-06-29 15:38:40,RR1.00:14-15:561:2115,521,735.5,546.0,189.5,0.0,0.0,0
8,2023-03-15 01:00:40,True,,,2777,16824.0,2915.85,100.01,13808.14,13808.14,13
9,2023-03-15 01:00:40,False,2025-10-21 23:02:40,RR1.00:20-21:473:1771,237,-209.5,247.8,-457.3,0.0,0.0,0
10,2023-03-17 06:08:40,True,,,3618,24023.5,3798.9,100.01,20124.59,20124.59,23
11,2023-03-17 06:08:40,False,2026-06-29 15:38:40,RR1.00:14-15:561:2115,824,1089.5,864.15,225.35,0.0,0.0,0
12,2023-03-17 06:08:40,False,2026-06-30 22:59:40,RR1.00:21-22:553:2075,675,820.0,707.7,112.3,0.0,0.0,0
13,2023-05-02 08:09:40,False,2025-10-21 23:02:40,RR1.00:20-21:473:1771,88,-1353.5,91.35,-1444.85,0.0,0.0,0
14,2023-05-02 08:09:40,False,2026-06-29 16:26:40,RR1.00:16-17:896:2549,727,944.5,762.3,182.2,0.0,0.0,0
15,2023-05-02 08:09:40,False,2026-06-25 23:30:00,RR1.00:20-21:546:2008,645,901.5,676.2,225.3,0.0,0.0,0
16,2023-05-09 06:33:20,True,,,3380,21141.5,3549.0,100.01,17492.49,17492.49,20
17,2023-05-09 06:33:20,False,2025-10-21 23:02:40,RR1.00:20-21:473:1771,288,46.0,301.35,-255.35,0.0,0.0,0
18,2023-05-09 06:33:20,False,2025-10-16 16:40:40,RR1.00:16-17:794:2262,221,-1141.0,231.0,-1372.0,0.0,0.0,0
19,2023-05-09 06:33:20,False,2025-10-16 16:40:40,RR1.00:16-17:794:2262,659,831.5,690.9,140.6,0.0,0.0,0
20,2023-05-09 06:33:20,False,2025-10-21 23:02:40,RR1.00:20-21:473:1771,216,-383.5,225.75,-609.25,0.0,0.0,0
21,2024-07-11 11:32:40,True,,,2558,17127.0,2685.9,100.01,14341.09,14341.09,14
22,2024-07-11 11:32:40,False,2026-06-29 15:38:40,RR1.00:14-15:561:2115,309,275.5,323.4,-47.9,0.0,0.0,0
23,2024-07-11 11:32:40,True,,,2386,15916.5,2505.3,100.01,13311.19,13311.19,12
24,2024-07-11 11:32:40,False,2025-10-21 23:02:40,RR1.00:20-21:473:1771,236,-51.5,246.75,-298.25,0.0,0.0,0
25,2024-11-01 14:30:20,False,2026-06-25 23:30:00,RR1.00:20-21:546:2008,799,1132.0,837.9,294.1,0.0,0.0,0
26,2024-11-01 14:30:20,False,2025-10-16 16:40:40,RR1.00:16-17:794:2262,294,446.5,307.65,138.85,0.0,0.0,0
27,2024-11-01 14:30:20,True,,,700,5865.5,735.0,3630.5,1500.0,1500.0,1
28,2024-11-01 14:30:20,False,2026-06-30 22:59:40,RR1.00:21-22:553:2075,1318,1492.0,1382.85,109.15,0.0,0.0,0
29,2024-12-10 07:06:20,False,2025-10-16 16:40:40,RR1.00:16-17:794:2262,191,-470.0,199.5,-669.5,0.0,0.0,0
30,2024-12-10 07:06:20,False,2025-10-16 16:40:40,RR1.00:16-17:794:2262,194,-56.5,202.65,-259.15,0.0,0.0,0
31,2024-12-10 07:06:20,False,2025-10-16 16:40:40,RR1.00:16-17:794:2262,139,-172.0,144.9,-316.9,0.0,0.0,0
32,2024-12-10 07:06:20,False,2026-06-25 23:30:00,RR1.00:20-21:546:2008,640,948.0,670.95,277.05,0.0,0.0,0
33,2025-01-21 10:33:40,False,2025-10-16 16:40:40,RR1.00:16-17:794:2262,71,-861.0,73.5,-934.5,0.0,0.0,0
34,2025-01-21 10:33:40,False,2025-10-16 16:40:40,RR1.00:16-17:794:2262,139,-742.0,144.9,-886.9,0.0,0.0,0
35,2025-01-21 10:33:40,False,2025-10-16 16:40:40,RR1.00:16-17:794:2262,59,-861.0,60.9,-921.9,0.0,0.0,0
36,2025-01-21 10:33:40,False,2025-10-16 16:40:40,RR1.00:16-17:794:2262,120,-1096.5,124.95,-1221.45,0.0,0.0,0
37,2025-10-21 20:55:40,False,2026-06-30 22:59:40,RR1.00:21-22:553:2075,119,-1275.0,123.9,-1398.9,0.0,0.0,0
38,2025-10-21 20:55:40,False,2026-06-29 15:38:40,RR1.00:14-15:561:2115,60,-842.0,61.95,-903.95,0.0,0.0,0
