at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2024-03-01 00:00:00,1,2023-01,1,500.0,500.0,500.0,500.0,31861.0,31361.0,0.0,
2024-03-01 00:00:00,2,2023-02,1,500.0,500.0,500.0,500.0,30833.3,30333.3,0.0,
2024-03-01 00:00:00,3,2023-03,1,500.0,500.0,500.0,500.0,30755.1,30255.1,0.0,
2024-04-01 00:00:00,1,2023-01,2,500.0,500.0,500.0,500.0,32329.35,31829.35,0.0,
2024-04-01 00:00:00,2,2023-02,2,500.0,500.0,500.0,500.0,31301.65,30801.65,0.0,
2024-04-01 00:00:00,3,2023-03,2,500.0,500.0,500.0,500.0,31223.45,30723.45,0.0,
2024-05-01 00:00:00,1,2023-01,3,500.0,500.0,500.0,500.0,31150.0,30650.0,0.0,
2024-06-01 00:00:00,1,2023-01,4,500.0,500.0,500.0,500.0,32488.15,31988.15,0.0,
2024-06-01 00:00:00,2,2023-02,3,500.0,500.0,500.0,500.0,31960.45,31460.45,0.0,
2024-06-01 00:00:00,3,2023-03,3,500.0,500.0,500.0,500.0,31882.25,31382.25,0.0,
2024-07-01 00:00:00,1,2023-01,5,500.0,500.0,500.0,500.0,34118.45,33618.45,0.0,
2024-07-01 00:00:00,2,2023-02,4,500.0,500.0,500.0,500.0,33590.75,33090.75,0.0,
2024-07-01 00:00:00,3,2023-03,4,500.0,500.0,500.0,500.0,33512.55,33012.55,0.0,
2024-08-01 00:00:00,1,2023-01,6,500.0,500.0,500.0,500.0,32964.65,32464.65,0.0,
2024-08-01 00:00:00,2,2023-02,5,500.0,500.0,500.0,500.0,32436.95,31936.95,0.0,
2024-08-01 00:00:00,3,2023-03,5,500.0,500.0,500.0,500.0,32358.75,31858.75,0.0,
2024-09-01 00:00:00,1,2023-01,7,500.0,500.0,500.0,500.0,35877.15,35377.15,0.0,
2024-09-01 00:00:00,2,2023-02,6,500.0,500.0,500.0,500.0,35349.45,34849.45,0.0,
2024-09-01 00:00:00,3,2023-03,6,500.0,500.0,500.0,500.0,35271.25,34771.25,0.0,
2024-09-01 00:00:00,8,2024-05,1,500.0,500.0,500.0,500.0,31727.15,31227.15,0.0,
2024-10-01 00:00:00,1,2023-01,8,500.0,500.0,500.0,500.0,36483.6,35983.6,0.0,
2024-10-01 00:00:00,2,2023-02,7,500.0,500.0,500.0,500.0,35955.9,35455.9,0.0,
2024-10-01 00:00:00,3,2023-03,7,500.0,500.0,500.0,500.0,35877.7,35377.7,0.0,
2024-10-01 00:00:00,8,2024-05,2,500.0,500.0,500.0,500.0,32333.6,31833.6,0.0,
2024-11-01 00:00:00,1,2023-01,9,500.0,500.0,500.0,500.0,35934.3,35434.3,0.0,
2024-11-01 00:00:00,2,2023-02,8,500.0,500.0,500.0,500.0,35406.6,34906.6,0.0,
2024-11-01 00:00:00,3,2023-03,8,500.0,500.0,500.0,500.0,35328.4,34828.4,0.0,
2024-11-01 00:00:00,8,2024-05,3,500.0,500.0,500.0,500.0,31784.3,31284.3,0.0,
2024-12-01 00:00:00,1,2023-01,10,500.0,500.0,500.0,500.0,37222.1,36722.1,0.0,
2024-12-01 00:00:00,2,2023-02,9,500.0,500.0,500.0,500.0,36694.4,36194.4,0.0,
2024-12-01 00:00:00,3,2023-03,9,500.0,500.0,500.0,500.0,36616.2,36116.2,0.0,
2024-12-01 00:00:00,8,2024-05,4,500.0,500.0,500.0,500.0,33072.1,32572.1,0.0,
2025-01-01 00:00:00,1,2023-01,11,500.0,500.0,500.0,500.0,36989.6,36489.6,0.0,
2025-01-01 00:00:00,2,2023-02,10,500.0,500.0,500.0,500.0,36461.9,35961.9,0.0,
2025-01-01 00:00:00,3,2023-03,10,500.0,500.0,500.0,500.0,36383.7,35883.7,0.0,
2025-01-01 00:00:00,8,2024-05,5,500.0,500.0,500.0,500.0,32839.6,32339.6,0.0,
2025-02-01 00:00:00,1,2023-01,12,500.0,500.0,500.0,500.0,40286.8,39786.8,0.0,
2025-02-01 00:00:00,2,2023-02,11,500.0,500.0,500.0,500.0,39759.1,39259.1,0.0,
2025-02-01 00:00:00,3,2023-03,11,500.0,500.0,500.0,500.0,39680.9,39180.9,0.0,
2025-02-01 00:00:00,8,2024-05,6,500.0,500.0,500.0,500.0,36136.8,35636.8,0.0,
2025-02-01 00:00:00,12,2024-09,1,500.0,500.0,500.0,500.0,31909.65,31409.65,0.0,
2025-02-01 00:00:00,13,2024-10,1,500.0,500.0,500.0,500.0,30803.2,30303.2,0.0,
2025-02-01 00:00:00,14,2024-11,1,500.0,500.0,500.0,500.0,30852.5,30352.5,0.0,
2025-03-01 00:00:00,1,2023-01,13,500.0,500.0,500.0,500.0,39839.35,39339.35,0.0,
2025-03-01 00:00:00,2,2023-02,12,500.0,500.0,500.0,500.0,39311.65,38811.65,0.0,
2025-03-01 00:00:00,3,2023-03,12,500.0,500.0,500.0,500.0,39233.45,38733.45,0.0,
2025-03-01 00:00:00,8,2024-05,7,500.0,500.0,500.0,500.0,35689.35,35189.35,0.0,
2025-03-01 00:00:00,12,2024-09,2,500.0,500.0,500.0,500.0,31462.2,30962.2,0.0,
2025-04-01 00:00:00,1,2023-01,14,500.0,500.0,500.0,500.0,37689.9,37189.9,0.0,
