at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2024-07-01 00:00:00,1,2023-01,1,500.0,500.0,500.0,500.0,30928.8,30428.8,0.0,
2024-09-01 00:00:00,1,2023-01,2,500.0,500.0,500.0,500.0,30709.45,30209.45,0.0,
2025-02-01 00:00:00,4,2023-01,1,500.0,500.0,500.0,500.0,30777.1,30277.1,0.0,
2025-02-01 00:00:00,9,2023-03,1,500.0,500.0,500.0,500.0,31480.65,30980.65,0.0,
2025-02-01 00:00:00,10,2023-03,1,500.0,500.0,500.0,500.0,30948.45,30448.45,0.0,
2025-02-01 00:00:00,11,2023-03,1,500.0,500.0,500.0,500.0,31106.65,30606.65,0.0,
2025-03-01 00:00:00,1,2023-01,3,500.0,500.0,500.0,500.0,30506.35,30006.35,0.0,
2025-05-01 00:00:00,1,2023-01,4,500.0,500.0,500.0,500.0,32102.55,31602.55,0.0,
2025-05-01 00:00:00,2,2023-01,1,500.0,500.0,500.0,500.0,30850.35,30350.35,0.0,
2025-05-01 00:00:00,3,2023-01,1,500.0,500.0,500.0,500.0,31700.35,31200.35,0.0,
2025-05-01 00:00:00,4,2023-01,2,500.0,500.0,500.0,500.0,30996.55,30496.55,0.0,
2025-05-01 00:00:00,9,2023-03,2,500.0,500.0,500.0,500.0,31682.6,31182.6,0.0,
2025-06-01 00:00:00,1,2023-01,5,500.0,500.0,500.0,500.0,31194.2,30694.2,0.0,
2025-06-01 00:00:00,3,2023-01,2,500.0,500.0,500.0,500.0,31301.0,30801.0,0.0,
2025-06-01 00:00:00,4,2023-01,3,500.0,500.0,500.0,500.0,31231.7,30731.7,0.0,
2025-06-01 00:00:00,9,2023-03,3,500.0,500.0,500.0,500.0,31566.75,31066.75,0.0,
2025-07-01 00:00:00,1,2023-01,6,500.0,500.0,500.0,500.0,31497.55,30997.55,0.0,
2025-07-01 00:00:00,2,2023-01,2,500.0,500.0,500.0,500.0,31429.85,30929.85,0.0,
