account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-03 07:13:40,True,,,1687,16056.0,1771.35,8784.65,5500.0,5500.0,11
2,2023-01-03 21:45:40,True,,,1679,13277.5,1762.95,100.01,11414.54,11414.54,7
3,2023-01-05 21:37:40,True,,,1673,11271.0,1756.65,8014.35,1500.0,1500.0,3
4,2023-01-23 06:01:40,True,,,1648,9551.5,1730.4,5821.1,2000.0,2000.0,2
5,2023-02-14 09:01:40,False,2024-04-30 18:09:20,RR1.00:16-17:604:1715,465,-233.5,487.2,-720.7,0.0,0.0,0
6,2023-02-14 09:01:40,True,,,1607,8158.5,1687.35,4471.15,2000.0,2000.0,2
7,2023-03-15 01:00:40,False,2024-05-01 16:00:00,RR1.00:15-16:476:1577,408,-5.5,427.35,-432.85,0.0,0.0,0
8,2023-03-15 01:00:40,True,,,1549,8854.0,1626.45,4727.55,2500.0,2500.0,3
9,2023-03-15 01:00:40,True,,,1543,9045.5,1620.15,4925.35,2500.0,2500.0,3
10,2023-03-17 06:08:40,True,,,1536,7516.0,1612.8,4403.2,1500.0,1500.0,1
11,2023-03-17 06:08:40,False,2025-04-11 17:21:40,RR1.00:16-17:713:2058,896,1174.5,939.75,234.75,0.0,0.0,0
12,2023-03-17 06:08:40,False,2025-04-09 14:00:40,RR1.00:13-14:480:1782,894,1064.0,937.65,126.35,0.0,0.0,0
13,2023-05-02 08:09:40,True,,,1457,9341.0,1529.85,5311.15,2500.0,2500.0,3
14,2023-05-02 08:09:40,True,,,1453,7492.0,1525.65,4466.35,1500.0,1500.0,1
15,2023-05-02 08:09:40,True,,,1460,5119.5,1533.0,2086.5,1500.0,1500.0,1
16,2023-05-09 06:33:20,True,,,1442,3315.5,1514.1,1801.4,0.0,0.0,0
17,2023-05-09 06:33:20,True,,,1446,2749.0,1518.3,1230.7,0.0,0.0,0
18,2023-05-09 06:33:20,True,,,1447,5653.0,1519.35,2633.65,1500.0,1500.0,1
19,2023-05-09 06:33:20,False,2023-10-30 18:43:40,RR1.00:17-18:222:1147,148,-685.0,154.35,-839.35,0.0,0.0,0
20,2023-05-09 06:33:20,True,,,1446,3302.0,1518.3,1783.7,0.0,0.0,0
21,2024-07-04 09:54:40,False,2026-06-30 22:59:40,RR1.00:21-22:553:2075,1029,1204.5,1079.4,125.1,0.0,0.0,0
22,2024-07-11 11:32:40,False,2024-08-02 15:30:40,RR1.00:15-16:509:1669,29,-1250.0,29.4,-1279.4,0.0,0.0,0
23,2024-07-11 11:32:40,False,2024-08-02 05:18:40,RR1.00:2-3:416:1574,29,-1110.0,29.4,-1139.4,0.0,0.0,0
24,2024-07-11 11:32:40,False,2024-08-02 05:18:40,RR1.00:2-3:416:1574,29,-1258.0,29.4,-1287.4,0.0,0.0,0
25,2024-07-11 11:32:40,False,2024-08-02 05:18:40,RR1.00:2-3:416:1574,30,-1234.0,30.45,-1264.45,0.0,0.0,0
26,2024-07-11 11:32:40,False,2024-08-02 05:16:40,RR1.00:4-5:393:1540,30,-1271.0,30.45,-1301.45,0.0,0.0,0
27,2024-07-11 11:32:40,False,2024-08-05 10:30:00,RR1.00:9-10:401:1517,32,-1292.5,32.55,-1325.05,0.0,0.0,0
28,2024-09-16 22:39:40,False,2026-03-23 08:33:40,RR1.00:4-5:531:2061,787,1136.0,825.3,310.7,0.0,0.0,0
29,2024-09-16 22:39:40,False,2026-06-17 22:32:40,RR1.00:21-22:550:2063,910,1870.5,954.45,916.05,0.0,0.0,0
30,2024-11-01 12:26:40,True,,,868,2393.0,911.4,1481.6,0.0,0.0,0
31,2024-11-01 14:30:20,True,,,863,5109.0,906.15,2202.85,2000.0,2000.0,2
32,2024-11-01 14:30:20,True,,,868,4535.5,911.4,3124.1,500.0,500.0,1
33,2024-11-01 14:30:20,True,,,869,4169.5,912.45,3257.05,0.0,0.0,0
34,2024-11-01 14:30:20,True,,,867,4076.5,910.35,3166.15,0.0,0.0,0
35,2024-11-01 14:30:20,True,,,867,3816.5,910.35,2906.15,0.0,0.0,0
36,2024-11-01 14:30:20,True,,,866,3485.5,909.3,2576.2,0.0,0.0,0
37,2024-11-01 14:30:20,True,,,866,4580.5,909.3,3671.2,0.0,0.0,0
