at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2024-11-25 00:00:00,17,2023-03,1,611.85,611.85,611.85,611.85,32211.85,31600.0,0.0,
2025-02-03 00:00:00,16,2023-01,1,852.05,852.05,852.05,852.05,32452.05,31600.0,0.0,
2025-02-03 00:00:00,18,2023-03,1,796.4,796.4,796.4,796.4,32396.4,31600.0,0.0,
2025-04-14 00:00:00,2,2023-01,1,1889.75,1500.0,1500.0,1500.0,33489.75,31989.75,0.0,maximum_payout
2025-04-14 00:00:00,3,2023-01,1,2644.1,1500.0,1500.0,1500.0,34244.1,32744.1,0.0,maximum_payout
2025-04-21 00:00:00,20,2023-03,1,687.4,687.4,687.4,687.4,32287.4,31600.0,0.0,
2025-04-21 00:00:00,55,2024-07,1,1277.55,1277.55,1277.55,1277.55,32877.55,31600.0,0.0,
2025-04-21 00:00:00,56,2024-07,1,526.6,526.6,526.6,526.6,32126.6,31600.0,0.0,
2025-04-28 00:00:00,17,2023-03,2,724.4,724.4,724.4,724.4,32324.4,31600.0,0.0,
2025-05-05 00:00:00,3,2023-01,2,892.35,892.35,892.35,892.35,32492.35,31600.0,0.0,
2025-05-05 00:00:00,16,2023-01,2,555.2,555.2,555.2,555.2,32155.2,31600.0,0.0,
2025-05-05 00:00:00,18,2023-03,2,546.2,546.2,546.2,546.2,32146.2,31600.0,0.0,
2025-05-26 00:00:00,2,2023-01,2,825.65,825.65,825.65,825.65,32425.65,31600.0,0.0,
2025-05-26 00:00:00,3,2023-01,3,1003.15,1003.15,1003.15,1003.15,32603.15,31600.0,0.0,
2025-05-26 00:00:00,15,2023-01,1,888.45,888.45,888.45,888.45,32488.45,31600.0,0.0,
2025-05-26 00:00:00,16,2023-01,3,664.1,664.1,664.1,664.1,32264.1,31600.0,0.0,
2025-05-26 00:00:00,17,2023-03,3,607.9,607.9,607.9,607.9,32207.9,31600.0,0.0,
2025-06-02 00:00:00,4,2023-01,1,931.65,931.65,931.65,931.65,32531.65,31600.0,0.0,
2025-06-09 00:00:00,18,2023-03,3,676.2,676.2,676.2,676.2,32276.2,31600.0,0.0,
2025-06-09 00:00:00,19,2023-03,1,765.85,765.85,765.85,765.85,32365.85,31600.0,0.0,
2025-06-09 00:00:00,20,2023-03,2,502.0,502.0,502.0,502.0,32102.0,31600.0,0.0,
2025-06-16 00:00:00,2,2023-01,3,501.6,501.6,501.6,501.6,32101.6,31600.0,0.0,
2025-06-16 00:00:00,3,2023-01,4,501.6,501.6,501.6,501.6,32101.6,31600.0,0.0,
2025-06-30 00:00:00,4,2023-01,2,698.15,698.15,698.15,698.15,32298.15,31600.0,0.0,
2025-06-30 00:00:00,14,2023-01,1,873.5,873.5,873.5,873.5,32473.5,31600.0,0.0,
2025-06-30 00:00:00,15,2023-01,2,889.6,889.6,889.6,889.6,32489.6,31600.0,0.0,
2025-06-30 00:00:00,16,2023-01,4,889.6,889.6,889.6,889.6,32489.6,31600.0,0.0,
2025-06-30 00:00:00,17,2023-03,4,829.6,829.6,829.6,829.6,32429.6,31600.0,0.0,
2025-06-30 00:00:00,18,2023-03,4,550.0,550.0,550.0,550.0,32150.0,31600.0,0.0,
2025-06-30 00:00:00,19,2023-03,2,550.0,550.0,550.0,550.0,32150.0,31600.0,0.0,
2025-06-30 00:00:00,20,2023-03,3,550.0,550.0,550.0,550.0,32150.0,31600.0,0.0,
2025-07-21 00:00:00,7,2023-01,1,973.45,973.45,973.45,973.45,32573.45,31600.0,0.0,
2025-07-21 00:00:00,11,2023-01,1,585.1,585.1,585.1,585.1,32185.1,31600.0,0.0,
2025-10-20 00:00:00,14,2023-01,2,593.3,593.3,593.3,593.3,32193.3,31600.0,0.0,
2025-10-20 00:00:00,15,2023-01,3,558.3,558.3,558.3,558.3,32158.3,31600.0,0.0,
2025-10-20 00:00:00,18,2023-03,5,500.8,500.8,500.8,500.8,32100.8,31600.0,0.0,
2025-10-20 00:00:00,19,2023-03,3,614.8,614.8,614.8,614.8,32214.8,31600.0,0.0,
2025-10-20 00:00:00,20,2023-03,4,672.8,672.8,672.8,672.8,32272.8,31600.0,0.0,
2025-11-24 00:00:00,104,2024-11,1,1024.85,1024.85,1024.85,1024.85,32624.85,31600.0,0.0,
2025-12-01 00:00:00,53,2024-07,1,640.55,640.55,640.55,640.55,32240.55,31600.0,0.0,
2025-12-01 00:00:00,56,2024-07,2,525.95,525.95,525.95,525.95,32125.95,31600.0,0.0,
2025-12-15 00:00:00,55,2024-07,2,796.95,796.95,796.95,796.95,32396.95,31600.0,0.0,
2026-01-19 00:00:00,58,2024-07,1,505.3,505.3,505.3,505.3,32105.3,31600.0,0.0,
2026-01-26 00:00:00,57,2024-07,1,614.45,614.45,614.45,614.45,32214.45,31600.0,0.0,
2026-02-02 00:00:00,53,2024-07,2,682.85,682.85,682.85,682.85,32282.85,31600.0,0.0,
2026-02-02 00:00:00,56,2024-07,3,682.85,682.85,682.85,682.85,32282.85,31600.0,0.0,
2026-02-02 00:00:00,59,2024-07,1,570.9,570.9,570.9,570.9,32170.9,31600.0,0.0,
2026-03-23 00:00:00,104,2024-11,2,506.4,506.4,506.4,506.4,32106.4,31600.0,0.0,
2026-04-06 00:00:00,104,2024-11,3,1395.65,1395.65,1395.65,1395.65,32995.65,31600.0,0.0,
2026-04-20 00:00:00,102,2024-11,1,1191.4,1191.4,1191.4,1191.4,32791.4,31600.0,0.0,
2026-04-20 00:00:00,105,2025-03,1,1349.85,1349.85,1349.85,1349.85,32949.85,31600.0,0.0,
2026-04-27 00:00:00,101,2024-11,1,1080.4,1080.4,1080.4,1080.4,32680.4,31600.0,0.0,
2026-04-27 00:00:00,103,2024-11,1,1008.85,1008.85,1008.85,1008.85,32608.85,31600.0,0.0,
2026-04-27 00:00:00,104,2024-11,4,1598.85,1500.0,1500.0,1500.0,33198.85,31698.85,0.0,maximum_payout
2026-05-04 00:00:00,105,2025-03,2,588.95,588.95,588.95,588.95,32188.95,31600.0,0.0,
2026-05-11 00:00:00,58,2024-07,2,589.0,589.0,589.0,589.0,32189.0,31600.0,0.0,
2026-05-11 00:00:00,100,2024-11,1,1016.45,1016.45,1016.45,1016.45,32616.45,31600.0,0.0,
2026-05-11 00:00:00,102,2024-11,2,861.5,861.5,861.5,861.5,32461.5,31600.0,0.0,
2026-05-11 00:00:00,108,2025-05,1,663.1,663.1,663.1,663.1,32263.1,31600.0,0.0,
2026-05-18 00:00:00,96,2024-11,1,757.85,757.85,757.85,757.85,32357.85,31600.0,0.0,
2026-05-18 00:00:00,97,2024-11,1,1574.9,1500.0,1500.0,1500.0,33174.9,31674.9,0.0,maximum_payout
2026-05-18 00:00:00,98,2024-11,1,947.0,947.0,947.0,947.0,32547.0,31600.0,0.0,
2026-05-18 00:00:00,99,2024-11,1,1011.5,1011.5,1011.5,1011.5,32611.5,31600.0,0.0,
2026-05-18 00:00:00,101,2024-11,2,682.05,682.05,682.05,682.05,32282.05,31600.0,0.0,
2026-05-18 00:00:00,103,2024-11,2,578.55,578.55,578.55,578.55,32178.55,31600.0,0.0,
2026-05-18 00:00:00,104,2024-11,5,585.9,585.9,585.9,585.9,32185.9,31600.0,0.0,
2026-05-18 00:00:00,105,2025-03,3,642.5,642.5,642.5,642.5,32242.5,31600.0,0.0,
2026-05-18 00:00:00,109,2025-05,1,820.65,820.65,820.65,820.65,32420.65,31600.0,0.0,
2026-05-18 00:00:00,110,2025-05,1,803.15,803.15,803.15,803.15,32403.15,31600.0,0.0,
2026-05-25 00:00:00,108,2025-05,2,824.15,824.15,824.15,824.15,32424.15,31600.0,0.0,
2026-06-15 00:00:00,94,2024-11,1,587.95,587.95,587.95,587.95,32187.95,31600.0,0.0,
2026-06-15 00:00:00,96,2024-11,2,1007.1,1007.1,1007.1,1007.1,32607.1,31600.0,0.0,
2026-06-15 00:00:00,97,2024-11,2,967.5,967.5,967.5,967.5,32567.5,31600.0,0.0,
2026-06-15 00:00:00,98,2024-11,2,594.1,594.1,594.1,594.1,32194.1,31600.0,0.0,
2026-06-15 00:00:00,99,2024-11,2,1369.1,1369.1,1369.1,1369.1,32969.1,31600.0,0.0,
2026-06-15 00:00:00,100,2024-11,2,1865.15,1500.0,1500.0,1500.0,33465.15,31965.15,0.0,maximum_payout
2026-06-15 00:00:00,101,2024-11,3,1047.1,1047.1,1047.1,1047.1,32647.1,31600.0,0.0,
2026-06-15 00:00:00,102,2024-11,3,1508.15,1500.0,1500.0,1500.0,33108.15,31608.15,0.0,maximum_payout
2026-06-15 00:00:00,103,2024-11,3,1324.05,1324.05,1324.05,1324.05,32924.05,31600.0,0.0,
2026-06-15 00:00:00,104,2024-11,6,1270.55,1270.55,1270.55,1270.55,32870.55,31600.0,0.0,
2026-06-15 00:00:00,105,2025-03,4,1720.05,1500.0,1500.0,1500.0,33320.05,31820.05,0.0,maximum_payout
2026-06-15 00:00:00,108,2025-05,3,1042.45,1042.45,1042.45,1042.45,32642.45,31600.0,0.0,
2026-06-15 00:00:00,109,2025-05,2,1436.55,1436.55,1436.55,1436.55,33036.55,31600.0,0.0,
2026-07-06 00:00:00,99,2024-11,3,717.75,717.75,717.75,717.75,32317.75,31600.0,0.0,
2026-07-06 00:00:00,100,2024-11,3,1082.9,1082.9,1082.9,1082.9,32682.9,31600.0,0.0,
2026-07-06 00:00:00,101,2024-11,4,717.75,717.75,717.75,717.75,32317.75,31600.0,0.0,
2026-07-06 00:00:00,102,2024-11,4,725.9,725.9,725.9,725.9,32325.9,31600.0,0.0,
2026-07-13 00:00:00,103,2024-11,4,1104.2,1104.2,1104.2,1104.2,32704.2,31600.0,0.0,
2026-07-13 00:00:00,104,2024-11,7,1070.7,1070.7,1070.7,1070.7,32670.7,31600.0,0.0,
2026-07-13 00:00:00,105,2025-03,5,1248.25,1248.25,1248.25,1248.25,32848.25,31600.0,0.0,
2026-07-13 00:00:00,108,2025-05,4,1028.2,1028.2,1028.2,1028.2,32628.2,31600.0,0.0,
