account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-03 07:13:40,True,,,3564,22941.5,3742.2,100.01,19099.29,19099.29,22
2,2023-01-03 21:45:40,True,,,2971,19509.5,3119.55,100.01,16289.94,16289.94,17
3,2023-01-05 21:37:40,True,,,5013,30480.5,5263.65,100.01,25116.84,25105.16,28
4,2023-01-09 04:07:40,True,,,4913,29572.5,5158.65,100.01,24313.84,24313.84,27
5,2023-01-09 05:46:20,True,,,2784,17951.5,2923.2,100.01,14928.29,14928.29,15
6,2023-01-09 05:46:20,False,2026-06-25 23:30:00,RR1.00:20-21:546:2008,902,1326.0,946.05,379.95,0.0,0.0,0
7,2023-01-17 23:00:40,True,,,2827,19353.0,2968.35,100.01,16284.64,16284.64,17
8,2023-01-17 23:00:40,True,,,4904,30199.5,5149.2,100.01,24950.29,24950.29,28
9,2023-01-17 23:00:40,True,,,3820,24642.0,4011.0,100.01,20530.99,20530.99,23
10,2023-01-23 05:16:40,False,2025-10-30 20:15:40,RR1.00:19-20:447:1837,217,-220.0,226.8,-446.8,0.0,0.0,0
11,2023-01-23 05:16:40,True,,,3705,23150.5,3890.25,100.01,19160.24,19160.24,22
12,2023-01-23 05:16:40,True,,,3279,22624.0,3442.95,100.01,19081.04,19081.04,22
13,2023-01-23 06:01:40,True,,,4922,29828.0,5168.1,100.01,24559.89,24559.89,28
14,2023-01-23 06:01:40,False,2026-06-29 15:38:40,RR1.00:14-15:561:2115,374,-246.5,391.65,-638.15,0.0,0.0,0
15,2023-01-23 06:01:40,True,,,4869,29088.5,5112.45,100.01,23876.04,23876.04,26
16,2023-01-23 06:01:40,False,2025-10-30 20:15:40,RR1.00:19-20:447:1837,230,-29.5,240.45,-269.95,0.0,0.0,0
17,2023-03-17 06:08:40,True,,,3134,21904.0,3290.7,100.01,18513.29,18513.29,21
18,2023-03-17 06:08:40,False,2026-07-06 11:12:40,RR1.00:10-11:619:2237,1409,1659.5,1478.4,181.1,0.0,0.0,0
19,2023-03-17 06:08:40,True,,,3722,24263.0,3908.1,100.01,20254.89,20254.89,23
20,2023-03-17 06:08:40,True,,,2774,18540.5,2912.7,100.01,15527.79,15527.79,16
21,2023-09-07 22:50:20,False,2025-11-03 16:00:00,RR1.00:15-16:638:2098,241,-577.5,252.0,-829.5,0.0,0.0,0
22,2023-09-07 22:50:20,False,2025-10-30 20:15:40,RR1.00:19-20:447:1837,439,684.0,459.9,224.1,0.0,0.0,0
23,2023-09-07 22:50:20,False,2026-06-29 15:38:40,RR1.00:14-15:561:2115,445,339.0,466.2,-127.2,0.0,0.0,0
24,2023-09-07 22:50:20,False,2025-10-30 20:15:40,RR1.00:19-20:447:1837,420,667.0,439.95,227.05,0.0,0.0,0
25,2023-09-07 22:50:20,False,2025-11-05 11:19:40,RR1.00:11-12:429:1858,509,649.0,533.4,115.6,0.0,0.0,0
26,2024-03-28 06:18:40,False,2025-10-30 20:15:40,RR1.00:19-20:447:1837,96,-1110.0,99.75,-1209.75,0.0,0.0,0
27,2024-03-28 06:18:40,True,,,2919,19511.5,3064.95,100.01,16346.54,16346.54,17
28,2024-04-02 21:20:40,False,2026-07-06 11:12:40,RR1.00:10-11:619:2237,830,1053.5,870.45,183.05,0.0,0.0,0
29,2024-04-02 21:20:40,True,,,2990,20341.5,3139.5,100.01,17101.99,17101.99,19
30,2024-04-02 21:20:40,False,2025-11-03 14:36:40,RR1.00:14-15:501:1894,453,622.0,474.6,147.4,0.0,0.0,0
31,2024-04-08 21:00:40,False,2025-10-30 20:15:40,RR1.00:19-20:447:1837,212,-136.5,221.55,-358.05,0.0,0.0,0
32,2024-04-08 21:00:40,False,2026-06-29 15:38:40,RR1.00:14-15:561:2115,483,696.5,506.1,190.4,0.0,0.0,0
33,2024-04-08 21:00:40,False,2026-07-06 11:12:40,RR1.00:10-11:619:2237,420,494.5,439.95,54.55,0.0,0.0,0
34,2024-04-08 22:32:40,False,2025-11-03 16:00:00,RR1.00:15-16:638:2098,146,-773.0,152.25,-925.25,0.0,0.0,0
35,2024-04-08 22:32:40,True,,,2882,19388.0,3026.1,100.01,16261.89,16261.89,17
36,2024-04-08 22:32:40,False,2026-06-25 23:30:00,RR1.00:20-21:546:2008,945,1367.0,991.2,375.8,0.0,0.0,0
37,2024-04-08 22:32:40,True,,,3010,21010.5,3160.5,100.01,17749.99,17749.99,20
38,2024-04-08 22:32:40,False,2025-10-30 20:15:40,RR1.00:19-20:447:1837,85,-873.5,88.2,-961.7,0.0,0.0,0
39,2024-04-08 22:32:40,False,2026-06-25 23:30:00,RR1.00:20-21:546:2008,530,901.5,555.45,346.05,0.0,0.0,0
40,2024-04-08 22:32:40,True,,,2928,20280.0,3074.4,100.01,17105.59,17105.59,19
41,2024-04-08 22:32:40,False,2025-11-03 16:00:00,RR1.00:15-16:638:2098,238,244.0,248.85,-4.85,0.0,0.0,0
42,2024-04-08 22:32:40,False,2026-06-25 23:30:00,RR1.00:20-21:546:2008,961,1356.0,1008.0,348.0,0.0,0.0,0
43,2024-04-08 22:32:40,False,2025-11-03 14:36:40,RR1.00:14-15:501:1894,535,704.0,560.7,143.3,0.0,0.0,0
44,2024-04-08 22:32:40,False,2025-10-30 20:15:40,RR1.00:19-20:447:1837,55,-1302.0,56.7,-1358.7,0.0,0.0,0
45,2024-06-24 07:41:40,False,2025-10-30 20:15:40,RR1.00:19-20:447:1837,90,-1151.5,93.45,-1244.95,0.0,0.0,0
46,2024-06-24 07:41:40,False,2025-10-30 20:15:40,RR1.00:19-20:447:1837,76,-1241.0,78.75,-1319.75,0.0,0.0,0
47,2024-06-24 07:41:40,False,2025-10-30 20:15:40,RR1.00:19-20:447:1837,76,-1241.0,78.75,-1319.75,0.0,0.0,0
48,2024-06-24 07:41:40,False,2026-07-06 11:12:40,RR1.00:10-11:619:2237,797,1019.5,835.8,183.7,0.0,0.0,0
49,2024-07-04 09:54:40,False,2026-06-29 15:38:40,RR1.00:14-15:561:2115,868,1121.5,910.35,211.15,0.0,0.0,0
50,2024-07-04 09:54:40,False,2025-10-30 20:15:40,RR1.00:19-20:447:1837,510,752.5,534.45,218.05,0.0,0.0,0
51,2024-07-04 09:54:40,False,2025-10-30 20:15:40,RR1.00:19-20:447:1837,100,-595.5,103.95,-699.45,0.0,0.0,0
52,2024-07-11 08:00:40,False,2025-10-30 20:15:40,RR1.00:19-20:447:1837,129,-1218.0,134.4,-1352.4,0.0,0.0,0
53,2024-07-11 08:00:40,False,2025-11-05 11:19:40,RR1.00:11-12:429:1858,51,-1421.0,52.5,-1473.5,0.0,0.0,0
54,2024-07-11 08:00:40,False,2025-11-03 16:00:00,RR1.00:15-16:638:2098,218,309.5,227.85,81.65,0.0,0.0,0
