account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-03 07:13:40,False,2023-12-18 17:00:00,RR1.00:10-11:362:1347,471,629.5,493.5,136.0,0.0,0.0,0
2,2023-01-03 21:45:40,True,,,1781,11036.5,1870.05,100.01,9066.44,9066.44,7
3,2023-01-05 21:37:40,True,,,1773,11362.0,1861.65,100.01,9400.34,9400.34,9
4,2023-01-09 04:07:40,True,,,1769,8825.0,1857.45,3967.55,3000.0,3000.0,4
5,2023-01-09 05:46:20,True,,,1771,7552.0,1859.55,5692.45,0.0,0.0,0
6,2023-01-09 05:46:20,True,,,1773,8871.0,1861.65,5009.35,2000.0,2000.0,2
7,2023-01-17 23:00:40,True,,,1757,8260.0,1844.85,3915.15,2500.0,2500.0,3
8,2023-01-17 23:00:40,True,,,1759,7618.5,1846.95,3771.55,2000.0,2000.0,2
9,2023-01-17 23:00:40,True,,,1758,6621.0,1845.9,3275.1,1500.0,1500.0,1
10,2023-01-23 05:16:40,True,,,1750,5739.5,1837.5,3902.0,0.0,0.0,0
11,2023-01-23 05:16:40,True,,,1744,6471.0,1831.2,2639.8,2000.0,2000.0,2
12,2023-01-23 05:16:40,True,,,1744,5938.0,1831.2,2606.8,1500.0,1500.0,1
13,2023-01-23 06:01:40,False,2024-08-08 08:38:40,RR1.00:8-9:453:1593,756,974.5,792.75,181.75,0.0,0.0,0
14,2023-01-23 06:01:40,True,,,1746,8107.0,1833.3,3773.7,2500.0,2500.0,3
15,2023-01-23 06:01:40,True,,,1745,8721.0,1832.25,3388.75,3500.0,3500.0,5
16,2023-01-23 06:01:40,True,,,1747,9831.5,1834.35,100.01,7897.14,7897.14,7
17,2023-03-17 06:08:40,True,,,1661,9212.5,1744.05,100.01,7368.44,7368.44,7
18,2023-03-17 06:08:40,True,,,1660,9117.0,1743.0,100.01,7273.99,7273.99,7
19,2023-03-17 06:08:40,True,,,1659,7852.0,1741.95,3110.05,3000.0,3000.0,4
20,2023-03-17 06:08:40,True,,,1658,8219.5,1740.9,2978.6,3500.0,3500.0,5
21,2023-09-07 22:50:20,True,,,1417,4802.0,1487.85,3314.15,0.0,0.0,0
22,2023-09-07 22:50:20,False,2026-03-25 09:30:40,RR1.00:6-7:537:2060,1263,1453.0,1325.1,127.9,0.0,0.0,0
23,2023-09-07 22:50:20,True,,,1418,7512.5,1488.9,4023.6,2000.0,2000.0,2
24,2023-09-07 22:50:20,True,,,1415,7604.0,1485.75,4118.25,2000.0,2000.0,2
25,2023-09-07 22:50:20,False,2025-04-07 15:47:40,RR1.00:15-16:584:1907,759,918.0,795.9,122.1,0.0,0.0,0
26,2024-04-08 22:32:40,False,2025-04-07 15:47:40,RR1.00:15-16:584:1907,527,704.5,552.3,152.2,0.0,0.0,0
27,2024-04-08 22:32:40,False,2025-04-07 23:30:00,RR1.00:22-23:449:1658,528,965.5,553.35,412.15,0.0,0.0,0
28,2024-04-08 22:32:40,False,2025-04-07 23:30:00,RR1.00:22-23:449:1658,527,1086.0,552.3,533.7,0.0,0.0,0
29,2024-04-08 22:32:40,False,2025-04-07 07:26:40,RR1.00:7-8:497:1814,525,830.0,550.2,279.8,0.0,0.0,0
30,2024-04-08 22:32:40,False,2024-09-17 19:18:40,RR1.00:17-18:285:1436,253,591.0,264.6,326.4,0.0,0.0,0
31,2024-04-08 22:32:40,False,2024-08-22 20:31:40,RR1.00:19-20:351:1449,214,495.5,223.65,271.85,0.0,0.0,0
32,2024-04-08 22:32:40,False,2024-08-23 14:00:00,RR1.00:11-12:341:1493,215,334.0,224.7,109.3,0.0,0.0,0
33,2024-04-08 22:32:40,False,2024-08-28 16:39:40,RR1.00:16-17:646:1840,218,383.0,227.85,155.15,0.0,0.0,0
34,2024-05-27 17:38:20,False,2024-08-22 20:31:40,RR1.00:19-20:351:1449,138,399.5,143.85,255.65,0.0,0.0,0
35,2024-05-27 17:38:20,False,2025-04-07 15:47:40,RR1.00:15-16:584:1907,450,616.5,471.45,145.05,0.0,0.0,0
36,2024-05-27 17:38:20,False,2024-09-18 18:22:40,RR1.00:17-18:286:1439,176,359.0,183.75,175.25,0.0,0.0,0
37,2024-05-27 17:38:20,True,,,1101,5502.0,1156.05,4345.95,0.0,0.0,0
38,2024-06-03 16:08:20,False,2025-04-07 23:30:00,RR1.00:22-23:449:1658,441,669.5,462.0,207.5,0.0,0.0,0
39,2024-06-03 16:08:20,False,2025-04-07 23:30:00,RR1.00:22-23:449:1658,441,932.5,462.0,470.5,0.0,0.0,0
40,2024-06-03 16:08:20,False,2025-04-07 23:30:00,RR1.00:22-23:449:1658,441,841.5,462.0,379.5,0.0,0.0,0
41,2024-06-24 07:41:40,False,2025-03-04 21:00:00,RR1.00:17-18:311:1577,357,-38.0,373.8,-411.8,0.0,0.0,0
42,2024-06-24 07:41:40,False,2025-04-07 23:30:00,RR1.00:22-23:449:1658,402,627.5,421.05,206.45,0.0,0.0,0
43,2024-06-24 07:41:40,False,2025-06-20 15:00:00,RR1.00:13-14:499:1848,519,664.5,543.9,120.6,0.0,0.0,0
44,2024-06-24 07:41:40,False,2025-04-09 23:30:00,RR1.00:22-23:450:1662,406,543.0,425.25,117.75,0.0,0.0,0
45,2024-06-24 07:41:40,False,2024-08-07 14:57:40,RR1.00:13-14:418:1569,71,-1034.5,73.5,-1108.0,0.0,0.0,0
46,2024-06-24 07:41:40,False,2024-08-07 14:57:40,RR1.00:13-14:418:1569,71,-1024.0,73.5,-1097.5,0.0,0.0,0
47,2024-06-24 07:41:40,True,,,1055,7210.5,1107.75,4602.75,1500.0,1500.0,1
48,2024-06-24 07:41:40,True,,,1057,7645.0,1109.85,5035.15,1500.0,1500.0,1
49,2024-06-24 07:41:40,True,,,1057,8351.0,1109.85,4741.15,2500.0,2500.0,3
50,2024-07-04 09:54:40,True,,,1032,9007.5,1083.6,5423.9,2500.0,2500.0,3
51,2024-07-04 09:54:40,True,,,1032,8991.0,1083.6,5407.4,2500.0,2500.0,3
52,2024-07-04 09:54:40,True,,,1032,7715.5,1083.6,5131.9,1500.0,1500.0,1
53,2024-07-11 08:00:40,True,,,1019,11044.5,1069.95,6974.55,3000.0,3000.0,6
54,2024-07-11 08:00:40,True,,,1020,11334.5,1071.0,7763.5,2500.0,2500.0,5
55,2024-07-11 08:00:40,True,,,1019,13205.5,1069.95,8135.55,4000.0,4000.0,8
56,2024-07-11 11:32:40,True,,,1018,11776.0,1068.9,7207.1,3500.0,3500.0,7
57,2024-07-11 11:32:40,True,,,1018,10839.5,1068.9,7270.6,2500.0,2500.0,5
58,2024-07-11 11:32:40,True,,,1018,11664.0,1068.9,8095.1,2500.0,2500.0,5
59,2024-07-11 11:32:40,True,,,1018,11536.0,1068.9,7967.1,2500.0,2500.0,5
60,2024-07-11 11:32:40,True,,,1019,9740.5,1069.95,7170.55,1500.0,1500.0,3
61,2024-07-11 11:32:40,True,,,1018,8485.0,1068.9,6916.1,500.0,500.0,1
62,2024-07-11 11:32:40,True,,,1017,8013.5,1067.85,5445.65,1500.0,1500.0,1
63,2024-07-11 11:32:40,True,,,1017,7606.0,1067.85,5038.15,1500.0,1500.0,1
64,2024-07-11 11:32:40,True,,,1017,5426.5,1067.85,2858.65,1500.0,1500.0,1
